Town,Gross Residential Grand List,Gross Commercial Grand List,Gross Industrial Grand List,Incorrect Legacy Total Gross Grand List,Corrected Total Gross Grand List,Year
Derby,502984290,102026310,9413855,20332293,694225648,SFY 2014-2015
Durham,505026365,19286470,18324880,5451379,708121702,SFY 2014-2015
Eastford,107830645,6145630,2638390,1840662,135682647,SFY 2014-2015
East Granby,356429400,18929900,74490100,4596478,562692795,SFY 2014-2015
East Haddam,697062590,31397590,7386540,7974960,786653698,SFY 2014-2015
East Hampton,915670260,53566825,8165146,10784971,1046226753,SFY 2014-2015
East Hartford,1466604766,388573709,243642360,128696874,2729212147,SFY 2014-2015
East Haven,1431498770,287438991,20191489,16237148,1848459168,SFY 2014-2015
East Lyme,1687066623,122269486,14150920,37744043,1955717184,SFY 2014-2015
Easton,1194015190,11414950,23067980,2625266,1257758286,SFY 2014-2015
East Windsor,497725170,180916540,72734310,48088395,890520595,SFY 2014-2015
Ellington,968535956,76370950,18070990,69308930,1199063805,SFY 2014-2015
Enfield,1796940190,365284081,168836960,76804048,2641523210,SFY 2014-2015
Essex,797396200,111671800,33792000,3452138,985782744,SFY 2014-2015
Fairfield,8968384811,1035077240,52587430,23418011,10513181471,SFY 2014-2015
Farmington,2237270850,798008465,37626250,11459055,3315512153,SFY 2014-2015
Franklin,107919190,31280170,3936590,3063780,172933840,SFY 2014-2015
Glastonbury,2793658070,479727660,70879990,37186492,3572968060,SFY 2014-2015
Goshen,426264390,16661870,690670,2355910,494705220,SFY 2014-2015
Granby,727290770,37260790,3423910,9339010,877604580,SFY 2014-2015
Greenwich,24436561310,4236752296,92427230,298952570,30247117816,SFY 2014-2015
Griswold,540828425,36993750,3845870,16687135,637095976,SFY 2014-2015
Groton,2218334020,378295525,604096920,175618358,3898222992,SFY 2014-2015
Guilford,2571102170,188051790,23690410,10786595,2889503405,SFY 2014-2015
Haddam,696252118,26205310,25161810,5695190,842213503,SFY 2014-2015
Hamden,2843238026,465853422,65436110,273262600,3837175136,SFY 2014-2015
Hampton,100900085,1833820,115920,2295473,112687888,SFY 2014-2015
Hartford,745960439,1148692172,68824351,539660017,3337886306,SFY 2014-2015
Hartland,150773620,622680,0,2403845,181591012,SFY 2014-2015
Harwinton,424869356,12911500,2113970,4792548,491302630,SFY 2014-2015
Hebron,653292710,21952210,877590,7421830,712230770,SFY 2014-2015
Kent,464991400,36656135,0,2003970,570454869,SFY 2014-2015
Killingly,590267486,130949730,74909520,44151316,1533566487,SFY 2014-2015
Killingworth,625643290,20378930,702780,3804547,666767687,SFY 2014-2015
Lebanon,458455510,14201280,4850200,7293550,544870100,SFY 2014-2015
Ledyard,882702699,48180569,9356130,17361184,1051280491,SFY 2014-2015
Lisbon,223031770,81025990,980330,3979945,356694282,SFY 2014-2015
Litchfield,781879850,85150740,9803650,10848919,960096739,SFY 2014-2015
Lyme,463077600,4390800,0,836070,493883223,SFY 2014-2015
Madison,2450345200,161180300,2742000,10590647,2716401987,SFY 2014-2015
Manchester,2138658230,715978340,187923530,265701970,3690386188,SFY 2014-2015
Mansfield,745144620,130215430,2127790,41740049,969881172,SFY 2014-2015
Marlborough,481488250,27154490,2233350,3104675,524857275,SFY 2014-2015
Meriden,2059538434,577350550,20117920,85063268,3005356759,SFY 2014-2015
Middlebury,675096400,100101402,8530700,4392363,870786667,SFY 2014-2015
Middlefield,318732500,17549100,15064200,2939150,389851920,SFY 2014-2015
Middletown,1741875321,434247278,170858133,232037476,3218325609,SFY 2014-2015
Milford,4267643175,989382520,235444240,142483814,6199024084,SFY 2014-2015
Monroe,1788623260,155583237,54858916,10199372,2175905148,SFY 2014-2015
Montville,858342940,119908500,34007930,26564074,1175730977,SFY 2014-2015
Morris,293684900,10619450,1580610,946295,332368327,SFY 2014-2015
Naugatuck,1072911460,131161020,54931570,52902030,1460421390,SFY 2014-2015
New Britain,1442879640,267564550,94797380,253104516,2289475562,SFY 2014-2015
New Canaan,7163628943,372550150,7040180,68996580,7787440303,SFY 2014-2015
New Fairfield,1520135972,34193600,3098000,5172299,1583067246,SFY 2014-2015
New Hartford,510714220,25859820,7103460,4565412,610423935,SFY 2014-2015
New Haven,2710598014,2078098164,285672661,35526927,5930772353,SFY 2014-2015
Newington,1628724461,366589296,122526298,73675339,2419096997,SFY 2014-2015
New London,616367763,347681045,6562500,126403061,1258337642,SFY 2014-2015
New Milford,2036327225,263960575,96634000,32349965,2759685645,SFY 2014-2015
Newtown,2412239481,186170432,55822520,17189973,2865894083,SFY 2014-2015
Norfolk,205708940,10873490,0,1032070,281840260,SFY 2014-2015
North Branford,943550470,102995382,37917800,19279645,1167412407,SFY 2014-2015
North Canaan,154884690,46960560,27429400,8608800,320432390,SFY 2014-2015
North Haven,1821517944,342925665,248810224,52952647,2739433619,SFY 2014-2015
North Stonington,373285870,46382630,6579650,4494191,494489208,SFY 2014-2015
Norwalk,7590578107,2280409864,149900660,397761785,11367604161,SFY 2014-2015
Norwich,1015686100,303152420,42460700,104309770,1648066800,SFY 2014-2015
Old Lyme,1415317681,56221669,10963800,8078795,1552400261,SFY 2014-2015
Old Saybrook,1704091500,263842400,24523700,9034318,2115456058,SFY 2014-2015
Orange,1219267810,305349960,89692990,21347050,1800655438,SFY 2014-2015
Oxford,1094418055,34383300,58211700,9130950,1334617375,SFY 2014-2015
Plainfield,515255420,79122290,96629120,26061600,908659460,SFY 2014-2015
Plainville,812866054,182540620,97041150,40925689,1257560404,SFY 2014-2015
Plymouth,557034541,31690700,22241290,13876599,686770738,SFY 2014-2015
Pomfret,279506640,15376100,8489800,5008279,336564695,SFY 2014-2015
Portland,593515416,61133958,14642088,7806073,740466732,SFY 2014-2015
Preston,289263420,23868800,2103300,4773342,359549246,SFY 2014-2015
Prospect,641586720,48749880,9153640,6220678,748119328,SFY 2014-2015
Putnam,365058224,106609770,40034470,15420215,611890855,SFY 2014-2015
Redding,1302581650,119958100,2668000,3811555,1538756612,SFY 2014-2015
Ridgefield,3815879307,492897066,10576590,22418357,4560733161,SFY 2014-2015
Rocky Hill,1154010450,339576630,111672260,125877985,1849557610,SFY 2014-2015
Roxbury,607595420,2466400,0,1576650,668565300,SFY 2014-2015
Salem,288261570,17560100,1229900,3813031,334639157,SFY 2014-2015
Salisbury,813324560,50946500,1045900,1660530,1137370800,SFY 2014-2015
Scotland,93172410,322740,1041260,1603550,102765080,SFY 2014-2015
Seymour,919783200,71877610,36928920,22936310,1139513870,SFY 2014-2015
Sharon,590390500,42543200,0,2109151,700327055,SFY 2014-2015
Shelton,2957841840,658579570,159543510,73355435,4264369890,SFY 2014-2015
Sherman,612610900,1504100,0,3499783,638688771,SFY 2014-2015
Simsbury,1684312650,244951470,14230290,33983941,2089280664,SFY 2014-2015
Somers,680777770,32141470,9404600,7175450,787658520,SFY 2014-2015
Southbury,1499777166,279686708,8695400,32040287,1959749681,SFY 2014-2015
Southington,2703441766,415453860,71542660,50438796,3542242347,SFY 2014-2015
South Windsor,1640728440,206856100,232673751,15361100,2447642731,SFY 2014-2015
Sprague,111322610,4748910,11088180,3501670,161767320,SFY 2014-2015
Stafford,563712300,35413095,24320100,18481783,738325909,SFY 2014-2015
Stamford,10779874741,4733585014,532968377,1192453408,18642144768,SFY 2014-2015
Sterling,148852290,9133360,3243750,5213780,208870438,SFY 2014-2015
Stonington,1918555810,341218921,28196000,22730587,2500322072,SFY 2014-2015
Stratford,3166610661,410187925,315464063,61122185,4502425534,SFY 2014-2015
Suffield,1059627181,51244560,44959530,13390620,1257563331,SFY 2014-2015
Thomaston,349269034,34681015,28254617,10547907,498453953,SFY 2014-2015
Thompson,487070950,22053000,8107700,8552579,574498359,SFY 2014-2015
Tolland,1062728150,63395700,19160900,14111114,1194653130,SFY 2014-2015
Torrington,1576952740,332043780,59613610,46142220,2247211150,SFY 2014-2015
Trumbull,3127712300,600644600,222950900,35723035,4291536293,SFY 2014-2015
Union,67995860,2189020,338840,1055693,82788913,SFY 2014-2015
Vernon,1137949410,207683332,18318300,148512795,1601402388,SFY 2014-2015
Voluntown,161440874,6212350,2577630,1988713,185500522,SFY 2014-2015
Wallingford,2717664280,508463020,306746890,45391430,4126298434,SFY 2014-2015
Warren,214158810,5252940,0,1047220,334508570,SFY 2014-2015
Washington,810203990,44384870,370500,2413010,1059979160,SFY 2014-2015
Waterbury,2079860026,818512011,102068294,239516367,3818306577,SFY 2014-2015
Waterford,1400081420,809219740,47001730,16617120,3149474365,SFY 2014-2015
Watertown,1228692830,114809210,104825380,23079799,1603296832,SFY 2014-2015
Westbrook,868049148,112957830,30079120,9153120,1133226468,SFY 2014-2015
West Hartford,4401638135,763346568,80850230,96654411,5593920398,SFY 2014-2015
West Haven,1997619648,292043724,74596284,132735089,2635148835,SFY 2014-2015
Weston,2163633200,23510200,0,2266395,2213446834,SFY 2014-2015
Westport,8006292457,1155055560,8424600,22982160,9635210812,SFY 2014-2015
Wethersfield,1677456980,208016870,18642800,68751000,2051994690,SFY 2014-2015
Willington,295268930,41159400,3845590,26539069,394006409,SFY 2014-2015
Wilton,3207599190,584848670,0,27999140,4117687310,SFY 2014-2015
Winchester,494082290,53529260,15457960,21605662,649248593,SFY 2014-2015
Windham,451996720,136358435,36042680,68055770,822550665,SFY 2014-2015
Windsor,1419837126,435809807,375679055,30344182,2928427299,SFY 2014-2015
Windsor Locks,561186090,134589800,152269100,22084395,1161566920,SFY 2014-2015
Wolcott,1007546370,44578440,30303260,17057400,1166625820,SFY 2014-2015
Woodbridge,976819950,62130670,15556380,3624100,1124712010,SFY 2014-2015
Woodbury,893931350,86555190,1709520,17871663,1049627237,SFY 2014-2015
Woodstock,547242653,23471010,8599520,4216716,637516212,SFY 2014-2015
