MUNICIPALITY,SEPT 2009LABOR FORCE,SEPT 2009 UNEMPLOYED
"ANDOVER",1.9730000000000000e+03,1.2900000000000000e+02
"ANSONIA",1.0075000000000000e+04,9.8900000000000000e+02
"ASHFORD",2.6320000000000000e+03,1.7300000000000000e+02
"AVON",9.1860000000000000e+03,5.0500000000000000e+02
"BARKHAMSTED",2.2390000000000000e+03,1.8500000000000000e+02
"BEACON FALLS",3.3700000000000000e+03,3.0500000000000000e+02
"BERLIN",1.1412000000000000e+04,7.8100000000000000e+02
"BETHANY",3.1710000000000000e+03,1.9800000000000000e+02
"BETHEL",1.0930000000000000e+04,7.7700000000000000e+02
"BETHLEHEM",2.0160000000000000e+03,1.4600000000000000e+02
"BLOOMFIELD",1.0215000000000000e+04,9.4400000000000000e+02
"BOLTON",3.0250000000000000e+03,1.8400000000000000e+02
"BOZRAH",1.4860000000000000e+03,1.0900000000000000e+02
"BRANFORD",1.7473000000000000e+04,1.1640000000000000e+03
"BRIDGEPORT",6.3487000000000000e+04,7.6580000000000000e+03
"BRIDGEWATER",1.0320000000000000e+03,5.3000000000000000e+01
"BRISTOL",3.4421000000000000e+04,3.0470000000000000e+03
"BROOKFIELD",9.2310000000000000e+03,6.7000000000000000e+02
"BROOKLYN",3.8840000000000000e+03,3.6700000000000000e+02
"BURLINGTON",5.3860000000000000e+03,3.6400000000000000e+02
"CANAAN",5.9900000000000000e+02,3.6000000000000000e+01
"CANTERBURY",3.2000000000000000e+03,2.1500000000000000e+02
"CANTON",5.7910000000000000e+03,3.7500000000000000e+02
"CHAPLIN",1.4630000000000000e+03,9.9000000000000000e+01
"CHESHIRE",1.4718000000000000e+04,9.5400000000000000e+02
"CHESTER",2.3010000000000000e+03,1.3900000000000000e+02
"CLINTON",7.9710000000000000e+03,4.7500000000000000e+02
"COLCHESTER",8.8520000000000000e+03,6.3600000000000000e+02
"COLEBROOK",8.0800000000000000e+02,2.7000000000000000e+01
"COLUMBIA",3.0340000000000000e+03,1.8100000000000000e+02
"CORNWALL",8.3100000000000000e+02,5.4000000000000000e+01
"COVENTRY",7.0050000000000000e+03,4.6800000000000000e+02
"CROMWELL",7.8370000000000000e+03,5.5500000000000000e+02
"DANBURY",4.5181000000000000e+04,3.3440000000000000e+03
"DARIEN",9.1920000000000000e+03,5.6700000000000000e+02
"DEEP RIVER",2.6050000000000000e+03,1.7600000000000000e+02
"DERBY",6.9620000000000000e+03,6.5500000000000000e+02
"DURHAM",4.3000000000000000e+03,2.2100000000000000e+02
"EAST GRANBY",2.9580000000000000e+03,1.8700000000000000e+02
"EAST HADDAM",5.1480000000000000e+03,3.1500000000000000e+02
"EAST HAMPTON",7.0950000000000000e+03,5.7600000000000000e+02
"EAST HARTFORD",2.5617000000000000e+04,2.6440000000000000e+03
"EAST HAVEN",1.6396000000000000e+04,1.4120000000000000e+03
"EAST LYME",9.8380000000000000e+03,6.9500000000000000e+02
"EAST WINDSOR",6.3170000000000000e+03,5.3100000000000000e+02
"EASTFORD",1.0000000000000000e+03,5.9000000000000000e+01
"EASTON",3.7420000000000000e+03,2.4200000000000000e+02
"ELLINGTON",8.7280000000000000e+03,5.3700000000000000e+02
"ENFIELD",2.4161000000000000e+04,2.0460000000000000e+03
"ESSEX",3.8200000000000000e+03,2.3700000000000000e+02
"FAIRFIELD",2.8699000000000000e+04,2.1980000000000000e+03
"FARMINGTON",1.2938000000000000e+04,8.0000000000000000e+02
"FRANKLIN",1.1720000000000000e+03,6.9000000000000000e+01
"GLASTONBURY",1.8317000000000000e+04,1.1660000000000000e+03
"GOSHEN",1.6240000000000000e+03,1.0500000000000000e+02
"GRANBY",6.3080000000000000e+03,3.6600000000000000e+02
"GREENWICH",3.0403000000000000e+04,1.9330000000000000e+03
"GRISWOLD",7.2970000000000000e+03,6.0600000000000000e+02
"GROTON",2.0728000000000000e+04,1.7300000000000000e+03
"GROTON (City of)",,
"GUILFORD",1.3051000000000000e+04,7.0400000000000000e+02
"HADDAM",4.8390000000000000e+03,2.5400000000000000e+02
"HAMDEN",3.1170000000000000e+04,2.4020000000000000e+03
"HAMPTON",1.2290000000000000e+03,8.6000000000000000e+01
"HARTFORD",5.0362000000000000e+04,7.3120000000000000e+03
"HARTLAND",1.1900000000000000e+03,6.4000000000000000e+01
