MUNICIPALITY,SEPT 2009LABOR FORCE,SEPT 2009 UNEMPLOYED
"HARWINTON",3.1650000000000000e+03,2.2100000000000000e+02
"HEBRON",5.5100000000000000e+03,3.5600000000000000e+02
"KENT",1.5650000000000000e+03,7.5000000000000000e+01
"KILLINGLY",9.4970000000000000e+03,9.8700000000000000e+02
"KILLINGWORTH",3.6340000000000000e+03,2.1000000000000000e+02
"LEBANON",4.3440000000000000e+03,3.0800000000000000e+02
"LEDYARD",8.6340000000000000e+03,6.1300000000000000e+02
"LISBON",2.5790000000000000e+03,1.7900000000000000e+02
"LITCHFIELD",4.3790000000000000e+03,2.9600000000000000e+02
"LYME",1.1320000000000000e+03,5.4000000000000000e+01
"MADISON",1.0137000000000000e+04,5.4800000000000000e+02
"MANCHESTER",3.2323000000000000e+04,2.5840000000000000e+03
"MANSFIELD",1.3056000000000000e+04,7.9400000000000000e+02
"MARLBOROUGH",3.6910000000000000e+03,2.7700000000000000e+02
"MERIDEN",3.2452000000000000e+04,3.2990000000000000e+03
"MIDDLEBURY",3.9340000000000000e+03,2.8700000000000000e+02
"MIDDLEFIELD",2.3640000000000000e+03,1.5500000000000000e+02
"MIDDLETOWN",2.6752000000000000e+04,2.0090000000000000e+03
"MILFORD",3.2417000000000000e+04,2.5320000000000000e+03
"MONROE",1.0596000000000000e+04,7.0300000000000000e+02
"MONTVILLE",1.0988000000000000e+04,7.5700000000000000e+02
"MORRIS",1.2960000000000000e+03,1.0300000000000000e+02
"NAUGATUCK",1.7302000000000000e+04,1.6340000000000000e+03
"NEW BRITAIN",3.5353000000000000e+04,4.2750000000000000e+03
"NEW CANAAN",8.9710000000000000e+03,5.5600000000000000e+02
"NEW FAIRFIELD",7.6560000000000000e+03,5.4100000000000000e+02
"NEW HARTFORD",3.8180000000000000e+03,2.7700000000000000e+02
"NEW HAVEN",5.6898000000000000e+04,6.4190000000000000e+03
"NEW LONDON",1.3737000000000000e+04,1.2950000000000000e+03
"NEW MILFORD",1.6456000000000000e+04,1.1270000000000000e+03
"NEWINGTON",1.6702000000000000e+04,1.2270000000000000e+03
"NEWTOWN",1.4320000000000000e+04,9.2500000000000000e+02
"NORFOLK",9.4400000000000000e+02,6.6000000000000000e+01
"NORTH BRANFORD",8.4650000000000000e+03,5.7700000000000000e+02
"NORTH CANAAN",1.7150000000000000e+03,1.1700000000000000e+02
"NORTH HAVEN",1.3259000000000000e+04,8.5900000000000000e+02
"NORTH STONINGTON",3.3030000000000000e+03,2.2700000000000000e+02
"NORWALK",4.8618000000000000e+04,3.5590000000000000e+03
"NORWICH",2.0942000000000000e+04,1.8950000000000000e+03
"OLD LYME",4.1910000000000000e+03,2.4200000000000000e+02
"OLD SAYBROOK",5.5220000000000000e+03,3.2900000000000000e+02
"ORANGE",7.3220000000000000e+03,4.4400000000000000e+02
"OXFORD",7.4520000000000000e+03,5.1000000000000000e+02
"PLAINFIELD",8.3500000000000000e+03,8.3400000000000000e+02
"PLAINVILLE",1.0047000000000000e+04,7.8800000000000000e+02
"PLYMOUTH",6.8950000000000000e+03,6.6800000000000000e+02
"POMFRET",2.2820000000000000e+03,2.0400000000000000e+02
"PORTLAND",5.3620000000000000e+03,3.7600000000000000e+02
"PRESTON",2.8740000000000000e+03,1.8800000000000000e+02
"PROSPECT",5.2790000000000000e+03,3.9700000000000000e+02
"PUTNAM",5.3230000000000000e+03,4.7900000000000000e+02
"REDDING",4.6940000000000000e+03,2.8200000000000000e+02
"RIDGEFIELD",1.1721000000000000e+04,7.3600000000000000e+02
"ROCKY HILL",1.0751000000000000e+04,7.2400000000000000e+02
"ROXBURY",1.3560000000000000e+03,7.0000000000000000e+01
"SALEM",2.6200000000000000e+03,1.6200000000000000e+02
"SALISBURY",1.9290000000000000e+03,9.6000000000000000e+01
"SCOTLAND",9.9800000000000000e+02,4.5000000000000000e+01
"SEYMOUR",9.3080000000000000e+03,7.2700000000000000e+02
"SHARON",1.5350000000000000e+03,7.3000000000000000e+01
"SHELTON",2.3061000000000000e+04,1.6410000000000000e+03
"SHERMAN",2.1680000000000000e+03,1.3300000000000000e+02
"SIMSBURY",1.2092000000000000e+04,7.3000000000000000e+02
"SOMERS",4.7860000000000000e+03,4.1500000000000000e+02
"SOUTH WINDSOR",1.4797000000000000e+04,9.7100000000000000e+02
"SOUTHBURY",9.1090000000000000e+03,5.9600000000000000e+02
"SOUTHINGTON",2.4171000000000000e+04,1.6600000000000000e+03
"SPRAGUE",1.8170000000000000e+03,1.6200000000000000e+02
"STAFFORD",6.8420000000000000e+03,5.3700000000000000e+02
"STAMFORD",6.6686000000000000e+04,4.9370000000000000e+03
"STERLING",2.0800000000000000e+03,1.8700000000000000e+02
"STONINGTON",1.0503000000000000e+04,5.7100000000000000e+02
"STRATFORD",2.6233000000000000e+04,2.4480000000000000e+03
"SUFFIELD",7.5550000000000000e+03,5.3300000000000000e+02
"THOMASTON",4.6740000000000000e+03,4.4100000000000000e+02
"THOMPSON",5.4970000000000000e+03,5.3400000000000000e+02
"TOLLAND",8.3560000000000000e+03,5.1200000000000000e+02
"TORRINGTON",1.9839000000000000e+04,1.9850000000000000e+03
"TRUMBULL",1.7858000000000000e+04,1.2330000000000000e+03
"UNION",4.7600000000000000e+02,3.1000000000000000e+01
"VERNON",1.7358000000000000e+04,1.2790000000000000e+03
"VOLUNTOWN",1.6470000000000000e+03,1.4900000000000000e+02
"WALLINGFORD",2.5590000000000000e+04,1.8220000000000000e+03
"WARREN",7.3600000000000000e+02,3.9000000000000000e+01
"WASHINGTON",1.9190000000000000e+03,1.0900000000000000e+02
"WATERBURY",5.1157000000000000e+04,6.8360000000000000e+03
"WATERFORD",1.0486000000000000e+04,7.5100000000000000e+02
"WATERTOWN",1.2307000000000000e+04,1.0110000000000000e+03
"WEST HARTFORD",2.9288000000000000e+04,2.1860000000000000e+03
"WEST HAVEN",3.0205000000000000e+04,2.7760000000000000e+03
"WESTBROOK",3.7270000000000000e+03,2.4700000000000000e+02
"WESTON",4.8970000000000000e+03,2.6200000000000000e+02
"WESTPORT",1.2813000000000000e+04,8.6200000000000000e+02
"WETHERSFIELD",1.3261000000000000e+04,1.0040000000000000e+03
"WILLINGTON",3.8420000000000000e+03,2.1000000000000000e+02
"WILTON",8.3050000000000000e+03,5.0700000000000000e+02
"WINCHESTER",6.0380000000000000e+03,5.7400000000000000e+02
"WINDHAM",1.1765000000000000e+04,1.1670000000000000e+03
"WINDSOR",1.6362000000000000e+04,1.3930000000000000e+03
"WINDSOR LOCKS",7.2290000000000000e+03,6.2900000000000000e+02
"WOLCOTT",9.1060000000000000e+03,7.4700000000000000e+02
"WOODBRIDGE",4.8190000000000000e+03,2.1600000000000000e+02
"WOODBURY",5.4470000000000000e+03,3.4300000000000000e+02
"WOODSTOCK",4.7280000000000000e+03,3.1200000000000000e+02
,,
,,
