numbered,Municipality,Form of Govt
1.0000000000000000e+00,"ANDOVER (4)","    SEL.-TN. MTG."
2.0000000000000000e+00,"ANSONIA","    MAYOR-CNCL."
3.0000000000000000e+00,"ASHFORD","    SEL.-TN. MTG."
4.0000000000000000e+00,"AVON","    CNCL.-MGR."
5.0000000000000000e+00,"BARKHAMSTED","    SEL.-TN. MTG."
6.0000000000000000e+00,"BEACON FALLS","    SEL.-TN. MTG."
7.0000000000000000e+00,"BERLIN","    CNCL.-MGR."
8.0000000000000000e+00,"BETHANY","    SEL.-TN. MTG."
9.0000000000000000e+00,"BETHEL","    SEL.-TN. MTG."
1.0000000000000000e+01,"BETHLEHEM","    SEL.-TN. MTG."
1.1000000000000000e+01,"BLOOMFIELD","    CNCL.-MGR."
1.2000000000000000e+01,"BOLTON","    SEL.-TN. MTG."
1.3000000000000000e+01,"BOZRAH","    SEL.-TN. MTG."
1.4000000000000000e+01,"BRANFORD","    SEL.-RTM."
1.5000000000000000e+01,"BRIDGEPORT (4)","    MAYOR-CNCL."
1.6000000000000000e+01,"BRIDGEWATER (4)","    SEL.-TN. MTG."
1.7000000000000000e+01,"BRISTOL","    MAYOR-CNCL."
1.8000000000000000e+01,"BROOKFIELD","    SEL.-TN. MTG."
1.9000000000000000e+01,"BROOKLYN","    SEL.-TN. MTG."
2.0000000000000000e+01,"BURLINGTON","    SEL.-TN. MTG."
2.1000000000000000e+01,"CANAAN","    SEL.-TN. MTG."
2.2000000000000000e+01,"CANTERBURY","    SEL.-TN. MTG."
2.3000000000000000e+01,"CANTON","    SEL.-TN. MTG."
2.4000000000000000e+01,"CHAPLIN","    SEL.-TN. MTG."
2.5000000000000000e+01,"CHESHIRE","    CNCL.-MGR."
2.6000000000000000e+01,"CHESTER","    SEL.-TN. MTG."
2.7000000000000000e+01,"CLINTON","    SEL.-TN. MTG."
2.8000000000000000e+01,"COLCHESTER","    SEL.-TN. MTG."
2.9000000000000000e+01,"COLEBROOK","    SEL.-TN. MTG."
3.0000000000000000e+01,"COLUMBIA (4)","    SEL.-TN. MTG."
3.1000000000000000e+01,"CORNWALL","    SEL.-TN. MTG."
3.2000000000000000e+01,"COVENTRY","    CNCL.-MGR."
3.3000000000000000e+01,"CROMWELL","    SEL.-TN. MTG."
3.4000000000000000e+01,"DANBURY","    MAYOR-CNCL."
3.5000000000000000e+01,"DARIEN","    SEL.-RTM."
3.6000000000000000e+01,"DEEP RIVER","    SEL.-TN. MTG."
3.7000000000000000e+01,"DERBY","    MAYOR-CNCL."
3.8000000000000000e+01,"DURHAM (4)","    SEL.-TN. MTG."
3.9000000000000000e+01,"EAST GRANBY","    SEL.-TN. MTG."
4.0000000000000000e+01,"EAST HADDAM","    SEL.-TN. MTG."
4.1000000000000000e+01,"EAST HAMPTON","    CNCL.-MGR."
4.2000000000000000e+01,"EAST HARTFORD","    MAYOR-CNCL."
4.3000000000000000e+01,"EAST HAVEN","    MAYOR-CNCL."
