numbered,Municipality,Form of Govt
4.4000000000000000e+01,"EAST LYME","    SEL.-TN. MTG."
4.5000000000000000e+01,"EAST WINDSOR (4)","    SEL.-TN. MTG."
4.6000000000000000e+01,"EASTFORD","    SEL.-TN. MTG."
4.7000000000000000e+01,"EASTON","    SEL.-TN. MTG."
4.8000000000000000e+01,"ELLINGTON","    SEL.-TN. MTG."
4.9000000000000000e+01,"ENFIELD","    CNCL.-MGR."
5.0000000000000000e+01,"ESSEX","    SEL.-TN. MTG."
5.1000000000000000e+01,"FAIRFIELD (4)","    SEL.-RTM."
5.2000000000000000e+01,"FARMINGTON","    CNCL.-MGR."
5.3000000000000000e+01,"FRANKLIN","    SEL.-TN. MTG."
5.4000000000000000e+01,"GLASTONBURY","    CNCL.-MGR."
5.5000000000000000e+01,"GOSHEN","    SEL.-TN. MTG."
5.6000000000000000e+01,"GRANBY","    SEL.-TN. MTG."
5.7000000000000000e+01,"GREENWICH","    SEL.-RTM."
5.8000000000000000e+01,"GRISWOLD","    SEL.-TN. MTG."
5.9000000000000000e+01,"GROTON","    CNCL.-MGR."
6.0000000000000000e+01,"GUILFORD","    SEL.-TN. MTG."
6.1000000000000000e+01,"HADDAM","    SEL.-TN. MTG."
6.2000000000000000e+01,"HAMDEN","    MAYOR-CNCL."
6.3000000000000000e+01,"HAMPTON","    SEL.-TN. MTG."
6.4000000000000000e+01,"HARTFORD (4)","    MAYOR-CNCL."
6.5000000000000000e+01,"HARTLAND","    SEL.-TN. MTG."
6.6000000000000000e+01,"HARWINTON","    SEL.-TN. MTG."
6.7000000000000000e+01,"HEBRON (4)","    SEL.-TN. MTG."
6.8000000000000000e+01,"KENT","    SEL.-TN. MTG."
6.9000000000000000e+01,"KILLINGLY","    CNCL.-MGR."
7.0000000000000000e+01,"KILLINGWORTH","    SEL.-TN. MTG."
7.1000000000000000e+01,"LEBANON","    SEL.-TN. MTG."
7.2000000000000000e+01,"LEDYARD (4)","    MAYOR-CNCL."
7.3000000000000000e+01,"LISBON","    SEL.-TN. MTG."
7.4000000000000000e+01,"LITCHFIELD","    SEL.-TN. MTG."
7.5000000000000000e+01,"LYME","    SEL.-TN. MTG."
7.6000000000000000e+01,"MADISON","    SEL.-TN. MTG."
7.7000000000000000e+01,"MANCHESTER","    G.M.-BD. of DIRS."
7.8000000000000000e+01,"MANSFIELD","    CNCL.-MGR."
7.9000000000000000e+01,"MARLBOROUGH (4)","   SEL.-TN. MTG."
8.0000000000000000e+01,"MERIDEN","    CNCL.-MGR."
8.1000000000000000e+01,"MIDDLEBURY","    SEL.-TN. MTG."
8.2000000000000000e+01,"MIDDLEFIELD","    SEL.-TN. MTG."
8.3000000000000000e+01,"MIDDLETOWN","    MAYOR-CNCL."
8.4000000000000000e+01,"MILFORD","    MAYOR-CNCL."
8.5000000000000000e+01,"MONROE","    SEL.-TN. MTG."
8.6000000000000000e+01,"MONTVILLE (4)","    MAYOR-CNCL."
8.7000000000000000e+01,"MORRIS","    SEL.-TN. MTG."
8.8000000000000000e+01,"NAUGATUCK","    MAYOR-CNCL."
8.9000000000000000e+01,"NEW BRITAIN","    MAYOR-CNCL."
9.0000000000000000e+01,"NEW CANAAN","    SEL.-CNCL."
9.1000000000000000e+01,"NEW FAIRFIELD","    SEL.-TN. MTG."
9.2000000000000000e+01,"NEW HARTFORD","    SEL.-TN. MTG."
9.3000000000000000e+01,"NEW HAVEN","    MAYOR-CNCL."
9.4000000000000000e+01,"NEW LONDON","    CNCL.-MGR."
9.5000000000000000e+01,"NEW MILFORD","    MAYOR-CNCL."
9.6000000000000000e+01,"NEWINGTON","    CNCL.-MGR."
9.7000000000000000e+01,"NEWTOWN","    SEL.-TN. MTG."
1.0400000000000000e+02,"NORTH STONINGTON","    SEL.-TN. MTG."
9.8000000000000000e+01,"NORFOLK","    SEL.-TN. MTG."
1.0300000000000000e+02,"NORTH BRANFORD","    CNCL.-MGR."
9.9000000000000000e+01,"NORTH CANAAN","    SEL.-TN. MTG."
1.0000000000000000e+02,"NORTH HAVEN","    SEL.-TN. MTG."
1.0100000000000000e+02,"NORWALK","    MAYOR-CNCL."
1.0200000000000000e+02,"NORWICH (4)","    CNCL.-MGR."
1.0500000000000000e+02,"OLD LYME","    SEL.-TN. MTG."
1.0600000000000000e+02,"OLD SAYBROOK","    SEL.-TN. MTG."
1.0700000000000000e+02,"ORANGE","    SEL.-TN. MTG."
1.0800000000000000e+02,"OXFORD","    SEL.-TN. MTG."
1.0900000000000000e+02,"PLAINFIELD","    SEL.-TN. MTG."
1.1000000000000000e+02,"PLAINVILLE","    CNCL.-MGR."
1.1100000000000000e+02,"PLYMOUTH","    MAYOR-CNCL."
1.1200000000000000e+02,"POMFRET","    SEL.-TN. MTG."
1.1300000000000000e+02,"PORTLAND","    SEL.-TN. MTG."
1.1400000000000000e+02,"PRESTON","    SEL.-TN. MTG."
1.1500000000000000e+02,"PROSPECT","    MAYOR-CNCL."
1.1600000000000000e+02,"PUTNAM","    MAYOR-TN. MTG."
1.1700000000000000e+02,"REDDING","    SEL.-TN. MTG."
1.1800000000000000e+02,"RIDGEFIELD (4)","    SEL.-TN. MTG."
1.1900000000000000e+02,"ROCKY HILL","    CNCL.-MGR."
1.2000000000000000e+02,"ROXBURY (4)","    SEL.-TN. MTG."
1.2100000000000000e+02,"SALEM","    SEL.-TN. MTG."
1.2200000000000000e+02,"SALISBURY","    SEL.-TN. MTG."
1.2300000000000000e+02,"SCOTLAND","    SEL.-TN. MTG."
1.2400000000000000e+02,"SEYMOUR","    SEL.-TN. MTG."
1.2500000000000000e+02,"SHARON","    SEL.-TN. MTG."
1.2600000000000000e+02,"SHELTON","    MAYOR-CNCL."
1.2700000000000000e+02,"SHERMAN","    SEL.-TN. MTG."
1.2800000000000000e+02,"SIMSBURY","    SEL.-TN. MTG."
1.2900000000000000e+02,"SOMERS","    SEL.-TN. MTG."
1.3000000000000000e+02,"SOUTH WINDSOR","    CNCL.-MGR."
1.3100000000000000e+02,"SOUTHBURY","    SEL.-TN. MTG."
1.3200000000000000e+02,"SOUTHINGTON","    CNCL.-MGR."
1.3300000000000000e+02,"SPRAGUE","    SEL.-TN. MTG."
1.3400000000000000e+02,"STAFFORD","    SEL.-TN. MTG."
1.3500000000000000e+02,"STAMFORD (4)","    MAYOR-REPS."
1.3600000000000000e+02,"STERLING (4)","    SEL.-TN. MTG."
1.3700000000000000e+02,"STONINGTON","    SEL.-TN. MTG."
1.3800000000000000e+02,"STRATFORD (4)","    MAYOR-CNCL."
1.3900000000000000e+02,"SUFFIELD","    SEL.-TN. MTG."
1.4000000000000000e+02,"THOMASTON","    SEL.-TN. MTG."
1.4100000000000000e+02,"THOMPSON","    SEL.-TN. MTG."
1.4200000000000000e+02,"TOLLAND","    CNCL.-MGR."
1.4300000000000000e+02,"TORRINGTON","    MAYOR-CNCL."
1.4400000000000000e+02,"TRUMBULL","    SEL.-CNCL."
1.4500000000000000e+02,"UNION","    SEL.-TN. MTG."
1.4600000000000000e+02,"VERNON","    MAYOR-CNCL."
1.4700000000000000e+02,"VOLUNTOWN","    SEL.-TN. MTG."
1.4800000000000000e+02,"WALLINGFORD","    MAYOR-CNCL."
1.4900000000000000e+02,"WARREN","    SEL.-TN. MTG."
1.5000000000000000e+02,"WASHINGTON","    SEL.-TN. MTG."
1.5100000000000000e+02,"WATERBURY","    MAYOR-CNCL."
1.5200000000000000e+02,"WATERFORD","    SEL.-RTM."
1.5300000000000000e+02,"WATERTOWN","    CNCL.-MGR."
1.5400000000000000e+02,"WEST HARTFORD","    CNCL.-MGR."
1.5500000000000000e+02,"WEST HAVEN","    MAYOR-CNCL."
1.5600000000000000e+02,"WESTBROOK","    SEL.-TN. MTG."
1.5700000000000000e+02,"WESTON","    SEL.-TN. MTG."
1.5800000000000000e+02,"WESTPORT (4)","    SEL.-RTM."
1.5900000000000000e+02,"WETHERSFIELD","    CNCL.-MGR."
1.6000000000000000e+02,"WILLINGTON","    SEL.-TN. MTG."
1.6100000000000000e+02,"WILTON","    SEL.-TN. MTG."
1.6200000000000000e+02,"WINCHESTER","    CNCL.-MGR."
1.6300000000000000e+02,"WINDHAM","    SEL.-TN. MTG."
1.6400000000000000e+02,"WINDSOR","    CNCL.-MGR."
1.6500000000000000e+02,"WINDSOR LOCKS","    SEL.-TN. MTG."
1.6600000000000000e+02,"WOLCOTT","    MAYOR-CNCL."
1.6700000000000000e+02,"WOODBRIDGE","    SEL.-TN. MTG."
1.6800000000000000e+02,"WOODBURY","    SEL.-TN. MTG."
1.6900000000000000e+02,"WOODSTOCK","    SEL.-TN. MTG."
