Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"TORRINGTON","VR",3,0,0,,0
"UNION","VR",0,1,0,,0
"VERNON","VR",3,0,0,,0
"WALLINGFORD","VR",2,0,0,,0
"WATERFORD","VR",1,0,1,,0
"WATERBURY","VR",1,0,0,,0
"CHAPLIN","VR",0,0,0,,0
"WEST HARTFORD","VR",1,0,0,,0
"WETHERSFIELD","VR",1,0,0,,0
"WILLINGTON","VR",1,0,0,,0
"WINDHAM","VR",4,0,0,,0
"WOLCOTT","VR",2,0,0,,0
"WOODSTOCK","VR",0,0,1,,0
"ANDOVER","VR",0,0,1,,0
"ANSONIA","VR",2,0,1,,0
"ASHFORD","VR",0,1,0,,0
"BEACON FALLS","VR",0,0,1,,0
"BERLIN","VR",1,1,0,,0
"BOZRAH","VR",0,0,1,,0
"BRANFORD","VR",1,0,1,,0
"BROOKLYN","VR",2,0,0,,0
"BRIDGEPORT","VR",4,0,1,,0
"BURLINGTON","VR",2,0,0,,0
"CANAAN","VR",0,1,0,,0
"CANTERBURY","VR",0,0,1,,0
"CLINTON","VR",2,0,1,,0
"COLUMBIA","VR",0,1,0,,0
"COLEBROOK","VR",0,1,0,,0
"DEEP RIVER","VR",2,0,0,,0
"DERBY","VR",1,0,1,,0
"EAST HAVEN","VR",0,0,1,,0
"EAST WINDSOR","VR",1,0,0,,0
"EASTON","VR",1,0,1,,0
"FAIRFIELD","VR",2,0,0,,0
"FRANKLIN","VR",0,0,0,,0
"SALISBURY","VR",1,1,0,,0
"VOLUNTOWN","VR",0,0,0,,0
"SPRAGUE","VR",0,0,0,,0
"GUILFORD","VR",3,0,0,,0
"HAMPTON","VR",0,1,0,,0
"HARTLAND","VR",0,1,0,,0
"HARWINTON","VR",1,0,0,,0
"HEBRON","VR",0,1,0,,0
"KILLINGWORTH","VR",2,0,0,,0
"LEBANON","VR",0,0,1,,0
"LISBON","VR",0,0,1,,0
"MANCHESTER","VR",1,1,1,,0
"MILFORD","VR",1,0,0,,0
"MONTVILLE","VR",0,0,1,,0
"NEW FAIRFIELD","VR",2,0,1,,0
"NEW HARTFORD","VR",1,0,0,,0
"NEW HAVEN","VR",2,0,0,,0
"NEW LONDON","VR",2,3,1,,0
"NEW MILFORD","VR",1,,0,,0
"NEWINGTON","VR",4,1,0,,0
"NORTH CANAAN","VR",0,0,0,,0
"NORTH HAVEN","VR",5,0,0,,0
"OLD LYME","VR",0,1,0,,0
"PLAINFIELD","VR",1,0,0,,0
"PLYMOUTH","VR",2,0,1,,0
"POMFRET","VR",0,1,0,,0
"PORTLAND","VR",2,0,0,,0
"PRESTON","VR",0,0,1,,0
"PUTNAM","VR",1,0,0,,0
"RIDGEFIELD","VR",3,1,0,,0
"ROCKY HILL","VR",4,0,0,,0
"ROXBURY","VR",0,1,0,,0
"SALEM","VR",0,0,0,,0
"SCOTLAND","VR",0,0,0,,0
"SIMSBURY","VR",3,0,0,,0
"SOUTH WINDSOR","VR",2,1,0,,0
"STAMFORD","VR",4,0,0,,0
"STRATFORD","VR",1,1,0,,0
"SUFFIELD","VR",1,0,0,,0
"WARREN","VR",1,0,0,,0
"WASHINGTON","VR",1,0,0,,0
"WATERTOWN","VR",2,0,1,,0
"WESTBROOK","VR",3,0,0,,0
"WESTON","VR",0,0,1,,0
"WILTON","VR",1,1,0,,0
"WINDSOR LOCKS","VR",0,0,1,,0
"WOODBRIDGE","VR",0,0,1,,0
"WOODBURY","VR",1,1,0,,0
"WEST HAVEN","VR",1,1,0,,0
"WINCHESTER","VR",1,0,1,,0
"DURHAM","VR",1,1,0,,0
"MIDDLEFIELD","VR",0,0,1,,0
"NORTH BRANFORD","VR",3,1,0,,0
"CORNWALL","KE",0,1,0,,0
"EAST HADDAM","KE",0,1,1,,0
"EASTFORD","KE",0,1,0,,0
"MADISON","KE",3,1,0,,0
"MARLBOROUGH","KE",0,0,0,,0
"THOMPSON","KE",1,0,1,,0
"TOLLAND","KE",0,1,0,,0
