Municipality,July 2003 Population
"ANDOVER",3.1650000000000000e+03
"ANSONIA",1.8818000000000000e+04
"ASHFORD",4.2940000000000000e+03
"AVON",1.6709000000000000e+04
"BARKHAMSTED",3.6560000000000000e+03
"BEACON FALLS",5.5240000000000000e+03
"BERLIN",1.9322000000000000e+04
"BETHANY",5.3310000000000000e+03
"BETHEL",1.8566000000000000e+04
"BETHLEHEM",3.5790000000000000e+03
"BLOOMFIELD",1.9803000000000000e+04
"BOLTON",5.1990000000000000e+03
"BOZRAH",2.4230000000000000e+03
"BRANFORD",2.9136000000000000e+04
"BRIDGEPORT",1.3966400000000000e+05
"BRIDGEWATER",1.8820000000000000e+03
"BRISTOL",6.0722000000000000e+04
"BROOKFIELD",1.6037000000000000e+04
"BROOKLYN",7.4870000000000000e+03
"BURLINGTON",8.8080000000000000e+03
"CANAAN",1.0990000000000000e+03
"CANTERBURY",4.9180000000000000e+03
"CANTON",9.4130000000000000e+03
"CHAPLIN",2.3720000000000000e+03
"CHESHIRE",2.9187000000000000e+04
"CHESTER",3.8390000000000000e+03
"CLINTON",1.3645000000000000e+04
"COLCHESTER",1.5158000000000000e+04
"COLEBROOK",1.5220000000000000e+03
"COLUMBIA",5.2280000000000000e+03
"CORNWALL",1.4640000000000000e+03
"COVENTRY",1.2108000000000000e+04
"CROMWELL",1.3471000000000000e+04
"DANBURY",7.7353000000000000e+04
"DARIEN",1.9921000000000000e+04
"DEEP RIVER",4.7460000000000000e+03
"DERBY",1.2593000000000000e+04
"DURHAM",7.1340000000000000e+03
"EAST GRANBY",4.9770000000000000e+03
"EAST HADDAM",8.7110000000000000e+03
"EAST HAMPTON",1.1660000000000000e+04
"EAST HARTFORD",4.9596000000000000e+04
"EAST HAVEN",2.8710000000000000e+04
"EAST LYME",1.8537000000000000e+04
"EAST WINDSOR",1.0185000000000000e+04
"EASTFORD",1.6760000000000000e+03
"EASTON",7.4820000000000000e+03
"ELLINGTON",1.3952000000000000e+04
"ENFIELD",4.5539000000000000e+04
"ESSEX",6.8000000000000000e+03
"FAIRFIELD",5.8407000000000000e+04
"FARMINGTON",2.4507000000000000e+04
"FRANKLIN",1.9060000000000000e+03
"GLASTONBURY",3.2789000000000000e+04
"GOSHEN",2.9280000000000000e+03
"GRANBY",1.0869000000000000e+04
"GREENWICH",6.1972000000000000e+04
"GRISWOLD",1.1087000000000000e+04
"GROTON",4.0020000000000000e+04
"GROTON (City of)",
"GUILFORD",2.2082000000000000e+04
"HADDAM",7.4590000000000000e+03
"HAMDEN",5.8476000000000000e+04
"HAMPTON",1.9120000000000000e+03
"HARTFORD",1.2438700000000000e+05
"HARTLAND",2.0680000000000000e+03
"HARWINTON",5.4950000000000000e+03
"HEBRON",9.0470000000000000e+03
"KENT",2.9200000000000000e+03
"KILLINGLY",1.6940000000000000e+04
"KILLINGWORTH",6.3730000000000000e+03
"LEBANON",7.1450000000000000e+03
"LEDYARD",1.5003000000000000e+04
"LISBON",4.2040000000000000e+03
"LITCHFIELD",8.5310000000000000e+03
"LYME",2.0940000000000000e+03
"MADISON",1.8698000000000000e+04
"MANCHESTER",5.5390000000000000e+04
"MANSFIELD",2.3324000000000000e+04
"MARLBOROUGH",6.0940000000000000e+03
"MERIDEN",5.8962000000000000e+04
"MIDDLEBURY",6.7450000000000000e+03
"MIDDLEFIELD",4.3010000000000000e+03
"MIDDLETOWN",4.6918000000000000e+04
"MILFORD",5.3869000000000000e+04
