Municipality,numbered,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL_REAL,MOTOR,PERSONAL,GROSS,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,1.4209558000000000e+08,2.9112500000000000e+06,7.7360000000000000e+05,3.4750000000000000e+05,1.1463000000000000e+06,1.5297142000000000e+08,2.3953664000000000e+07,5.5383730000000000e+06,1.8246345700000000e+08,5.6971900000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.0340200000000000e+08,5.6370400000000000e+07,1.4720100000000000e+07,5.3610000000000000e+05,1.1532100000000000e+07,6.8675272000000000e+08,9.0455680000000000e+07,3.6618658000000000e+07,8.1382705800000000e+08,1.9202000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,1.8654625000000000e+08,7.4751700000000000e+06,9.6603000000000000e+05,0.0000000000000000e+00,3.7243400000000000e+06,2.0561103000000000e+08,2.8015898000000000e+07,8.4703800000000000e+06,2.4209730800000000e+08,6.8992400000000000e+06
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,1.6790824700000000e+09,2.2873817000000000e+08,2.7563700000000000e+07,2.2947000000000000e+05,1.6206310000000000e+07,1.9568681900000000e+09,1.5609735000000000e+08,9.6600200000000000e+07,2.2095657400000000e+09,5.0480700000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.1516868000000000e+08,1.3472140000000000e+07,2.2340700000000000e+06,0.0000000000000000e+00,1.7612300000000000e+06,2.5886144000000000e+08,2.6679590000000000e+07,1.0813120000000000e+07,2.9635415000000000e+08,2.6225320000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,2.3075335000000000e+08,7.0005100000000000e+06,2.3119700000000000e+07,2.3770000000000000e+04,5.2780000000000000e+05,2.7031320000000000e+08,3.7932018000000000e+07,1.8856150000000000e+07,3.2710136800000000e+08,8.8880700000000000e+06
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.0366642900000000e+09,1.8075310000000000e+08,9.8571100000000000e+07,2.5721000000000000e+06,0.0000000000000000e+00,1.3724097200000000e+09,1.5100188000000000e+08,1.7471441000000000e+08,1.6981260100000000e+09,5.3849130000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.3744180000000000e+08,1.6835458000000000e+07,7.6856800000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.6789500800000000e+08,4.3391830000000000e+07,1.0294369000000000e+07,5.2158120700000000e+08,5.9320700000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.1371829620000000e+09,1.5528071000000000e+08,6.1979630000000000e+07,1.5795500000000000e+06,1.6500810000000000e+07,1.4218403020000000e+09,1.2801636700000000e+08,7.7777090000000000e+07,1.6276337590000000e+09,4.9316640000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,2.9822687000000000e+08,7.6327000000000000e+06,4.4258500000000000e+06,0.0000000000000000e+00,6.4731000000000000e+05,3.1716966000000000e+08,3.0361708000000000e+07,6.0765800000000000e+06,3.5360794800000000e+08,6.2369300000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,9.1736401800000000e+08,2.7433561000000000e+08,1.2271187000000000e+08,0.0000000000000000e+00,7.6491990000000000e+07,1.4046998880000000e+09,1.3089985700000000e+08,2.2566694700000000e+08,1.7612666920000000e+09,1.3796400000000000e+07
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.1621939000000000e+08,1.5572730000000000e+07,5.3682300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.4807978000000000e+08,3.5740150000000000e+07,8.3131700000000000e+06,3.9213310000000000e+08,1.0919430000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.0678401000000000e+08,7.4699900000000000e+06,1.7884270000000000e+07,0.0000000000000000e+00,9.4123000000000000e+05,1.4119754000000000e+08,2.3073760000000000e+07,2.2713803000000000e+07,1.8698510300000000e+08,8.1180400000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.4819234900000000e+09,3.6217669000000000e+08,9.7058990000000000e+07,2.4031000000000000e+06,0.0000000000000000e+00,2.9599395700000000e+09,2.0975978500000000e+08,1.3281427900000000e+08,3.3025136340000000e+09,1.6377300000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,3.1996088630000000e+09,7.1997098300000000e+08,1.8863143400000000e+08,4.1051028000000000e+07,2.7853912500000000e+08,4.4689055440000000e+09,3.7242799600000000e+08,5.4773959200000000e+08,5.3890731320000000e+09,4.1104111000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,2.8518800000000000e+08,3.2560000000000000e+06,0.0000000000000000e+00,2.7200000000000000e+05,0.0000000000000000e+00,2.9593800000000000e+08,1.7888512000000000e+07,2.9931520000000000e+06,3.1681966400000000e+08,7.2220000000000000e+06
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,1.8605761300000000e+09,2.7555532000000000e+08,1.7528625000000000e+08,6.7762800000000000e+06,9.2362940000000000e+07,2.4511046800000000e+09,3.3711596000000000e+08,3.5612329000000000e+08,3.1443439300000000e+09,4.0547760000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.3057886800000000e+09,1.8310289000000000e+08,9.0518820000000000e+07,1.4062700000000000e+06,4.6232900000000000e+06,1.6173060700000000e+09,1.3607131000000000e+08,9.4563020000000000e+07,1.8479404000000000e+09,3.1866120000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.5461024000000000e+08,2.7752630000000000e+07,3.7770500000000000e+06,1.0500000000000000e+05,1.2388400000000000e+07,4.2022139000000000e+08,4.8049240000000000e+07,1.4187802000000000e+07,4.8245843200000000e+08,2.1588070000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,6.2037191000000000e+08,1.0760610000000000e+07,2.6947900000000000e+06,0.0000000000000000e+00,1.5834000000000000e+05,6.7219204000000000e+08,6.9755335000000000e+07,1.0021057000000000e+07,7.5196843200000000e+08,3.8206390000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,7.0004300000000000e+07,4.4314900000000000e+06,2.6129000000000000e+06,1.0264000000000000e+06,0.0000000000000000e+00,1.0350085000000000e+08,8.1346100000000000e+06,7.0321200000000000e+06,1.1866758000000000e+08,2.5425760000000000e+07
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,2.7188340000000000e+08,7.4792640000000000e+06,2.1736000000000000e+06,3.4400000000000000e+04,1.5409000000000000e+06,2.9663157600000000e+08,3.6992820000000000e+07,7.2298350000000000e+06,3.4085423100000000e+08,1.3520012000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,6.5809728000000000e+08,1.0440130000000000e+08,5.9568900000000000e+06,1.4297000000000000e+05,5.7991100000000000e+06,7.7677722000000000e+08,7.3836803000000000e+07,4.1848360000000000e+07,8.9246238300000000e+08,2.3796700000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,9.1333700000000000e+07,7.1698000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.5380000000000000e+05,1.0339890000000000e+08,1.4312560000000000e+07,7.9127700000000000e+06,1.2562423000000000e+08,4.4416000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,1.8657530300000000e+09,1.4550388000000000e+08,1.5004193000000000e+08,0.0000000000000000e+00,1.1351230000000000e+07,2.1884424700000000e+09,2.1052252000000000e+08,1.1657592400000000e+08,2.5155409140000000e+09,1.5792400000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,2.8973380000000000e+08,5.0511000000000000e+07,1.6066200000000000e+07,3.6830000000000000e+05,3.0407000000000000e+06,3.7383915000000000e+08,2.7870555000000000e+07,1.9179925000000000e+07,4.2088963000000000e+08,1.4119150000000000e+07
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.2718375890000000e+09,1.4980415900000000e+08,3.1186500000000000e+07,1.3572000000000000e+06,9.0547220000000000e+06,1.4895830700000000e+09,8.6497990000000000e+07,6.8844995000000000e+07,1.6449260550000000e+09,2.6342900000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,6.1443531000000000e+08,6.2641870000000000e+07,8.6371000000000000e+06,3.4450000000000000e+05,1.5308500000000000e+07,7.2688289000000000e+08,1.0325690800000000e+08,3.6174365000000000e+07,8.6631416300000000e+08,2.5515610000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.5368170000000000e+08,1.3533500000000000e+06,7.5050000000000000e+05,1.1645900000000000e+07,0.0000000000000000e+00,1.6901987000000000e+08,1.0437530000000000e+07,3.9779310000000000e+06,1.8343533100000000e+08,1.5884200000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,2.7595842000000000e+08,1.3571100000000000e+07,3.6043000000000000e+06,2.7570000000000000e+05,5.6980000000000000e+05,3.0320859000000000e+08,4.0429043000000000e+07,1.1032113000000000e+07,3.5466974600000000e+08,9.2292700000000000e+06
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,1.6826948000000000e+08,5.8707800000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2054700000000000e+08,1.4744510000000000e+07,9.1114600000000000e+06,2.4440297000000000e+08,4.6406740000000000e+07
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,6.8016961000000000e+08,1.8732770000000000e+07,3.0894400000000000e+06,2.9597000000000000e+05,0.0000000000000000e+00,7.2930143000000000e+08,7.7234540000000000e+07,1.8551380000000000e+07,8.2508735000000000e+08,2.7013640000000000e+07
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,6.9524043000000000e+08,1.3993903000000000e+08,2.2686980000000000e+07,0.0000000000000000e+00,9.6352150000000000e+06,8.7821121500000000e+08,9.3504635000000000e+07,6.0225620000000000e+07,1.0319414700000000e+09,1.0709560000000000e+07
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,3.7276156000000000e+09,1.1453007000000000e+09,3.2157470000000000e+08,4.5576000000000000e+06,1.3113280000000000e+08,5.3309752000000000e+09,4.5512005000000000e+08,4.2438445000000000e+08,6.2104797000000000e+09,7.9380000000000000e+05
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,5.5734196320000000e+09,4.0591344000000000e+08,0.0000000000000000e+00,3.6339500000000000e+06,0.0000000000000000e+00,6.1257705220000000e+09,2.0983846000000000e+08,7.1788453000000000e+07,6.4073974350000000e+09,1.4280350000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,4.0334126000000000e+08,2.6068910000000000e+07,1.0971100000000000e+07,4.5647000000000000e+05,2.4327100000000000e+06,4.5729209000000000e+08,3.0626469000000000e+07,2.1459352000000000e+07,5.0937791100000000e+08,1.4021640000000000e+07
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,6.2733698000000000e+08,1.2365124000000000e+08,1.5255070000000000e+07,6.0087000000000000e+05,2.4007150000000000e+07,8.0016467000000000e+08,6.1273304000000000e+07,4.2540731000000000e+07,9.0397870500000000e+08,9.3133600000000000e+06
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,5.2542084000000000e+08,1.6359161000000000e+07,1.1766440000000000e+07,0.0000000000000000e+00,1.7405500000000000e+06,6.7351146100000000e+08,5.4179383000000000e+07,2.0567396000000000e+07,7.4825824000000000e+08,1.1822447000000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.0653070000000000e+08,1.5734700000000000e+07,5.9066700000000000e+07,3.6380000000000000e+05,0.0000000000000000e+00,3.9691720000000000e+08,4.5543114000000000e+07,5.2104166000000000e+07,4.9456448000000000e+08,1.5221300000000000e+07
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,4.6673177000000000e+08,3.1933520000000000e+07,4.1917900000000000e+06,1.9931000000000000e+05,0.0000000000000000e+00,6.0161754000000000e+08,6.3622586000000000e+07,1.8054155000000000e+07,6.8329428100000000e+08,9.8561150000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,8.7393556000000000e+08,3.7387270000000000e+07,1.0998100000000000e+07,3.4127900000000000e+06,0.0000000000000000e+00,9.6589123000000000e+08,8.4624529000000000e+07,1.9376360000000000e+07,1.0698921190000000e+09,4.0157510000000000e+07
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1.1138737800000000e+09,2.9170860000000000e+08,2.4019426000000000e+08,1.6022200000000000e+06,5.9760000000000000e+07,1.7282618900000000e+09,2.4413532000000000e+08,4.8238553000000000e+08,2.4547827400000000e+09,2.1123030000000000e+07
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,8.8835593000000000e+08,1.2357148000000000e+08,3.2231310000000000e+07,0.0000000000000000e+00,2.8381320000000000e+07,1.0782154500000000e+09,1.5069302500000000e+08,3.7437400000000000e+07,1.2663458750000000e+09,5.6754100000000000e+06
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.1293381750000000e+09,8.8555084000000000e+07,1.3440630000000000e+07,5.6546000000000000e+05,1.3565866000000000e+07,1.2730537660000000e+09,1.1218176000000000e+08,3.4119162000000000e+07,1.4193546880000000e+09,2.7588551000000000e+07
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,3.9811769500000000e+08,1.2402311900000000e+08,6.6816840000000000e+07,0.0000000000000000e+00,1.2930010000000000e+07,6.1458985400000000e+08,8.4848811000000000e+07,7.2532210000000000e+07,7.7197087500000000e+08,1.2702190000000000e+07
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,7.3967545000000000e+07,4.9632800000000000e+06,1.5955100000000000e+06,2.7860000000000000e+04,1.3720000000000000e+05,8.3815380000000000e+07,1.2229746000000000e+07,8.3464600000000000e+06,1.0439158600000000e+08,3.1239850000000000e+06
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.1175174600000000e+09,2.5295090000000000e+07,9.0761000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,1.1538723900000000e+09,7.4412120000000000e+07,1.3498601000000000e+07,1.2417831110000000e+09,1.0152230000000000e+07
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,8.8538718000000000e+08,5.8271110000000000e+07,1.8124826000000000e+07,0.0000000000000000e+00,4.1775790000000000e+07,1.0133770360000000e+09,9.5062133000000000e+07,3.9104390000000000e+07,1.1475435590000000e+09,9.8181300000000000e+06
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,1.2110279040000000e+09,3.1419518000000000e+08,1.2607617000000000e+08,4.1801200000000000e+06,2.9498380000000000e+07,1.7043897340000000e+09,2.3354991600000000e+08,1.8219711700000000e+08,2.1201367670000000e+09,1.9411980000000000e+07
