Municipality,EQUALIZED NET GRAND LIST GLYR 2005
"ANDOVER",411321603.9716
"ANSONIA",1738906846.9879
"ASHFORD",502064701.1327
"AVON",3909626628.3472
"BARKHAMSTED",528656686.5019
"BEACON FALLS",785305285.3890
"BERLIN",3194876776.4783
"BETHANY",964392268.2971
"BETHEL",3295424221.1555
"BETHLEHEM",638595096.3335
"BLOOMFIELD",3018109847.0261
"BOLTON",687955444.5799
"BOZRAH",397447711.0584
"BRANFORD",5672083833.3750
"BRIDGEPORT",11612526333.4089
"BRIDGEWATER",635975455.5686
"BRISTOL",6511100191.8294
"BROOKFIELD",3916401649.5277
"BROOKLYN",850170501.6598
"BURLINGTON",1349086748.6131
"CANAAN",265056592.3280
"CANTERBURY",621373258.6136
"CANTON",1623312521.6661
"CHAPLIN",255113405.1130
"CHESHIRE",4475907982.5693
"CHESTER",770999602.2517
"CLINTON",2338812235.7143
"COLCHESTER",1865719424.8417
"COLEBROOK",260320430.0000
"COLUMBIA",784831010.4852
"CORNWALL",633961864.7443
"COVENTRY",1397105332.6167
"CROMWELL",1948854576.0069
"DANBURY",12534548686.4900
"DARIEN",12464978529.4223
"DEEP RIVER",726064844.2857
"DERBY",1282926511.4286
"DURHAM",1062829528.5714
"EAST GRANBY",831982585.7892
"EAST HADDAM",1387672463.2801
"EAST HAMPTON",1524544698.5714
"EAST HARTFORD",4786965847.3770
"EAST HAVEN",3314709992.0348
"EAST LYME",3375105333.9786
"EAST WINDSOR",1427927546.9160
"EASTFORD",222686635.7680
"EASTON",2434259851.4533
"ELLINGTON",1628457220.0000
"ENFIELD",4832501061.4464
"ESSEX",1765373656.6035
"FAIRFIELD",16662195442.8571
"FARMINGTON",5250021685.0145
"FRANKLIN",313943780.9250
"GLASTONBURY",5856152420.1573
"GOSHEN",828668250.6935
"GRANBY",1546982021.0640
"GREENWICH",46909058280.0000
"GRISWOLD",1275432556.2499
"GROTON",6423553860.2001
"GROTON (City of)",
"GUILFORD",4890602705.6742
"HADDAM",1203605562.8571
"HAMDEN",6041312037.1429
"HAMPTON",226516653.1073
"HARTFORD",9210207486.2826
"HARTLAND",272189257.1429
"HARWINTON",862482397.1219
"HEBRON",1210208622.7580
"KENT",965153780.0822
"KILLINGLY",1980051493.8596
"KILLINGWORTH",1152086133.5811
"LEBANON",945377954.7362
"LEDYARD",1622851875.7143
"LISBON",624130466.0154
"LITCHFIELD",1723182546.2122
"LYME",882222975.1416
"MADISON",4665396275.9512
"MANCHESTER",6485396556.0911
"MANSFIELD",1509256266.1419
"MARLBOROUGH",867577130.0000
"MERIDEN",5675975377.0265
"MIDDLEBURY",1573257836.9290
"MIDDLEFIELD",709670887.5767
"MIDDLETOWN",5612083176.6022
"MILFORD",10519748990.6532
"MONROE",3849660841.3695
"MONTVILLE",2370496537.9506
"MORRIS",563191616.1416
"NAUGATUCK",3091541653.6450
"NEW BRITAIN",4598120973.8600
"NEW CANAAN",12506007056.7501
"NEW FAIRFIELD",2942648042.5761
"NEW HARTFORD",1035775413.7517
"NEW HAVEN",9996146562.2689
"NEW LONDON",2777889281.2717
"NEW MILFORD",4310929064.2857
"NEWINGTON",3714043661.4286
"NEWTOWN",5624980765.0084
"NORFOLK",443272352.1545
"NORTH BRANFORD",1809274440.0000
"NORTH CANAAN",542283303.4297
"NORTH HAVEN",3270482531.4286
"NORTH STONINGTON",847296935.7143
"NORWALK",18873044732.7997
"NORWICH",3592741013.3928
"OLD LYME",2484347964.3463
"OLD SAYBROOK",3405122465.4992
"ORANGE",3153871254.3212
"OXFORD",1826971397.1429
"PLAINFIELD",1627130810.0046
"PLAINVILLE",2186591339.0952
"PLYMOUTH",1193896063.7775
"POMFRET",529806021.4003
"PORTLAND",1221758286.2609
"PRESTON",648586961.1709
"PROSPECT",1117667588.5714
"PUTNAM",1032338867.2048
"REDDING",2885200068.7239
"RIDGEFIELD",8370463985.7966
"ROCKY HILL",2988857920.1109
"ROXBURY",974583738.1526
"SALEM",634977946.0535
"SALISBURY",1635933814.2857
"SCOTLAND",183424133.8705
"SEYMOUR",1886467487.1429
"SHARON",987294856.0662
"SHELTON",8200001471.6270
"SHERMAN",1169219958.3258
"SIMSBURY",3991722896.3891
"SOMERS",1218534000.2127
"SOUTH WINDSOR",3886167174.3991
"SOUTHBURY",3919921891.7010
"SOUTHINGTON",5540318231.4286
"SPRAGUE",347147771.9027
"STAFFORD",1126337954.2857
"STAMFORD",35699097438.6560
"STERLING",422045728.8625
"STONINGTON",4556571939.0966
"STRATFORD",8021427678.6965
"SUFFIELD",1946906634.4774
"THOMASTON",1016864718.8728
"THOMPSON",1088074248.7768
"TOLLAND",1908201112.9432
"TORRINGTON",3585916579.7010
"TRUMBULL",7145961790.0000
"UNION",141034546.8849
"VERNON",2848133121.7450
"VOLUNTOWN",309945745.7143
"WALLINGFORD",6034647244.2857
"WARREN",470585921.3419
"WASHINGTON",1824165238.7387
"WATERBURY",7980077354.6520
"WATERFORD",5130130503.9226
"WATERTOWN",3123837525.2026
"WEST HARTFORD",9287369285.7638
"WEST HAVEN",4391895575.7143
"WESTBROOK",1895070325.8024
"WESTON",4183066000.6549
"WESTPORT",14746818910.0000
"WETHERSFIELD",3728964090.5611
"WILLINGTON",714878417.5599
"WILTON",7406249795.8456
"WINCHESTER",1139476802.5512
"WINDHAM",1305608578.5714
"WINDSOR",4152615879.3902
"WINDSOR LOCKS",2077922391.5819
"WOLCOTT",2105296069.7563
"WOODBRIDGE",1924086373.9455
"WOODBURY",1925852234.7803
"WOODSTOCK",1080417282.8571
