Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7051152.0000,7124778.0000,7112376.0000,7243054.0000
"ANSONIA",2.0000000000000000e+00,"NH",25240318.0000,26265607.0000,25865350.0000,28153698.0000
"ASHFORD",3.0000000000000000e+00,"W",8111938.0000,8265539.0000,8198514.0000,8600952.0000
"AVON",4.0000000000000000e+00,"H",57311269.0000,57350435.0000,57371321.0000,57419563.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",7867978.0000,8025972.0000,7949294.0000,8307519.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",11014184.0000,11401531.0000,11245244.0000,12171682.0000
"BERLIN",7.0000000000000000e+00,"H",48988081.0000,49549590.0000,49427123.0000,50574676.0000
"BETHANY",8.0000000000000000e+00,"NH",15295795.0000,15477255.0000,15433263.0000,15761595.0000
"BETHEL",9.0000000000000000e+00,"F",47368484.0000,47942582.0000,47904934.0000,48742370.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8021625.0000,8194664.0000,8127857.0000,8465587.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",56811112.0000,57873253.0000,57390630.0000,59267505.0000
"BOLTON",1.2000000000000000e+01,"T",12114575.0000,12234012.0000,12198405.0000,12413248.0000
"BOZRAH",1.3000000000000000e+01,"NL",4518105.0000,4594213.0000,4599613.0000,4816399.0000
"BRANFORD",1.4000000000000000e+01,"NH",72727743.0000,73636971.0000,73477644.0000,75711278.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",215712695.0000,222282166.0000,222302776.0000,258206700.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6250846.0000,6297954.0000,6265987.0000,6417025.0000
"BRISTOL",1.7000000000000000e+01,"H",103853000.0000,105865000.0000,105574000.0000,109176000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",44934392.0000,45437867.0000,45378313.0000,46191328.0000
"BROOKLYN",1.9000000000000000e+01,"W",10661885.0000,11013386.0000,10856243.0000,11450156.0000
"BURLINGTON",2.0000000000000000e+01,"H",21099386.0000,21435949.0000,21295585.0000,21980260.0000
"CANAAN",2.1000000000000000e+01,"L",3532605.0000,3557370.0000,3567954.0000,3605840.0000
"CANTERBURY",2.2000000000000000e+01,"W",7438695.0000,7634969.0000,7552046.0000,7808146.0000
"CANTON",2.3000000000000000e+01,"H",27484464.0000,27750594.0000,27766886.0000,28500979.0000
"CHAPLIN",2.4000000000000000e+01,"W",4442499.0000,4541441.0000,4524383.0000,4668802.0000
"CHESHIRE",2.5000000000000000e+01,"NH",68997441.0000,69282705.0000,69190889.0000,69522952.0000
"CHESTER",2.6000000000000000e+01,"M",9744429.0000,9834704.0000,9812195.0000,10008438.0000
"CLINTON",2.7000000000000000e+01,"M",33008718.0000,33226783.0000,33099758.0000,33607523.0000
"COLCHESTER",2.8000000000000000e+01,"NL",27793797.0000,28443115.0000,28310000.0000,29647117.0000
"COLEBROOK",2.9000000000000000e+01,"L",4078963.0000,4156258.0000,4180994.0000,4357196.0000
"COLUMBIA",3.0000000000000000e+01,"T",10699320.0000,10838318.0000,10780137.0000,10987565.0000
