Municipality,Median Household Income,Per Capita Income
"ANDOVER",67452.0000,30273.0000
"ANSONIA",43026.0000,20504.0000
"ASHFORD",55000.0000,26104.0000
"AVON",90934.0000,51706.0000
"BARKHAMSTED",65972.0000,28961.0000
"BEACON FALLS",56592.0000,25285.0000
"BERLIN",68068.0000,27744.0000
"BETHANY",74898.0000,31403.0000
"BETHEL",68891.0000,28927.0000
"BETHLEHEM",68542.0000,29672.0000
"BLOOMFIELD",53812.0000,28843.0000
"BOLTON",67394.0000,29205.0000
"BOZRAH",57059.0000,26569.0000
"BRANFORD",58009.0000,32301.0000
"BRIDGEPORT",34658.0000,16306.0000
"BRIDGEWATER",80420.0000,42505.0000
"BRISTOL",47422.0000,23362.0000
"BROOKFIELD",82706.0000,37063.0000
"BROOKLYN",49756.0000,20359.0000
"BURLINGTON",82711.0000,36173.0000
"CANAAN",54688.0000,35841.0000
"CANTERBURY",55547.0000,22317.0000
"CANTON",65013.0000,33151.0000
"CHAPLIN",51602.0000,22101.0000
"CHESHIRE",80466.0000,33903.0000
"CHESTER",65156.0000,32191.0000
"CLINTON",60471.0000,26080.0000
"COLCHESTER",64807.0000,27038.0000
"COLEBROOK",58684.0000,29789.0000
"COLUMBIA",70208.0000,29446.0000
"CORNWALL",54886.0000,42484.0000
"COVENTRY",64680.0000,27143.0000
"CROMWELL",60662.0000,29786.0000
"DANBURY",53664.0000,24500.0000
"DARIEN",146755.0000,77519.0000
"DEEP RIVER",51677.0000,32604.0000
"DERBY",45670.0000,23117.0000
"DURHAM",77639.0000,29306.0000
"EAST GRANBY",68696.0000,30805.0000
"EAST HADDAM",62304.0000,28112.0000
"EAST HAMPTON",66326.0000,22769.0000
"EAST HARTFORD",41424.0000,21763.0000
"EAST HAVEN",47930.0000,22396.0000
"EAST LYME",66539.0000,28765.0000
"EAST WINDSOR",51092.0000,24899.0000
"EASTFORD",57159.0000,25364.0000
"EASTON",125557.0000,53885.0000
"ELLINGTON",62405.0000,27766.0000
"ENFIELD",52810.0000,21967.0000
"ESSEX",66746.0000,42806.0000
"FAIRFIELD",83512.0000,43670.0000
"FARMINGTON",67073.0000,39102.0000
"FRANKLIN",62083.0000,25477.0000
"GLASTONBURY",80660.0000,40820.0000
"GOSHEN",64432.0000,33925.0000
"GRANBY",81151.0000,33863.0000
"GREENWICH",99086.0000,74346.0000
"GRISWOLD",50156.0000,21196.0000
"GROTON",46154.0000,23995.0000
"GUILFORD",76843.0000,37161.0000
"HADDAM",78571.0000,30519.0000
"HAMDEN",52351.0000,26039.0000
"HAMPTON",54464.0000,25344.0000
"HARTFORD",24820.0000,13428.0000
"HARTLAND",64674.0000,26473.0000
"HARWINTON",66222.0000,32137.0000
"HEBRON",75138.0000,30797.0000
"KENT",53906.0000,38674.0000
"KILLINGLY",41087.0000,19779.0000
"KILLINGWORTH",80805.0000,31929.0000
"LEBANON",61173.0000,25784.0000
"LEDYARD",62647.0000,24953.0000
"LISBON",55149.0000,22476.0000
"LITCHFIELD",58418.0000,30096.0000
"LYME",73250.0000,43347.0000
"MADISON",87497.0000,40537.0000
"MANCHESTER",49426.0000,25989.0000
"MANSFIELD",48888.0000,18094.0000
"MARLBOROUGH",80265.0000,35605.0000
"MERIDEN",43237.0000,20597.0000
"MIDDLEBURY",70469.0000,33056.0000
"MIDDLEFIELD",59448.0000,25711.0000
"MIDDLETOWN",47162.0000,25720.0000
"MILFORD",61183.0000,28882.0000
"MONROE",85000.0000,34161.0000
"MONTVILLE",55086.0000,22357.0000
"MORRIS",58050.0000,29233.0000
"NAUGATUCK",51247.0000,22757.0000
"NEW BRITAIN",34185.0000,18404.0000
"NEW CANAAN",141788.0000,82049.0000
"NEW FAIRFIELD",84375.0000,34928.0000
"NEW HARTFORD",69321.0000,30429.0000
"NEW HAVEN",29604.0000,16393.0000
"NEW LONDON",33809.0000,18437.0000
"NEW MILFORD",65354.0000,29630.0000
"NEWINGTON",57118.0000,26881.0000
"NEWTOWN",90193.0000,37786.0000
"NORFOLK",58906.0000,34020.0000
"NORTH BRANFORD",64438.0000,28542.0000
"NORTH CANAAN",39020.0000,18971.0000
"NORTH HAVEN",65703.0000,29919.0000
"NORTH STONINGTON",57887.0000,25815.0000
"NORWALK",59839.0000,31781.0000
"NORWICH",39181.0000,20742.0000
"OLD LYME",68386.0000,41386.0000
"OLD SAYBROOK",62742.0000,30720.0000
"ORANGE",79365.0000,36471.0000
"OXFORD",77126.0000,28250.0000
"PLAINFIELD",42851.0000,18706.0000
"PLAINVILLE",48136.0000,23257.0000
"PLYMOUTH",53750.0000,23244.0000
"POMFRET",57937.0000,26029.0000
"PORTLAND",63285.0000,28229.0000
"PRESTON",54942.0000,24752.0000
"PROSPECT",67560.0000,26827.0000
"PUTNAM",43010.0000,20597.0000
"REDDING",104137.0000,50687.0000
"RIDGEFIELD",107351.0000,51795.0000
"ROCKY HILL",60247.0000,29701.0000
"ROXBURY",87794.0000,56769.0000
"SALEM",68750.0000,27288.0000
"SALISBURY",53051.0000,38752.0000
"SCOTLAND",56848.0000,22573.0000
"SEYMOUR",52408.0000,24056.0000
"SHARON",53000.0000,45418.0000
"SHELTON",67292.0000,29893.0000
"SHERMAN",76202.0000,39070.0000
"SIMSBURY",82996.0000,39710.0000
"SOMERS",65273.0000,23952.0000
"SOUTH WINDSOR",73990.0000,30966.0000
"SOUTHBURY",61919.0000,32545.0000
"SOUTHINGTON",60538.0000,26370.0000
