TANF09%,TANF08%,MUNICIPALITY,numbered,TANF RECIPIENTS FY 2008-09,TANF RECIPIENTS FY 2007-08,Sort ID
5.5480324353952060e-02,5.5351356579774628e-02,"HARTFORD",6.5000000000000000e+01,6.8830000000000000e+03,6.8670000000000000e+03,1
3.8173715631043471e-02,3.7529078729785025e-02,"WATERBURY",1.5200000000000000e+02,4.0860000000000000e+03,4.0170000000000000e+03,2
3.5902287557916697e-02,3.9443999708900369e-02,"NEW HAVEN",9.4000000000000000e+01,4.4400000000000000e+03,4.8780000000000000e+03,3
3.3950004256164346e-02,3.5170104701642876e-02,"NEW BRITAIN",9.0000000000000000e+01,2.3930000000000000e+03,2.4790000000000000e+03,4
2.8813101077594532e-02,3.1593990189641187e-02,"NEW LONDON",9.5000000000000000e+01,7.4600000000000000e+02,8.1800000000000000e+02,5
2.8379008005421660e-02,2.9607353128044391e-02,"WINDHAM",1.6400000000000000e+02,6.7000000000000000e+02,6.9900000000000000e+02,6
2.6626589934386571e-02,2.6333345551849272e-02,"BRIDGEPORT",1.5000000000000000e+01,3.6320000000000000e+03,3.5920000000000000e+03,7
2.4009056195721960e-02,2.4059743858344879e-02,"MERIDEN",8.1000000000000000e+01,1.4210000000000000e+03,1.4240000000000000e+03,8
2.3606683522040234e-02,2.3634165109376718e-02,"NORWICH",1.0500000000000000e+02,8.5900000000000000e+02,8.6000000000000000e+02,9
2.1741368306190938e-02,2.3306087994894073e-02,"EAST HARTFORD",4.2000000000000000e+01,1.0560000000000000e+03,1.1320000000000000e+03,10
1.7621145374449341e-02,1.7728591382830127e-02,"PUTNAM",1.1700000000000000e+02,1.6400000000000000e+02,1.6500000000000000e+02,11
1.6591904015565043e-02,1.9023942063449172e-02,"ANSONIA",2.0000000000000000e+00,3.0700000000000000e+02,3.5200000000000000e+02,12
1.3983212514307517e-02,1.5261350629530714e-02,"WEST HAVEN",1.5600000000000000e+02,7.3300000000000000e+02,8.0000000000000000e+02,13
1.3815731134166889e-02,1.3212733883124944e-02,"MANCHESTER",7.8000000000000000e+01,7.7900000000000000e+02,7.4500000000000000e+02,14
1.3422818791946308e-02,1.1744966442953021e-02,"SPRAGUE",1.3400000000000000e+02,4.0000000000000000e+01,3.5000000000000000e+01,15
1.3179706862310634e-02,1.2867858256602163e-02,"BRISTOL",1.7000000000000000e+01,8.0300000000000000e+02,7.8400000000000000e+02,16
1.2991204712337610e-02,1.2507060437343662e-02,"DERBY",3.7000000000000000e+01,1.6100000000000000e+02,1.5500000000000000e+02,17
1.1387860428587457e-02,1.0209805901492203e-02,"KILLINGLY",7.0000000000000000e+01,2.0300000000000000e+02,1.8200000000000000e+02,18
1.1017498379779649e-02,1.0110174983797796e-02,"PLAINFIELD",1.1000000000000000e+02,1.7000000000000000e+02,1.5600000000000000e+02,19
1.0902809243316720e-02,9.1753511554145892e-03,"TORRINGTON",1.4400000000000000e+02,3.8500000000000000e+02,3.2400000000000000e+02,20
1.0824759542880123e-02,9.9199034820201745e-03,"VERNON",1.4700000000000000e+02,3.2300000000000000e+02,2.9600000000000000e+02,21
1.0638297872340425e-02,8.3986562150055993e-03,"WINCHESTER",1.6300000000000000e+02,1.1400000000000000e+02,9.0000000000000000e+01,22
9.8271913387466166e-03,9.9312929419113054e-03,"MIDDLETOWN",8.4000000000000000e+01,4.7200000000000000e+02,4.7700000000000000e+02,23
8.9105624632981849e-03,8.6552454872724487e-03,"GROTON",5.9000000000000000e+01,3.4900000000000000e+02,3.3900000000000000e+02,24
8.4870502019980584e-03,7.4848892925370326e-03,"NAUGATUCK",8.9000000000000000e+01,2.7100000000000000e+02,2.3900000000000000e+02,25
8.3347955781716086e-03,8.1593261975785227e-03,"GRISWOLD",5.8000000000000000e+01,9.5000000000000000e+01,9.3000000000000000e+01,26
8.1771291986413377e-03,6.5417033589130705e-03,"BROOKLYN",1.9000000000000000e+01,6.5000000000000000e+01,5.2000000000000000e+01,27
8.0632587147789290e-03,7.5509522218509860e-03,"ENFIELD",4.9000000000000000e+01,3.6200000000000000e+02,3.3900000000000000e+02,28
7.7299755159146557e-03,7.9398391045820225e-03,"EAST HAVEN",4.3000000000000000e+01,2.2100000000000000e+02,2.2700000000000000e+02,29
7.4706510138740660e-03,6.6702241195304166e-03,"STERLING",1.3700000000000000e+02,2.8000000000000000e+01,2.5000000000000000e+01,30
7.2859744990892532e-03,5.4644808743169399e-03,"NORFOLK",9.9000000000000000e+01,1.2000000000000000e+01,9.0000000000000000e+00,31
7.2851835769768896e-03,7.9123848120808606e-03,"BLOOMFIELD",1.1000000000000000e+01,1.5100000000000000e+02,1.6400000000000000e+02,32
7.1349698462583877e-03,6.2006285568674087e-03,"STAFFORD",1.3500000000000000e+02,8.4000000000000000e+01,7.3000000000000000e+01,33
7.1016793382905844e-03,5.9319909766897818e-03,"PLYMOUTH",1.1200000000000000e+02,8.5000000000000000e+01,7.1000000000000000e+01,34
7.0227314729255225e-03,5.6366660506375899e-03,"EAST WINDSOR",4.5000000000000000e+01,7.6000000000000000e+01,6.1000000000000000e+01,35
6.9994123950088138e-03,6.9994123950088138e-03,"HAMDEN",6.3000000000000000e+01,4.0500000000000000e+02,4.0500000000000000e+02,36
6.8281861980520608e-03,6.1696301687983084e-03,"WINDSOR",1.6500000000000000e+02,1.9700000000000000e+02,1.7800000000000000e+02,37
6.7958978977749572e-03,6.9391849016437069e-03,"STRATFORD",1.3900000000000000e+02,3.3200000000000000e+02,3.3900000000000000e+02,38
6.4133016627078389e-03,3.5629453681710215e-03,"LISBON",7.4000000000000000e+01,2.7000000000000000e+01,1.5000000000000000e+01,39
6.2871912003365990e-03,6.1429344232734268e-03,"NORWALK",1.0400000000000000e+02,5.2300000000000000e+02,5.1100000000000000e+02,40
6.2424969987995198e-03,6.7226890756302525e-03,"WINDSOR LOCKS",1.6600000000000000e+02,7.8000000000000000e+01,8.4000000000000000e+01,41
