Municipality,numbered,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL_REAL,MOTOR,PERSONAL,GROSS,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.2663305000000000e+08,5.0719000000000000e+06,9.0260000000000000e+05,4.1500000000000000e+05,1.6131000000000000e+06,2.4234730000000000e+08,2.2016540000000000e+07,5.7225060000000000e+06,2.7008634600000000e+08,7.7116500000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.0590220000000000e+08,5.8767100000000000e+07,1.4721100000000000e+07,5.3610000000000000e+05,1.1570100000000000e+07,6.9168862000000000e+08,8.9854510000000000e+07,3.8616676000000000e+07,8.2015980600000000e+08,1.9202000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,1.8884780000000000e+08,8.3093500000000000e+06,9.6603000000000000e+05,0.0000000000000000e+00,4.5731400000000000e+06,2.0954987200000000e+08,2.8058416000000000e+07,8.2944190000000000e+06,2.4590270700000000e+08,6.8535520000000000e+06
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,1.7148121700000000e+09,2.2200525000000000e+08,2.7698530000000000e+07,2.2947000000000000e+05,2.4406640000000000e+07,1.9941789100000000e+09,1.5655189000000000e+08,9.7626960000000000e+07,2.2483577600000000e+09,5.0268500000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.1898997000000000e+08,1.3743740000000000e+07,2.2340700000000000e+06,0.0000000000000000e+00,1.7612300000000000e+06,2.6261482000000000e+08,2.7239410000000000e+07,1.1680776000000000e+07,3.0153500600000000e+08,2.5885810000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.8948203000000000e+08,2.1813170000000000e+07,2.4581530000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,4.5425648000000000e+08,3.9535852000000000e+07,1.9013478000000000e+07,5.1280581000000000e+08,1.8379750000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.0531468900000000e+09,1.8879500000000000e+08,1.0016470000000000e+08,2.5721000000000000e+06,0.0000000000000000e+00,1.4016358100000000e+09,1.5844173000000000e+08,1.8424817000000000e+08,1.7443257100000000e+09,5.6957120000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.4499425000000000e+08,1.6549818000000000e+07,7.9713200000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.7509684800000000e+08,4.4822590000000000e+07,1.0087231000000000e+07,5.3000666900000000e+08,5.5814600000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.1588047700000000e+09,1.6247922000000000e+08,6.1377430000000000e+07,1.6486100000000000e+06,1.5894830000000000e+07,1.4344836900000000e+09,1.3012098000000000e+08,1.2304138800000000e+08,1.6876460580000000e+09,3.4278830000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.0215421000000000e+08,7.7079600000000000e+06,4.4835100000000000e+06,0.0000000000000000e+00,7.0102000000000000e+05,3.2123085000000000e+08,3.0531400000000000e+07,6.6556360000000000e+06,3.5841788600000000e+08,6.1841500000000000e+06
