Municipality,Millrate FY 2007-08,Grand List Year,Comments A,Comments B
"ANDOVER",2.6300000000000001e+01,2.0060000000000000e+03,,
"ANSONIA",3.2320000000000000e+01,2.0060000000000000e+03,,
"ASHFORD",3.3700000000000003e+01,2.0060000000000000e+03,,
"AVON",2.5550000000000001e+01,2.0060000000000000e+03,,
"BARKHAMSTED",2.6699999999999999e+01,2.0060000000000000e+03,,
"BEACON FALLS",2.2680000000000000e+01,2.0060000000000000e+03,,
"BERLIN",2.8740000000000002e+01,2.0060000000000000e+03,,
"BETHANY",2.9300000000000001e+01,2.0060000000000000e+03,,
"BETHEL",2.8150000000000002e+01,2.0060000000000000e+03,,
"BETHLEHEM",2.3039999999999999e+01,2.0060000000000000e+03,,
"BLOOMFIELD",3.4329999999999998e+01,2.0060000000000000e+03,,
"BOLTON",3.0970000000000002e+01,2.0060000000000000e+03,,
"BOZRAH",2.5000000000000000e+01,2.0060000000000000e+03,,
"BRANFORD",2.2330000000000002e+01,2.0060000000000000e+03,,
"BRIDGEPORT",4.1280000000000001e+01,2.0060000000000000e+03,,
"BRIDGEWATER",1.5500000000000000e+01,2.0060000000000000e+03,,
"BRISTOL",3.4710000000000001e+01,2.0060000000000000e+03,,
"BROOKFIELD",1.7960000000000001e+01,2.0060000000000000e+03,,
"BROOKLYN",2.2120000000000001e+01,2.0060000000000000e+03,,
"BURLINGTON",2.7820000000000000e+01,2.0060000000000000e+03,,
"CANAAN",2.9500000000000000e+01,2.0060000000000000e+03,,
"CANTERBURY",2.1949999999999999e+01,2.0060000000000000e+03,"W",
"CANTON",2.9920000000000002e+01,2.0060000000000000e+03,"NW",
"CHAPLIN",3.5500000000000000e+01,2.0060000000000000e+03,,
"CHESHIRE",2.7600000000000001e+01,2.0060000000000000e+03,,
"CHESTER",2.3120000000000001e+01,2.0060000000000000e+03,,
"CLINTON",2.0260000000000002e+01,2.0060000000000000e+03,,
"COLCHESTER",2.3010000000000002e+01,2.0060000000000000e+03,,
"COLEBROOK",2.2590000000000000e+01,2.0060000000000000e+03,,
"COLUMBIA",2.0900000000000002e+01,2.0060000000000000e+03,,
"CORNWALL",1.1900000000000000e+01,2.0060000000000000e+03,,
"COVENTRY",2.7590000000000000e+01,2.0060000000000000e+03,,
"CROMWELL",3.1140000000000001e+01,2.0060000000000000e+03,,
"DANBURY",2.2199999999999999e+01,2.0060000000000000e+03,,
"DARIEN",1.3870000000000001e+01,2.0060000000000000e+03,,
"DEEP RIVER",2.1250000000000000e+01,2.0060000000000000e+03,,
"DERBY",2.5500000000000000e+01,2.0060000000000000e+03,,
"DURHAM",2.6250000000000000e+01,2.0060000000000000e+03,,
"EAST GRANBY",2.8000000000000000e+01,2.0060000000000000e+03,,
"EAST HADDAM",2.7780000000000001e+01,2.0060000000000000e+03,,
"EAST HAMPTON",2.3300000000000001e+01,2.0060000000000000e+03,,
"EAST HARTFORD",3.6160000000000004e+01,2.0060000000000000e+03,,
"EAST HAVEN",2.2850000000000001e+01,2.0060000000000000e+03,,
"EAST LYME",1.8550000000000001e+01,2.0060000000000000e+03,,
"EAST WINDSOR",2.7911300000000001e+01,2.0060000000000000e+03,"W",
"EASTFORD",3.1199999999999999e+01,2.0060000000000000e+03,,
"EASTON",2.1000000000000000e+01,2.0060000000000000e+03,,
"ELLINGTON",2.4500000000000000e+01,2.0060000000000000e+03,,
"ENFIELD",2.3879999999999999e+01,2.0060000000000000e+03,,
"ESSEX",1.6899999999999999e+01,2.0060000000000000e+03,,
"FAIRFIELD",1.7410000000000000e+01,2.0060000000000000e+03,,
"FARMINGTON",2.5949999999999999e+01,2.0060000000000000e+03,,
"FRANKLIN",2.3000000000000000e+01,2.0060000000000000e+03,,
"GLASTONBURY",3.5800000000000004e+01,2.0060000000000000e+03,,
"GOSHEN",2.1699999999999999e+01,2.0060000000000000e+03,,
"GRANBY",3.5969999999999999e+01,2.0060000000000000e+03,,
"GREENWICH",7.7629999999999999e+00,2.0060000000000000e+03,,
"GRISWOLD",1.6750000000000000e+01,2.0060000000000000e+03,"W",
"GROTON",2.1210000000000001e+01,2.0060000000000000e+03,,
"GROTON (City of)",0.0000000000000000e+00,2.0060000000000000e+03,,
"GUILFORD",2.4320000000000000e+01,2.0060000000000000e+03,,
"HADDAM",2.5000000000000000e+01,2.0060000000000000e+03,,
"HAMDEN",2.9100000000000001e+01,2.0060000000000000e+03,,
"HAMPTON",2.9900000000000002e+01,2.0060000000000000e+03,,
"HARTFORD",6.3390000000000001e+01,2.0060000000000000e+03,,
"HARTLAND",2.2250000000000000e+01,2.0060000000000000e+03,,
"HARWINTON",2.5800000000000001e+01,2.0060000000000000e+03,,
"HEBRON",2.6270000000000000e+01,2.0060000000000000e+03,,
"KENT",1.8789999999999999e+01,2.0060000000000000e+03,,
"KILLINGLY",2.5800000000000001e+01,2.0060000000000000e+03,,
"KILLINGWORTH",2.1199999999999999e+01,2.0060000000000000e+03,,
"LEBANON",2.6800000000000001e+01,2.0060000000000000e+03,,
"LEDYARD",2.4879999999999999e+01,2.0060000000000000e+03,,
"LISBON",1.6000000000000000e+01,2.0060000000000000e+03,,
"LITCHFIELD",2.5100000000000001e+01,2.0060000000000000e+03,,
"LYME",1.4000000000000000e+01,2.0060000000000000e+03,,
"MADISON",2.3350000000000001e+01,2.0060000000000000e+03,,
"MANCHESTER",3.6050000000000004e+01,2.0060000000000000e+03,,
"MANSFIELD",2.3870000000000001e+01,2.0060000000000000e+03,,
"MARLBOROUGH",2.5210000000000001e+01,2.0060000000000000e+03,,
"MERIDEN",2.7960000000000001e+01,2.0060000000000000e+03,,
"MIDDLEBURY",2.1900000000000002e+01,2.0060000000000000e+03,,
"MIDDLEFIELD",2.4109999999999999e+01,2.0060000000000000e+03,,
"MIDDLETOWN",3.1800000000000001e+01,2.0060000000000000e+03,,
"MILFORD",3.1770000000000000e+01,2.0060000000000000e+03,,
"MONROE",2.7420000000000002e+01,2.0060000000000000e+03,,
"MONTVILLE",2.1000000000000000e+01,2.0060000000000000e+03,,
"MORRIS",2.0670000000000002e+01,2.0060000000000000e+03,,
"NAUGATUCK",4.1300000000000004e+01,2.0060000000000000e+03,,
"NEW BRITAIN",4.5390000000000001e+01,2.0060000000000000e+03,,
"NEW CANAAN",1.4536000000000000e+01,2.0060000000000000e+03,,
"NEW FAIRFIELD",1.9960000000000001e+01,2.0060000000000000e+03,,
"NEW HARTFORD",2.8150000000000002e+01,2.0060000000000000e+03,,
"NEW HAVEN",4.2210000000000001e+01,2.0060000000000000e+03,,
"NEW LONDON",3.0449999999999999e+01,2.0060000000000000e+03,,
"NEW MILFORD",2.1340000000000000e+01,2.0060000000000000e+03,,
"NEWINGTON",2.6910000000000000e+01,2.0060000000000000e+03,,
"NEWTOWN",2.8100000000000001e+01,2.0060000000000000e+03,,
"NORFOLK",2.8120000000000001e+01,2.0060000000000000e+03,,
"NORTH BRANFORD",2.3699999999999999e+01,2.0060000000000000e+03,,
"NORTH CANAAN",2.6100000000000001e+01,2.0060000000000000e+03,,
"NORTH HAVEN",2.5440000000000001e+01,2.0060000000000000e+03,,
"NORTH STONINGTON",1.8600000000000001e+01,2.0060000000000000e+03,,
"NORWALK",2.1655999999999999e+01,2.0060000000000000e+03,,
"NORWICH",2.8930000000000000e+01,2.0060000000000000e+03,,
"OLD LYME",1.8199999999999999e+01,2.0060000000000000e+03,,
"OLD SAYBROOK",1.5840000000000000e+01,2.0060000000000000e+03,,
"ORANGE",2.9900000000000002e+01,2.0060000000000000e+03,,
"OXFORD",1.9370000000000001e+01,2.0060000000000000e+03,"W","NO CHANGE CALLED 10/22/2007"
"PLAINFIELD",2.8400000000000002e+01,2.0060000000000000e+03,,
"PLAINVILLE",2.5500000000000000e+01,2.0060000000000000e+03,,
"PLYMOUTH",3.0100000000000001e+01,2.0060000000000000e+03,,
"POMFRET",2.0000000000000000e+01,2.0060000000000000e+03,,
"PORTLAND",2.6990000000000002e+01,2.0060000000000000e+03,,
"PRESTON",2.6190000000000001e+01,2.0060000000000000e+03,"W",
"PROSPECT",2.4500000000000000e+01,2.0060000000000000e+03,,
"PUTNAM",1.5220000000000001e+01,2.0060000000000000e+03,,
"REDDING",2.2740000000000002e+01,2.0060000000000000e+03,,
"RIDGEFIELD",2.4870000000000001e+01,2.0060000000000000e+03,,
"ROCKY HILL",2.8400000000000002e+01,2.0060000000000000e+03,,
"ROXBURY",1.5400000000000000e+01,2.0060000000000000e+03,,
"SALEM",2.2750000000000000e+01,2.0060000000000000e+03,,
"SALISBURY",8.9000000000000004e+00,2.0060000000000000e+03,,
"SCOTLAND",3.3049999999999997e+01,2.0060000000000000e+03,,
"SEYMOUR",2.5030000000000001e+01,2.0060000000000000e+03,,
"SHARON",1.4900000000000000e+01,2.0060000000000000e+03,,
"SHELTON",1.7469999999999999e+01,2.0060000000000000e+03,,
"SHERMAN",1.6000000000000000e+01,2.0060000000000000e+03,,
"SIMSBURY",3.6899999999999999e+01,2.0060000000000000e+03,,
"SOMERS",2.1559999999999999e+01,2.0060000000000000e+03,,
"SOUTH WINDSOR",3.2539999999999999e+01,2.0060000000000000e+03,,
"SOUTHBURY",2.5400000000000002e+01,2.0060000000000000e+03,,
"SOUTHINGTON",2.1879999999999999e+01,2.0060000000000000e+03,,
"SPRAGUE",2.6000000000000000e+01,2.0060000000000000e+03,,
"STAFFORD",2.4629999999999999e+01,2.0060000000000000e+03,,
"STAMFORD",2.7030000000000001e+01,2.0060000000000000e+03,,
"STERLING",3.3000000000000000e+01,2.0060000000000000e+03,,
"STONINGTON",2.1730000000000000e+01,2.0060000000000000e+03,,
"STRATFORD",3.0120000000000001e+01,2.0060000000000000e+03,,
"SUFFIELD",2.6400000000000002e+01,2.0060000000000000e+03,,
"THOMASTON",2.4989999999999998e+01,2.0060000000000000e+03,"W",
"THOMPSON",1.6969999999999999e+01,2.0060000000000000e+03,"NW",
"TOLLAND",2.8390000000000001e+01,2.0060000000000000e+03,"W",
"TORRINGTON",3.3829999999999998e+01,2.0060000000000000e+03,,
"TRUMBULL",2.2219999999999999e+01,2.0060000000000000e+03,,
"UNION",2.6410000000000000e+01,2.0060000000000000e+03,"W",
"VERNON",3.2910000000000004e+01,2.0060000000000000e+03,,
"VOLUNTOWN",1.9500000000000000e+01,2.0060000000000000e+03,,
"WALLINGFORD",2.2050000000000001e+01,2.0060000000000000e+03,,
"WARREN",1.9500000000000000e+01,2.0060000000000000e+03,,
"WASHINGTON",1.2500000000000000e+01,2.0060000000000000e+03,,
"WATERBURY",5.5493800000000000e+01,2.0060000000000000e+03,,
"WATERFORD",2.1070000000000000e+01,2.0060000000000000e+03,,
"WATERTOWN",2.2719999999999999e+01,2.0060000000000000e+03,,
"WEST HARTFORD",3.8630000000000003e+01,2.0060000000000000e+03,,
"WEST HAVEN",2.7960000000000001e+01,2.0060000000000000e+03,,
"WESTBROOK",1.4800000000000001e+01,2.0060000000000000e+03,,
"WESTON",2.3390000000000001e+01,2.0060000000000000e+03,,
"WESTPORT",1.3730000000000000e+01,2.0060000000000000e+03,,
"WETHERSFIELD",3.2939999999999998e+01,2.0060000000000000e+03,,
"WILLINGTON",2.5780000000000001e+01,2.0060000000000000e+03,,
"WILTON",2.4230000000000000e+01,2.0060000000000000e+03,,
"WINCHESTER",3.4270000000000003e+01,2.0060000000000000e+03,,
"WINDHAM",2.4930000000000000e+01,2.0060000000000000e+03,,
"WINDSOR",2.9300000000000001e+01,2.0060000000000000e+03,,
"WINDSOR LOCKS",2.2879999999999999e+01,2.0060000000000000e+03,,
"WOLCOTT",2.1949999999999999e+01,2.0060000000000000e+03,,"sending waiver letter sent back personal check on 7/25/2007"
"WOODBRIDGE",2.9960000000000001e+01,2.0060000000000000e+03,,
"WOODBURY",2.3960000000000001e+01,2.0060000000000000e+03,,
"WOODSTOCK",1.7050000000000001e+01,2.0060000000000000e+03,,
