Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"TORRINGTON","VR",3,0,0,,0
"TRUMBULL","VR",2,0,0,,0
"UNION","VR",0,1,0,,0
"VERNON","VR",3,0,0,,0
"VOLUNTOWN","VR",0,0,0,,0
"WALLINGFORD","VR",2,0,0,,0
"WATERBURY","VR",1,0,0,,0
"WATERFORD","VR",1,0,1,,0
"WEST HARTFORD","VR",1,0,0,,0
"WESTPORT","VR",5,0,0,,0
"WETHERSFIELD","VR",1,0,0,,0
"WILLINGTON","VR",1,0,0,,0
"WINDHAM","VR",4,0,0,,0
"WINDSOR","VR",1,0,1,,0
"WOLCOTT","VR",2,0,0,,0
"WOODSTOCK","VR",0,0,1,,0
"ANDOVER","KE",0,0,1,,0
"ANSONIA","KE",2,0,1,,0
"ASHFORD","KE",0,1,0,,0
"BEACON FALLS","KE",0,0,1,,0
"BERLIN","KE",1,1,0,,0
"BOZRAH","KE",0,0,1,,0
"BRANFORD","KE",1,0,1,,0
"BRIDGEPORT","KE",4,0,1,,0
"BROOKLYN","KE",1,0,0,,0
"BURLINGTON","KE",2,0,0,,0
"CANAAN","KE",0,1,0,,0
"CANTERBURY","KE",0,0,1,,0
"CHAPLIN","KE",0,0,0,,0
"CLINTON","KE",2,0,1,,0
"COLEBROOK","KE",0,1,0,,0
"COLUMBIA","KE",0,1,0,,0
"CORNWALL","KE",0,1,0,,0
"DEEP RIVER","KE",2,0,0,,0
"DERBY","KE",1,0,1,,0
"DURHAM","KE",1,1,0,,0
"EAST HADDAM","KE",0,1,1,,0
"EAST HAVEN","KE",0,0,1,,0
"EAST WINDSOR","KE",1,0,0,,0
"EASTFORD","KE",0,1,0,,0
"EASTON","KE",1,0,1,,0
"FAIRFIELD","KE",2,0,0,,0
"FRANKLIN","KE",0,0,0,,0
"GUILFORD","KE",3,0,0,,0
"HAMPTON","KE",0,1,0,,0
"HARTLAND","KE",0,1,0,,0
"HARWINTON","KE",1,0,0,,0
"HEBRON","KE",0,1,0,,0
"KILLINGWORTH","KE",2,0,0,,0
"LEBANON","KE",0,0,1,,0
"LISBON","KE",0,0,0,,0
"MADISON","KE",3,1,0,,0
"MANCHESTER","KE",1,1,1,,0
"MARLBOROUGH","KE",0,0,0,,0
"MIDDLEFIELD","KE",0,0,1,,0
"MILFORD","KE",1,0,0,,0
"MONTVILLE","KE",0,0,1,,0
"NEW FAIRFIELD","KE",2,0,1,,0
"NEW HARTFORD","KE",1,0,0,,0
"NEW HAVEN","KE",2,0,0,,0
"NEW LONDON","KE",2,2,1,,0
"NEW MILFORD","KE",1,0,0,,0
"NEWINGTON","KE",4,1,0,,0
"NORTH CANAAN","KE",0,0,0,,0
"NORTH HAVEN","KE",5,0,0,,0
"OLD LYME","KE",0,1,0,,0
"PLAINFIELD","KE",1,0,0,,0
"PLYMOUTH","KE",2,0,1,,0
"POMFRET","KE",0,1,0,,0
"PORTLAND","KE",2,0,0,,0
"PRESTON","KE",0,0,1,,0
"PUTNAM","KE",1,0,0,,0
"RIDGEFIELD","KE",3,1,0,,0
"ROCKY HILL","KE",4,0,0,,0
"ROXBURY","KE",0,1,0,,0
"SALEM","KE",0,0,0,,0
"SCOTLAND","KE",0,0,0,,0
"SIMSBURY","KE",3,0,0,,0
"SOUTH WINDSOR","KE",2,1,0,,0
"STAMFORD","KE",4,0,0,,0
"STRATFORD","KE",1,1,0,,0
"SUFFIELD","KE",1,0,0,,0
"THOMPSON","KE",1,0,1,,0
"TOLLAND","KE",0,1,0,,0
"WARREN","KE",1,0,0,,0
"WASHINGTON","KE",1,0,0,,0
"WATERTOWN","KE",2,0,1,,0
"WEST HAVEN","KE",1,1,0,,0
"WESTBROOK","KE",2,0,0,,0
"WESTON","KE",0,0,1,,0
"WILTON","KE",1,0,0,,0
"WINCHESTER","KE",1,0,1,,0
"WINDSOR LOCKS","KE",0,0,1,,0
"WOODBRIDGE","KE",0,0,1,,0
"WOODBURY","KE",1,0,0,,0
