Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,"New Haven",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"52"
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,"New Haven",7.4000000000000000e+01,7.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,7.2000000000000000e+01,"15"
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,"Windham",2.1000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,1.2000000000000000e+01,9.0000000000000000e+00,"44"
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,"Hartford",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.5000000000000000e+01,"28"
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,"50"
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,"Windham",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,"43"
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,"Middlesex",9.0000000000000000e+00,7.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+00,"45"
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"52"
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,"New Haven",5.7000000000000000e+01,5.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,"Windham",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,"Fairfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,"50"
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,"Fairfield",7.1000000000000000e+01,3.8000000000000000e+01,0.0000000000000000e+00,7.0000000000000000e+00,2.6000000000000000e+01,1.8000000000000000e+01,5.3000000000000000e+01,"18"
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,"Hartford",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7000000000000000e+01,"36"
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,"51"
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+00,"45"
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+00,"51"
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,"Windham",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,"New Haven",3.8000000000000000e+01,3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.5000000000000000e+01,"22"
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,"Litchfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e+00,"48"
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,"Fairfield",1.1100000000000000e+02,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.9000000000000000e+01,5.0000000000000000e+00,1.0600000000000000e+02,"7"
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,"Fairfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,"49"
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,"Hartford",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+00,"47"
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,"Tolland",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+01,5.0000000000000000e+00,"48"
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"Hartford",1.1500000000000000e+02,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.8000000000000000e+01,4.0000000000000000e+00,1.1100000000000000e+02,"6"
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"New Haven",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,7.0000000000000000e+00,"46"
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"Hartford",9.9000000000000000e+01,9.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,9.5000000000000000e+01,"9"
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"New London",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,"43"
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"Tolland",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,7.0000000000000000e+00,"46"
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"Fairfield",6.8400000000000000e+02,3.9000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,6.4300000000000000e+02,2.1900000000000000e+02,4.6500000000000000e+02,"1"
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"Windham",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"New London",1.9000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,1.2000000000000000e+01,"41"
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"Fairfield",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,5.0000000000000000e+00,"48"
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"Hartford",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.5000000000000000e+01,"28"
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"Litchfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,1.0000000000000000e+00,"52"
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"Windham",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,-3.0000000000000000e+00,"54"
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"Tolland",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+01,"35"
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"Litchfield",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.1000000000000000e+01,"42"
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"Fairfield",7.1000000000000000e+01,7.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,6.8000000000000000e+01,"16"
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"Tolland",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"Tolland",8.4000000000000000e+01,2.4000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,5.6000000000000000e+01,5.0000000000000000e+00,7.9000000000000000e+01,"13"
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"New Haven",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4000000000000000e+01,1.7000000000000000e+01,"36"
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"Litchfield",1.2000000000000000e+01,4.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,"41"
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"New Haven",5.8000000000000000e+01,5.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,3.1000000000000000e+01,2.7000000000000000e+01,"27"
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"New London",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,1.5000000000000000e+01,"38"
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"Litchfield",3.5000000000000000e+01,3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.2000000000000000e+01,"25"
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"Hartford",1.1600000000000000e+02,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0800000000000000e+02,2.0000000000000000e+00,1.1400000000000000e+02,"5"
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"New Haven",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,3.0000000000000000e+00,"50"
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"Middlesex",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000000e+00,"45"
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"Fairfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,"50"
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"Fairfield",7.4000000000000000e+01,6.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,6.3000000000000000e+01,1.1000000000000000e+01,"42"
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"Hartford",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,9.0000000000000000e+00,"44"
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"Tolland",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,"48"
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"Fairfield",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+01,0.0000000000000000e+00,"53"
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"Litchfield",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,9.0000000000000000e+00,"44"
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"Windham",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,"40"
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"Hartford",3.7000000000000000e+01,2.9000000000000000e+01,2.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7000000000000000e+01,"21"
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"Hartford",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,"41"
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"New Haven",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.3000000000000000e+01,"30"
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,"50"
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"Litchfield",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.3000000000000000e+01,"40"
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"Windham",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,"40"
