Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+00,"48"
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"New Haven",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,1.2000000000000000e+01,"41"
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"Hartford",2.2000000000000000e+01,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,9.0000000000000000e+00,"44"
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"Tolland",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1.6000000000000000e+01,"37"
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"Hartford",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,"52"
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"New Haven",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01,1.0000000000000000e+01,"43"
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"New Haven",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.5000000000000000e+01,"28"
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"Middlesex",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"Middlesex",1.7200000000000000e+02,3.6000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,1.3300000000000000e+02,1.1000000000000000e+01,1.6100000000000000e+02,"4"
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"New Haven",2.6600000000000000e+02,2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+02,2.0000000000000000e+01,2.4600000000000000e+02,"2"
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"Fairfield",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1.3000000000000000e+01,"40"
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"New London",4.5000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+01,4.4000000000000000e+01,1.0000000000000000e+00,"52"
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"Litchfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"New Haven",3.4000000000000000e+01,3.2000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,2.5000000000000000e+01,"28"
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"Hartford",1.8000000000000000e+01,4.0000000000000000e+00,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.0000000000000000e+00,"45"
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"Fairfield",2.6000000000000000e+01,2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,-4.0000000000000000e+00,"55"
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"Fairfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+00,"47"
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"Litchfield",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+01,"43"
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"New Haven",5.8000000000000000e+01,1.3000000000000000e+01,4.0000000000000000e+00,1.2000000000000000e+01,2.9000000000000000e+01,1.4900000000000000e+02,-9.1000000000000000e+01,"56"
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"New London",3.3000000000000000e+01,3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"Litchfield",4.3000000000000000e+01,4.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,3.4000000000000000e+01,"23"
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"Hartford",6.7000000000000000e+01,6.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,6.3000000000000000e+01,"17"
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"Tolland",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,"51"
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,"New Haven",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"49"
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,"Windham",9.0000000000000000e+00,5.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,7.0000000000000000e+00,"46"
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,"Hartford",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1.4000000000000000e+01,"39"
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"Litchfield",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,9.0000000000000000e+00,"44"
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"New Haven",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.2000000000000000e+01,"31"
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"Hartford",5.0000000000000000e+01,5.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"New Haven",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"49"
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"Fairfield",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.3000000000000000e+01,"30"
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"Litchfield",4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,"51"
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"Hartford",4.8000000000000000e+01,4.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.7000000000000000e+01,"19"
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"Tolland",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,"49"
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"New Haven",2.9000000000000000e+01,2.7000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,2.0000000000000000e+01,"33"
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"Fairfield",1.2800000000000000e+02,2.6000000000000000e+01,3.6000000000000000e+01,3.0000000000000000e+00,6.3000000000000000e+01,4.2000000000000000e+01,8.6000000000000000e+01,"10"
