Municipality,numbered,ADM 2001-2002,NCE 2001-2002
"ANDOVER",1.0000000000000000e+00,5.9262000000000000e+02,4932042.0000
"ANSONIA",2.0000000000000000e+00,2.6671599999999999e+03,20781685.0000
"ASHFORD",3.0000000000000000e+00,8.2802999999999997e+02,7082507.0000
"AVON",4.0000000000000000e+00,2.9875700000000002e+03,26505358.0000
"BARKHAMSTED",5.0000000000000000e+00,6.1215999999999997e+02,5823236.0000
"BEACON FALLS",6.0000000000000000e+00,9.5220000000000005e+02,7807704.0000
"BERLIN",7.0000000000000000e+00,3.3806599999999999e+03,28037085.0000
"BETHANY",8.0000000000000000e+00,1.0814400000000001e+03,9534315.0000
"BETHEL",9.0000000000000000e+00,3.2390400000000000e+03,29477064.0000
"BETHLEHEM",1.0000000000000000e+01,6.3599000000000001e+02,5513275.0000
"BLOOMFIELD",1.1000000000000000e+01,2.7639200000000001e+03,28127406.0000
"BOLTON",1.2000000000000000e+01,9.7689999999999998e+02,9074396.0000
"BOZRAH",1.3000000000000000e+01,3.7624000000000001e+02,3574998.0000
"BRANFORD",1.4000000000000000e+01,3.8658200000000002e+03,34117265.0000
"BRIDGEPORT",1.5000000000000000e+01,2.4138279999999999e+04,222903572.0000
"BRIDGEWATER",1.6000000000000000e+01,2.7625000000000000e+02,3269495.0000
"BRISTOL",1.7000000000000000e+01,8.9959699999999993e+03,74299366.0000
"BROOKFIELD",1.8000000000000000e+01,3.0540999999999999e+03,25743381.0000
"BROOKLYN",1.9000000000000000e+01,1.3192900000000000e+03,11121458.0000
"BURLINGTON",2.0000000000000000e+01,1.6548900000000001e+03,13613053.0000
"CANAAN",2.1000000000000000e+01,1.8537000000000000e+02,2134097.0000
"CANTERBURY",2.2000000000000000e+01,8.8700999999999999e+02,8336036.0000
"CANTON",2.3000000000000000e+01,1.6370400000000000e+03,14036839.0000
"CHAPLIN",2.4000000000000000e+01,3.9111000000000001e+02,4170882.0000
"CHESHIRE",2.5000000000000000e+01,5.0276999999999998e+03,44696824.0000
