Municipality,Mil Rates FY 2008-09,Comments
"ANDOVER",2.7600000000000001e+01,
"ANSONIA",2.5250000000000000e+01,
"ASHFORD",2.4650000000000002e+01,
"AVON",2.6530000000000001e+01,
"BARKHAMSTED",2.6699999999999999e+01,
"BEACON FALLS",2.4730000000000000e+01,
"BERLIN",2.2690000000000001e+01,
"BETHANY",3.0030000000000001e+01,
"BETHEL",2.1280000000000001e+01,
"BETHLEHEM",2.2820000000000000e+01,
"BLOOMFIELD",3.5289999999999999e+01,
"BOLTON",3.1470000000000002e+01,
"BOZRAH",1.9500000000000000e+01,
"BRANFORD",2.3210000000000001e+01,
"BRIDGEPORT",4.4579999999999998e+01,
"BRIDGEWATER",1.5500000000000000e+01,
"BRISTOL",2.5990000000000002e+01,
"BROOKFIELD",1.8650000000000002e+01,
"BROOKLYN",2.2289999999999999e+01,
"BURLINGTON",2.9320000000000000e+01,
"CANAAN",1.9359999999999999e+01,
"CANTERBURY",2.1949999999999999e+01,
"CANTON",3.0430000000000000e+01,
"CHAPLIN",3.6750000000000000e+01,
"CHESHIRE",2.8050000000000001e+01,
"CHESTER",2.3870000000000001e+01,
"CLINTON",2.0940000000000001e+01,
"COLCHESTER",2.3010000000000002e+01,
"COLEBROOK",2.3699999999999999e+01,
"COLUMBIA",2.1800000000000001e+01,
"CORNWALL",1.2050000000000001e+01,
"COVENTRY",2.8090000000000000e+01,
"CROMWELL",2.6210000000000001e+01,
"DANBURY",2.1350000000000001e+01,
"DARIEN",1.4550000000000001e+01,
"DEEP RIVER",2.1730000000000000e+01,
"DERBY",2.6400000000000002e+01,
"DURHAM",2.6250000000000000e+01,
"EAST GRANBY",2.8800000000000001e+01,
"EAST HADDAM",2.0550000000000001e+01,
"EAST HAMPTON",2.3809999999999999e+01,
"EAST HARTFORD",3.1670000000000002e+01,
"EAST HAVEN",2.2850000000000001e+01,
"EAST LYME",1.9186000000000000e+01,
"EAST WINDSOR",2.0913499999999999e+01,
"EASTFORD",1.9859999999999999e+01,
"EASTON",2.1600000000000001e+01,
"ELLINGTON",2.4400000000000002e+01,
"ENFIELD",2.3879999999999999e+01,
"ESSEX",1.7600000000000001e+01,
"FAIRFIELD",1.8580000000000002e+01,
"FARMINGTON",1.9469999999999999e+01,
"FRANKLIN",2.3000000000000000e+01,
"GLASTONBURY",2.8350000000000001e+01,
"GOSHEN",1.4400000000000000e+01,
"GRANBY",2.9350000000000001e+01,
"GREENWICH",8.0350000000000001e+00,
"GRISWOLD",1.6750000000000000e+01,
"GROTON",1.9270000000000000e+01,
"GROTON (City of)",,
"GUILFORD",1.9190000000000001e+01,
"HADDAM",2.6000000000000000e+01,
"HAMDEN",2.9420000000000002e+01,
"HAMPTON",2.9480000000000000e+01,
"HARTFORD",6.8340000000000003e+01,
"HARTLAND",2.3250000000000000e+01,
"HARWINTON",2.6300000000000001e+01,
"HEBRON",2.7199999999999999e+01,
"KENT",1.8789999999999999e+01,
"KILLINGLY",1.7800000000000001e+01,
"KILLINGWORTH",2.1000000000000000e+01,
"LEBANON",2.7199999999999999e+01,
"LEDYARD",2.5650000000000002e+01,
"LISBON",1.6000000000000000e+01,"Vr obtained"
"LITCHFIELD",2.5500000000000000e+01,
"LYME",1.4500000000000000e+01,
"MADISON",1.7840000000000000e+01,
"MANCHESTER",3.2980000000000004e+01,
"MANSFIELD",2.5240000000000002e+01,
"MARLBOROUGH",2.5859999999999999e+01,
"MERIDEN",2.7960000000000001e+01,
"MIDDLEBURY",2.3210000000000001e+01,
"MIDDLEFIELD",2.5920000000000002e+01,
"MIDDLETOWN",2.5500000000000000e+01,
"MILFORD",2.8230000000000000e+01,
"MONROE",2.8680000000000000e+01,
"MONTVILLE",2.1000000000000000e+01,
"MORRIS",2.0600000000000001e+01,
"NAUGATUCK",3.1520000000000000e+01,
"NEW BRITAIN",3.4980000000000004e+01,
"NEW CANAAN",1.5117000000000001e+01,
"NEW FAIRFIELD",2.0640000000000001e+01,
"NEW HARTFORD",2.9000000000000000e+01,
"NEW HAVEN",4.2210000000000001e+01,
"NEW LONDON",3.0890000000000001e+01,
"NEW MILFORD",2.2219999999999999e+01,
"NEWINGTON",2.7680000000000000e+01,
"NEWTOWN",2.3199999999999999e+01,
"NORFOLK",2.7820000000000000e+01,
"NORTH BRANFORD",2.4949999999999999e+01,
"NORTH CANAAN",2.1000000000000000e+01,
"NORTH HAVEN",2.3500000000000000e+01,
"NORTH STONINGTON",1.9500000000000000e+01,
"NORWALK",2.2478000000000002e+01,
"NORWICH",2.9660000000000000e+01,
"OLD LYME",1.9000000000000000e+01,
"OLD SAYBROOK",1.6690000000000001e+01,
"ORANGE",2.7940000000000001e+01,
"OXFORD",2.0330000000000002e+01,
"PLAINFIELD",1.9940000000000001e+01,
"PLAINVILLE",2.6240000000000002e+01,
"PLYMOUTH",3.0100000000000001e+01,
"POMFRET",2.0590000000000000e+01,
"PORTLAND",2.6990000000000002e+01,
"PRESTON",1.7980000000000000e+01,
"PROSPECT",2.5000000000000000e+01,
"PUTNAM",1.5890000000000001e+01,
"REDDING",2.1000000000000000e+01,
"RIDGEFIELD",1.9910000000000000e+01,
"ROCKY HILL",2.9199999999999999e+01,
"ROXBURY",1.0900000000000000e+01,
"SALEM",2.3000000000000000e+01,
"SALISBURY",9.0999999999999996e+00,
"SCOTLAND",3.4250000000000000e+01,
"SEYMOUR",2.5520000000000000e+01,
"SHARON",1.4900000000000000e+01,
"SHELTON",1.8609999999999999e+01,
"SHERMAN",1.6399999999999999e+01,
"SIMSBURY",2.9600000000000001e+01,
"SOMERS",2.1910000000000000e+01,
"SOUTH WINDSOR",2.7420000000000002e+01,
"SOUTHBURY",2.1100000000000001e+01,
"SOUTHINGTON",2.3020000000000000e+01,
"SPRAGUE",2.5750000000000000e+01,
"STAFFORD",2.5629999999999999e+01,
"STAMFORD",1.6180000000000000e+01,
"STERLING",2.0050000000000001e+01,
"STONINGTON",1.5140000000000001e+01,
"STRATFORD",3.0510000000000002e+01,
"SUFFIELD",2.7300000000000001e+01,
"THOMASTON",2.6280000000000001e+01,
"THOMPSON",1.7969999999999999e+01,
"TOLLAND",2.9510000000000002e+01,
"TORRINGTON",3.5329999999999998e+01,
"TRUMBULL",2.3859999999999999e+01,
"UNION",2.8930000000000000e+01,
"VERNON",3.0280000000000001e+01,
"VOLUNTOWN",2.0000000000000000e+01,
"WALLINGFORD",2.2900000000000002e+01,
