Municipality,EQUALIZED NET GRAND LIST GLYR 2006
"ANDOVER",384665337.1429
"ANSONIA",1799272623.8184
"ASHFORD",527896482.6732
"AVON",3890796198.6480
"BARKHAMSTED",529848357.0085
"BEACON FALLS",726986145.7143
"BERLIN",3342194267.3368
"BETHANY",963959762.1827
"BETHEL",3434114106.6496
"BETHLEHEM",588761185.8916
"BLOOMFIELD",3174623444.9478
"BOLTON",665538181.6552
"BOZRAH",410614497.8952
"BRANFORD",5877909582.0491
"BRIDGEPORT",11835219910.5028
"BRIDGEWATER",580041917.1429
"BRISTOL",6606175760.2731
"BROOKFIELD",3645733757.1429
"BROOKLYN",852056587.1039
"BURLINGTON",1362527845.1750
"CANAAN",272948208.0912
"CANTERBURY",595636813.3725
"CANTON",1774980267.3554
"CHAPLIN",263592622.9652
"CHESHIRE",4480349634.4906
"CHESTER",768858651.5472
"CLINTON",2544527056.1534
"COLCHESTER",1750253358.5714
"COLEBROOK",285784134.4039
"COLUMBIA",738700757.1429
"CORNWALL",634406507.1429
"COVENTRY",1468099473.5080
"CROMWELL",1980706009.5963
"DANBURY",12671862277.4584
"DARIEN",12768925522.1590
"DEEP RIVER",764690796.4781
"DERBY",1397512195.7538
"DURHAM",1110472228.3188
"EAST GRANBY",871556066.6804
"EAST HADDAM",1468673777.2242
"EAST HAMPTON",1723486912.4203
"EAST HARTFORD",4051722914.2857
"EAST HAVEN",3177700767.1429
"EAST LYME",3210848344.2857
"EAST WINDSOR",1481295786.3637
"EASTFORD",236095835.9442
"EASTON",2369351530.0000
"ELLINGTON",1859058264.4139
"ENFIELD",4551499194.2857
"ESSEX",1842671127.4949
"FAIRFIELD",17072416749.8529
"FARMINGTON",5722469042.2247
"FRANKLIN",329800656.5215
"GLASTONBURY",6104015650.2856
"GOSHEN",798524152.5278
"GRANBY",1571154394.9537
"GREENWICH",52350613342.6713
"GRISWOLD",1138013358.5714
"GROTON",4839951708.5714
"GROTON (City of)",
"GUILFORD",4993873042.8229
"HADDAM",1373074517.7794
"HAMDEN",6872361697.8407
"HAMPTON",221931393.2650
"HARTFORD",5617517672.2788
"HARTLAND",299244219.4141
"HARWINTON",886628761.3617
"HEBRON",1209139624.2857
"KENT",995505210.7189
"KILLINGLY",1988488894.0804
"KILLINGWORTH",1136685332.8571
"LEBANON",971754519.8843
"LEDYARD",1818274359.0676
"LISBON",543292414.2857
"LITCHFIELD",1752551589.4172
"LYME",854830282.4932
"MADISON",4750966919.5451
"MANCHESTER",4902484041.4286
"MANSFIELD",1480091334.1089
"MARLBOROUGH",916884956.7177
"MERIDEN",5201706481.4286
"MIDDLEBURY",1491853687.1429
"MIDDLEFIELD",649565171.4286
"MIDDLETOWN",5745220103.8322
"MILFORD",10214669430.0000
"MONROE",3845023945.4549
"MONTVILLE",2113241212.8571
"MORRIS",666197297.5012
"NAUGATUCK",3202794984.9876
"NEW BRITAIN",4617766549.3230
"NEW CANAAN",13048972888.3680
"NEW FAIRFIELD",2849406053.4055
"NEW HARTFORD",1066547118.2648
"NEW HAVEN",6370284874.2857
"NEW LONDON",2410966668.1092
"NEW MILFORD",5123703742.0761
"NEWINGTON",4219375007.6689
"NEWTOWN",5802328235.5010
"NORFOLK",421545602.7991
"NORTH BRANFORD",1979674513.2772
"NORTH CANAAN",544916147.0819
"NORTH HAVEN",4101886906.8136
"NORTH STONINGTON",918071622.9125
"NORWALK",20898752370.5806
"NORWICH",3559365624.8284
"OLD LYME",2613630523.8543
"OLD SAYBROOK",3486106583.0367
"ORANGE",2257737784.2857
"OXFORD",2130026618.5185
"PLAINFIELD",1690180990.8153
"PLAINVILLE",1996146742.8571
"PLYMOUTH",1160098464.2857
"POMFRET",569467485.1544
"PORTLAND",1183547115.7143
"PRESTON",650284639.4163
"PROSPECT",1250640124.1939
"PUTNAM",980772219.0267
"REDDING",2776443707.9539
"RIDGEFIELD",8052661302.4422
"ROCKY HILL",2959539490.4858
"ROXBURY",1005882173.7910
"SALEM",607833015.7143
"SALISBURY",1785473033.3926
"SCOTLAND",202623043.0790
"SEYMOUR",2115320761.4379
"SHARON",1121755516.8299
"SHELTON",7095358371.4286
"SHERMAN",1128022509.2227
"SIMSBURY",3961195938.4426
"SOMERS",1258254154.5783
"SOUTH WINDSOR",4073533759.0032
"SOUTHBURY",3677118032.9077
"SOUTHINGTON",6045594484.0339
"SPRAGUE",329873326.4357
"STAFFORD",1301922865.5157
"STAMFORD",13438345880.0000
"STERLING",415650613.4134
"STONINGTON",4812976599.2105
"STRATFORD",7746807388.8914
"SUFFIELD",2049428679.9121
"THOMASTON",893393802.8571
"THOMPSON",1089597463.1071
"TOLLAND",1987898059.2869
"TORRINGTON",3598018487.2361
"TRUMBULL",7420089444.3005
"UNION",152164342.6976
"VERNON",2017416957.1429
"VOLUNTOWN",336427497.0671
"WALLINGFORD",7054965181.0062
"WARREN",492666683.8661
"WASHINGTON",1744351822.0415
"WATERBURY",8097150674.7742
"WATERFORD",4888298669.7560
"WATERTOWN",3235572510.2058
"WEST HARTFORD",6447326690.0000
"WEST HAVEN",5085223990.6690
"WESTBROOK",1884545581.4286
"WESTON",4292689369.2322
"WESTPORT",16122885534.1100
"WETHERSFIELD",3630413611.0525
"WILLINGTON",735517450.7852
"WILTON",7370651746.1631
"WINCHESTER",1193301023.0153
"WINDHAM",1579693853.2545
"WINDSOR",4553843708.9042
"WINDSOR LOCKS",2009467884.8432
"WOLCOTT",1931156738.5714
"WOODBRIDGE",1922531701.9652
"WOODBURY",1880217702.5913
"WOODSTOCK",1173979737.8137
