Municipality,LABOR FORCE,EMPLOYED,UNEMPLOYED,UNEMP RATE,Numbered
"ANDOVER",1.9910000000000000e+03,1.9230000000000000e+03,6.8000000000000000e+01,3.4153691612255149e-02,1
"ANSONIA",1.0024000000000000e+04,9.4640000000000000e+03,5.6000000000000000e+02,5.5865921787709494e-02,2
"ASHFORD",2.6360000000000000e+03,2.5340000000000000e+03,1.0200000000000000e+02,3.8694992412746584e-02,3
"AVON",9.2530000000000000e+03,8.9730000000000000e+03,2.8000000000000000e+02,3.0260456068302171e-02,4
"BARKHAMSTED",2.2390000000000000e+03,2.1490000000000000e+03,9.0000000000000000e+01,4.0196516301920497e-02,5
"BEACON FALLS",3.3110000000000000e+03,3.1650000000000000e+03,1.4600000000000000e+02,4.4095439444276650e-02,6
"BERLIN",1.1347000000000000e+04,1.0921000000000000e+04,4.2600000000000000e+02,3.7542962897682206e-02,7
"BETHANY",3.1290000000000000e+03,3.0190000000000000e+03,1.1000000000000000e+02,3.5155001597954622e-02,8
"BETHEL",1.0859000000000000e+04,1.0503000000000000e+04,3.5600000000000000e+02,3.2783865917671975e-02,9
"BETHLEHEM",2.0290000000000000e+03,1.9530000000000000e+03,7.6000000000000000e+01,3.7456875308033516e-02,10
"BLOOMFIELD",1.0084000000000000e+04,9.5570000000000000e+03,5.2700000000000000e+02,5.2261007536691786e-02,11
"BOLTON",3.0490000000000000e+03,2.9510000000000000e+03,9.8000000000000000e+01,3.2141685798622498e-02,12
"BOZRAH",1.4920000000000000e+03,1.4260000000000000e+03,6.6000000000000000e+01,4.4235924932975873e-02,13
"BRANFORD",1.7420000000000000e+04,1.6740000000000000e+04,6.8000000000000000e+02,3.9035591274397242e-02,14
"BRIDGEPORT",6.2877000000000000e+04,5.8470000000000000e+04,4.4070000000000000e+03,7.0089221814017846e-02,15
"BRIDGEWATER",1.0480000000000000e+03,1.0160000000000000e+03,3.2000000000000000e+01,3.0534351145038167e-02,16
"BRISTOL",3.4336000000000000e+04,3.2602000000000000e+04,1.7340000000000000e+03,5.0500931966449211e-02,17
"BROOKFIELD",9.1250000000000000e+03,8.8070000000000000e+03,3.1800000000000000e+02,3.4849315068493147e-02,18
"BROOKLYN",3.8810000000000000e+03,3.6810000000000000e+03,2.0000000000000000e+02,5.1533110023189901e-02,19
"BURLINGTON",5.3780000000000000e+03,5.1920000000000000e+03,1.8600000000000000e+02,3.4585347712904425e-02,20
"CANAAN",6.0900000000000000e+02,5.8700000000000000e+02,2.2000000000000000e+01,3.6124794745484398e-02,21
"CANTERBURY",3.2540000000000000e+03,3.1110000000000000e+03,1.4300000000000000e+02,4.3945912722802703e-02,22
"CANTON",5.7740000000000000e+03,5.5930000000000000e+03,1.8100000000000000e+02,3.1347419466574301e-02,23
"CHAPLIN",1.4640000000000000e+03,1.4000000000000000e+03,6.4000000000000000e+01,4.3715846994535519e-02,24
"CHESHIRE",1.4651000000000000e+04,1.4107000000000000e+04,5.4400000000000000e+02,3.7130571292061973e-02,25
"CHESTER",2.2960000000000000e+03,2.2190000000000000e+03,7.7000000000000000e+01,3.3536585365853661e-02,26
"CLINTON",8.0130000000000000e+03,7.7080000000000000e+03,3.0500000000000000e+02,3.8063147385498562e-02,27
"COLCHESTER",8.7660000000000000e+03,8.4420000000000000e+03,3.2400000000000000e+02,3.6960985626283367e-02,28
"COLEBROOK",8.3900000000000000e+02,8.1800000000000000e+02,2.1000000000000000e+01,2.5029797377830752e-02,29
"COLUMBIA",3.0790000000000000e+03,2.9700000000000000e+03,1.0900000000000000e+02,3.5401104254628127e-02,30
"CORNWALL",8.3300000000000000e+02,8.1000000000000000e+02,2.3000000000000000e+01,2.7611044417767107e-02,31
"COVENTRY",7.0590000000000000e+03,6.7670000000000000e+03,2.9200000000000000e+02,4.1365632525853520e-02,32
"CROMWELL",7.8150000000000000e+03,7.5210000000000000e+03,2.9400000000000000e+02,3.7619961612284071e-02,33
"DANBURY",4.4753000000000000e+04,4.3113000000000000e+04,1.6400000000000000e+03,3.6645588005273393e-02,34
"DARIEN",9.2790000000000000e+03,9.0170000000000000e+03,2.6200000000000000e+02,2.8235801271688760e-02,35
"DEEP RIVER",2.5930000000000000e+03,2.5000000000000000e+03,9.3000000000000000e+01,3.5865792518318548e-02,36
"DERBY",6.9120000000000000e+03,6.5580000000000000e+03,3.5400000000000000e+02,5.1215277777777776e-02,37
