Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2013 Population,Moody's_Bond_Ratings_July_2013,area lmt,ACGLFY13,EGL,TANF13 Recipients,empl,ACMR,enrollmt
"ANDOVER","BP",2.0130000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",5857107.0000,3003579.0000,8975803.0000,328011.0000,11343.0000,0.0000,0.0000,147430.0000,2425685.0000,2266912.0000,2414342.0000,"N",2930349.0000,7845981.0000,10927830.0000,8562868.0000,129060.0000,10532064.0000,0.0000,0.0000,0.0000,0.0000,395766.0000,273293.0000,395766.0000,0.0000,"N","N",3492091.7892,810000.0000,4302091.7892,7980881.0000,7884818.0000,9.8796335893242859e-01,8093543.0000,7955705.0000,9.8296938683095891e-01,3.2730000000000000e+03,,1.5449999999999999e+01,258506273.0000,369373775.7100,1.0000000000000000e+01,6.4379947229551454e-02,3.0800000000000001e+01,5.8863000000000000e+02
"ANSONIA","BP",2.0130000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",40700593.0000,6938007.0000,47757117.0000,1865659.0000,0.0000,0.0000,1301476.0000,0.0000,8732966.0000,7431490.0000,8732966.0000,"N",29957368.0000,32175591.0000,65567716.0000,34124712.0000,9109490.0000,65544136.0000,0.0000,0.0000,50000.0000,50000.0000,-26420.0000,127743.0000,-26420.0000,0.0000,"N","N",,15075232.0000,15075232.0000,32474853.0000,31264549.0000,9.6273103992187437e-01,35210753.0000,32144191.0000,9.1290836637319284e-01,1.9020000000000000e+04,"Aa3",6.0300000000000002e+00,1174493645.0000,1356816401.0800,2.8500000000000000e+02,1.0803993694167105e-01,2.7649999999999999e+01,2.6286399999999999e+03
"ASHFORD","BP",2.0130000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",12606779.0000,3359604.0000,17410012.0000,510190.0000,5709.0000,0.0000,26474.0000,205062.0000,2259764.0000,2022519.0000,2254055.0000,"N",4953913.0000,9247248.0000,14608189.0000,11250309.0000,952942.0000,14635662.0000,0.0000,2790103.0000,241578.0000,2325387.0000,-269051.0000,396031.0000,437243.0000,0.0000,"N","N",2135406.7667,2640000.0000,4775406.7667,9201569.0000,9007948.0000,9.7895782773568285e-01,9780039.0000,9143754.0000,9.3494044348902905e-01,4.2810000000000000e+03,"Aa3",3.8799999999999997e+01,294930180.0000,421452028.5700,2.6000000000000000e+01,6.8662674650698599e-02,3.1050000000000001e+01,6.4279999999999995e+02
"AVON","JG",2.0130000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",118098045.0000,13660559.0000,131758604.0000,4050121.0000,7406.0000,0.0000,0.0000,2664114.0000,10707173.0000,8035653.0000,10699767.0000,"N",8450231.0000,68836758.0000,80754044.0000,53396764.0000,4437321.0000,77657612.0000,0.0000,0.0000,1508499.0000,1508499.0000,1587933.0000,1113986.0000,1587933.0000,0.0000,"N","N",,33305000.0000,33305000.0000,68686698.0000,68527991.0000,9.9768940705229414e-01,68881493.0000,68689037.0000,9.9720598390630122e-01,1.8386000000000000e+04,"Aaa",2.3120000000000001e+01,2668106790.0000,3573844476.6700,1.3000000000000000e+01,4.9977934686672554e-02,2.5649999999999999e+01,3.4721500000000001e+03
"BARKHAMSTED","JG",2.0130000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",4088119.0000,3171657.0000,7259776.0000,42697.0000,0.0000,0.0000,0.0000,133313.0000,1683778.0000,1550465.0000,1683778.0000,"N",2215545.0000,8770258.0000,11122940.0000,8852107.0000,127150.0000,10874884.0000,0.0000,0.0000,20471.0000,20471.0000,227585.0000,9463.0000,227585.0000,0.0000,"N","N",1326606.8118,1850000.0000,3176606.8118,8797618.0000,8566023.0000,9.7367526073534905e-01,9343436.0000,8705339.0000,9.3170638724340815e-01,3.7450000000000000e+03,,3.6219999999999999e+01,374141996.0000,505822209.8800,4.0000000000000000e+00,6.4332603938730859e-02,2.3390000000000001e+01,6.4877999999999997e+02
"BEACON FALLS","BP",2.0130000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",14087898.0000,663943.0000,14757615.0000,1281586.0000,24157.0000,0.0000,0.0000,0.0000,2149386.0000,2125229.0000,2125229.0000,"Y",4478464.0000,14623812.0000,19728537.0000,13516055.0000,397413.0000,19243334.0000,0.0000,929153.0000,161689.0000,161689.0000,323514.0000,50108.0000,1252667.0000,0.0000,"N","N",8956290.0838,2399296.0000,11355586.0838,14555631.0000,14116778.0000,9.6984995016705222e-01,15740410.0000,14436989.0000,9.1719269066053555e-01,6.0520000000000000e+03,,9.7699999999999996e+00,471512634.0000,675570668.5700,2.5000000000000000e+01,6.4621798689696253e-02,3.1100000000000001e+01,9.5422000000000003e+02
"BERLIN","BP",2.0130000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",58673095.0000,20350601.0000,79170744.0000,2603636.0000,0.0000,0.0000,289973.0000,1800000.0000,12791267.0000,10701294.0000,12791267.0000,"N",12927657.0000,59750689.0000,77058458.0000,46108451.0000,2941589.0000,74962416.0000,103959.0000,434359.0000,1037137.0000,1037137.0000,1162864.0000,930291.0000,1493264.0000,0.0000,"N","N",,34477141.0000,34477141.0000,59323912.0000,58577996.0000,9.8742638550202155e-01,61230527.0000,59364511.0000,9.6952474376057551e-01,2.0590000000000000e+04,"Aa2",2.6449999999999999e+01,2351626782.0000,3087503864.2900,4.7000000000000000e+01,5.9859772129710782e-02,2.5149999999999999e+01,3.0508200000000002e+03
"BETHANY","JG",2.0130000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",18090881.0000,4182421.0000,22490279.0000,163118.0000,51393.0000,3300.0000,0.0000,300000.0000,3387567.0000,3032874.0000,3332874.0000,"N",3437582.0000,17861301.0000,22060185.0000,15599595.0000,1176287.0000,21122240.0000,0.0000,0.0000,539796.0000,539796.0000,398149.0000,287352.0000,398149.0000,0.0000,"N","N",9000231.6809,6549985.0000,15550216.6809,17724295.0000,17454329.0000,9.8476859023165664e-01,18069215.0000,17698838.0000,9.7950231927618325e-01,5.5400000000000000e+03,"Aa2",2.0960000000000001e+01,619479650.0000,820596491.9000,4.0000000000000000e+00,5.6161215725140406e-02,2.8539999999999999e+01,9.4359000000000003e+02
"BETHEL","JG",2.0130000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",71324881.0000,6091879.0000,77842394.0000,5603929.0000,120887.0000,0.0000,0.0000,0.0000,11020653.0000,10899766.0000,10899766.0000,"N",13396122.0000,56319319.0000,70858954.0000,44246629.0000,3660464.0000,68400169.0000,0.0000,0.0000,655730.0000,655730.0000,1803055.0000,2184185.0000,1803055.0000,0.0000,"N","N",,30309208.0000,30309208.0000,56056266.0000,55353730.0000,9.8746730650949888e-01,56830904.0000,55895490.0000,9.8354039907582680e-01,1.9264000000000000e+04,"Aa2",1.6789999999999999e+01,2340464670.0000,2654603288.2900,4.8000000000000000e+01,6.4519212387688776e-02,2.4070000000000000e+01,2.9620700000000002e+03
"BETHLEHEM","BP",2.0130000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",5430824.0000,3691980.0000,9208383.0000,428713.0000,0.0000,0.0000,0.0000,300000.0000,1706343.0000,1406343.0000,1706343.0000,"N",1734028.0000,8392776.0000,10319687.0000,6784789.0000,0.0000,9186972.0000,24722.0000,24722.0000,834231.0000,834231.0000,323206.0000,137625.0000,323206.0000,0.0000,"N","N",474320.3299,0.0000,474320.3299,8284463.0000,8110836.0000,9.7904185219971407e-01,8793879.0000,8279789.0000,9.4154001891542971e-01,3.5530000000000000e+03,,1.9359999999999999e+01,405598145.0000,490788174.6000,1.0000000000000000e+00,5.7394002068252327e-02,2.0500000000000000e+01,4.2822000000000003e+02
