Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2013 Population,Moody's_Bond_Ratings_July_2013,area lmt,ACGLFY13,EGL,TANF13 Recipients,empl,ACMR,enrollmt
"BLOOMFIELD","JG",2.0130000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",99097837.0000,-24907374.0000,74190463.0000,3379475.0000,0.0000,712937.0000,0.0000,2122990.0000,17438606.0000,14602679.0000,16725669.0000,"N",14348379.0000,68752328.0000,85085106.0000,40980883.0000,6509608.0000,78697140.0000,0.0000,11385841.0000,2083237.0000,13419610.0000,4304729.0000,-314975.0000,4354197.0000,0.0000,"N","N",,59355261.0000,59355261.0000,68561240.0000,67473456.0000,9.8413412592887761e-01,69955403.0000,68150374.0000,9.7419743261288905e-01,2.0673000000000000e+04,"Aa2",2.6010000000000002e+01,1980601704.0000,2595430274.2700,1.7600000000000000e+02,8.5424452749599575e-02,3.4549999999999997e+01,2.2605000000000000e+03
"BOLTON","BP",2.0130000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",30726152.0000,663763.0000,32012821.0000,64374.0000,1320.0000,0.0000,0.0000,1233967.0000,2221323.0000,986036.0000,2220003.0000,"N",4855814.0000,14573921.0000,20066210.0000,14080200.0000,1278076.0000,19323732.0000,0.0000,0.0000,532225.0000,532225.0000,210253.0000,415936.0000,210253.0000,0.0000,"N","N",,13648775.0000,13648775.0000,14331829.0000,14169656.0000,9.8868441704125831e-01,14624510.0000,14412714.0000,9.8551773700452183e-01,4.9480000000000000e+03,"Aa3",1.4410000000000000e+01,479708927.0000,596743012.9800,1.3000000000000000e+01,5.4634146341463415e-02,2.9800000000000001e+01,8.1535000000000002e+02
"BOZRAH","BP",2.0130000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",5642214.0000,786937.0000,6731823.0000,-145646.0000,200.0000,0.0000,0.0000,0.0000,278372.0000,278172.0000,278172.0000,"N",2082116.0000,5417756.0000,7665514.0000,5670995.0000,537105.0000,7939442.0000,25000.0000,25000.0000,0.0000,0.0000,-248928.0000,336763.0000,-248928.0000,0.0000,"N","N",,4004083.0000,4004083.0000,5452163.0000,5310634.0000,9.7404167850447609e-01,5704654.0000,5321097.0000,9.3276419569004532e-01,2.6390000000000000e+03,"A1",1.9960000000000001e+01,244343654.0000,314565081.6700,1.0000000000000000e+01,7.6450511945392485e-02,2.2500000000000000e+01,3.4270999999999998e+02
"BRANFORD","BP",2.0130000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",80661112.0000,42774368.0000,123694068.0000,7260580.0000,29562.0000,0.0000,851282.0000,3284951.0000,21638146.0000,17472351.0000,21608584.0000,"N",9900481.0000,87473879.0000,103895497.0000,56100841.0000,7268138.0000,98778997.0000,482264.0000,482264.0000,3301057.0000,3301057.0000,2297707.0000,1093860.0000,2297707.0000,0.0000,"N","Y",,49768298.0000,49768298.0000,86677790.0000,85450722.0000,9.8584334002978158e-01,89802021.0000,86825176.0000,9.6685102443295790e-01,2.7988000000000000e+04,"Aa1",2.1989999999999998e+01,3466384192.0000,4905862518.4700,9.8000000000000000e+01,6.6448382126348224e-02,2.4949999999999999e+01,3.3537800000000002e+03
"BRIDGEPORT","BP",2.0130000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",637950314.0000,-439224801.0000,203886761.0000,49141738.0000,350000.0000,0.0000,0.0000,0.0000,12924082.0000,12574082.0000,12574082.0000,"N",234019361.0000,285962925.0000,539075595.0000,261470234.0000,66201895.0000,539766185.0000,500000.0000,60599093.0000,0.0000,59704935.0000,-190590.0000,-3839996.0000,203568.0000,0.0000,"N","Y",,663411000.0000,663411000.0000,286087295.0000,278613368.0000,9.7387536206387637e-01,324525416.0000,281439779.0000,8.6723493792547823e-01,1.4721600000000000e+05,"A1",1.6000000000000000e+01,6980962874.0000,7729475313.5300,3.4120000000000000e+03,1.1850326412821159e-01,4.1109999999999999e+01,2.0484529999999999e+04
"BRIDGEWATER","JG",2.0130000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",3764854.0000,3639300.0000,8860476.0000,69519.0000,0.0000,0.0000,0.0000,2563955.0000,3432465.0000,868510.0000,3432465.0000,"N",307777.0000,6784468.0000,7236796.0000,4891483.0000,0.0000,7143511.0000,0.0000,0.0000,85000.0000,85000.0000,8285.0000,46376.0000,8285.0000,0.0000,"N","N",708454.5370,0.0000,708454.5370,6744343.0000,6708723.0000,9.9471853670550270e-01,6789505.0000,6741799.0000,9.9297356729246089e-01,1.6960000000000000e+03,,1.6230000000000000e+01,385571838.0000,551028925.7100,0.0000000000000000e+00,6.0070671378091869e-02,1.7500000000000000e+01,1.9741999999999999e+02
"BRISTOL","JG",2.0130000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",251935000.0000,30900000.0000,283839000.0000,9231000.0000,3000.0000,0.0000,3835000.0000,2112000.0000,30099000.0000,24149000.0000,30096000.0000,"N",64542000.0000,125635000.0000,195280000.0000,98435000.0000,9836000.0000,152601000.0000,15000.0000,15000.0000,42025000.0000,42025000.0000,669000.0000,993000.0000,669000.0000,0.0000,"N","N",,77193000.0000,77193000.0000,125182000.0000,123491000.0000,9.8649166813120093e-01,127599000.0000,124837000.0000,9.7835406233591171e-01,6.0568000000000000e+04,"Aa2",2.6510000000000002e+01,4320751637.0000,5459212487.1800,8.8100000000000000e+02,8.3687419176057640e-02,2.8750000000000000e+01,8.5033600000000006e+03
"BROOKFIELD","JG",2.0130000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",39787027.0000,-11223787.0000,28563240.0000,-801225.0000,0.0000,0.0000,2066876.0000,0.0000,5762337.0000,3695461.0000,5762337.0000,"Y",6510324.0000,53369182.0000,61032656.0000,41347563.0000,4581039.0000,61276316.0000,174000.0000,1410056.0000,744895.0000,744895.0000,-814555.0000,717502.0000,421501.0000,0.0000,"N","N",,40415587.0000,40415587.0000,52885463.0000,52403685.0000,9.9089016200917068e-01,53746716.0000,52868371.0000,9.8365769919784496e-01,1.6860000000000000e+04,"Aa1",1.9800000000000001e+01,2170169449.0000,3101025712.8600,2.1000000000000000e+01,6.1650646337421282e-02,2.4539999999999999e+01,2.8363899999999999e+03
"BROOKLYN","BP",2.0130000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",24956669.0000,2861605.0000,28291044.0000,2028211.0000,6900.0000,37135.0000,0.0000,195172.0000,2559610.0000,2320403.0000,2515575.0000,"N",9758964.0000,12546486.0000,22935553.0000,17370720.0000,3816410.0000,22005377.0000,0.0000,16557.0000,357946.0000,357946.0000,572230.0000,214711.0000,588787.0000,0.0000,"N","N",,5439807.0000,5439807.0000,12277485.0000,12014720.0000,9.7859781543206936e-01,13009537.0000,12365244.0000,9.5047533205832002e-01,8.2800000000000000e+03,"A1",2.8969999999999999e+01,527808438.0000,688058184.0400,6.9000000000000000e+01,7.9661438884739852e-02,2.3190000000000001e+01,1.2607600000000000e+03
"BURLINGTON","BP",2.0130000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",9191255.0000,7910208.0000,17240615.0000,593193.0000,0.0000,0.0000,0.0000,202976.0000,4996254.0000,4793278.0000,4996254.0000,"N",4948503.0000,25289651.0000,31330297.0000,22848392.0000,554139.0000,30138002.0000,97339.0000,97339.0000,554112.0000,554112.0000,735522.0000,615403.0000,735522.0000,0.0000,"N","N",14391562.5024,3258667.0000,17650229.5024,25137190.0000,24890754.0000,9.9019635846329679e-01,25718700.0000,25159425.0000,9.7825414970430080e-01,9.4940000000000000e+03,"Aa2",2.9789999999999999e+01,934393860.0000,1242699536.9600,1.0000000000000000e+01,5.5472543892416883e-02,2.6800000000000001e+01,1.7702000000000000e+03
"CANAAN","MR",2.0130000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",3447332.0000,1505023.0000,5082241.0000,-124129.0000,0.0000,0.0000,5001.0000,243323.0000,845894.0000,597570.0000,845894.0000,"N",687482.0000,3896038.0000,4719378.0000,3244772.0000,88665.0000,4609892.0000,5000.0000,5000.0000,220740.0000,220740.0000,-106254.0000,27007.0000,-106254.0000,0.0000,"N","N",597499.7601,449750.0000,1047249.7601,3867998.0000,3797031.0000,9.8165278265397238e-01,3964325.0000,3859326.0000,9.7351402823935984e-01,1.2140000000000000e+03,,3.2939999999999998e+01,191449465.0000,218423817.6000,6.0000000000000000e+00,6.8278805120910391e-02,2.0500000000000000e+01,1.1740000000000001e+02
"CANTERBURY","JG",2.0130000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",9499799.0000,3865866.0000,16039733.0000,2948079.0000,0.0000,10010.0000,0.0000,407430.0000,2255628.0000,1838188.0000,2245618.0000,"N",6686359.0000,8133950.0000,14971257.0000,12149799.0000,79819.0000,14731873.0000,420624.0000,420624.0000,605158.0000,605158.0000,54850.0000,-465057.0000,54850.0000,0.0000,"N","N",,495000.0000,495000.0000,8139019.0000,7937039.0000,9.7518374143124620e-01,8463910.0000,8034785.0000,9.4929943725772137e-01,5.0960000000000000e+03,,3.9890000000000001e+01,383171804.0000,453811452.5800,1.3000000000000000e+01,7.5471698113207544e-02,2.1199999999999999e+01,7.0388999999999999e+02
"CANTON","JG",2.0130000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",68836543.0000,8388911.0000,79382795.0000,1459171.0000,57533.0000,0.0000,1336636.0000,12919.0000,6513268.0000,5106180.0000,6455735.0000,"N",6277721.0000,30135693.0000,37164314.0000,25709116.0000,2065102.0000,35749286.0000,1409.0000,1409.0000,1580479.0000,1580479.0000,-164042.0000,1265992.0000,-164042.0000,0.0000,"N","N",,8559346.0000,8559346.0000,29937826.0000,29614732.0000,9.8920783359486419e-01,30813107.0000,29927138.0000,9.7124700861876734e-01,1.0357000000000000e+04,"Aa2",2.4559999999999999e+01,1130952090.0000,1518771590.2800,1.2000000000000000e+01,5.3415697674418602e-02,2.6420000000000002e+01,1.7759500000000000e+03
"CHAPLIN","MR",2.0130000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",6324230.0000,907616.0000,7331110.0000,201018.0000,1151.0000,31286.0000,275000.0000,65578.0000,1481417.0000,1108402.0000,1448980.0000,"N",2611637.0000,5336620.0000,8042800.0000,5931939.0000,27790.0000,7555898.0000,9918.0000,9918.0000,354600.0000,354600.0000,142220.0000,415252.0000,142220.0000,0.0000,"N","N",0.0000,161130.0000,161130.0000,5205533.0000,5100944.0000,9.7990810931368599e-01,5373733.0000,5224374.0000,9.7220572737796984e-01,2.2760000000000000e+03,,1.9440000000000001e+01,172699060.0000,213098562.4800,1.4000000000000000e+01,7.1428571428571425e-02,3.0149999999999999e+01,2.9856999999999999e+02
"CHESHIRE","JG",2.0130000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",110294953.0000,11704163.0000,125350756.0000,4034560.0000,97636.0000,0.0000,500000.0000,2559828.0000,12392161.0000,9234697.0000,12294525.0000,"N",23677909.0000,78167540.0000,105019133.0000,68815590.0000,8808966.0000,104445838.0000,802863.0000,1061207.0000,1000000.0000,1000000.0000,376158.0000,-748430.0000,634502.0000,0.0000,"N","Y",,60862861.0000,60862861.0000,77777955.0000,77548720.0000,9.9705269957277742e-01,78063353.0000,77772946.0000,9.9627985490195381e-01,2.9150000000000000e+04,"Aa1",3.2909999999999997e+01,2863684660.0000,3869637585.3300,2.7000000000000000e+01,5.1888363418370748e-02,2.7230000000000000e+01,4.6549200000000001e+03
"CHESTER","JG",2.0130000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",9887513.0000,2996015.0000,13326659.0000,639528.0000,0.0000,0.0000,0.0000,33961.0000,1932988.0000,1899027.0000,1932988.0000,"N",1455992.0000,11408340.0000,13182052.0000,9148482.0000,244940.0000,12406318.0000,170562.0000,170562.0000,527497.0000,527497.0000,418799.0000,-47288.0000,418799.0000,0.0000,"N","N",3894511.1702,1663589.0000,5558100.1702,11285650.0000,11177921.0000,9.9045433803103944e-01,11483286.0000,11313924.0000,9.8525143412782712e-01,4.3430000000000000e+03,"Aa3",1.6030000000000001e+01,502446675.0000,634519843.8200,3.0000000000000000e+00,5.2494577006507594e-02,2.2449999999999999e+01,5.1262000000000000e+02
"CLINTON","MR",2.0130000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",35993874.0000,3965388.0000,39959262.0000,-2522951.0000,0.0000,0.0000,350000.0000,471763.0000,7991181.0000,7169418.0000,7991181.0000,"N",11389907.0000,37634261.0000,50047900.0000,33124324.0000,1936987.0000,48662198.0000,3049.0000,3049.0000,1845686.0000,1845686.0000,-456935.0000,-166825.0000,-456935.0000,0.0000,"N","N",,21800000.0000,21800000.0000,37573535.0000,37296701.0000,9.9263220774941729e-01,38196112.0000,37469902.0000,9.8098733190435716e-01,1.3180000000000000e+04,"Aa2",1.6280000000000001e+01,1496831086.0000,2096939873.4300,3.8000000000000000e+01,6.4650968371185738e-02,2.5180000000000000e+01,2.0343699999999999e+03
"COLCHESTER","JG",2.0130000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",58336990.0000,6338535.0000,65656130.0000,-232420.0000,28351.0000,0.0000,44936.0000,698770.0000,5530790.0000,4758733.0000,5502439.0000,"N",19347462.0000,34364251.0000,55054432.0000,41828767.0000,2145667.0000,53462248.0000,0.0000,0.0000,625363.0000,625363.0000,966821.0000,948644.0000,966821.0000,0.0000,"N","Y",,17645534.0000,17645534.0000,34157365.0000,33608023.0000,9.8391731914917913e-01,35489171.0000,34062090.0000,9.5978826893420532e-01,1.6210000000000000e+04,"Aa3",4.9060000000000002e+01,1176520440.0000,1681198817.1400,4.4000000000000000e+01,6.3156754414472965e-02,2.8800000000000001e+01,2.9496999999999998e+03
"COLEBROOK","MR",2.0130000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",7150802.0000,1369967.0000,8529091.0000,1515242.0000,0.0000,0.0000,0.0000,0.0000,1209117.0000,1209117.0000,1209117.0000,"N",907870.0000,5066611.0000,6054353.0000,3719089.0000,94350.0000,5502576.0000,0.0000,0.0000,300000.0000,300000.0000,251777.0000,-93556.0000,251777.0000,0.0000,"N","N",525764.6209,550000.0000,1075764.6209,4923843.0000,4840598.0000,9.8309349018642556e-01,5146473.0000,4977884.0000,9.6724183727379898e-01,1.4570000000000000e+03,,3.1489999999999998e+01,183495360.0000,243345405.6600,0.0000000000000000e+00,4.9200492004920049e-02,2.6820000000000000e+01,2.2084999999999999e+02
"COLUMBIA","MR",2.0130000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",11002150.0000,6474347.0000,17491998.0000,938212.0000,0.0000,0.0000,0.0000,49000.0000,2828947.0000,2779947.0000,2828947.0000,"N",4064965.0000,12888917.0000,17283331.0000,12036200.0000,566413.0000,15652886.0000,15598.0000,15598.0000,2611744.0000,2611744.0000,-965701.0000,707536.0000,-965701.0000,0.0000,"N","N",,1785000.0000,1785000.0000,12599969.0000,12460200.0000,9.8890719493040025e-01,13000662.0000,12749734.0000,9.8069882902886019e-01,5.4600000000000000e+03,"Aa2",2.1350000000000001e+01,463524396.0000,662497595.7100,8.0000000000000000e+00,6.0952380952380952e-02,2.7129999999999999e+01,7.2244000000000005e+02
"CORNWALL","MR",2.0130000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",6019436.0000,2768812.0000,8860208.0000,-93617.0000,0.0000,0.0000,0.0000,279621.0000,1785426.0000,1505805.0000,1785426.0000,"N",1005494.0000,5837331.0000,6968536.0000,4283594.0000,182518.0000,6067883.0000,0.0000,0.0000,1097500.0000,1097500.0000,-196847.0000,-12183.0000,-196847.0000,0.0000,"N","N",675435.0069,1745000.0000,2420435.0069,5713031.0000,5628083.0000,9.8513083510311772e-01,6014044.0000,5724835.0000,9.5191106017847560e-01,1.4120000000000000e+03,"Aa2",4.6000000000000000e+01,390739580.0000,558229842.8600,0.0000000000000000e+00,5.5925432756324903e-02,1.4600000000000000e+01,1.5269999999999999e+02
"COVENTRY","JG",2.0130000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",95361924.0000,12571728.0000,107937188.0000,307892.0000,414312.0000,40054.0000,2363.0000,637789.0000,4760615.0000,3666097.0000,4306249.0000,"N",12829292.0000,27323143.0000,40746035.0000,28131806.0000,2798038.0000,40107857.0000,692028.0000,692028.0000,432546.0000,432546.0000,897660.0000,798492.0000,897660.0000,0.0000,"N","N",,21987589.0000,21987589.0000,26677398.0000,26181203.0000,9.8140017253556733e-01,27883046.0000,26841263.0000,9.6263740338842463e-01,1.2411000000000000e+04,"Aa3",3.7719999999999999e+01,983240670.0000,1323175982.1700,4.0000000000000000e+01,6.3046357615894041e-02,2.7000000000000000e+01,1.8530000000000000e+03
"CROMWELL","JG",2.0130000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",91271301.0000,9250907.0000,100581538.0000,114829.0000,0.0000,0.0000,51000.0000,15434.0000,6605660.0000,6539226.0000,6605660.0000,"N",7538023.0000,38277712.0000,47410342.0000,28339843.0000,4623521.0000,45608033.0000,152364.0000,11158412.0000,382024.0000,11273782.0000,1572649.0000,629102.0000,1686939.0000,0.0000,"N","N",,28485000.0000,28485000.0000,38169380.0000,37789396.0000,9.9004479506871734e-01,39168070.0000,37989052.0000,9.6989849129660977e-01,1.4178000000000000e+04,,1.2390000000000001e+01,1410488569.0000,1782299356.0400,3.8000000000000000e+01,6.2947799385875122e-02,2.7059999999999999e+01,2.0444500000000000e+03
