TANF15%,TANF14%,MUNICIPALITY,numbered,2014 TANF RECIPIENTS,2015 TANF RECIPIENTS,Sort ID
4.4336634457319272e-02,4.6285233150234556e-02,"HARTFORD",6.5000000000000000e+01,5.7720000000000000e+03,5.5290000000000000e+03,1
3.4839046077005408e-02,3.6019100414391172e-02,"NEW BRITAIN",9.0000000000000000e+01,2.6250000000000000e+03,2.5390000000000000e+03,2
3.3327704517891958e-02,3.4394620899280026e-02,"NEW HAVEN",9.4000000000000000e+01,4.4810000000000000e+03,4.3420000000000000e+03,3
3.2440740300255247e-02,3.3904507488084018e-02,"WATERBURY",1.5200000000000000e+02,3.7060000000000000e+03,3.5460000000000000e+03,4
2.3635272945410919e-02,2.8754249150169966e-02,"WINDHAM",1.6400000000000000e+02,7.1900000000000000e+02,5.9100000000000000e+02,5
2.2941477314239789e-02,2.5681303426609191e-02,"NEW LONDON",9.5000000000000000e+01,7.0300000000000000e+02,6.2800000000000000e+02,6
2.0931853253024043e-02,2.2325650853701029e-02,"NORWICH",1.0500000000000000e+02,8.9700000000000000e+02,8.4100000000000000e+02,7
1.9670608528353208e-02,1.9123281309604764e-02,"MERIDEN",8.1000000000000000e+01,1.1530000000000000e+03,1.1860000000000000e+03,8
1.7400505555228971e-02,1.8909333176572021e-02,"EAST HARTFORD",4.2000000000000000e+01,9.6500000000000000e+02,8.8800000000000000e+02,9
1.7275018291195838e-02,1.9056716256130937e-02,"BRIDGEPORT",1.5000000000000000e+01,2.8130000000000000e+03,2.5500000000000000e+03,10
1.6442953020134227e-02,1.9463087248322148e-02,"SPRAGUE",1.3400000000000000e+02,5.8000000000000000e+01,4.9000000000000000e+01,11
1.5190674613639960e-02,1.3239094888970937e-02,"ANSONIA",2.0000000000000000e+00,2.5100000000000000e+02,2.8800000000000000e+02,12
1.3593882752761258e-02,1.3806287170773151e-02,"PUTNAM",1.1700000000000000e+02,1.3000000000000000e+02,1.2800000000000000e+02,13
1.3571074789499753e-02,1.4082879313191349e-02,"BRISTOL",1.7000000000000000e+01,8.5300000000000000e+02,8.2200000000000000e+02,14
1.2753319357092943e-02,1.3393897041695784e-02,"KILLINGLY",7.0000000000000000e+01,2.3000000000000000e+02,2.1900000000000000e+02,15
1.2184628093484322e-02,1.2150208240112897e-02,"MANCHESTER",7.8000000000000000e+01,7.0600000000000000e+02,7.0800000000000000e+02,16
1.1802203806574993e-02,1.3186412895000455e-02,"WEST HAVEN",1.5600000000000000e+02,7.2400000000000000e+02,6.4800000000000000e+02,17
1.0416666666666666e-02,1.0260025062656641e-02,"DERBY",3.7000000000000000e+01,1.3100000000000000e+02,1.3300000000000000e+02,18
1.0154414232964083e-02,1.2504196038939241e-02,"GRISWOLD",5.8000000000000000e+01,1.4900000000000000e+02,1.2100000000000000e+02,19
1.0042946812025107e-02,1.0307234886025769e-02,"PLAINFIELD",1.1000000000000000e+02,1.5600000000000000e+02,1.5200000000000000e+02,20
9.4381735858682474e-03,9.2468592564249729e-03,"MIDDLETOWN",8.4000000000000000e+01,4.3500000000000000e+02,4.4400000000000000e+02,21
9.3133548697504984e-03,9.3477214928861085e-03,"VERNON",1.4700000000000000e+02,2.7200000000000000e+02,2.7100000000000000e+02,22
9.0584682953609667e-03,9.6989660536188124e-03,"WINCHESTER",1.6300000000000000e+02,1.0600000000000000e+02,9.9000000000000000e+01,23
8.5498823190354959e-03,8.8380805994524234e-03,"BLOOMFIELD",1.1000000000000000e+01,1.8400000000000000e+02,1.7800000000000000e+02,24
8.4652073659938730e-03,8.4652073659938730e-03,"NAUGATUCK",8.9000000000000000e+01,2.6800000000000000e+02,2.6800000000000000e+02,25
8.4398976982097192e-03,8.4967320261437902e-03,"TORRINGTON",1.4400000000000000e+02,2.9900000000000000e+02,2.9700000000000000e+02,26
