TANF15%,TANF14%,MUNICIPALITY,numbered,2014 TANF RECIPIENTS,2015 TANF RECIPIENTS,Sort ID
8.2162735223959716e-03,8.2162735223959716e-03,"STERLING",1.3700000000000000e+02,3.1000000000000000e+01,3.1000000000000000e+01,27
8.0223109764495249e-03,8.5731992838452009e-03,"EAST HAVEN",4.3000000000000000e+01,2.4900000000000000e+02,2.3300000000000000e+02,28
7.9575596816976128e-03,7.5154730327144119e-03,"CHAPLIN",2.4000000000000000e+01,1.7000000000000000e+01,1.8000000000000000e+01,29
7.7130736598534514e-03,5.7848052448900887e-03,"VOLUNTOWN",1.4800000000000000e+02,1.5000000000000000e+01,2.0000000000000000e+01,30
7.4439216272064136e-03,7.7675703936066921e-03,"GROTON",5.9000000000000000e+01,3.1200000000000000e+02,2.9900000000000000e+02,31
7.2612419002963105e-03,8.0590016606427659e-03,"HAMDEN",6.3000000000000000e+01,4.9500000000000000e+02,4.4600000000000000e+02,32
6.9665939231156621e-03,6.2951149907671646e-03,"PLYMOUTH",1.1200000000000000e+02,7.5000000000000000e+01,8.3000000000000000e+01,33
6.7001299690763235e-03,5.9158338188499979e-03,"ENFIELD",4.9000000000000000e+01,2.6400000000000000e+02,2.9900000000000000e+02,34
6.3689798718408455e-03,6.3923665788365889e-03,"STAMFORD",1.3600000000000000e+02,8.2000000000000000e+02,8.1700000000000000e+02,35
6.2999757693239641e-03,8.4807366125514896e-03,"BROOKLYN",1.9000000000000000e+01,7.0000000000000000e+01,5.2000000000000000e+01,36
6.2662057044079516e-03,7.0764909248055312e-03,"STONINGTON",1.3800000000000000e+02,1.3100000000000000e+02,1.1600000000000000e+02,37
6.0404447167994400e-03,4.1145058215880242e-03,"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,6.9000000000000000e+01,38
5.8825552994599059e-03,6.3641680140355704e-03,"WINDSOR",1.6500000000000000e+02,1.8500000000000000e+02,1.7100000000000000e+02,39
5.8097890966971747e-03,6.4464783127735773e-03,"WINDSOR LOCKS",1.6600000000000000e+02,8.1000000000000000e+01,7.3000000000000000e+01,40
5.5865921787709499e-03,6.4460678985818649e-03,"THOMPSON",1.4200000000000000e+02,6.0000000000000000e+01,5.2000000000000000e+01,41
5.5053086905230047e-03,6.5726644570529742e-03,"PLAINVILLE",1.1100000000000000e+02,1.1700000000000000e+02,9.8000000000000000e+01,42
5.3867519569059845e-03,4.2925679656594566e-03,"STAFFORD",1.3500000000000000e+02,5.1000000000000000e+01,6.4000000000000000e+01,43
5.0209205020920501e-03,6.6945606694560665e-03,"CANAAN",2.1000000000000000e+01,8.0000000000000000e+00,6.0000000000000000e+00,44
4.9135220125786161e-03,4.1273584905660377e-03,"CANTERBURY",2.2000000000000000e+01,2.1000000000000000e+01,2.5000000000000000e+01,45
4.5321803769863842e-03,4.4752910835514090e-03,"STRATFORD",1.3900000000000000e+02,2.3600000000000000e+02,2.3900000000000000e+02,46
4.4970570729449110e-03,4.1002579194497719e-03,"LEDYARD",7.3000000000000000e+01,6.2000000000000000e+01,6.8000000000000000e+01,47
4.3215211754537601e-03,3.0250648228176318e-03,"MORRIS",8.8000000000000000e+01,7.0000000000000000e+00,1.0000000000000000e+01,48
4.2122999157540014e-03,4.0016849199663012e-03,"PRESTON",1.1500000000000000e+02,1.9000000000000000e+01,2.0000000000000000e+01,49
4.0743570155334858e-03,4.6855105678635092e-03,"MONTVILLE",8.7000000000000000e+01,9.2000000000000000e+01,8.0000000000000000e+01,50
3.8240917782026767e-03,3.1070745697896751e-03,"SALEM",1.2200000000000000e+02,1.3000000000000000e+01,1.6000000000000000e+01,51
3.7665210732316071e-03,4.2543536218730502e-03,"NORWALK",1.0400000000000000e+02,3.7500000000000000e+02,3.3200000000000000e+02,52
3.7654653039268424e-03,5.3792361484669175e-03,"HAMPTON",6.4000000000000000e+01,1.0000000000000000e+01,7.0000000000000000e+00,53
3.6333608587943850e-03,3.7985136251032204e-03,"BEACON FALLS",6.0000000000000000e+00,2.3000000000000000e+01,2.2000000000000000e+01,54
3.5572581748529210e-03,3.9677110411821042e-03,"LEBANON",7.2000000000000000e+01,2.9000000000000000e+01,2.6000000000000000e+01,55
3.4691315759443112e-03,3.5147780440488419e-03,"SOUTHINGTON",1.3300000000000000e+02,1.5400000000000000e+02,1.5200000000000000e+02,56
3.3320699892615754e-03,3.5215716000252667e-03,"WEST HARTFORD",1.5500000000000000e+02,2.2300000000000000e+02,2.1100000000000000e+02,57
3.3112582781456954e-03,3.8102150049895674e-03,"WATERTOWN",1.5400000000000000e+02,8.4000000000000000e+01,7.3000000000000000e+01,58
3.2871566095327540e-03,7.0439070204273303e-03,"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+01,1.4000000000000000e+01,59
3.2732213438735180e-03,4.3231225296442690e-03,"COLCHESTER",2.8000000000000000e+01,7.0000000000000000e+01,5.3000000000000000e+01,60
3.1509596104268120e-03,3.9267640599637164e-03,"DANBURY",3.4000000000000000e+01,3.2900000000000000e+02,2.6400000000000000e+02,61
3.1444639293705026e-03,3.8701094515329261e-03,"SEYMOUR",1.2500000000000000e+02,6.4000000000000000e+01,5.2000000000000000e+01,62
3.0707327403642526e-03,2.7530707327403643e-03,"PORTLAND",1.1400000000000000e+02,2.6000000000000000e+01,2.9000000000000000e+01,63
2.9793059022465576e-03,3.0598276833883565e-03,"COVENTRY",3.2000000000000000e+01,3.8000000000000000e+01,3.7000000000000000e+01,64
2.9515938606847697e-03,4.7225501770956314e-03,"SCOTLAND",1.2400000000000000e+02,8.0000000000000000e+00,5.0000000000000000e+00,65
2.9340608431564319e-03,2.6766870849848148e-03,"WATERFORD",1.5300000000000000e+02,5.2000000000000000e+01,5.7000000000000000e+01,66
2.9330291673456085e-03,2.2160664819944600e-03,"NEWINGTON",9.7000000000000000e+01,6.8000000000000000e+01,9.0000000000000000e+01,67
2.8311067858090774e-03,2.8311067858090774e-03,"SOMERS",1.3000000000000000e+02,3.2000000000000000e+01,3.2000000000000000e+01,68
2.7954031148777567e-03,3.3944180680658474e-03,"WALLINGFORD",1.4900000000000000e+02,1.5300000000000000e+02,1.2600000000000000e+02,69
2.7656477438136825e-03,3.2508491023774868e-03,"BERLIN",7.0000000000000000e+00,6.7000000000000000e+01,5.7000000000000000e+01,70
2.7635075287865368e-03,3.3658104517271920e-03,"BRANFORD",1.4000000000000000e+01,9.5000000000000000e+01,7.8000000000000000e+01,71
2.7506112469437654e-03,6.1124694376528117e-04,"ANDOVER",1.0000000000000000e+00,2.0000000000000000e+00,9.0000000000000000e+00,72
2.6409818238309771e-03,2.5633058878359485e-03,"EAST HAMPTON",4.1000000000000000e+01,3.3000000000000000e+01,3.4000000000000000e+01,73
2.6252019386106625e-03,2.8271405492730209e-03,"BOLTON",1.2000000000000000e+01,1.4000000000000000e+01,1.3000000000000000e+01,74
2.6206595326490499e-03,2.6934556307781901e-03,"NEW MILFORD",9.6000000000000000e+01,7.4000000000000000e+01,7.2000000000000000e+01,75
2.6031498112716388e-03,2.2126773395808931e-03,"THOMASTON",1.4100000000000000e+02,1.7000000000000000e+01,2.0000000000000000e+01,76
2.5712773198215233e-03,2.4956515162973605e-03,"WETHERSFIELD",1.6000000000000000e+02,6.6000000000000000e+01,6.8000000000000000e+01,77
2.5669233590025669e-03,3.6670333700036671e-03,"COLUMBIA",3.0000000000000000e+01,2.0000000000000000e+01,1.4000000000000000e+01,78
2.5668967187310811e-03,3.2449449085845744e-03,"SHELTON",1.2700000000000000e+02,1.3400000000000000e+02,1.0600000000000000e+02,79
2.4676899912166967e-03,2.0912627044209296e-03,"NORTH HAVEN",1.0200000000000000e+02,5.0000000000000000e+01,5.9000000000000000e+01,80
2.3739701159055998e-03,1.8852115626309175e-03,"NORTH BRANFORD",1.0000000000000000e+02,2.7000000000000000e+01,3.4000000000000000e+01,81
2.3030861354214646e-03,4.3758636573007830e-03,"LISBON",7.4000000000000000e+01,1.9000000000000000e+01,1.0000000000000000e+01,82
2.2114771917987929e-03,2.7737171558154354e-03,"MILFORD",8.5000000000000000e+01,1.4800000000000000e+02,1.1800000000000000e+02,83
2.1326833726864193e-03,2.6658542158580242e-03,"CLINTON",2.7000000000000000e+01,3.5000000000000000e+01,2.8000000000000000e+01,84
2.0222446916076846e-03,2.6963262554769128e-03,"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+01,1.2000000000000000e+01,85
2.0161290322580645e-03,3.0241935483870967e-03,"FRANKLIN",5.3000000000000000e+01,6.0000000000000000e+00,4.0000000000000000e+00,86
1.9906439733253707e-03,2.8366676619886533e-03,"ROCKY HILL",1.2000000000000000e+02,5.7000000000000000e+01,4.0000000000000000e+01,87
1.9361084220716361e-03,2.1781219748305907e-03,"LITCHFIELD",7.5000000000000000e+01,1.8000000000000000e+01,1.6000000000000000e+01,88
1.9143335726250299e-03,1.4357501794687725e-03,"POMFRET",1.1300000000000000e+02,6.0000000000000000e+00,8.0000000000000000e+00,89
1.8993352326685661e-03,2.3425134536245646e-03,"ELLINGTON",4.8000000000000000e+01,3.7000000000000000e+01,3.0000000000000000e+01,90
1.8730245444258009e-03,1.6779178210481133e-03,"FARMINGTON",5.2000000000000000e+01,4.3000000000000000e+01,4.8000000000000000e+01,91
1.8662519440124418e-03,2.0217729393468119e-03,"MARLBOROUGH",8.0000000000000000e+01,1.3000000000000000e+01,1.2000000000000000e+01,92
1.8286311389759666e-03,2.6123301985370951e-03,"EAST LYME",4.4000000000000000e+01,5.0000000000000000e+01,3.5000000000000000e+01,93
1.7846785347789230e-03,1.3831258644536654e-03,"GUILFORD",6.1000000000000000e+01,3.1000000000000000e+01,4.0000000000000000e+01,94
1.7714164245730885e-03,2.7634096223340182e-03,"CROMWELL",3.3000000000000000e+01,3.9000000000000000e+01,2.5000000000000000e+01,95
1.7484315540471048e-03,1.6455826391031574e-03,"PROSPECT",1.1600000000000000e+02,1.6000000000000000e+01,1.7000000000000000e+01,96
1.7348648001914333e-03,2.5723857382148841e-03,"WOLCOTT",1.6700000000000000e+02,4.3000000000000000e+01,2.9000000000000000e+01,97
1.7073479195649425e-03,1.1382319463766283e-03,"SUFFIELD",1.4000000000000000e+02,1.8000000000000000e+01,2.7000000000000000e+01,98
1.7019667170953101e-03,2.8366111951588502e-03,"NORTH STONINGTON",1.0300000000000000e+02,1.5000000000000000e+01,9.0000000000000000e+00,99
1.6930202842996326e-03,1.9006548474684555e-03,"GREENWICH",5.7000000000000000e+01,1.1900000000000000e+02,1.0600000000000000e+02,100
1.6810112963959118e-03,1.6137708445400753e-03,"TOLLAND",1.4300000000000000e+02,2.4000000000000000e+01,2.5000000000000000e+01,101
1.6434754026514737e-03,1.2052152952777473e-03,"EAST HADDAM",4.0000000000000000e+01,1.1000000000000000e+01,1.5000000000000000e+01,102
1.6433059449009182e-03,1.4499758337361043e-03,"CANTON",2.3000000000000000e+01,1.5000000000000000e+01,1.7000000000000000e+01,103
1.6400989814122115e-03,1.6688726477527766e-03,"GLASTONBURY",5.4000000000000000e+01,5.8000000000000000e+01,5.7000000000000000e+01,104
1.6194331983805667e-03,8.0971659919028337e-04,"BARKHAMSTED",5.0000000000000000e+00,3.0000000000000000e+00,6.0000000000000000e+00,105
1.5822784810126582e-03,2.0343580470162750e-03,"MIDDLEFIELD",8.3000000000000000e+01,9.0000000000000000e+00,7.0000000000000000e+00,106
1.5600624024960999e-03,2.0400816032641305e-03,"HADDAM",6.2000000000000000e+01,1.7000000000000000e+01,1.3000000000000000e+01,107
1.5556938394523958e-03,1.5556938394523958e-03,"NORTH CANAAN",1.0100000000000000e+02,5.0000000000000000e+00,5.0000000000000000e+00,108
1.5433686593270912e-03,1.5433686593270912e-03,"WOODBURY",1.6900000000000000e+02,1.5000000000000000e+01,1.5000000000000000e+01,109
1.5255530129672007e-03,1.5255530129672007e-03,"BOZRAH",1.3000000000000000e+01,4.0000000000000000e+00,4.0000000000000000e+00,110
1.5048369759942672e-03,8.5990684342529555e-04,"ORANGE",1.0800000000000000e+02,1.2000000000000000e+01,2.1000000000000000e+01,111
1.4715563644812765e-03,1.4715563644812765e-03,"SOUTH WINDSOR",1.3100000000000000e+02,3.8000000000000000e+01,3.8000000000000000e+01,112
1.4681413330723304e-03,1.2723891553293530e-03,"OLD SAYBROOK",1.0700000000000000e+02,1.3000000000000000e+01,1.5000000000000000e+01,113
1.4619883040935672e-03,1.1487050960735171e-03,"BURLINGTON",2.0000000000000000e+01,1.1000000000000000e+01,1.4000000000000000e+01,114
1.4453850918851952e-03,2.2713194301053068e-03,"BETHEL",9.0000000000000000e+00,4.4000000000000000e+01,2.8000000000000000e+01,115
1.4243369134234131e-03,1.0008853986218577e-03,"MANSFIELD",7.9000000000000000e+01,2.6000000000000000e+01,3.7000000000000000e+01,116
1.3938361468174075e-03,1.1615301223478396e-03,"OXFORD",1.0900000000000000e+02,1.5000000000000000e+01,1.8000000000000000e+01,117
1.3642564802182810e-03,1.6371077762619372e-03,"SALISBURY",1.2300000000000000e+02,6.0000000000000000e+00,5.0000000000000000e+00,118
1.1511895625479663e-03,1.1511895625479663e-03,"EAST GRANBY",3.9000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,119
1.1450381679389313e-03,5.0890585241730279e-04,"WOODSTOCK",1.7000000000000000e+02,4.0000000000000000e+00,9.0000000000000000e+00,120
1.1308219662166938e-03,1.1308219662166938e-03,"NEW FAIRFIELD",9.2000000000000000e+01,1.6000000000000000e+01,1.6000000000000000e+01,121
1.1261730969760167e-03,1.1261730969760167e-03,"SIMSBURY",1.2900000000000000e+02,2.7000000000000000e+01,2.7000000000000000e+01,122
1.1009174311926607e-03,2.2018348623853213e-03,"SHARON",1.2600000000000000e+02,6.0000000000000000e+00,3.0000000000000000e+00,123
1.0562848951259998e-03,1.1065841758462853e-03,"SOUTHBURY",1.3200000000000000e+02,2.2000000000000000e+01,2.1000000000000000e+01,124
1.0337698139214334e-03,1.1814512159102097e-03,"NEW CANAAN",9.1000000000000000e+01,2.4000000000000000e+01,2.1000000000000000e+01,125
1.0295126973232671e-03,1.7158544955387784e-03,"GOSHEN",5.5000000000000000e+01,5.0000000000000000e+00,3.0000000000000000e+00,126
9.4102885821831868e-04,9.4102885821831868e-04,"HEBRON",6.8000000000000000e+01,9.0000000000000000e+00,9.0000000000000000e+00,127
9.3940817285110385e-04,0.0000000000000000e+00,"HARTLAND",6.6000000000000000e+01,0.0000000000000000e+00,2.0000000000000000e+00,128
9.2409240924092408e-04,1.4521452145214522e-03,"OLD LYME",1.0600000000000000e+02,1.1000000000000000e+01,7.0000000000000000e+00,129
8.9635854341736697e-04,1.4565826330532213e-03,"WOODBRIDGE",1.6800000000000000e+02,1.3000000000000000e+01,8.0000000000000000e+00,130
8.8417329796640137e-04,8.8417329796640137e-04,"GRANBY",5.6000000000000000e+01,1.0000000000000000e+01,1.0000000000000000e+01,131
8.8079859072225488e-04,2.0551967116852611e-03,"NEW HARTFORD",9.3000000000000000e+01,1.4000000000000000e+01,6.0000000000000000e+00,132
8.5689802913453304e-04,5.7126535275635532e-04,"BETHLEHEM",1.0000000000000000e+01,2.0000000000000000e+00,3.0000000000000000e+00,133
8.1721601743394172e-04,0.0000000000000000e+00,"SHERMAN",1.2800000000000000e+02,0.0000000000000000e+00,3.0000000000000000e+00,134
7.8147200909349252e-04,9.9460073884626325e-04,"NEWTOWN",9.8000000000000000e+01,2.8000000000000000e+01,2.2000000000000000e+01,135
7.7041602465331282e-04,7.7041602465331282e-04,"KILLINGWORTH",7.1000000000000000e+01,5.0000000000000000e+00,5.0000000000000000e+00,136
7.5620084694494858e-04,4.5372050816696913e-04,"ESSEX",5.0000000000000000e+01,3.0000000000000000e+00,5.0000000000000000e+00,137
7.2442770211532891e-04,1.1590843233845263e-03,"WESTBROOK",1.5700000000000000e+02,8.0000000000000000e+00,5.0000000000000000e+00,138
7.2319652865666245e-04,1.8079913216416561e-04,"BETHANY",8.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,139
7.2319652865666245e-04,1.8079913216416561e-03,"HARWINTON",6.7000000000000000e+01,1.0000000000000000e+01,4.0000000000000000e+00,140
7.0077084793272596e-04,1.4015416958654519e-03,"WARREN",1.5000000000000000e+02,2.0000000000000000e+00,1.0000000000000000e+00,141
6.9204152249134946e-04,6.9204152249134946e-04,"COLEBROOK",2.9000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,142
6.8045726728361460e-04,5.4436581382689172e-04,"DURHAM",3.8000000000000000e+01,4.0000000000000000e+00,5.0000000000000000e+00,143
6.6832933965801098e-04,8.9653935807781958e-04,"FAIRFIELD",5.1000000000000000e+01,5.5000000000000000e+01,4.1000000000000000e+01,144
6.5867474641022263e-04,1.1856145435384007e-03,"MIDDLEBURY",8.2000000000000000e+01,9.0000000000000000e+00,5.0000000000000000e+00,145
6.5631152920586308e-04,2.6252461168234523e-03,"DEEP RIVER",3.6000000000000000e+01,1.2000000000000000e+01,3.0000000000000000e+00,146
6.4957264957264953e-04,6.4957264957264953e-04,"CHESHIRE",2.5000000000000000e+01,1.9000000000000000e+01,1.9000000000000000e+01,147
6.2879326371042708e-04,7.6548745147356331e-04,"TRUMBULL",1.4500000000000000e+02,2.8000000000000000e+01,2.3000000000000000e+01,148
5.7670126874279125e-04,1.7301038062283738e-03,"EASTFORD",4.6000000000000000e+01,3.0000000000000000e+00,1.0000000000000000e+00,149
5.7355893318038426e-04,5.7355893318038426e-04,"WASHINGTON",1.5100000000000000e+02,2.0000000000000000e+00,2.0000000000000000e+00,150
5.4767511911933838e-04,4.9290760720740459e-04,"MADISON",7.7000000000000000e+01,9.0000000000000000e+00,1.0000000000000000e+01,151
5.2770448548812663e-04,4.6907065376722371e-04,"BROOKFIELD",1.8000000000000000e+01,8.0000000000000000e+00,9.0000000000000000e+00,152
4.7168099851239070e-04,5.8053045970755783e-04,"WESTPORT",1.5900000000000000e+02,1.6000000000000000e+01,1.3000000000000000e+01,153
4.6339202965708991e-04,9.2678405931417981e-04,"CHESTER",2.6000000000000000e+01,4.0000000000000000e+00,2.0000000000000000e+00,154
4.1858518208455421e-04,0.0000000000000000e+00,"LYME",7.6000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,155
4.0267780741933858e-04,5.5368198520159054e-04,"MONROE",8.6000000000000000e+01,1.1000000000000000e+01,8.0000000000000000e+00,156
3.4364261168384882e-04,6.8728522336769765e-04,"KENT",6.9000000000000000e+01,2.0000000000000000e+00,1.0000000000000000e+00,157
3.2226877215597811e-04,1.0742292405199270e-04,"REDDING",1.1800000000000000e+02,1.0000000000000000e+00,3.0000000000000000e+00,158
2.7663792705979990e-04,5.5327585411959980e-04,"DARIEN",3.5000000000000000e+01,1.2000000000000000e+01,6.0000000000000000e+00,159
2.7142934694099124e-04,9.2285977959937024e-04,"AVON",4.0000000000000000e+00,1.7000000000000000e+01,5.0000000000000000e+00,160
1.9252984212552945e-04,3.8505968425105890e-04,"WESTON",1.5800000000000000e+02,4.0000000000000000e+00,2.0000000000000000e+00,161
1.6049646907768028e-04,1.6049646907768028e-04,"WILTON",1.6200000000000000e+02,3.0000000000000000e+00,3.0000000000000000e+00,162
1.3104442405975625e-04,6.5522212029878125e-04,"EASTON",4.7000000000000000e+01,5.0000000000000000e+00,1.0000000000000000e+00,163
0.0000000000000000e+00,0.0000000000000000e+00,"BRIDGEWATER",1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,164
0.0000000000000000e+00,0.0000000000000000e+00,"CORNWALL",3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,165
0.0000000000000000e+00,6.0422960725075529e-04,"NORFOLK",9.9000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,166
0.0000000000000000e+00,7.9349335449315612e-05,"RIDGEFIELD",1.1900000000000000e+02,2.0000000000000000e+00,0.0000000000000000e+00,167
0.0000000000000000e+00,0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,168
0.0000000000000000e+00,0.0000000000000000e+00,"UNION",1.4600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,169
