Municipality,Equalized Net Grand List GLYR 2012
"ANDOVER",359165307.3800
"ANSONIA",1276588988.5700
"ASHFORD",403533698.7900
"AVON",3603844067.6400
"BARKHAMSTED",485270508.2100
"BEACON FALLS",641059735.3100
"BERLIN",3080343787.1400
"BETHANY",815132209.4600
"BETHEL",2646524192.8600
"BETHLEHEM",531735907.3200
"BLOOMFIELD",2802966115.4100
"BOLTON",614405620.5600
"BOZRAH",308291157.1400
"BRANFORD",5030865923.3100
"BRIDGEPORT",8275778088.8500
"BRIDGEWATER",522898156.7400
"BRISTOL",5400791638.5700
"BROOKFIELD",3191616522.9900
"BROOKLYN",736109247.4500
"BURLINGTON",1268897484.7600
"CANAAN",242972235.7100
"CANTERBURY",479945793.6700
"CANTON",1540795085.4500
"CHAPLIN",220319766.2100
"CHESHIRE",3959962623.2000
"CHESTER",670265984.4000
"CLINTON",2143157440.3100
"COLCHESTER",1713186821.3600
"COLEBROOK",236048961.1200
"COLUMBIA",676993655.3500
"CORNWALL",506565540.2800
"COVENTRY",1353205676.0000
"CROMWELL",1794452347.1400
"DANBURY",9754447760.0000
"DARIEN",12451401016.7300
"DEEP RIVER",674174035.4300
"DERBY",943469618.0900
"DURHAM",1008830952.7300
"EAST GRANBY",804101890.4000
"EAST HADDAM",1206408850.0000
"EAST HAMPTON",1555518029.0700
"EAST HARTFORD",3936906558.0700
"EAST HAVEN",2578578931.0400
"EAST LYME",2932491385.1500
"EAST WINDSOR",1330898945.7100
"EASTFORD",217697015.2100
"EASTON",1853145732.4400
"ELLINGTON",1789664578.5400
"ENFIELD",4081383174.1400
"ESSEX",1493863898.4700
"FAIRFIELD",16145663531.3000
"FARMINGTON",4964907342.8600
"FRANKLIN",278675630.6700
"GLASTONBURY",5441509440.0000
"GOSHEN",740215957.1400
"GRANBY",1363093257.1400
"GREENWICH",45635509075.6200
"GRISWOLD",958388012.3800
"GROTON",5453605492.4000
"GROTON (City of)",
"GUILFORD",4401457458.5700
"HADDAM",1197059823.3700
"HAMDEN",5513135592.2700
"HAMPTON",188468025.0000
"HARTFORD",6888293807.2300
"HARTLAND",288386501.3700
"HARWINTON",760025199.4200
"HEBRON",1080916745.7100
"KENT",701869675.1500
"KILLINGLY",1597543143.2500
"KILLINGWORTH",970463260.8000
"LEBANON",843273018.4500
"LEDYARD",1480806732.2900
"LISBON",565256730.9500
"LITCHFIELD",1421529440.5600
"LYME",713714387.2800
"MADISON",4351612898.7500
"MANCHESTER",5476686373.6600
"MANSFIELD",1369554703.7500
"MARLBOROUGH",819164511.7000
"MERIDEN",4263929656.5000
"MIDDLEBURY",1338288168.7700
"MIDDLEFIELD",543459169.2300
"MIDDLETOWN",4608171738.1800
"MILFORD",9443606029.9900
"MONROE",3207048912.4700
"MONTVILLE",1776946040.8200
"MORRIS",464963219.2500
"NAUGATUCK",2254139970.0000
"NEW BRITAIN",3498493915.7100
"NEW CANAAN",11387799065.7300
"NEW FAIRFIELD",2238854493.2600
"NEW HARTFORD",939030593.4300
"NEW HAVEN",9330121968.7600
"NEW LONDON",1837874031.7600
"NEW MILFORD",4007864030.0100
"NEWINGTON",3651832565.5000
"NEWTOWN",4339760782.8600
"NORFOLK",379041219.0300
"NORTH BRANFORD",1785286052.1000
"NORTH CANAAN",440728485.7100
"NORTH HAVEN",3814425243.8000
"NORTH STONINGTON",765610254.3000
"NORWALK",16572378408.4800
"NORWICH",2936727830.1500
"OLD LYME",2251479918.1800
"OLD SAYBROOK",2994856250.3600
"ORANGE",2704439982.8600
"OXFORD",2060045316.9700
"PLAINFIELD",1194642328.5700
"PLAINVILLE",1884896086.2700
"PLYMOUTH",1029418266.4100
"POMFRET",424281527.5400
"PORTLAND",1123640030.4500
"PRESTON",545559501.4300
"PROSPECT",1192847705.5100
"PUTNAM",789672372.0100
"REDDING",2323953484.2900
"RIDGEFIELD",6598704715.7100
"ROCKY HILL",2784951675.3600
"ROXBURY",991561414.2900
"SALEM",489335927.7400
"SALISBURY",1569991945.2400
"SCOTLAND",153397639.8400
"SEYMOUR",1663013491.7400
"SHARON",985900863.7300
"SHELTON",6470363304.5400
"SHERMAN",970811488.3600
"SIMSBURY",3192698507.1400
"SOMERS",1110037653.4900
"SOUTH WINDSOR",3525312497.1400
"SOUTHBURY",3000056220.0000
"SOUTHINGTON",5286801017.1900
"SPRAGUE",234574730.0000
"STAFFORD",1046410610.7300
"STAMFORD",27068336287.1400
"STERLING",320405687.1400
"STONINGTON",3708545647.1400
"STRATFORD",6517575794.7300
"SUFFIELD",1948350555.8900
"THOMASTON",751015892.4000
"THOMPSON",813723909.5400
"TOLLAND",1779999108.0700
"TORRINGTON",2999332916.2500
"TRUMBULL",6635054926.4900
"UNION",125904472.8400
"VERNON",2402677895.0600
"VOLUNTOWN",268254970.6200
"WALLINGFORD",6075318039.5900
"WARREN",489722357.1400
"WASHINGTON",1527331923.9500
"WATERBURY",5758088707.1400
"WATERFORD",4533877854.2900
"WATERTOWN",2460853869.4200
"WEST HARTFORD",9035908809.6900
"WEST HAVEN",3920079058.7600
"WESTBROOK",1628977476.4700
"WESTON",3587402584.4500
"WESTPORT",14803064448.1200
"WETHERSFIELD",3147128674.6500
"WILLINGTON",629316326.9500
"WILTON",6054409014.2900
"WINCHESTER",983598185.7100
"WINDHAM",1191547481.3800
"WINDSOR",4026160993.3000
"WINDSOR LOCKS",1833714636.1300
"WOLCOTT",1846423677.2200
"WOODBRIDGE",1693844166.0800
"WOODBURY",1491656595.3700
"WOODSTOCK",937571433.3200
