Sort ID,Municipality,numbered,PER CAPITA INCOME - 2014 ESTIMATE,Population_Range,PercentOfState
1,"NEW CANAAN",9.1000000000000000e+01,103005.0000,"10,000 to 30,000",2.6768451143451144e+00
2,"DARIEN",3.5000000000000000e+01,95607.0000,"10,000 to 30,000",2.4845893970893971e+00
3,"GREENWICH",5.7000000000000000e+01,94200.0000,"30,000 to 70,000",2.4480249480249481e+00
4,"WESTON",1.5800000000000000e+02,91878.0000,"0 to 10,000",2.3876819126819129e+00
5,"WESTPORT",1.5900000000000000e+02,90945.0000,"10,000 to 30,000",2.3634355509355509e+00
6,"WILTON",1.6200000000000000e+02,78722.0000,"10,000 to 30,000",2.0457900207900206e+00
7,"RIDGEFIELD",1.1900000000000000e+02,75716.0000,"10,000 to 30,000",1.9676715176715176e+00
8,"AVON",4.0000000000000000e+00,66365.0000,"10,000 to 30,000",1.7246621621621621e+00
9,"BRIDGEWATER",1.6000000000000000e+01,63029.0000,"0 to 10,000",1.6379677754677755e+00
10,"WOODBRIDGE",1.6800000000000000e+02,61717.0000,"0 to 10,000",1.6038721413721413e+00
11,"REDDING",1.1800000000000000e+02,61372.0000,"0 to 10,000",1.5949064449064450e+00
12,"SHERMAN",1.2800000000000000e+02,60386.0000,"0 to 10,000",1.5692827442827444e+00
13,"ROXBURY",1.2100000000000000e+02,60205.0000,"0 to 10,000",1.5645790020790020e+00
14,"EASTON",4.7000000000000000e+01,59546.0000,"0 to 10,000",1.5474532224532225e+00
15,"FAIRFIELD",5.1000000000000000e+01,59156.0000,"30,000 to 70,000",1.5373180873180874e+00
16,"WASHINGTON",1.5100000000000000e+02,57394.0000,"0 to 10,000",1.4915280665280666e+00
17,"GRANBY",5.6000000000000000e+01,56042.0000,"0 to 10,000",1.4563929313929314e+00
18,"GLASTONBURY",5.4000000000000000e+01,55678.0000,"10,000 to 30,000",1.4469334719334719e+00
19,"SALISBURY",1.2300000000000000e+02,55464.0000,"0 to 10,000",1.4413721413721414e+00
20,"SHARON",1.2600000000000000e+02,54876.0000,"0 to 10,000",1.4260914760914760e+00
21,"FARMINGTON",5.2000000000000000e+01,54754.0000,"10,000 to 30,000",1.4229209979209980e+00
22,"SIMSBURY",1.2900000000000000e+02,54543.0000,"10,000 to 30,000",1.4174376299376299e+00
23,"WARREN",1.5000000000000000e+02,53578.0000,"0 to 10,000",1.3923596673596674e+00
24,"MADISON",7.7000000000000000e+01,53221.0000,"10,000 to 30,000",1.3830821205821207e+00
25,"GUILFORD",6.1000000000000000e+01,52791.0000,"10,000 to 30,000",1.3719074844074843e+00
26,"LYME",7.6000000000000000e+01,52332.0000,"0 to 10,000",1.3599792099792101e+00
27,"ESSEX",5.0000000000000000e+01,51956.0000,"0 to 10,000",1.3502079002079002e+00
28,"KILLINGWORTH",7.1000000000000000e+01,51316.0000,"0 to 10,000",1.3335758835758835e+00
29,"DURHAM",3.8000000000000000e+01,49767.0000,"0 to 10,000",1.2933212058212058e+00
30,"OLD LYME",1.0600000000000000e+02,49536.0000,"0 to 10,000",1.2873180873180874e+00
31,"ORANGE",1.0800000000000000e+02,49512.0000,"10,000 to 30,000",1.2866943866943867e+00
32,"BROOKFIELD",1.8000000000000000e+01,48978.0000,"10,000 to 30,000",1.2728170478170477e+00
33,"WEST HARTFORD",1.5500000000000000e+02,48808.0000,"30,000 to 70,000",1.2683991683991684e+00
34,"NEWTOWN",9.8000000000000000e+01,48740.0000,"10,000 to 30,000",1.2666320166320166e+00
35,"MONROE",8.6000000000000000e+01,48639.0000,"10,000 to 30,000",1.2640072765072765e+00
36,"CANTON",2.3000000000000000e+01,48460.0000,"0 to 10,000",1.2593555093555093e+00
37,"STAMFORD",1.3600000000000000e+02,46074.0000,"70,000 & Up",1.1973492723492722e+00
38,"LITCHFIELD",7.5000000000000000e+01,45939.0000,"0 to 10,000",1.1938409563409564e+00
39,"WOODBURY",1.6900000000000000e+02,45856.0000,"0 to 10,000",1.1916839916839916e+00
40,"TRUMBULL",1.4500000000000000e+02,45535.0000,"30,000 to 70,000",1.1833419958419960e+00
41,"TOLLAND",1.4300000000000000e+02,45519.0000,"10,000 to 30,000",1.1829261954261954e+00
42,"BETHANY",8.0000000000000000e+00,45430.0000,"0 to 10,000",1.1806133056133057e+00
43,"CORNWALL",3.1000000000000000e+01,45267.0000,"0 to 10,000",1.1763773388773389e+00
44,"HARWINTON",6.7000000000000000e+01,44967.0000,"0 to 10,000",1.1685810810810811e+00
45,"WESTBROOK",1.5700000000000000e+02,44966.0000,"0 to 10,000",1.1685550935550935e+00
46,"BOLTON",1.2000000000000000e+01,44959.0000,"0 to 10,000",1.1683731808731810e+00
47,"STONINGTON",1.3800000000000000e+02,44599.0000,"10,000 to 30,000",1.1590176715176714e+00
