Municipality,EQUALIZED NET GRAND LIST GLYR 2007
"ANDOVER",416011483.3687
"ANSONIA",1675945517.1429
"ASHFORD",485430028.5714
"AVON",3973388770.3001
"BARKHAMSTED",532382023.9074
"BEACON FALLS",738923413.8439
"BERLIN",3229787265.7143
"BETHANY",975832913.6886
"BETHEL",3294934128.5714
"BETHLEHEM",663369368.1703
"BLOOMFIELD",3190940420.3303
"BOLTON",677157698.4609
"BOZRAH",355780957.1429
"BRANFORD",6088562615.2942
"BRIDGEPORT",11436680102.9920
"BRIDGEWATER",549555901.2686
"BRISTOL",6232297421.4286
"BROOKFIELD",3640789552.1974
"BROOKLYN",844298372.7143
"BURLINGTON",1356175346.6451
"CANAAN",266681885.7143
"CANTERBURY",594781959.0031
"CANTON",1773180001.1440
"CHAPLIN",252863043.7894
"CHESHIRE",4354132462.6944
"CHESTER",732029079.2089
"CLINTON",2547863310.3314
"COLCHESTER",1851878356.0779
"COLEBROOK",267797540.2123
"COLUMBIA",802659882.7572
"CORNWALL",608085059.4465
"COVENTRY",1446495746.3011
"CROMWELL",1929219407.1429
"DANBURY",10347419782.8571
"DARIEN",12460762951.7636
"DEEP RIVER",797932677.3334
"DERBY",1380321087.7689
"DURHAM",1121857150.0821
"EAST GRANBY",831397082.0428
"EAST HADDAM",1393560644.2857
"EAST HAMPTON",1709710103.2736
"EAST HARTFORD",4904766423.9373
"EAST HAVEN",3279898968.9118
"EAST LYME",3396007521.5690
"EAST WINDSOR",1542874108.5714
"EASTFORD",230485274.2857
"EASTON",2202760061.0917
"ELLINGTON",1857807278.4273
"ENFIELD",4888653263.4024
"ESSEX",1754140000.3474
"FAIRFIELD",16375127214.3476
"FARMINGTON",5264313574.2857
"FRANKLIN",326464422.6445
"GLASTONBURY",5830109185.7143
"GOSHEN",854305175.7143
"GRANBY",1495997300.0000
"GREENWICH",52513936426.5436
"GRISWOLD",1183963338.9245
"GROTON",5819429481.9198
"GROTON (City of)",
"GUILFORD",4947979604.2857
"HADDAM",1354895232.1963
"HAMDEN",6663409793.0198
"HAMPTON",225016282.6881
"HARTFORD",8029737494.8798
"HARTLAND",297022476.8479
"HARWINTON",827522243.8234
"HEBRON",1189642021.9690
"KENT",974362763.2535
"KILLINGLY",1853407185.7143
"KILLINGWORTH",1125223764.5105
"LEBANON",996288671.6435
"LEDYARD",1783873635.9300
"LISBON",576821110.2052
"LITCHFIELD",1770768034.0853
"LYME",904855732.2882
"MADISON",4876842998.5714
"MANCHESTER",5959628016.1686
"MANSFIELD",1454525356.7335
"MARLBOROUGH",887051558.7084
"MERIDEN",5530244033.8476
"MIDDLEBURY",1528310895.3100
"MIDDLEFIELD",659706940.1542
"MIDDLETOWN",5072231780.0000
