MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2013 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,260819765.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,892497451.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,296251889.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2559080530.0000
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,339083712.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,475004584.0000
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2186129483.0000
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,549236405.0000
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1864792390.0000
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,364205855.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2067157242.0000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,427447825.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,218581611.0000
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3511071799.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,7079109642.0000
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,389449386.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3837148042.0000
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2208055756.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,549699585.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,885507753.0000
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,170581480.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,389555738.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1094095940.0000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,148895840.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2698424306.0000
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,440646140.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1505495363.0000
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1195815175.0000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,187537080.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,466098071.0000
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,397536310.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,1000261400.0000
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1271368432.0000
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,6887609487.0000
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8250643822.0000
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,490381516.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,748399081.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,743756410.0000
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,572966067.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,848584530.0000
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1135981139.0000
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2687876591.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1975351052.0000
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2061949264.0000
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,952292210.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,141272662.0000
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1326365165.0000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1292000469.0000
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2851095090.0000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1031550311.0000
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,10913511153.0000
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3500061738.0000
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,189115180.0000
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3832589412.0000
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,520545130.0000
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,960029620.0000
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,30955949676.0000
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,699028061.0000
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,3909603306.0000
"GROTON (City of)",6.0000000000000000e+01,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,3042717635.0000
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,905164703.0000
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,4072325628.0000
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,125064590.0000
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3531344777.0000
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,197159605.0000
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,541079975.0000
