Municipality,numbered,Comptroller Town Code,County_Identifier,Population_Range
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"T","0 to 10,000"
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,"NH","10,000 to 30,000"
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,"W","0 to 10,000"
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,"H","10,000 to 30,000"
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"L","0 to 10,000"
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"NH","0 to 10,000"
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"H","10,000 to 30,000"
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"NH","0 to 10,000"
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"F","10,000 to 30,000"
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"L","0 to 10,000"
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"H","10,000 to 30,000"
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"T","0 to 10,000"
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"NL","0 to 10,000"
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"NH","10,000 to 30,000"
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"F","70,000 & Up"
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"L","0 to 10,000"
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,"H","30,000 to 70,000"
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,"F","10,000 to 30,000"
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,"W","0 to 10,000"
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,"H","0 to 10,000"
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,"L","0 to 10,000"
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,"W","0 to 10,000"
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,"H","0 to 10,000"
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,"W","0 to 10,000"
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,"NH","10,000 to 30,000"
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,"M","0 to 10,000"
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,"M","10,000 to 30,000"
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,"NL","10,000 to 30,000"
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,"L","0 to 10,000"
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,"T","0 to 10,000"
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,"L","0 to 10,000"
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,"T","10,000 to 30,000"
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,"M","10,000 to 30,000"
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,"F","30,000 to 70,000"
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,"F","10,000 to 30,000"
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,"M","0 to 10,000"
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"NH","10,000 to 30,000"
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,"M","0 to 10,000"
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,"H","0 to 10,000"
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,"M","0 to 10,000"
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,"M","10,000 to 30,000"
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,"H","30,000 to 70,000"
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"NH","10,000 to 30,000"
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"NL","10,000 to 30,000"
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"H","0 to 10,000"
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"W","0 to 10,000"
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"F","0 to 10,000"
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"T","10,000 to 30,000"
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"H","30,000 to 70,000"
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"M","0 to 10,000"
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"F","30,000 to 70,000"
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"H","10,000 to 30,000"
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"NL","0 to 10,000"
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"H","10,000 to 30,000"
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"L","0 to 10,000"
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"H","0 to 10,000"
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"F","30,000 to 70,000"
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"NL","10,000 to 30,000"
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"NL","30,000 to 70,000"
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"NH","10,000 to 30,000"
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"M","0 to 10,000"
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"NH","30,000 to 70,000"
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"W","0 to 10,000"
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"H","70,000 & Up"
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,"H","0 to 10,000"
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,"L","0 to 10,000"
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,"T","0 to 10,000"
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,"L","0 to 10,000"
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,"W","10,000 to 30,000"
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,"M","0 to 10,000"
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,"NL","0 to 10,000"
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,"NL","10,000 to 30,000"
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,"NL","0 to 10,000"
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,"L","0 to 10,000"
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"NL","0 to 10,000"
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"NH","10,000 to 30,000"
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"H","30,000 to 70,000"
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"T","10,000 to 30,000"
