MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1690249000000000e+08,4.5092000000000000e+06,1.0683000000000000e+06,6.1680000000000000e+05,1.5360000000000000e+06,2.3097697000000000e+08,1.1759000000000000e+06,2.2980107000000000e+08,2.5717580000000000e+07,6.9992000000000000e+05,2.5017660000000000e+07,6.4575050000000000e+06,4.5647000000000000e+05,6.0010350000000000e+06,2.6315205500000000e+08,2.6081976500000000e+08,6.3441800000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.5090255000000000e+08,7.8406900000000000e+07,1.5386600000000000e+07,3.3000000000000000e+04,1.5401400000000000e+07,7.6024951000000000e+08,5.8751490000000000e+06,7.5437436100000000e+08,9.2679667000000000e+07,1.2388720000000000e+06,9.1440795000000000e+07,5.0680465000000000e+07,3.9981700000000000e+06,4.6682295000000000e+07,9.0360964200000000e+08,8.9249745100000000e+08,1.1906000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2470930000000000e+08,1.2664800000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.2436000000000000e+06,2.5995911000000000e+08,1.0171750000000000e+06,2.5894193500000000e+08,3.0117490000000000e+07,9.6374000000000000e+05,2.9153750000000000e+07,8.8211110000000000e+06,6.6490700000000000e+05,8.1562040000000000e+06,2.9889771100000000e+08,2.9625188900000000e+08,1.3341410000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,1.9747184000000000e+09,2.6064744000000000e+08,3.2007780000000000e+07,3.2259000000000000e+05,3.2453520000000000e+07,2.3050439900000000e+09,4.3450600000000000e+06,2.3006989300000000e+09,1.7663217000000000e+08,8.5667000000000000e+05,1.7577550000000000e+08,9.7338470000000000e+07,1.4732370000000000e+07,8.2606100000000000e+07,2.5790146300000000e+09,2.5590805300000000e+09,4.8942600000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.4550645000000000e+08,1.1609096000000000e+07,4.3247200000000000e+06,0.0000000000000000e+00,2.1733800000000000e+06,3.0019819600000000e+08,1.0227900000000000e+06,2.9917540600000000e+08,3.0788295000000000e+07,5.4241000000000000e+05,3.0245885000000000e+07,1.4191881000000000e+07,4.5294600000000000e+06,9.6624210000000000e+06,3.4517837200000000e+08,3.3908371200000000e+08,3.6584550000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.5840641000000000e+08,1.4013620000000000e+07,3.0697430000000000e+07,3.1364000000000000e+05,7.3214000000000000e+05,4.1767777000000000e+08,3.2863460000000000e+06,4.1439142400000000e+08,4.2061090000000000e+07,3.2992000000000000e+05,4.1731170000000000e+07,2.1384974000000000e+07,2.5029840000000000e+06,1.8881990000000000e+07,4.8112383400000000e+08,4.7500458400000000e+08,1.3514530000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.3864303800000000e+09,2.5487346000000000e+08,1.2255026000000000e+08,3.0052000000000000e+06,1.6810000000000000e+05,1.8034436000000000e+09,5.5682970000000000e+06,1.7978753030000000e+09,1.9720780000000000e+08,1.4856540000000000e+07,1.8235126000000000e+08,2.6399981000000000e+08,5.8096890000000000e+07,2.0590292000000000e+08,2.2646512100000000e+09,2.1861294830000000e+09,3.6416200000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.5295476000000000e+08,2.4959070000000000e+07,4.8230800000000000e+06,0.0000000000000000e+00,3.1172000000000000e+05,4.8661086000000000e+08,1.9741150000000000e+06,4.8463674500000000e+08,4.5787505000000000e+07,1.7688500000000000e+05,4.5610620000000000e+07,2.2264970000000000e+07,3.2759300000000000e+06,1.8989040000000000e+07,5.5466333500000000e+08,5.4923640500000000e+08,3.5622300000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.2670930600000000e+09,1.8775015000000000e+08,7.9222670000000000e+07,0.0000000000000000e+00,2.0778950000000000e+07,1.5963736400000000e+09,5.2321600000000000e+06,1.5911414800000000e+09,1.4187353000000000e+08,3.0281000000000000e+05,1.4157072000000000e+08,1.5672205000000000e+08,2.4641860000000000e+07,1.3208019000000000e+08,1.8949692200000000e+09,1.8647923900000000e+09,4.1528810000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,2.9530610000000000e+08,2.0535900000000000e+07,2.5315000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.2734370000000000e+08,2.8017900000000000e+06,3.2454191000000000e+08,3.3132630000000000e+07,1.4156000000000000e+05,3.2991070000000000e+07,7.8790700000000000e+06,1.2061950000000000e+06,6.6728750000000000e+06,3.6835540000000000e+08,3.6420585500000000e+08,8.9702000000000000e+06
