MUNICIPALITY,Numbered,2013 LABOR FORCE,2013 UNEMPLOYED,2013 UNEMP RATE,2012 LABOR FORCE,2012 UNEMPLOYED,2012 UNEMP RATE,2011 LABOR FORCE,2011 UNEMPLOYED,2011 UNEMP RATE,2010 LABOR FORCE,2010 UNEMPLOYED,2010 UNEMP RATE
"ANDOVER",1.0000000000000000e+00,1.8950000000000000e+03,1.2200000000000000e+02,6.4379947229551454e-02,1.9090000000000000e+03,1.2600000000000000e+02,6.6003143006809845e-02,1.9450000000000000e+03,1.3300000000000000e+02,6.8380462724935739e-02,1.9520000000000000e+03,1.4100000000000000e+02,7.2233606557377053e-02
"ANSONIA",2.0000000000000000e+00,9.5150000000000000e+03,1.0280000000000000e+03,1.0803993694167105e-01,9.7030000000000000e+03,1.1060000000000000e+03,1.1398536535092239e-01,9.8660000000000000e+03,1.1600000000000000e+03,1.1757551185890938e-01,9.8900000000000000e+03,1.1580000000000000e+03,1.1708796764408494e-01
"ASHFORD",3.0000000000000000e+00,2.5050000000000000e+03,1.7200000000000000e+02,6.8662674650698599e-02,2.5480000000000000e+03,1.9600000000000000e+02,7.6923076923076927e-02,2.5840000000000000e+03,2.0000000000000000e+02,7.7399380804953566e-02,2.5930000000000000e+03,2.1000000000000000e+02,8.0987273428461237e-02
"AVON",4.0000000000000000e+00,9.0640000000000000e+03,4.5300000000000000e+02,4.9977934686672554e-02,9.1120000000000000e+03,4.9300000000000000e+02,5.4104477611940295e-02,9.1700000000000000e+03,5.1700000000000000e+02,5.6379498364231187e-02,9.1820000000000000e+03,5.7000000000000000e+02,6.2077978653888040e-02
"BARKHAMSTED",5.0000000000000000e+00,2.2850000000000000e+03,1.4700000000000000e+02,6.4332603938730859e-02,2.3280000000000000e+03,1.7700000000000000e+02,7.6030927835051540e-02,2.3820000000000000e+03,1.9400000000000000e+02,8.1444164567590266e-02,2.4000000000000000e+03,2.1100000000000000e+02,8.7916666666666671e-02
"BEACON FALLS",6.0000000000000000e+00,3.3580000000000000e+03,2.1700000000000000e+02,6.4621798689696253e-02,3.3990000000000000e+03,2.5300000000000000e+02,7.4433656957928807e-02,3.4480000000000000e+03,2.8700000000000000e+02,8.3236658932714619e-02,3.4570000000000000e+03,3.1700000000000000e+02,9.1698004049754117e-02
"BERLIN",7.0000000000000000e+00,1.1410000000000000e+04,6.8300000000000000e+02,5.9859772129710782e-02,1.1477000000000000e+04,7.6800000000000000e+02,6.6916441578809799e-02,1.1502000000000000e+04,8.5100000000000000e+02,7.3987132672578684e-02,1.1358000000000000e+04,8.7700000000000000e+02,7.7214298291952810e-02
"BETHANY",8.0000000000000000e+00,3.0270000000000000e+03,1.7000000000000000e+02,5.6161215725140406e-02,3.0540000000000000e+03,1.8700000000000000e+02,6.1231172233136871e-02,3.0940000000000000e+03,2.1200000000000000e+02,6.8519715578539114e-02,3.1080000000000000e+03,2.2900000000000000e+02,7.3680823680823682e-02
"BETHEL",9.0000000000000000e+00,1.0462000000000000e+04,6.7500000000000000e+02,6.4519212387688776e-02,1.0504000000000000e+04,7.2200000000000000e+02,6.8735719725818739e-02,1.0537000000000000e+04,7.7500000000000000e+02,7.3550346398405617e-02,1.0410000000000000e+04,8.3900000000000000e+02,8.0595581171950051e-02
"BETHLEHEM",1.0000000000000000e+01,1.9340000000000000e+03,1.1100000000000000e+02,5.7394002068252327e-02,1.9660000000000000e+03,1.2800000000000000e+02,6.5106815869786366e-02,2.0020000000000000e+03,1.4100000000000000e+02,7.0429570429570432e-02,2.0080000000000000e+03,1.5400000000000000e+02,7.6693227091633467e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1238000000000000e+04,9.6000000000000000e+02,8.5424452749599575e-02,1.1336000000000000e+04,1.0340000000000000e+03,9.1213832039520118e-02,1.1418000000000000e+04,1.0620000000000000e+03,9.3011035207566997e-02,1.1385000000000000e+04,1.0790000000000000e+03,9.4773825208607818e-02
