MUNICIPALITY,Numbered,November 2015 Labor Force,November 2015 Unemployed
"ANDOVER",1.0000000000000000e+00,1.9310000000000000e+03,7.1000000000000000e+01
"ANSONIA",2.0000000000000000e+00,9.5430000000000000e+03,6.6000000000000000e+02
"ASHFORD",3.0000000000000000e+00,2.5410000000000000e+03,9.2000000000000000e+01
"AVON",4.0000000000000000e+00,9.3200000000000000e+03,2.8800000000000000e+02
"BARKHAMSTED",5.0000000000000000e+00,2.3340000000000000e+03,8.8000000000000000e+01
"BEACON FALLS",6.0000000000000000e+00,3.4040000000000000e+03,1.3700000000000000e+02
"BERLIN",7.0000000000000000e+00,1.1704000000000000e+04,4.4300000000000000e+02
"BETHANY",8.0000000000000000e+00,3.0870000000000000e+03,1.1100000000000000e+02
"BETHEL",9.0000000000000000e+00,1.0587000000000000e+04,4.1500000000000000e+02
"BETHLEHEM",1.0000000000000000e+01,1.9680000000000000e+03,6.9000000000000000e+01
"BLOOMFIELD",1.1000000000000000e+01,1.1379000000000000e+04,5.9400000000000000e+02
"BOLTON",1.2000000000000000e+01,3.1530000000000000e+03,1.0400000000000000e+02
"BOZRAH",1.3000000000000000e+01,1.4250000000000000e+03,6.3000000000000000e+01
"BRANFORD",1.4000000000000000e+01,1.5827000000000000e+04,6.8600000000000000e+02
"BRIDGEPORT",1.5000000000000000e+01,7.1061000000000000e+04,5.2250000000000000e+03
"BRIDGEWATER",1.6000000000000000e+01,8.6100000000000000e+02,3.1000000000000000e+01
"BRISTOL",1.7000000000000000e+01,3.3074000000000000e+04,1.8300000000000000e+03
"BROOKFIELD",1.8000000000000000e+01,9.1700000000000000e+03,3.4800000000000000e+02
"BROOKLYN",1.9000000000000000e+01,4.0980000000000000e+03,1.9700000000000000e+02
"BURLINGTON",2.0000000000000000e+01,5.5120000000000000e+03,2.0500000000000000e+02
"CANAAN",2.1000000000000000e+01,6.9500000000000000e+02,1.6000000000000000e+01
"CANTERBURY",2.2000000000000000e+01,2.7990000000000000e+03,1.3500000000000000e+02
"CANTON",2.3000000000000000e+01,5.6510000000000000e+03,1.8900000000000000e+02
"CHAPLIN",2.4000000000000000e+01,1.2450000000000000e+03,6.0000000000000000e+01
"CHESHIRE",2.5000000000000000e+01,1.5313000000000000e+04,4.8700000000000000e+02
"CHESTER",2.6000000000000000e+01,2.3420000000000000e+03,7.2000000000000000e+01
"CLINTON",2.7000000000000000e+01,7.2850000000000000e+03,2.8700000000000000e+02
"COLCHESTER",2.8000000000000000e+01,9.4280000000000000e+03,3.4800000000000000e+02
"COLEBROOK",2.9000000000000000e+01,8.3000000000000000e+02,3.3000000000000000e+01
"COLUMBIA",3.0000000000000000e+01,3.2300000000000000e+03,1.2000000000000000e+02
"CORNWALL",3.1000000000000000e+01,7.5500000000000000e+02,2.4000000000000000e+01
"COVENTRY",3.2000000000000000e+01,7.7130000000000000e+03,2.9200000000000000e+02
"CROMWELL",3.3000000000000000e+01,8.0090000000000000e+03,3.2300000000000000e+02
"DANBURY",3.4000000000000000e+01,4.6326000000000000e+04,1.7640000000000000e+03
"DARIEN",3.5000000000000000e+01,8.4860000000000000e+03,3.2300000000000000e+02
"DEEP RIVER",3.6000000000000000e+01,2.8700000000000000e+03,1.0800000000000000e+02
"DERBY",3.7000000000000000e+01,6.9390000000000000e+03,4.0200000000000000e+02
"DURHAM",3.8000000000000000e+01,4.3030000000000000e+03,1.3700000000000000e+02
"EAST GRANBY",3.9000000000000000e+01,3.0600000000000000e+03,1.0000000000000000e+02
"EAST HADDAM",4.0000000000000000e+01,5.0230000000000000e+03,2.0900000000000000e+02
"EAST HAMPTON",4.1000000000000000e+01,7.6540000000000000e+03,2.8400000000000000e+02
"EAST HARTFORD",4.2000000000000000e+01,2.7574000000000000e+04,1.6700000000000000e+03
"EAST HAVEN",4.3000000000000000e+01,1.5768000000000000e+04,8.4600000000000000e+02
"EAST LYME",4.4000000000000000e+01,8.3910000000000000e+03,3.9200000000000000e+02
"EAST WINDSOR",4.5000000000000000e+01,6.4600000000000000e+03,2.9900000000000000e+02
