Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2014 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,208078.0000,"0 to 10,000",2.9768380091274551e+00
2,"DARIEN",3.5000000000000000e+01,199444.0000,"10,000 to 30,000",2.8533169287114264e+00
3,"NEW CANAAN",9.1000000000000000e+01,179810.0000,"10,000 to 30,000",2.5724259288401838e+00
4,"WILTON",1.6200000000000000e+02,175019.0000,"10,000 to 30,000",2.5038841757392811e+00
5,"WESTPORT",1.5900000000000000e+02,151771.0000,"10,000 to 30,000",2.1712900041488434e+00
6,"RIDGEFIELD",1.1900000000000000e+02,147936.0000,"10,000 to 30,000",2.1164251276842303e+00
7,"GREENWICH",5.7000000000000000e+01,135258.0000,"30,000 to 70,000",1.9350491423339389e+00
8,"WOODBRIDGE",1.6800000000000000e+02,134045.0000,"0 to 10,000",1.9176955321249232e+00
9,"EASTON",4.7000000000000000e+01,132000.0000,"0 to 10,000",1.8884390334625674e+00
10,"REDDING",1.1800000000000000e+02,121667.0000,"0 to 10,000",1.7406114536688650e+00
11,"FAIRFIELD",5.1000000000000000e+01,120082.0000,"30,000 to 70,000",1.7179358789110002e+00
12,"DURHAM",3.8000000000000000e+01,117328.0000,"0 to 10,000",1.6785361736219402e+00
13,"AVON",4.0000000000000000e+00,116565.0000,"10,000 to 30,000",1.6676204237542740e+00
14,"SHERMAN",1.2800000000000000e+02,115442.0000,"0 to 10,000",1.6515543856135282e+00
15,"MARLBOROUGH",8.0000000000000000e+01,112714.0000,"0 to 10,000",1.6125266455886351e+00
16,"KILLINGWORTH",7.1000000000000000e+01,112344.0000,"0 to 10,000",1.6072332937524143e+00
17,"SIMSBURY",1.2900000000000000e+02,109823.0000,"10,000 to 30,000",1.5711669694845420e+00
18,"BURLINGTON",2.0000000000000000e+01,109037.0000,"0 to 10,000",1.5599221734216513e+00
19,"MONROE",8.6000000000000000e+01,108688.0000,"10,000 to 30,000",1.5549292550680267e+00
20,"NEWTOWN",9.8000000000000000e+01,108667.0000,"10,000 to 30,000",1.5546288215854305e+00
21,"TRUMBULL",1.4500000000000000e+02,108554.0000,"30,000 to 70,000",1.5530122033219360e+00
22,"MADISON",7.7000000000000000e+01,108231.0000,"10,000 to 30,000",1.5483912502324784e+00
23,"GLASTONBURY",5.4000000000000000e+01,108157.0000,"10,000 to 30,000",1.5473325798652342e+00
24,"CHESHIRE",2.5000000000000000e+01,107716.0000,"10,000 to 30,000",1.5410234767307114e+00
25,"TOLLAND",1.4300000000000000e+02,107290.0000,"10,000 to 30,000",1.5349289689409005e+00
26,"BROOKFIELD",1.8000000000000000e+01,106920.0000,"10,000 to 30,000",1.5296356171046797e+00
27,"ORANGE",1.0800000000000000e+02,105190.0000,"10,000 to 30,000",1.5048856206812686e+00
28,"SALEM",1.2200000000000000e+02,104583.0000,"0 to 10,000",1.4962016623986036e+00
29,"HEBRON",6.8000000000000000e+01,101974.0000,"0 to 10,000",1.4588763787750898e+00
30,"NEW FAIRFIELD",9.2000000000000000e+01,101750.0000,"10,000 to 30,000",1.4556717549607290e+00
31,"MIDDLEFIELD",8.3000000000000000e+01,100694.0000,"0 to 10,000",1.4405642426930285e+00
32,"PROSPECT",1.1600000000000000e+02,100592.0000,"0 to 10,000",1.4391049943489893e+00
33,"GRANBY",5.6000000000000000e+01,100262.0000,"0 to 10,000",1.4343838967653328e+00
34,"WARREN",1.5000000000000000e+02,100250.0000,"0 to 10,000",1.4342122204895635e+00
35,"GUILFORD",6.1000000000000000e+01,99441.0000,"10,000 to 30,000",1.4226383782314482e+00
36,"HADDAM",6.2000000000000000e+01,99010.0000,"0 to 10,000",1.4164723386600666e+00
37,"COLCHESTER",2.8000000000000000e+01,98899.0000,"10,000 to 30,000",1.4148843331092005e+00
38,"OXFORD",1.0900000000000000e+02,98504.0000,"0 to 10,000",1.4092333223651268e+00
39,"BETHANY",8.0000000000000000e+00,97500.0000,"0 to 10,000",1.3948697406257600e+00
40,"ANDOVER",1.0000000000000000e+00,97426.0000,"0 to 10,000",1.3938110702585158e+00
41,"EAST HAMPTON",4.1000000000000000e+01,96066.0000,"10,000 to 30,000",1.3743544256713258e+00
42,"MIDDLEBURY",8.2000000000000000e+01,95320.0000,"0 to 10,000",1.3636818838609994e+00
43,"SOMERS",1.3000000000000000e+02,95139.0000,"0 to 10,000",1.3610924333681456e+00
44,"SUFFIELD",1.4000000000000000e+02,94610.0000,"10,000 to 30,000",1.3535243708779812e+00
45,"SOUTH WINDSOR",1.3100000000000000e+02,94217.0000,"10,000 to 30,000",1.3479019728465358e+00
46,"COLUMBIA",3.0000000000000000e+01,93953.0000,"0 to 10,000",1.3441250947796106e+00
47,"BRIDGEWATER",1.6000000000000000e+01,93750.0000,"0 to 10,000",1.3412209044478463e+00
48,"FRANKLIN",5.3000000000000000e+01,93636.0000,"0 to 10,000",1.3395899798280375e+00
49,"FARMINGTON",5.2000000000000000e+01,92933.0000,"10,000 to 30,000",1.3295326113392181e+00
50,"COVENTRY",3.2000000000000000e+01,92663.0000,"10,000 to 30,000",1.3256698951344081e+00
51,"HARWINTON",6.7000000000000000e+01,91802.0000,"0 to 10,000",1.3133521223479592e+00
52,"POMFRET",1.1300000000000000e+02,91625.0000,"0 to 10,000",1.3108198972803617e+00
53,"HARTLAND",6.6000000000000000e+01,91550.0000,"0 to 10,000",1.3097469205568033e+00
54,"LEBANON",7.2000000000000000e+01,90149.0000,"0 to 10,000",1.2897037153607347e+00
55,"ROXBURY",1.2100000000000000e+02,90078.0000,"0 to 10,000",1.2886879640624329e+00
56,"CANTON",2.3000000000000000e+01,89452.0000,"0 to 10,000",1.2797321850097998e+00
57,"BOLTON",1.2000000000000000e+01,88625.0000,"0 to 10,000",1.2679008283380306e+00
58,"BETHLEHEM",1.0000000000000000e+01,88616.0000,"0 to 10,000",1.2677720711312035e+00
59,"ESSEX",5.0000000000000000e+01,88550.0000,"0 to 10,000",1.2668278516144722e+00
60,"SHELTON",1.2700000000000000e+02,88369.0000,"30,000 to 70,000",1.2642384011216183e+00
61,"OLD LYME",1.0600000000000000e+02,87817.0000,"0 to 10,000",1.2563412924362294e+00
62,"BERLIN",7.0000000000000000e+00,87518.0000,"10,000 to 30,000",1.2520636918983103e+00
63,"NORTH BRANFORD",1.0000000000000000e+02,87408.0000,"10,000 to 30,000",1.2504899927037583e+00
64,"BEACON FALLS",6.0000000000000000e+00,87273.0000,"0 to 10,000",1.2485586346013533e+00
65,"LEDYARD",7.3000000000000000e+01,87101.0000,"10,000 to 30,000",1.2460979413153264e+00
66,"BETHEL",9.0000000000000000e+00,85377.0000,"10,000 to 30,000",1.2214337830298001e+00
