Municipality,Mill Rate FY 2014-15
"ANDOVER",3.0719999999999999e+01
"ANSONIA",3.8609999999999999e+01
"ASHFORD",3.2159999999999997e+01
"AVON",2.8320000000000000e+01
"BARKHAMSTED",2.7370000000000001e+01
"BEACON FALLS",3.2500000000000000e+01
"BERLIN",2.8920000000000002e+01
"BETHANY",3.3899999999999999e+01
"BETHEL",3.2109999999999999e+01
"BETHLEHEM",2.2469999999999999e+01
"BLOOMFIELD",3.4840000000000003e+01
"BOLTON",3.5340000000000003e+01
"BOZRAH",2.6750000000000000e+01
"BRANFORD",2.6239999999999998e+01
"BRIDGEPORT",4.2198000000000000e+01
"BRIDGEWATER",1.7250000000000000e+01
"BRISTOL",3.4609999999999999e+01
"BROOKFIELD",2.5699999999999999e+01
"BROOKLYN",2.3430000000000000e+01
"BURLINGTON",2.9850000000000001e+01
"CANAAN",2.2750000000000000e+01
"CANTERBURY",2.1500000000000000e+01
"CANTON",2.8559999999999999e+01
"CHAPLIN",3.5049999999999997e+01
"CHESHIRE",3.0250000000000000e+01
"CHESTER",2.4820000000000000e+01
"CLINTON",2.6270000000000000e+01
"COLCHESTER",3.0570000000000000e+01
"COLEBROOK",2.7800000000000001e+01
"COLUMBIA",2.7129999999999999e+01
"CORNWALL",1.4900000000000000e+01
"COVENTRY",2.8469999999999999e+01
"CROMWELL",3.1180000000000000e+01
"DANBURY",2.7600000000000001e+01
"DARIEN",1.5010000000000000e+01
"DEEP RIVER",2.5879999999999999e+01
"DERBY",3.5740000000000002e+01
"DURHAM",3.3219999999999999e+01
"EAST GRANBY",2.9800000000000001e+01
"EAST HADDAM",2.7899999999999999e+01
"EAST HAMPTON",2.7140000000000001e+01
"EAST HARTFORD",4.5399999999999999e+01
"EAST HAVEN",3.2049999999999997e+01
"EAST LYME",2.4030000000000001e+01
"EAST WINDSOR",2.9780000000000001e+01
"EASTFORD",2.4800000000000001e+01
"EASTON",2.9899999999999999e+01
"ELLINGTON",2.8699999999999999e+01
"ENFIELD",2.9129999999999999e+01
"ESSEX",2.0989999999999998e+01
"FAIRFIELD",2.4399999999999999e+01
"FARMINGTON",2.4440000000000001e+01
"FRANKLIN",2.4719999999999999e+01
"GLASTONBURY",3.5649999999999999e+01
"GOSHEN",1.9199999999999999e+01
"GRANBY",3.5520000000000003e+01
"GREENWICH",1.0968999999999999e+01
"GRISWOLD",2.6079999999999998e+01
"GROTON",2.0129999999999999e+01
"GROTON (City of)",4.8220000000000001e+00
"GUILFORD",2.7420000000000002e+01
"HADDAM",3.0390000000000001e+01
"HAMDEN",3.9930000000000000e+01
"HAMPTON",2.9730000000000000e+01
"HARTFORD",7.4290000000000006e+01
"HARTLAND",2.4500000000000000e+01
"HARWINTON",2.6899999999999999e+01
"HEBRON",3.5750000000000000e+01
"KENT",1.7030000000000001e+01
"KILLINGLY",2.6510000000000002e+01
"KILLINGWORTH",2.4530000000000001e+01
"LEBANON",2.8199999999999999e+01
"LEDYARD",2.9899999999999999e+01
"LISBON",1.9500000000000000e+01
"LITCHFIELD",2.5199999999999999e+01
"LYME",1.7000000000000000e+01
"MADISON",2.5170000000000002e+01
"MANCHESTER",3.8649999999999999e+01
"MANSFIELD",2.7949999999999999e+01
"MARLBOROUGH",3.1449999999999999e+01
"MERIDEN",3.5740000000000002e+01
"MIDDLEBURY",2.9340000000000000e+01
"MIDDLEFIELD",3.3920000000000002e+01
"MIDDLETOWN",3.2700000000000003e+01
"MILFORD",2.7219999999999999e+01
"MONROE",3.1010000000000002e+01
"MONTVILLE",2.9370000000000001e+01
"MORRIS",2.2379999999999999e+01
"NAUGATUCK",4.4270000000000003e+01
"NEW BRITAIN",4.9000000000000000e+01
"NEW CANAAN",1.5542000000000000e+01
"NEW FAIRFIELD",2.6079999999999998e+01
"NEW HARTFORD",2.7680000000000000e+01
"NEW HAVEN",4.1549999999999997e+01
"NEW LONDON",3.8000000000000000e+01
"NEW MILFORD",2.6300000000000001e+01
"NEWINGTON",3.4770000000000003e+01
"NEWTOWN",3.3310000000000002e+01
"NORFOLK",2.2410000000000000e+01
"NORTH BRANFORD",2.9920000000000002e+01
"NORTH CANAAN",2.7500000000000000e+01
"NORTH HAVEN",2.8100000000000001e+01
"NORTH STONINGTON",2.5850000000000001e+01
"NORWALK",2.5041000000000000e+01
"NORWICH",3.8549999999999997e+01
"OLD LYME",1.9660000000000000e+01
"OLD SAYBROOK",1.8500000000000000e+01
"ORANGE",3.0800000000000001e+01
"OXFORD",2.4870000000000001e+01
"PLAINFIELD",2.8359999999999999e+01
"PLAINVILLE",3.1379999999999999e+01
"PLYMOUTH",3.4850000000000001e+01
"POMFRET",2.4129999999999999e+01
"PORTLAND",3.1780000000000001e+01
"PRESTON",2.3140000000000001e+01
"PROSPECT",2.8980000000000000e+01
"PUTNAM",1.5070000000000000e+01
"REDDING",2.8910000000000000e+01
"RIDGEFIELD",2.6010000000000002e+01
"ROCKY HILL",2.9699999999999999e+01
"ROXBURY",1.3400000000000000e+01
"SALEM",3.1100000000000001e+01
"SALISBURY",1.0500000000000000e+01
"SCOTLAND",3.5000000000000000e+01
"SEYMOUR",3.4039999999999999e+01
"SHARON",1.3250000000000000e+01
"SHELTON",2.2309999999999999e+01
"SHERMAN",1.9840000000000000e+01
"SIMSBURY",3.7140000000000001e+01
"SOMERS",2.3370000000000001e+01
"SOUTH WINDSOR",3.5509999999999998e+01
"SOUTHBURY",2.7600000000000001e+01
"SOUTHINGTON",2.8359999999999999e+01
"SPRAGUE",3.1000000000000000e+01
"STAFFORD",3.3030000000000001e+01
"STAMFORD",2.4789999999999999e+01
"STERLING",3.1500000000000000e+01
"STONINGTON",2.0430000000000000e+01
"STRATFORD",3.5630000000000003e+01
"SUFFIELD",2.7120000000000001e+01
"THOMASTON",3.3630000000000003e+01
"THOMPSON",2.2870000000000001e+01
"TOLLAND",3.1050000000000001e+01
