MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2014 ESTIMATE
"ANDOVER",97426.0000
"ANSONIA",43144.0000
"ASHFORD",77250.0000
"AVON",116565.0000
"BARKHAMSTED",81792.0000
"BEACON FALLS",87273.0000
"BERLIN",87518.0000
"BETHANY",97500.0000
"BETHEL",85377.0000
"BETHLEHEM",88616.0000
"BLOOMFIELD",73519.0000
"BOLTON",88625.0000
"BOZRAH",76307.0000
"BRANFORD",71058.0000
"BRIDGEPORT",41204.0000
"BRIDGEWATER",93750.0000
"BRISTOL",60208.0000
"BROOKFIELD",106920.0000
"BROOKLYN",59369.0000
"BURLINGTON",109037.0000
"CANAAN",68021.0000
"CANTERBURY",81496.0000
"CANTON",89452.0000
"CHAPLIN",78750.0000
"CHESHIRE",107716.0000
"CHESTER",74063.0000
"CLINTON",71028.0000
"COLCHESTER",98899.0000
"COLEBROOK",78854.0000
"COLUMBIA",93953.0000
"CORNWALL",80234.0000
"COVENTRY",92663.0000
"CROMWELL",80028.0000
"DANBURY",65981.0000
"DARIEN",199444.0000
"DEEP RIVER",65577.0000
"DERBY",52136.0000
"DURHAM",117328.0000
"EAST GRANBY",71272.0000
"EAST HADDAM",82773.0000
"EAST HAMPTON",96066.0000
"EAST HARTFORD",50355.0000
"EAST HAVEN",61435.0000
"EAST LYME",81711.0000
"EAST WINDSOR",72866.0000
"EASTFORD",73173.0000
"EASTON",132000.0000
"ELLINGTON",84339.0000
"ENFIELD",68162.0000
"ESSEX",88550.0000
"FAIRFIELD",120082.0000
"FARMINGTON",92933.0000
"FRANKLIN",93636.0000
"GLASTONBURY",108157.0000
"GOSHEN",81528.0000
"GRANBY",100262.0000
"GREENWICH",135258.0000
"GRISWOLD",59545.0000
"GROTON",60157.0000
"GROTON (City of)",
"GUILFORD",99441.0000
"HADDAM",99010.0000
"HAMDEN",67771.0000
"HAMPTON",73929.0000
"HARTFORD",29313.0000
"HARTLAND",91550.0000
"HARWINTON",91802.0000
"HEBRON",101974.0000
"KENT",64648.0000
"KILLINGLY",57016.0000
"KILLINGWORTH",112344.0000
"LEBANON",90149.0000
"LEDYARD",87101.0000
"LISBON",80850.0000
"LITCHFIELD",82188.0000
"LYME",77500.0000
"MADISON",108231.0000
"MANCHESTER",63198.0000
"MANSFIELD",66404.0000
"MARLBOROUGH",112714.0000
"MERIDEN",53401.0000
"MIDDLEBURY",95320.0000
"MIDDLEFIELD",100694.0000
"MIDDLETOWN",61373.0000
"MILFORD",80743.0000
"MONROE",108688.0000
"MONTVILLE",67044.0000
"MORRIS",84464.0000
"NAUGATUCK",58641.0000
"NEW BRITAIN",40515.0000
"NEW CANAAN",179810.0000
"NEW FAIRFIELD",101750.0000
"NEW HARTFORD",82245.0000
"NEW HAVEN",37508.0000
"NEW LONDON",41230.0000
"NEW MILFORD",79028.0000
"NEWINGTON",79008.0000
"NEWTOWN",108667.0000
"NORFOLK",73188.0000
"NORTH BRANFORD",87408.0000
"NORTH CANAAN",63607.0000
"NORTH HAVEN",84078.0000
"NORTH STONINGTON",78854.0000
"NORWALK",76051.0000
"NORWICH",49695.0000
"OLD LYME",87817.0000
"OLD SAYBROOK",74896.0000
"ORANGE",105190.0000
"OXFORD",98504.0000
"PLAINFIELD",62630.0000
"PLAINVILLE",55506.0000
"PLYMOUTH",71441.0000
"POMFRET",91625.0000
"PORTLAND",82770.0000
"PRESTON",67069.0000
"PROSPECT",100592.0000
"PUTNAM",46418.0000
"REDDING",121667.0000
"RIDGEFIELD",147936.0000
"ROCKY HILL",75442.0000
"ROXBURY",90078.0000
"SALEM",104583.0000
"SALISBURY",84141.0000
"SCOTLAND",77344.0000
"SEYMOUR",77465.0000
"SHARON",72083.0000
"SHELTON",88369.0000
"SHERMAN",115442.0000
"SIMSBURY",109823.0000
"SOMERS",95139.0000
"SOUTH WINDSOR",94217.0000
"SOUTHBURY",76896.0000
"SOUTHINGTON",81285.0000
"SPRAGUE",67076.0000
"STAFFORD",62859.0000
"STAMFORD",77221.0000
"STERLING",71696.0000
"STONINGTON",81673.0000
"STRATFORD",66451.0000
"SUFFIELD",94610.0000
"THOMASTON",73679.0000
"THOMPSON",67519.0000
"TOLLAND",107290.0000
"TORRINGTON",55460.0000
"TRUMBULL",108554.0000
"UNION",84405.0000
"VERNON",60556.0000
"VOLUNTOWN",75086.0000
"WALLINGFORD",75533.0000
"WARREN",100250.0000
"WASHINGTON",77125.0000
"WATERBURY",41136.0000
"WATERFORD",75181.0000
"WATERTOWN",78767.0000
"WEST HARTFORD",84092.0000
"WEST HAVEN",49993.0000
"WESTBROOK",78417.0000
"WESTON",208078.0000
"WESTPORT",151771.0000
"WETHERSFIELD",78008.0000
"WILLINGTON",73384.0000
"WILTON",175019.0000
"WINCHESTER",60163.0000
"WINDHAM",41019.0000
"WINDSOR",79244.0000
"WINDSOR LOCKS",67222.0000
"WOLCOTT",83317.0000
"WOODBRIDGE",134045.0000
"WOODBURY",84868.0000
"WOODSTOCK",70927.0000
