Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7882743.0000,7989074.0000,7976776.0000,8128448.0000
"ANSONIA",2.0000000000000000e+00,"NH",33705942.0000,35133842.0000,34626107.0000,38076047.0000
"ASHFORD",3.0000000000000000e+00,"W",9219670.0000,9402777.0000,9412727.0000,10035793.0000
"AVON",4.0000000000000000e+00,"H",71013610.0000,71181158.0000,71111744.0000,71355391.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",8902816.0000,9127518.0000,9046848.0000,9737230.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",14594422.0000,14984636.0000,14967686.0000,16271361.0000
"BERLIN",7.0000000000000000e+00,"H",61321496.0000,61995090.0000,61897428.0000,63645524.0000
"BETHANY",8.0000000000000000e+00,"NH",18149814.0000,18412298.0000,18349732.0000,18772067.0000
"BETHEL",9.0000000000000000e+00,"F",57446514.0000,58116179.0000,58241776.0000,59150541.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8093700.0000,8310051.0000,8255837.0000,8802273.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",70024716.0000,71075964.0000,70940459.0000,72633374.0000
"BOLTON",1.2000000000000000e+01,"T",14807572.0000,14920330.0000,14968159.0000,15123545.0000
"BOZRAH",1.3000000000000000e+01,"NL",5536201.0000,5669902.0000,5654434.0000,6042070.0000
"BRANFORD",1.4000000000000000e+01,"NH",88063488.0000,89402779.0000,88884723.0000,92171371.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",284699957.0000,293618037.0000,289259683.0000,336641533.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6745328.0000,6759555.0000,6777720.0000,6804437.0000
"BRISTOL",1.7000000000000000e+01,"H",125593000.0000,127835000.0000,127046000.0000,130508000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",54725137.0000,55196602.0000,55180475.0000,56063304.0000
"BROOKLYN",1.9000000000000000e+01,"W",12214086.0000,12402823.0000,12602421.0000,12968979.0000
"BURLINGTON",2.0000000000000000e+01,"H",25834627.0000,26079669.0000,26062692.0000,26634871.0000
"CANAAN",2.1000000000000000e+01,"L",3586966.0000,3654308.0000,3643904.0000,3757257.0000
