Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"COLEBROOK","MR",0,1,0,,0
"COLUMBIA","MR",0,1,0,,0
"CORNWALL","MR",0,1,0,,0
"DEEP RIVER","MR",2,0,0,,0
"DERBY","MR",1,0,1,,0
"DURHAM","MR",1,0,0,,0
"EAST HADDAM","MR",1,2,1,,0
"NEWINGTON","MR",4,1,0,,0
"NORTH CANAAN","MR",0,0,0,,0
"NORTH HAVEN","MR",5,1,0,,0
"OLD LYME","MR",0,2,0,,0
"PORTLAND","MR",2,1,0,,0
"PROSPECT","MR",0,1,1,,0
"Putnam","MR",1,0,0,,0
"REDDING","MR",0,0,1,,0
"SALISBURY","MR",1,1,0,,0
"NEW FAIRFIELD","BP",2,0,1,,0
