MUNICIPALITY,PER CAPITA INCOME - 2014 ESTIMATE
"ANDOVER",39872.0000
"ANSONIA",24804.0000
"ASHFORD",38310.0000
"AVON",66365.0000
"BARKHAMSTED",38593.0000
"BEACON FALLS",36793.0000
"BERLIN",40172.0000
"BETHANY",45430.0000
"BETHEL",41817.0000
"BETHLEHEM",43330.0000
"BLOOMFIELD",40664.0000
"BOLTON",44959.0000
"BOZRAH",34748.0000
"BRANFORD",43769.0000
"BRIDGEPORT",20442.0000
"BRIDGEWATER",63029.0000
"BRISTOL",31365.0000
"BROOKFIELD",48978.0000
"BROOKLYN",26582.0000
"BURLINGTON",44522.0000
"CANAAN",39209.0000
"CANTERBURY",32886.0000
"CANTON",48460.0000
"CHAPLIN",36414.0000
"CHESHIRE",43583.0000
"CHESTER",41592.0000
"CLINTON",37449.0000
"COLCHESTER",38875.0000
"COLEBROOK",36068.0000
"COLUMBIA",41476.0000
"CORNWALL",45267.0000
"COVENTRY",40129.0000
"CROMWELL",39178.0000
"DANBURY",31411.0000
"DARIEN",95607.0000
"DEEP RIVER",37099.0000
"DERBY",27249.0000
"DURHAM",49767.0000
"EAST GRANBY",36899.0000
"EAST HADDAM",39767.0000
"EAST HAMPTON",43505.0000
"EAST HARTFORD",25509.0000
"EAST HAVEN",30868.0000
"EAST LYME",40313.0000
"EAST WINDSOR",33727.0000
"EASTFORD",38558.0000
"EASTON",59546.0000
"ELLINGTON",41200.0000
"ENFIELD",29747.0000
"ESSEX",51956.0000
"FAIRFIELD",59156.0000
"FARMINGTON",54754.0000
"FRANKLIN",39378.0000
"GLASTONBURY",55678.0000
"GOSHEN",36745.0000
"GRANBY",56042.0000
"GREENWICH",94200.0000
"GRISWOLD",29307.0000
"GROTON",34353.0000
"GROTON (City of)",
"GUILFORD",52791.0000
"HADDAM",44400.0000
"HAMDEN",34419.0000
"HAMPTON",37046.0000
"HARTFORD",16813.0000
"HARTLAND",36284.0000
"HARWINTON",44967.0000
"HEBRON",41921.0000
"KENT",38504.0000
"KILLINGLY",27549.0000
"KILLINGWORTH",51316.0000
"LEBANON",37632.0000
"LEDYARD",39246.0000
"LISBON",35867.0000
"LITCHFIELD",45939.0000
"LYME",52332.0000
"MADISON",53221.0000
"MANCHESTER",32558.0000
"MANSFIELD",19556.0000
"MARLBOROUGH",41346.0000
"MERIDEN",27483.0000
"MIDDLEBURY",41896.0000
"MIDDLEFIELD",42714.0000
"MIDDLETOWN",34226.0000
"MILFORD",40797.0000
"MONROE",48639.0000
"MONTVILLE",28969.0000
"MORRIS",38777.0000
"NAUGATUCK",30491.0000
"NEW BRITAIN",21070.0000
"NEW CANAAN",103005.0000
"NEW FAIRFIELD",43029.0000
"NEW HARTFORD",37759.0000
"NEW HAVEN",23796.0000
"NEW LONDON",21754.0000
"NEW MILFORD",38734.0000
"NEWINGTON",37061.0000
"NEWTOWN",48740.0000
"NORFOLK",43852.0000
"NORTH BRANFORD",42058.0000
"NORTH CANAAN",28228.0000
"NORTH HAVEN",38742.0000
"NORTH STONINGTON",35366.0000
"NORWALK",43778.0000
"NORWICH",27111.0000
"OLD LYME",49536.0000
"OLD SAYBROOK",44251.0000
"ORANGE",49512.0000
"OXFORD",41122.0000
"PLAINFIELD",26733.0000
"PLAINVILLE",31370.0000
"PLYMOUTH",31076.0000
"POMFRET",42925.0000
"PORTLAND",42972.0000
"PRESTON",33891.0000
"PROSPECT",38917.0000
"PUTNAM",24639.0000
"REDDING",61372.0000
"RIDGEFIELD",75716.0000
"ROCKY HILL",43207.0000
"ROXBURY",60205.0000
"SALEM",42670.0000
"SALISBURY",55464.0000
"SCOTLAND",29545.0000
"SEYMOUR",33488.0000
"SHARON",54876.0000
"SHELTON",41189.0000
"SHERMAN",60386.0000
"SIMSBURY",54543.0000
"SOMERS",33445.0000
"SOUTH WINDSOR",44569.0000
"SOUTHBURY",42791.0000
"SOUTHINGTON",39082.0000
"SPRAGUE",31621.0000
"STAFFORD",29779.0000
"STAMFORD",46074.0000
"STERLING",26516.0000
"STONINGTON",44599.0000
"STRATFORD",34775.0000
"SUFFIELD",39901.0000
"THOMASTON",32737.0000
"THOMPSON",31688.0000
"TOLLAND",45519.0000
"TORRINGTON",28368.0000
"TRUMBULL",45535.0000
"UNION",37043.0000
"VERNON",35314.0000
"VOLUNTOWN",32338.0000
"WALLINGFORD",37009.0000
"WARREN",53578.0000
"WASHINGTON",57394.0000
"WATERBURY",21251.0000
"WATERFORD",39498.0000
"WATERTOWN",37140.0000
"WEST HARTFORD",48808.0000
"WEST HAVEN",25718.0000
"WESTBROOK",44966.0000
"WESTON",91878.0000
"WESTPORT",90945.0000
"WETHERSFIELD",38685.0000
"WILLINGTON",33934.0000
"WILTON",78722.0000
"WINCHESTER",31475.0000
"WINDHAM",20126.0000
"WINDSOR",36048.0000
"WINDSOR LOCKS",35129.0000
"WOLCOTT",35288.0000
"WOODBRIDGE",61717.0000
"WOODBURY",45856.0000
"WOODSTOCK",35162.0000
