Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2012 Population,Moody's_Bond_Ratings_July2012,ACGLFY12,EGL,TANF12 Recipients,empl,ACMR,enrollmt
"ESSEX",2.0120000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",13706966.0000,2895522.0000,16602488.0000,-95700.0000,12934.0000,0.0000,216186.0000,361766.0000,3169704.0000,2578818.0000,3156770.0000,1259999.0000,20147562.0000,21988895.0000,15259930.0000,952884.0000,21983190.0000,0.0000,166692.0000,169886.0000,169886.0000,-164181.0000,2511.0000,0.0000,6828285.0634,9731281.0000,16559566.0634,20061358.0000,19865801.0000,9.9025205571826191e-01,20381558.0000,20049423.0000,9.8370414077275148e-01,6.6480000000000000e+03,"Aa2",1116538776.0000,1562802545.7741,1.1000000000000000e+01,6.5761689291101058e-02,1.7980000000000000e+01,9.6975000000000000e+02
"FAIRFIELD",2.0120000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",249503000.0000,-4379000.0000,249180000.0000,-5710000.0000,0.0000,0.0000,2094000.0000,0.0000,16687000.0000,14593000.0000,16687000.0000,24570000.0000,240615000.0000,279052000.0000,161132000.0000,22337000.0000,275517000.0000,12000.0000,332000.0000,2180000.0000,2180000.0000,1367000.0000,1687000.0000,0.0000,,189319000.0000,189319000.0000,239402000.0000,236661000.0000,9.8855063867469783e-01,243402000.0000,238871000.0000,9.8138470513800213e-01,6.0450000000000000e+04,"Aaa",10787725630.0000,15424548292.8571,5.7000000000000000e+01,7.1175612804666347e-02,2.2469999999999999e+01,1.0314030000000001e+04
"FARMINGTON",2.0120000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",74181528.0000,17958223.0000,92139751.0000,3711295.0000,16040.0000,0.0000,0.0000,178623.0000,8258398.0000,8063735.0000,8242358.0000,11990375.0000,79556089.0000,93721633.0000,59898122.0000,8892671.0000,92680715.0000,0.0000,5364576.0000,1010000.0000,6284607.0000,30918.0000,120887.0000,0.0000,,56452884.0000,56452884.0000,79292043.0000,78957976.0000,9.9578687864052140e-01,79719863.0000,79300663.0000,9.9474158654788458e-01,2.5529000000000000e+04,"Aaa",3727355263.0000,5016473380.8086,4.2000000000000000e+01,5.8195292066259806e-02,2.1270000000000000e+01,4.0452500000000000e+03
"FRANKLIN",2.0120000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",8260896.0000,785265.0000,9056081.0000,247565.0000,0.0000,0.0000,0.0000,0.0000,397551.0000,397551.0000,397551.0000,1600115.0000,4380123.0000,6172683.0000,4364345.0000,230195.0000,6116532.0000,32964.0000,32964.0000,19582.0000,19582.0000,69533.0000,69533.0000,0.0000,,2191558.0000,2191558.0000,4312941.0000,4267118.0000,9.8937546328595727e-01,4409375.0000,4342065.0000,9.8473479801559183e-01,1.9910000000000000e+03,,211212205.0000,291331006.1231,5.0000000000000000e+00,6.6359447004608302e-02,2.0539999999999999e+01,2.8506999999999999e+02
"GLASTONBURY",2.0120000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",205117516.0000,36407601.0000,243415493.0000,21713472.0000,256476.0000,0.0000,0.0000,2386401.0000,18533432.0000,15890555.0000,18276956.0000,18403425.0000,125803008.0000,150378446.0000,99561559.0000,10197520.0000,147400481.0000,0.0000,16633344.0000,4036000.0000,20669344.0000,-1058035.0000,-1058035.0000,0.0000,,93997752.0000,93997752.0000,125090308.0000,124429404.0000,9.9471658507707883e-01,126170731.0000,125323077.0000,9.9328169066405747e-01,3.4698000000000000e+04,"Aaa",4165399080.0000,5718023248.1748,3.3000000000000000e+01,5.4355476151805533e-02,3.0050000000000001e+01,6.8258400000000001e+03
"GOSHEN",2.0120000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",4721651.0000,2390484.0000,7617178.0000,-48383.0000,19374.0000,0.0000,0.0000,600291.0000,1845050.0000,1225385.0000,1825676.0000,382760.0000,9186512.0000,9758960.0000,7155779.0000,0.0000,9506014.0000,51100.0000,51100.0000,390576.0000,390576.0000,-86530.0000,-86530.0000,0.0000,1529377.7301,0.0000,1529377.7301,9161026.0000,9094914.0000,9.9278334107991839e-01,9259390.0000,9152746.0000,9.8848261062553799e-01,2.9520000000000000e+03,,610305970.0000,788916770.1934,8.0000000000000000e+00,7.1209330877839164e-02,1.5000000000000000e+01,4.0918000000000001e+02
"GRANBY",2.0120000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",46714142.0000,9103401.0000,56334211.0000,-694414.0000,0.0000,0.0000,10975.0000,1784920.0000,3537640.0000,1741745.0000,3537640.0000,11210292.0000,31683669.0000,43587000.0000,29506830.0000,3430415.0000,43678546.0000,335011.0000,335011.0000,1165029.0000,1165029.0000,-921564.0000,-921564.0000,0.0000,,23681404.0000,23681404.0000,31627866.0000,31293869.0000,9.8943978705360647e-01,32054483.0000,31513085.0000,9.8311006919063393e-01,1.1316000000000000e+04,"Aa2",1057105520.0000,1397471124.3892,9.0000000000000000e+00,5.6680773881499398e-02,3.0100000000000001e+01,2.1475100000000002e+03
"GREENWICH",2.0120000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",413252862.0000,17396608.0000,431335244.0000,22632378.0000,2474238.0000,0.0000,21140.0000,12417458.0000,27544087.0000,12631251.0000,25069849.0000,27425341.0000,306616555.0000,360897505.0000,152486555.0000,23185196.0000,344600243.0000,3998895.0000,3998895.0000,14555000.0000,14555000.0000,5741157.0000,5741157.0000,0.0000,,93158943.0000,93158943.0000,306264382.0000,303971405.0000,9.9251307976126324e-01,311161288.0000,305756992.0000,9.8263184975632312e-01,6.2256000000000000e+04,"Aaa",30363191887.0000,43381228410.0000,1.2000000000000000e+02,6.1496856671232399e-02,1.0111000000000001e+01,8.7152000000000007e+03
"GRISWOLD",2.0120000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",92615248.0000,-7043880.0000,85943070.0000,2962801.0000,610922.0000,0.0000,0.0000,484971.0000,2758053.0000,1662160.0000,2147131.0000,14145562.0000,15638317.0000,31985332.0000,26378099.0000,1847154.0000,31928739.0000,0.0000,0.0000,376750.0000,376750.0000,-320157.0000,-320157.0000,0.0000,,19721202.0000,19721202.0000,15538436.0000,15203954.0000,9.7847389531353091e-01,16250522.0000,15443236.0000,9.5032245733398590e-01,1.1986000000000000e+04,,826130433.0000,1009839724.5531,1.1800000000000000e+02,9.8608775416602970e-02,1.8730000000000000e+01,1.8461300000000001e+03
"GROTON",2.0120000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",155538608.0000,38257761.0000,194043912.0000,1875832.0000,0.0000,0.0000,0.0000,3325543.0000,12746891.0000,9421348.0000,12746891.0000,43940965.0000,77709085.0000,123676477.0000,79722039.0000,7832715.0000,123131899.0000,797972.0000,18417673.0000,1963764.0000,19405602.0000,-621214.0000,-443351.0000,0.0000,,58667201.0000,58667201.0000,77540497.0000,75868185.0000,9.7843305028081007e-01,79954815.0000,76897666.0000,9.6176404135260651e-01,3.9896000000000000e+04,"Aa2",4110600162.0000,5219564259.8123,2.9300000000000000e+02,8.1614443919592716e-02,1.8890000000000001e+01,5.1812399999999998e+03
