MUNICIPALITY,PER CAPITA INCOME - 2016 ESTIMATE
"ANDOVER",41514.0000
"ANSONIA",23937.0000
"ASHFORD",36237.0000
"AVON",67430.0000
"BARKHAMSTED",41218.0000
"BEACON FALLS",37459.0000
"BERLIN",43536.0000
"BETHANY",48496.0000
"BETHEL",44782.0000
"BETHLEHEM",43639.0000
"BLOOMFIELD",40162.0000
"BOLTON",49577.0000
"BOZRAH",36951.0000
"BRANFORD",44298.0000
"BRIDGEPORT",21816.0000
"BRIDGEWATER",66977.0000
"BRISTOL",32374.0000
"BROOKFIELD",46949.0000
"BROOKLYN",28950.0000
"BURLINGTON",49997.0000
"CANAAN",44684.0000
"CANTERBURY",31856.0000
"CANTON",49098.0000
"CHAPLIN",32911.0000
"CHESHIRE",45164.0000
"CHESTER",43323.0000
"CLINTON",39178.0000
"COLCHESTER",41535.0000
"COLEBROOK",34196.0000
"COLUMBIA",40835.0000
"CORNWALL",48926.0000
"COVENTRY",41516.0000
"CROMWELL",43171.0000
"DANBURY",31940.0000
"DARIEN",101827.0000
"DEEP RIVER",42427.0000
"DERBY",28846.0000
"DURHAM",55752.0000
"EAST GRANBY",40309.0000
"EAST HADDAM",41148.0000
"EAST HAMPTON",41065.0000
"EAST HARTFORD",25303.0000
"EAST HAVEN",32145.0000
"EAST LYME",42997.0000
"EAST WINDSOR",35979.0000
"EASTFORD",36479.0000
"EASTON",60963.0000
"ELLINGTON",42602.0000
"ENFIELD",31387.0000
"ESSEX",51481.0000
"FAIRFIELD",60505.0000
"FARMINGTON",53899.0000
"FRANKLIN",41253.0000
"GLASTONBURY",58216.0000
"GOSHEN",38776.0000
"GRANBY",49999.0000
"GREENWICH",93194.0000
"GRISWOLD",30486.0000
"GROTON",35810.0000
"GROTON (City of)",
"GUILFORD",55566.0000
"HADDAM",46509.0000
"HAMDEN",35963.0000
"HAMPTON",35327.0000
"HARTFORD",18365.0000
"HARTLAND",39054.0000
"HARWINTON",43034.0000
"HEBRON",45072.0000
"KENT",38010.0000
"KILLINGLY",28911.0000
"KILLINGWORTH",47236.0000
"LEBANON",37369.0000
"LEDYARD",40751.0000
"LISBON",36369.0000
"LITCHFIELD",45524.0000
"LYME",57180.0000
"MADISON",52847.0000
"MANCHESTER",32919.0000
"MANSFIELD",20245.0000
"MARLBOROUGH",45136.0000
"MERIDEN",30580.0000
"MIDDLEBURY",45674.0000
"MIDDLEFIELD",46405.0000
"MIDDLETOWN",35074.0000
"MILFORD",41520.0000
"MONROE",50195.0000
"MONTVILLE",30669.0000
"MORRIS",48291.0000
"NAUGATUCK",33551.0000
"NEW BRITAIN",22087.0000
"NEW CANAAN",112516.0000
"NEW FAIRFIELD",45268.0000
"NEW HARTFORD",38472.0000
"NEW HAVEN",23976.0000
"NEW LONDON",21638.0000
"NEW MILFORD",38056.0000
"NEWINGTON",38255.0000
"NEWTOWN",49603.0000
"NORFOLK",47128.0000
"NORTH BRANFORD",42804.0000
"NORTH CANAAN",31390.0000
"NORTH HAVEN",40952.0000
"NORTH STONINGTON",35713.0000
"NORWALK",45387.0000
"NORWICH",27825.0000
"OLD LYME",49018.0000
"OLD SAYBROOK",45791.0000
"ORANGE",50659.0000
"OXFORD",39670.0000
"PLAINFIELD",28422.0000
"PLAINVILLE",32839.0000
"PLYMOUTH",32522.0000
"POMFRET",42246.0000
"PORTLAND",47409.0000
"PRESTON",33182.0000
"PROSPECT",40031.0000
"PUTNAM",27675.0000
"REDDING",63762.0000
"RIDGEFIELD",77230.0000
"ROCKY HILL",43921.0000
"ROXBURY",81485.0000
"SALEM",45930.0000
"SALISBURY",55331.0000
"SCOTLAND",33206.0000
"SEYMOUR",35632.0000
"SHARON",66126.0000
"SHELTON",43810.0000
"SHERMAN",69917.0000
"SIMSBURY",54177.0000
"SOMERS",35120.0000
"SOUTH WINDSOR",46758.0000
"SOUTHBURY",43742.0000
"SOUTHINGTON",40761.0000
"SPRAGUE",31157.0000
"STAFFORD",31606.0000
"STAMFORD",49443.0000
"STERLING",26903.0000
"STONINGTON",47422.0000
"STRATFORD",35175.0000
"SUFFIELD",42204.0000
"THOMASTON",31367.0000
"THOMPSON",32669.0000
"TOLLAND",46614.0000
"TORRINGTON",29455.0000
"TRUMBULL",46622.0000
"UNION",40982.0000
"VERNON",35137.0000
"VOLUNTOWN",32940.0000
"WALLINGFORD",38989.0000
"WARREN",52380.0000
"WASHINGTON",65029.0000
"WATERBURY",20762.0000
"WATERFORD",40449.0000
"WATERTOWN",38530.0000
"WEST HARTFORD",51556.0000
"WEST HAVEN",26197.0000
"WESTBROOK",57737.0000
"WESTON",93133.0000
"WESTPORT",100501.0000
"WETHERSFIELD",39368.0000
"WILLINGTON",39056.0000
"WILTON",82791.0000
"WINCHESTER",30643.0000
"WINDHAM",18748.0000
"WINDSOR",37228.0000
"WINDSOR LOCKS",36587.0000
"WOLCOTT",34681.0000
"WOODBRIDGE",55644.0000
"WOODBURY",46321.0000
"WOODSTOCK",38203.0000
