MUNICIPALITY,Numbered,2013,2014,2015,2016,2017
"ANDOVER",1.0000000000000000e+00,6.8000000000000005e-02,5.7999999999999996e-02,4.8000000000000001e-02,4.4999999999999998e-02,3.7000000000000005e-02
"ANSONIA",2.0000000000000000e+00,1.0099999999999999e-01,8.8000000000000009e-02,7.8000000000000000e-02,6.8000000000000005e-02,6.5000000000000002e-02
"ASHFORD",3.0000000000000000e+00,7.2000000000000008e-02,5.5999999999999994e-02,4.8000000000000001e-02,4.8000000000000001e-02,4.4000000000000004e-02
"AVON",4.0000000000000000e+00,5.2000000000000005e-02,4.4999999999999998e-02,3.7000000000000005e-02,3.5000000000000003e-02,3.3000000000000002e-02
"BARKHAMSTED",5.0000000000000000e+00,6.3000000000000000e-02,5.4000000000000006e-02,4.9000000000000002e-02,4.4999999999999998e-02,4.5999999999999999e-02
"BEACON FALLS",6.0000000000000000e+00,7.0000000000000007e-02,6.8000000000000005e-02,5.4000000000000006e-02,5.0000000000000003e-02,4.4000000000000004e-02
"BERLIN",7.0000000000000000e+00,6.4000000000000001e-02,5.5000000000000000e-02,4.8000000000000001e-02,4.2000000000000003e-02,3.9000000000000000e-02
"BETHANY",8.0000000000000000e+00,6.3000000000000000e-02,5.7999999999999996e-02,4.4000000000000004e-02,4.0000000000000001e-02,3.7999999999999999e-02
"BETHEL",9.0000000000000000e+00,5.9999999999999998e-02,5.4000000000000006e-02,4.5999999999999999e-02,4.2999999999999997e-02,3.9000000000000000e-02
"BETHLEHEM",1.0000000000000000e+01,6.6000000000000003e-02,6.4000000000000001e-02,5.2000000000000005e-02,5.2000000000000005e-02,5.0000000000000003e-02
"BLOOMFIELD",1.1000000000000000e+01,8.1999999999999990e-02,6.9000000000000006e-02,6.2000000000000000e-02,5.5000000000000000e-02,5.2999999999999999e-02
"BOLTON",1.2000000000000000e+01,5.7000000000000002e-02,4.4999999999999998e-02,4.2000000000000003e-02,3.7999999999999999e-02,3.5000000000000003e-02
"BOZRAH",1.3000000000000000e+01,7.9000000000000001e-02,6.5000000000000002e-02,5.4000000000000006e-02,4.5999999999999999e-02,4.2000000000000003e-02
"BRANFORD",1.4000000000000000e+01,7.0000000000000007e-02,5.9999999999999998e-02,5.2999999999999999e-02,4.5999999999999999e-02,4.2000000000000003e-02
"BRIDGEPORT",1.5000000000000000e+01,1.1199999999999999e-01,9.6999999999999989e-02,8.4000000000000005e-02,7.4999999999999997e-02,6.8000000000000005e-02
"BRIDGEWATER",1.6000000000000000e+01,6.4000000000000001e-02,5.9999999999999998e-02,4.2000000000000003e-02,3.5000000000000003e-02,3.7000000000000005e-02
"BRISTOL",1.7000000000000000e+01,8.4000000000000005e-02,7.2999999999999995e-02,6.5000000000000002e-02,5.7000000000000002e-02,5.2000000000000005e-02
