Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2016 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,218152.0000,"0 to 10,000",3.0402341300257820e+00
2,"DARIEN",3.5000000000000000e+01,208125.0000,"10,000 to 30,000",2.9004947390425753e+00
3,"WILTON",1.6200000000000000e+02,179844.0000,"10,000 to 30,000",2.5063619259981884e+00
4,"NEW CANAAN",9.1000000000000000e+01,176601.0000,"10,000 to 30,000",2.4611664692355935e+00
5,"WESTPORT",1.5900000000000000e+02,166307.0000,"10,000 to 30,000",2.3177060831997771e+00
6,"RIDGEFIELD",1.1900000000000000e+02,145014.0000,"10,000 to 30,000",2.0209602118319281e+00
7,"WOODBRIDGE",1.6800000000000000e+02,136786.0000,"0 to 10,000",1.9062922444428960e+00
8,"GREENWICH",5.7000000000000000e+01,134223.0000,"30,000 to 70,000",1.8705734792000557e+00
9,"EASTON",4.7000000000000000e+01,133356.0000,"0 to 10,000",1.8584906975123685e+00
10,"REDDING",1.1800000000000000e+02,129643.0000,"0 to 10,000",1.8067451745522960e+00
11,"AVON",4.0000000000000000e+00,124608.0000,"10,000 to 30,000",1.7365758483729357e+00
12,"FAIRFIELD",5.1000000000000000e+01,122135.0000,"30,000 to 70,000",1.7021113511253572e+00
13,"BURLINGTON",2.0000000000000000e+01,117069.0000,"0 to 10,000",1.6315099993031845e+00
14,"DURHAM",3.8000000000000000e+01,114491.0000,"0 to 10,000",1.5955821893944673e+00
15,"MONROE",8.6000000000000000e+01,113333.0000,"10,000 to 30,000",1.5794439411887673e+00
16,"TRUMBULL",1.4500000000000000e+02,112674.0000,"30,000 to 70,000",1.5702599122012404e+00
17,"SHERMAN",1.2800000000000000e+02,111667.0000,"0 to 10,000",1.5562260469653684e+00
18,"HEBRON",6.8000000000000000e+01,110739.0000,"0 to 10,000",1.5432931503031149e+00
19,"ROXBURY",1.2100000000000000e+02,110625.0000,"0 to 10,000",1.5417044108424500e+00
20,"SIMSBURY",1.2900000000000000e+02,110099.0000,"10,000 to 30,000",1.5343739112256987e+00
21,"NEWTOWN",9.8000000000000000e+01,110036.0000,"10,000 to 30,000",1.5334959236290153e+00
22,"GRANBY",5.6000000000000000e+01,109901.0000,"0 to 10,000",1.5316145216361230e+00
23,"TOLLAND",1.4300000000000000e+02,109382.0000,"10,000 to 30,000",1.5243815761967807e+00
24,"GLASTONBURY",5.4000000000000000e+01,108600.0000,"10,000 to 30,000",1.5134833809490629e+00
25,"CHESHIRE",2.5000000000000000e+01,108559.0000,"10,000 to 30,000",1.5129119921956657e+00
26,"ORANGE",1.0800000000000000e+02,106475.0000,"10,000 to 30,000",1.4838687199498293e+00
27,"BROOKFIELD",1.8000000000000000e+01,106278.0000,"10,000 to 30,000",1.4811232666713121e+00
28,"BETHANY",8.0000000000000000e+00,106058.0000,"0 to 10,000",1.4780572782384502e+00
29,"MADISON",7.7000000000000000e+01,105673.0000,"10,000 to 30,000",1.4726917984809420e+00
30,"BARKHAMSTED",5.0000000000000000e+00,104899.0000,"0 to 10,000",1.4619050937216920e+00
31,"SALEM",1.2200000000000000e+02,104732.0000,"0 to 10,000",1.4595777297749286e+00
32,"PROSPECT",1.1600000000000000e+02,103659.0000,"0 to 10,000",1.4446240680091980e+00
33,"BRIDGEWATER",1.6000000000000000e+01,103393.0000,"0 to 10,000",1.4409170092676469e+00
34,"KILLINGWORTH",7.1000000000000000e+01,103295.0000,"0 to 10,000",1.4395512507839174e+00
35,"MARLBOROUGH",8.0000000000000000e+01,103276.0000,"0 to 10,000",1.4392864608738067e+00
36,"MIDDLEFIELD",8.3000000000000000e+01,103262.0000,"0 to 10,000",1.4390913525189881e+00
37,"MIDDLEBURY",8.2000000000000000e+01,103235.0000,"0 to 10,000",1.4387150721204098e+00
38,"GUILFORD",6.1000000000000000e+01,102199.0000,"10,000 to 30,000",1.4242770538638423e+00
39,"NEW FAIRFIELD",9.2000000000000000e+01,101392.0000,"10,000 to 30,000",1.4130304508396627e+00
40,"ANDOVER",1.0000000000000000e+00,100724.0000,"0 to 10,000",1.4037209950526095e+00
41,"SOUTH WINDSOR",1.3100000000000000e+02,100122.0000,"10,000 to 30,000",1.3953313357954149e+00
42,"OXFORD",1.0900000000000000e+02,99311.0000,"0 to 10,000",1.3840289875270015e+00
43,"HADDAM",6.2000000000000000e+01,99258.0000,"0 to 10,000",1.3832903630409030e+00
44,"COLCHESTER",2.8000000000000000e+01,99257.0000,"10,000 to 30,000",1.3832764267298445e+00
45,"SUFFIELD",1.4000000000000000e+02,99098.0000,"10,000 to 30,000",1.3810605532715490e+00
46,"EAST HAMPTON",4.1000000000000000e+01,95923.0000,"10,000 to 30,000",1.3368127656609297e+00
47,"GOSHEN",5.5000000000000000e+01,95219.0000,"0 to 10,000",1.3270016026757718e+00
48,"FARMINGTON",5.2000000000000000e+01,95158.0000,"10,000 to 30,000",1.3261514877012055e+00
49,"SOMERS",1.3000000000000000e+02,94765.0000,"0 to 10,000",1.3206745174552297e+00
50,"BETHEL",9.0000000000000000e+00,94292.0000,"10,000 to 30,000",1.3140826423245766e+00
51,"HARWINTON",6.7000000000000000e+01,93770.0000,"0 to 10,000",1.3068078879520590e+00
52,"BERLIN",7.0000000000000000e+00,93750.0000,"10,000 to 30,000",1.3065291617308898e+00
53,"NORTH HAVEN",1.0200000000000000e+02,93696.0000,"10,000 to 30,000",1.3057766009337328e+00
54,"FRANKLIN",5.3000000000000000e+01,93438.0000,"0 to 10,000",1.3021810326806493e+00
55,"COLUMBIA",3.0000000000000000e+01,92981.0000,"0 to 10,000",1.2958121385269319e+00
56,"NEW HARTFORD",9.3000000000000000e+01,92970.0000,"0 to 10,000",1.2956588391052888e+00
57,"WESTBROOK",1.5700000000000000e+02,92721.0000,"0 to 10,000",1.2921886976517316e+00
58,"WARREN",1.5000000000000000e+02,92083.0000,"0 to 10,000",1.2832973311964324e+00
59,"WEST HARTFORD",1.5500000000000000e+02,91875.0000,"30,000 to 70,000",1.2803985784962721e+00
60,"BOLTON",1.2000000000000000e+01,91087.0000,"0 to 10,000",1.2694167653822033e+00
61,"ESSEX",5.0000000000000000e+01,89950.0000,"0 to 10,000",1.2535711797087310e+00
62,"LYME",7.6000000000000000e+01,89643.0000,"0 to 10,000",1.2492927322137830e+00
63,"HARTLAND",6.6000000000000000e+01,89438.0000,"0 to 10,000",1.2464357884467980e+00
64,"COVENTRY",3.2000000000000000e+01,88967.0000,"10,000 to 30,000",1.2398717859382622e+00
65,"POMFRET",1.1300000000000000e+02,88906.0000,"0 to 10,000",1.2390216709636959e+00
66,"EAST GRANBY",3.9000000000000000e+01,88559.0000,"0 to 10,000",1.2341857710264093e+00
67,"SOUTHINGTON",1.3300000000000000e+02,88214.0000,"30,000 to 70,000",1.2293777437112396e+00
68,"UNION",1.4600000000000000e+02,88125.0000,"0 to 10,000",1.2281374120270365e+00
69,"LEBANON",7.2000000000000000e+01,88125.0000,"0 to 10,000",1.2281374120270365e+00
70,"OLD LYME",1.0600000000000000e+02,87971.0000,"0 to 10,000",1.2259912201240333e+00
71,"CANTON",2.3000000000000000e+01,87404.0000,"0 to 10,000",1.2180893317538848e+00
72,"SHELTON",1.2700000000000000e+02,87277.0000,"30,000 to 70,000",1.2163194202494600e+00
73,"BETHLEHEM",1.0000000000000000e+01,87056.0000,"0 to 10,000",1.2132394955055397e+00
74,"LISBON",7.4000000000000000e+01,86833.0000,"0 to 10,000",1.2101316981395025e+00
75,"SCOTLAND",1.2400000000000000e+02,86397.0000,"0 to 10,000",1.2040554665180128e+00
76,"EAST LYME",4.4000000000000000e+01,85872.0000,"10,000 to 30,000",1.1967389032123197e+00
77,"NORTH BRANFORD",1.0000000000000000e+02,85357.0000,"10,000 to 30,000",1.1895617030172114e+00
78,"SOUTHBURY",1.3200000000000000e+02,85068.0000,"10,000 to 30,000",1.1855341091213156e+00
79,"LEDYARD",7.3000000000000000e+01,84821.0000,"10,000 to 30,000",1.1820918402898752e+00
80,"WOODSTOCK",1.7000000000000000e+02,84700.0000,"0 to 10,000",1.1804055466518013e+00
81,"BOZRAH",1.3000000000000000e+01,84698.0000,"0 to 10,000",1.1803776740296843e+00
82,"BEACON FALLS",6.0000000000000000e+00,84570.0000,"0 to 10,000",1.1785938262142011e+00
83,"WOLCOTT",1.6700000000000000e+02,83828.0000,"10,000 to 30,000",1.1682530834088216e+00
84,"CROMWELL",3.3000000000000000e+01,83739.0000,"10,000 to 30,000",1.1670127517246185e+00
85,"SHARON",1.2600000000000000e+02,82714.0000,"0 to 10,000",1.1527280328896941e+00
86,"WINDSOR",1.6500000000000000e+02,82707.0000,"10,000 to 30,000",1.1526304787122850e+00
87,"WASHINGTON",1.5100000000000000e+02,82418.0000,"0 to 10,000",1.1486028848163892e+00
88,"MORRIS",8.8000000000000000e+01,82031.0000,"0 to 10,000",1.1432095324367639e+00
89,"ROCKY HILL",1.2000000000000000e+02,81988.0000,"10,000 to 30,000",1.1426102710612500e+00
90,"MILFORD",8.5000000000000000e+01,81844.0000,"30,000 to 70,000",1.1406034422688314e+00
91,"STAMFORD",1.3600000000000000e+02,81634.0000,"70,000 & Up",1.1376768169465543e+00
92,"PORTLAND",1.1400000000000000e+02,81589.0000,"0 to 10,000",1.1370496829489234e+00
93,"CANTERBURY",2.2000000000000000e+01,81496.0000,"0 to 10,000",1.1357536060204865e+00
94,"NEW MILFORD",9.6000000000000000e+01,81350.0000,"10,000 to 30,000",1.1337189046059508e+00
95,"COLEBROOK",2.9000000000000000e+01,81184.0000,"0 to 10,000",1.1314054769702460e+00
96,"VOLUNTOWN",1.4800000000000000e+02,81023.0000,"0 to 10,000",1.1291617308898334e+00
97,"LITCHFIELD",7.5000000000000000e+01,80951.0000,"0 to 10,000",1.1281583164936242e+00
98,"NORWALK",1.0400000000000000e+02,80896.0000,"70,000 & Up",1.1273918193854087e+00
99,"NEWINGTON",9.7000000000000000e+01,80315.0000,"10,000 to 30,000",1.1192948226604418e+00
100,"CHAPLIN",2.4000000000000000e+01,80000.0000,"0 to 10,000",1.1149048846770260e+00
101,"ELLINGTON",4.8000000000000000e+01,79917.0000,"10,000 to 30,000",1.1137481708591737e+00
102,"SEYMOUR",1.2500000000000000e+02,79734.0000,"10,000 to 30,000",1.1111978259354749e+00
103,"EAST HADDAM",4.0000000000000000e+01,79668.0000,"0 to 10,000",1.1102780294056163e+00
104,"WOODBURY",1.6900000000000000e+02,79387.0000,"0 to 10,000",1.1063619259981883e+00
105,"WATERFORD",1.5300000000000000e+02,78382.0000,"10,000 to 30,000",1.0923559333844330e+00
106,"WETHERSFIELD",1.6000000000000000e+02,78371.0000,"10,000 to 30,000",1.0922026339627902e+00
107,"ASHFORD",3.0000000000000000e+00,78313.0000,"0 to 10,000",1.0913943279213991e+00
108,"EASTFORD",4.6000000000000000e+01,78309.0000,"0 to 10,000",1.0913385826771653e+00
109,"STONINGTON",1.3800000000000000e+02,78274.0000,"10,000 to 30,000",1.0908508117901192e+00
110,"CHESTER",2.6000000000000000e+01,76648.0000,"0 to 10,000",1.0681903700090587e+00
111,"WATERTOWN",1.5400000000000000e+02,76175.0000,"10,000 to 30,000",1.0615984948784056e+00
112,"WALLINGFORD",1.4900000000000000e+02,75942.0000,"30,000 to 70,000",1.0583513344017839e+00
113,"NORTH CANAAN",1.0100000000000000e+02,75690.0000,"0 to 10,000",1.0548393840150512e+00
114,"OLD SAYBROOK",1.0700000000000000e+02,75237.0000,"0 to 10,000",1.0485262351055675e+00
115,"NORTH STONINGTON",1.0300000000000000e+02,75091.0000,"0 to 10,000",1.0464915336910321e+00
116,"SALISBURY",1.2300000000000000e+02,74853.0000,"0 to 10,000",1.0431746916591178e+00
117,"EAST WINDSOR",4.5000000000000000e+01,74784.0000,"0 to 10,000",1.0422130861960839e+00
118,"BROOKLYN",1.9000000000000000e+01,74375.0000,"0 to 10,000",1.0365131349731727e+00
119,"CORNWALL",3.1000000000000000e+01,74107.0000,"0 to 10,000",1.0327782036095046e+00
120,"BLOOMFIELD",1.1000000000000000e+01,74107.0000,"10,000 to 30,000",1.0327782036095046e+00
121,"CLINTON",2.7000000000000000e+01,74022.0000,"10,000 to 30,000",1.0315936171695352e+00
122,"NORFOLK",9.9000000000000000e+01,73804.0000,"0 to 10,000",1.0285555013587904e+00
123,"HAMPTON",6.4000000000000000e+01,73684.0000,"0 to 10,000",1.0268831440317747e+00
124,"MONTVILLE",8.7000000000000000e+01,73160.0000,"10,000 to 30,000",1.0195805170371404e+00
125,"WILLINGTON",1.6100000000000000e+02,72237.0000,"0 to 10,000",1.0067173019301792e+00
126,"CANAAN",2.1000000000000000e+01,72174.0000,"0 to 10,000",1.0058393143334958e+00
127,"HAMDEN",6.3000000000000000e+01,71665.0000,"30,000 to 70,000",9.9874573200473837e-01
128,"BRANFORD",1.4000000000000000e+01,71619.0000,"10,000 to 30,000",9.9810466169604906e-01
129,"ENFIELD",4.9000000000000000e+01,71526.0000,"30,000 to 70,000",9.9680858476761203e-01
130,"PLYMOUTH",1.1200000000000000e+02,70635.0000,"10,000 to 30,000",9.8439133161452164e-01
131,"DEEP RIVER",3.6000000000000000e+01,69861.0000,"0 to 10,000",9.7360462685527138e-01
132,"PRESTON",1.1500000000000000e+02,69439.0000,"0 to 10,000",9.6772350358860004e-01
133,"STRATFORD",1.3900000000000000e+02,69336.0000,"30,000 to 70,000",9.6628806354957841e-01
134,"THOMPSON",1.4200000000000000e+02,68869.0000,"0 to 10,000",9.5977980628527626e-01
135,"STERLING",1.3700000000000000e+02,68776.0000,"0 to 10,000",9.5848372935683923e-01
136,"DANBURY",3.4000000000000000e+01,67430.0000,"30,000 to 70,000",9.3972545467214830e-01
137,"WINDSOR LOCKS",1.6600000000000000e+02,66494.0000,"10,000 to 30,000",9.2668106752142709e-01
138,"THOMASTON",1.4100000000000000e+02,65901.0000,"0 to 10,000",9.1841683506375860e-01
139,"SPRAGUE",1.3400000000000000e+02,65861.0000,"0 to 10,000",9.1785938262142008e-01
140,"MANCHESTER",7.8000000000000000e+01,65592.0000,"30,000 to 70,000",9.1411051494669360e-01
141,"PLAINFIELD",1.1000000000000000e+02,65254.0000,"10,000 to 30,000",9.0940004180893319e-01
142,"GROTON",5.9000000000000000e+01,64074.0000,"30,000 to 70,000",8.9295519475994700e-01
143,"MIDDLETOWN",8.4000000000000000e+01,63828.0000,"30,000 to 70,000",8.8952686223956523e-01
144,"STAFFORD",1.3500000000000000e+02,63681.0000,"10,000 to 30,000",8.8747822451397118e-01
145,"MANSFIELD",7.9000000000000000e+01,63391.0000,"10,000 to 30,000",8.8343669430701688e-01
146,"EAST HAVEN",4.3000000000000000e+01,63137.0000,"10,000 to 30,000",8.7989687129816740e-01
147,"PLAINVILLE",1.1100000000000000e+02,61907.0000,"10,000 to 30,000",8.6275520869625810e-01
148,"KENT",6.9000000000000000e+01,61875.0000,"0 to 10,000",8.6230924674238729e-01
149,"BRISTOL",1.7000000000000000e+01,61551.0000,"30,000 to 70,000",8.5779388195944528e-01
150,"VERNON",1.4700000000000000e+02,61099.0000,"10,000 to 30,000",8.5149466936102014e-01
151,"KILLINGLY",7.0000000000000000e+01,60548.0000,"10,000 to 30,000",8.4381576196780717e-01
152,"NAUGATUCK",8.9000000000000000e+01,59522.0000,"30,000 to 70,000",8.2951710682182422e-01
153,"TORRINGTON",1.4400000000000000e+02,58717.0000,"30,000 to 70,000",8.1829837641976166e-01
154,"WINCHESTER",1.6300000000000000e+02,57429.0000,"10,000 to 30,000",8.0034840777646155e-01
155,"GRISWOLD",5.8000000000000000e+01,57312.0000,"10,000 to 30,000",7.9871785938262141e-01
156,"MERIDEN",8.1000000000000000e+01,55547.0000,"30,000 to 70,000",7.7412027036443454e-01
157,"DERBY",3.7000000000000000e+01,55316.0000,"10,000 to 30,000",7.7090098250992967e-01
158,"PUTNAM",1.1700000000000000e+02,52224.0000,"0 to 10,000",7.2780990871716256e-01
159,"NORWICH",1.0500000000000000e+02,51758.0000,"30,000 to 70,000",7.2131558776391891e-01
160,"WEST HAVEN",1.5600000000000000e+02,50831.0000,"30,000 to 70,000",7.0839662741272380e-01
161,"EAST HARTFORD",4.2000000000000000e+01,50750.0000,"30,000 to 70,000",7.0726778621698838e-01
162,"ANSONIA",2.0000000000000000e+00,43386.0000,"10,000 to 30,000",6.0464079158246808e-01
163,"BRIDGEPORT",1.5000000000000000e+01,43137.0000,"70,000 & Up",6.0117065012891091e-01
164,"NEW BRITAIN",9.0000000000000000e+01,41844.0000,"70,000 & Up",5.8315099993031849e-01
165,"WINDHAM",1.6400000000000000e+02,40603.0000,"10,000 to 30,000",5.6585603790676609e-01
166,"WATERBURY",1.5200000000000000e+02,39681.0000,"70,000 & Up",5.5300675911086339e-01
167,"NEW HAVEN",9.4000000000000000e+01,38126.0000,"70,000 & Up",5.3133579541495368e-01
168,"NEW LONDON",9.5000000000000000e+01,35357.0000,"10,000 to 30,000",4.9274615009407008e-01
169,"HARTFORD",6.5000000000000000e+01,32095.0000,"70,000 & Up",4.4728590342136437e-01
