Municipality,Equalized Net Grand List GLYR 2016
"ANDOVER",367263335.7100
"ANSONIA",1435095889.7200
"ASHFORD",426435908.5700
"AVON",3718810939.6300
"BARKHAMSTED",524028657.0200
"BEACON FALLS",665356885.7100
"BERLIN",3296394142.3800
"BETHANY",826080617.0100
"BETHEL",2909170000.5800
"BETHLEHEM",512397019.2200
"BLOOMFIELD",2996916298.2000
"BOLTON",628759698.5800
"BOZRAH",344503098.9100
"BRANFORD",5299801670.6400
"BRIDGEPORT",9430537961.2700
"BRIDGEWATER",526098187.1400
"BRISTOL",6156041690.3600
"BROOKFIELD",3191478027.1400
"BROOKLYN",869861570.8300
"BURLINGTON",1335552332.9900
"CANAAN",245942595.5100
"CANTERBURY",533723720.9200
"CANTON",1554910972.4200
"CHAPLIN",286928672.3200
"CHESHIRE",4098891226.5300
"CHESTER",655781424.1400
"CLINTON",2254579500.7800
"COLCHESTER",1718352555.7100
"COLEBROOK",258092027.1000
"COLUMBIA",693045685.7100
"CORNWALL",556350642.8600
"COVENTRY",1453811079.3400
"CROMWELL",2054513018.9700
"DANBURY",10962930311.6700
"DARIEN",13337401712.8700
"DEEP RIVER",708960792.8000
"DERBY",1028072826.8200
"DURHAM",1029057511.0000
"EAST GRANBY",855195439.4000
"EAST HADDAM",1239198726.3000
"EAST HAMPTON",1624575092.9600
"EAST HARTFORD",3940968591.4300
"EAST HAVEN",2806683518.5700
"EAST LYME",3072426220.0000
"EAST WINDSOR",1367284018.8400
"EASTFORD",224628570.8000
"EASTON",1828909082.8600
"ELLINGTON",1980074302.4100
"ENFIELD",4134220641.4300
"ESSEX",1558722412.7100
"FAIRFIELD",16008062419.9200
"FARMINGTON",5493137151.6900
"FRANKLIN",323758066.2700
"GLASTONBURY",6169974908.4900
"GOSHEN",795171986.4400
"GRANBY",1465058076.9800
"GREENWICH",48596792469.7700
"GRISWOLD",1028908777.1400
"GROTON",5310972334.2900
"GROTON (City of)",
"GUILFORD",4585386661.3900
"HADDAM",1273531662.6000
"HAMDEN",5598845330.0400
"HAMPTON",215119348.3100
"HARTFORD",5813578705.7100
"HARTLAND",295636192.4000
"HARWINTON",804809617.1300
"HEBRON",1078827558.5700
"KENT",861121039.3600
"KILLINGLY",2024241275.1100
"KILLINGWORTH",987490860.0000
"LEBANON",905784250.7100
"LEDYARD",1639827665.4600
"LISBON",551635867.1400
"LITCHFIELD",1527189335.3700
"LYME",712450053.1000
"MADISON",4202834047.6700
"MANCHESTER",5706117120.0000
"MANSFIELD",1592412043.0000
"MARLBOROUGH",857309243.9200
"MERIDEN",4437677591.4300
"MIDDLEBURY",1345565924.2900
"MIDDLEFIELD",572716342.8600
"MIDDLETOWN",5073575969.9200
"MILFORD",9373441511.4300
"MONROE",3175730980.8000
"MONTVILLE",1791570395.7100
"MORRIS",455342094.6100
"NAUGATUCK",2313557449.9600
"NEW BRITAIN",3809056758.5700
"NEW CANAAN",11927334535.6200
"NEW FAIRFIELD",2403502028.2900
"NEW HARTFORD",960479365.1100
"NEW HAVEN",9408561904.2900
"NEW LONDON",1816064648.2000
"NEW MILFORD",4182241084.5000
"NEWINGTON",3912907247.8800
"NEWTOWN",4595571873.2800
"NORFOLK",372322901.9400
"NORTH BRANFORD",1820454894.4200
"NORTH CANAAN",431908297.6000
"NORTH HAVEN",4231389799.1700
"NORTH STONINGTON",844064866.0400
"NORWALK",19248812948.6200
"NORWICH",2711519845.6900
"OLD LYME",2282498687.2600
"OLD SAYBROOK",3240199816.1100
"ORANGE",2999466924.2700
"OXFORD",2220174858.8700
"PLAINFIELD",1459675422.4700
"PLAINVILLE",1970685972.8600
"PLYMOUTH",1061913334.2900
"POMFRET",537711145.7300
"PORTLAND",1163821357.1400
"PRESTON",653887459.3200
"PROSPECT",1241043580.7700
"PUTNAM",960049439.6600
"REDDING",2343266694.3900
"RIDGEFIELD",7218488531.1900
"ROCKY HILL",3033011923.6500
"ROXBURY",955603326.6000
"SALEM",528682784.2900
"SALISBURY",1745722541.6600
"SCOTLAND",161579502.5000
"SEYMOUR",1773770129.8900
"SHARON",967765608.1200
"SHELTON",6645615451.4300
"SHERMAN",1014614866.6300
"SIMSBURY",3670050776.3000
"SOMERS",1281788715.8900
"SOUTH WINDSOR",3912083492.7300
"SOUTHBURY",3307258040.4700
"SOUTHINGTON",5818674670.2300
"SPRAGUE",272333312.4200
"STAFFORD",1189185893.2900
"STAMFORD",32825480972.9600
"STERLING",343901639.8000
"STONINGTON",3905088640.0400
"STRATFORD",6585078287.6300
"SUFFIELD",2056960887.1400
"THOMASTON",783973368.5700
"THOMPSON",977570036.2300
"TOLLAND",1852817304.2700
"TORRINGTON",2754467636.1600
"TRUMBULL",7035069969.5400
"UNION",130830403.2200
"VERNON",2564921991.4300
"VOLUNTOWN",277880670.3600
"WALLINGFORD",6207709482.3700
"WARREN",508724538.9500
"WASHINGTON",1638902438.7700
"WATERBURY",5928360337.1100
"WATERFORD",4842942666.8300
"WATERTOWN",2734482018.9400
"WEST HARTFORD",8907859188.5700
"WEST HAVEN",3928816873.1600
"WESTBROOK",1623483420.0000
"WESTON",3399888205.1900
"WESTPORT",16088221534.4100
"WETHERSFIELD",3392683688.3900
"WILLINGTON",639312199.5100
"WILTON",6070177139.9400
"WINCHESTER",1013459789.6500
"WINDHAM",1291164325.4900
"WINDSOR",4242507811.7600
"WINDSOR LOCKS",1900652209.0200
"WOLCOTT",1754388962.8600
"WOODBRIDGE",1653069479.7500
"WOODBURY",1550059471.8000
"WOODSTOCK",1016356375.7100
