MUNICIPALITY,PER CAPITA INCOME - 2017 ESTIMATE
"ANDOVER",42190.0000
"ANSONIA",24896.0000
"ASHFORD",34236.0000
"AVON",66837.0000
"BARKHAMSTED",42224.0000
"BEACON FALLS",39020.0000
"BERLIN",45324.0000
"BETHANY",51192.0000
"BETHEL",45171.0000
"BETHLEHEM",45476.0000
"BLOOMFIELD",41515.0000
"BOLTON",49763.0000
"BOZRAH",36717.0000
"BRANFORD",47070.0000
"BRIDGEPORT",22806.0000
"BRIDGEWATER",64829.0000
"BRISTOL",32823.0000
"BROOKFIELD",48576.0000
"BROOKLYN",31014.0000
"BURLINGTON",51224.0000
"CANAAN",53537.0000
"CANTERBURY",36138.0000
"CANTON",52569.0000
"CHAPLIN",33757.0000
"CHESHIRE",47012.0000
"CHESTER",45195.0000
"CLINTON",39713.0000
"COLCHESTER",42775.0000
"COLEBROOK",37116.0000
"COLUMBIA",46301.0000
"CORNWALL",49441.0000
"COVENTRY",41100.0000
"CROMWELL",45954.0000
"DANBURY",32764.0000
"DARIEN",105928.0000
"DEEP RIVER",44101.0000
"DERBY",30321.0000
"DURHAM",55296.0000
"EAST GRANBY",41099.0000
"EAST HADDAM",40292.0000
"EAST HAMPTON",43358.0000
"EAST HARTFORD",26374.0000
"EAST HAVEN",32987.0000
"EAST LYME",43195.0000
"EAST WINDSOR",36602.0000
"EASTFORD",38958.0000
"EASTON",66658.0000
"ELLINGTON",44421.0000
"ENFIELD",33246.0000
"ESSEX",55048.0000
"FAIRFIELD",62541.0000
"FARMINGTON",55817.0000
"FRANKLIN",42290.0000
"GLASTONBURY",60119.0000
"GOSHEN",40164.0000
"GRANBY",52140.0000
"GREENWICH",96533.0000
"GRISWOLD",31146.0000
"GROTON",35903.0000
"GROTON (City of)",
"GUILFORD",60003.0000
"HADDAM",48008.0000
"HAMDEN",37009.0000
"HAMPTON",36094.0000
"HARTFORD",19220.0000
"HARTLAND",41377.0000
"HARWINTON",44988.0000
"HEBRON",45956.0000
"KENT",39152.0000
"KILLINGLY",29577.0000
"KILLINGWORTH",50503.0000
"LEBANON",40033.0000
"LEDYARD",42765.0000
"LISBON",39146.0000
"LITCHFIELD",44833.0000
"LYME",61367.0000
"MADISON",53379.0000
"MANCHESTER",34244.0000
"MANSFIELD",21916.0000
"MARLBOROUGH",47978.0000
"MERIDEN",32762.0000
"MIDDLEBURY",46918.0000
"MIDDLEFIELD",45752.0000
"MIDDLETOWN",35992.0000
"MILFORD",43547.0000
"MONROE",47991.0000
"MONTVILLE",32796.0000
"MORRIS",46973.0000
"NAUGATUCK",34593.0000
"NEW BRITAIN",23101.0000
"NEW CANAAN",111515.0000
"NEW FAIRFIELD",47982.0000
"NEW HARTFORD",42173.0000
"NEW HAVEN",24688.0000
"NEW LONDON",23385.0000
"NEW MILFORD",39515.0000
"NEWINGTON",38179.0000
"NEWTOWN",52754.0000
"NORFOLK",45582.0000
"NORTH BRANFORD",42794.0000
"NORTH CANAAN",33629.0000
"NORTH HAVEN",43424.0000
"NORTH STONINGTON",36664.0000
"NORWALK",44888.0000
"NORWICH",28429.0000
"OLD LYME",55056.0000
"OLD SAYBROOK",44026.0000
"ORANGE",51784.0000
"OXFORD",42695.0000
"PLAINFIELD",29275.0000
"PLAINVILLE",35646.0000
"PLYMOUTH",34297.0000
"POMFRET",43686.0000
"PORTLAND",49280.0000
"PRESTON",36152.0000
"PROSPECT",41285.0000
"PUTNAM",31197.0000
"REDDING",66046.0000
"RIDGEFIELD",78363.0000
"ROCKY HILL",44956.0000
"ROXBURY",84768.0000
"SALEM",48703.0000
"SALISBURY",61034.0000
"SCOTLAND",32594.0000
"SEYMOUR",35974.0000
"SHARON",69993.0000
"SHELTON",45642.0000
"SHERMAN",71997.0000
"SIMSBURY",56622.0000
"SOMERS",40388.0000
"SOUTH WINDSOR",46900.0000
"SOUTHBURY",45690.0000
"SOUTHINGTON",41493.0000
"SPRAGUE",31035.0000
"STAFFORD",33932.0000
"STAMFORD",52245.0000
"STERLING",28663.0000
"STONINGTON",49353.0000
"STRATFORD",36043.0000
"SUFFIELD",45478.0000
"THOMASTON",33667.0000
"THOMPSON",35606.0000
"TOLLAND",47611.0000
"TORRINGTON",30982.0000
"TRUMBULL",49030.0000
"UNION",46679.0000
"VERNON",35260.0000
"VOLUNTOWN",34042.0000
"WALLINGFORD",40338.0000
"WARREN",55475.0000
"WASHINGTON",71672.0000
"WATERBURY",21605.0000
"WATERFORD",42028.0000
"WATERTOWN",39836.0000
"WEST HARTFORD",52846.0000
"WEST HAVEN",27968.0000
"WESTBROOK",58608.0000
"WESTON",95534.0000
"WESTPORT",108829.0000
"WETHERSFIELD",41404.0000
"WILLINGTON",39635.0000
"WILTON",82428.0000
"WINCHESTER",32363.0000
"WINDHAM",19666.0000
"WINDSOR",39542.0000
"WINDSOR LOCKS",36253.0000
"WOLCOTT",35565.0000
"WOODBRIDGE",54109.0000
"WOODBURY",48084.0000
"WOODSTOCK",37910.0000
