MUNICIPALITY,Numbered,Oct 2018 Labor Force,Oct 2018 Unemployed,Oct 2018 Unemp Rate,Oct 2017 Labor Force,Oct 2017 Unemployed,Oct 2017 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9700000000000000e+03,5.9000000000000000e+01,2.9949238578680204e-02,1.9440000000000000e+03,5.2000000000000000e+01,2.6748971193415638e-02
"ANSONIA",2.0000000000000000e+00,9.2760000000000000e+03,4.7900000000000000e+02,5.1638637343682625e-02,9.2360000000000000e+03,5.3400000000000000e+02,5.7817236899090518e-02
"ASHFORD",3.0000000000000000e+00,2.5850000000000000e+03,7.6000000000000000e+01,2.9400386847195356e-02,2.5680000000000000e+03,8.4000000000000000e+01,3.2710280373831772e-02
"AVON",4.0000000000000000e+00,9.6130000000000000e+03,2.8800000000000000e+02,2.9959429938624778e-02,9.5400000000000000e+03,3.0800000000000000e+02,3.2285115303983231e-02
"BARKHAMSTED",5.0000000000000000e+00,2.3420000000000000e+03,8.1000000000000000e+01,3.4585824081981215e-02,2.3240000000000000e+03,9.3000000000000000e+01,4.0017211703958694e-02
"BEACON FALLS",6.0000000000000000e+00,3.4570000000000000e+03,1.0500000000000000e+02,3.0373155915533700e-02,3.4590000000000000e+03,1.1700000000000000e+02,3.3824804856895055e-02
"BERLIN",7.0000000000000000e+00,1.1965000000000000e+04,3.8900000000000000e+02,3.2511491851232761e-02,1.1863000000000000e+04,4.0300000000000000e+02,3.3971170867402846e-02
"BETHANY",8.0000000000000000e+00,3.1520000000000000e+03,8.9000000000000000e+01,2.8236040609137057e-02,3.1250000000000000e+03,9.7000000000000000e+01,3.1040000000000002e-02
"BETHEL",9.0000000000000000e+00,1.0962000000000000e+04,3.7400000000000000e+02,3.4117861704068601e-02,1.0799000000000000e+04,3.5400000000000000e+02,3.2780813038244282e-02
"BETHLEHEM",1.0000000000000000e+01,1.9410000000000000e+03,5.2000000000000000e+01,2.6790314270994334e-02,1.9620000000000000e+03,7.9000000000000000e+01,4.0265035677879715e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1648000000000000e+04,5.2700000000000000e+02,4.5243818681318680e-02,1.1585000000000000e+04,5.7500000000000000e+02,4.9633146309883469e-02
"BOLTON",1.2000000000000000e+01,3.2260000000000000e+03,8.4000000000000000e+01,2.6038437693738377e-02,3.2020000000000000e+03,9.2000000000000000e+01,2.8732042473454091e-02
