Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1,"T",8087363.0000,8177622.0000,8209110.0000,8362463.0000
"ANSONIA",2,"NH",32886802.0000,33671714.0000,33791467.0000,36278725.0000
"ASHFORD",3,"W",9543021.0000,9712372.0000,9648718.0000,10055990.0000
"AVON",4,"H",76689193.0000,76941666.0000,76845495.0000,77261577.0000
"BARKHAMSTED",5,"L",9673900.0000,9909477.0000,9851999.0000,10738610.0000
"BEACON FALLS",6,"NH",15820208.0000,16098619.0000,16269280.0000,17106679.0000
"BERLIN",7,"H",67242632.0000,68069358.0000,67675740.0000,69455916.0000
"BETHANY",8,"NH",19609442.0000,19765740.0000,19927720.0000,20152703.0000
"BETHEL",9,"F",60940824.0000,61545662.0000,61541476.0000,62335130.0000
"BETHLEHEM",10,"L",8538569.0000,8676843.0000,8730872.0000,9200278.0000
"BLOOMFIELD",11,"H",73654079.0000,74666544.0000,74087483.0000,75940544.0000
"BOLTON",12,"T",16018917.0000,16198307.0000,16114125.0000,16377199.0000
"BOZRAH",13,"NL",6004018.0000,6107199.0000,6099783.0000,6404874.0000
"BRANFORD",14,"NH",94972081.0000,96604655.0000,96001985.0000,100123921.0000
"BRIDGEPORT",15,"F",307164691.0000,310799950.0000,309992101.0000,341311462.0000
"BRIDGEWATER",16,"L",6411480.0000,6424915.0000,6424232.0000,6450526.0000
"BRISTOL",17,"H",138734000.0000,140732000.0000,141093000.0000,144547000.0000
"BROOKFIELD",18,"F",59405275.0000,59984612.0000,59731650.0000,60613522.0000
"BROOKLYN",19,"W",14230058.0000,14409399.0000,14374017.0000,14655334.0000
"BURLINGTON",20,"H",28764261.0000,28940562.0000,29021204.0000,29383045.0000
"CANAAN",21,"L",4068318.0000,4119713.0000,4146771.0000,4241137.0000
"CANTERBURY",22,"W",8708089.0000,8814749.0000,8780524.0000,8982324.0000
"CANTON",23,"H",32790714.0000,33025360.0000,32957532.0000,33565357.0000
"CHAPLIN",24,"W",5604823.0000,5711329.0000,5642387.0000,5819822.0000
"CHESHIRE",25,"NH",85900838.0000,86093075.0000,85973356.0000,86248659.0000
"CHESTER",26,"M",11151365.0000,11245161.0000,11274277.0000,11491796.0000
"CLINTON",27,"M",38097286.0000,38341367.0000,38339668.0000,38999301.0000
"COLCHESTER",28,"NL",37743244.0000,38112513.0000,38184678.0000,39225679.0000
"COLEBROOK",29,"L",5085432.0000,5157544.0000,5181537.0000,5304188.0000
"COLUMBIA",30,"T",12964997.0000,13180596.0000,13026747.0000,13428608.0000
"CORNWALL",31,"L",6084326.0000,6191903.0000,6247132.0000,6602655.0000
"COVENTRY",32,"T",29467102.0000,29817602.0000,29715530.0000,30354044.0000
"CROMWELL",33,"M",41726054.0000,42161852.0000,41946056.0000,42752577.0000
"DANBURY",34,"F",200283459.0000,203485930.0000,202612443.0000,210483636.0000
"DARIEN",35,"F",132147050.0000,132510009.0000,131962204.0000,132579387.0000
"DEEP RIVER",36,"M",12790957.0000,12999173.0000,12926104.0000,13327923.0000
"DERBY",37,"NH",27589666.0000,28191295.0000,28029431.0000,29177659.0000
"DURHAM",38,"M",24318288.0000,24620801.0000,24529022.0000,25025324.0000
"EAST GRANBY",39,"H",18312745.0000,18525549.0000,18482424.0000,18885412.0000
"EAST HADDAM",40,"M",24913369.0000,25263753.0000,25159131.0000,25600354.0000
"EAST HAMPTON",41,"M",32674062.0000,33204218.0000,33228784.0000,34812901.0000
"EAST HARTFORD",42,"H",120381000.0000,122966000.0000,122865000.0000,126809000.0000
"EAST HAVEN",43,"NH",62441210.0000,63819560.0000,63255376.0000,66811457.0000
"EAST LYME",44,"NL",53463733.0000,54023040.0000,54019179.0000,55524521.0000
"EAST WINDSOR",45,"H",29656630.0000,30005060.0000,29958954.0000,31018654.0000
"EASTFORD",46,"W",3585035.0000,3631268.0000,3673938.0000,3817533.0000
"EASTON",47,"F",40588250.0000,41170899.0000,40914082.0000,42234713.0000
"ELLINGTON",48,"T",40648318.0000,40882815.0000,40854652.0000,41356728.0000
"ENFIELD",49,"H",87700848.0000,89300890.0000,89097020.0000,94353603.0000
"ESSEX",50,"M",22300796.0000,22551121.0000,22407309.0000,22948470.0000
"FAIRFIELD",51,"F",268169000.0000,271587000.0000,270372000.0000,278929000.0000
"FARMINGTON",52,"H",92206375.0000,92478734.0000,92344719.0000,92829200.0000
"FRANKLIN",53,"NL",5065471.0000,5154120.0000,5118094.0000,5243115.0000
"GLASTONBURY",54,"H",141459736.0000,142244077.0000,141663576.0000,142778208.0000
"GOSHEN",55,"L",9846323.0000,9867775.0000,9876997.0000,9925254.0000
"GRANBY",56,"H",35475403.0000,35804847.0000,35835109.0000,36363625.0000
"GREENWICH",57,"F",359277282.0000,361982718.0000,361407859.0000,368509700.0000
"GRISWOLD",58,"NL",18965581.0000,19359939.0000,19421418.0000,20226036.0000
"GROTON",59,"NL",81431951.0000,82404142.0000,82367558.0000,84191293.0000
"GROTON (City of)",60,,6330454.0000,6364156.0000,6367542.0000,6463344.0000
"GUILFORD",61,"NH",87184258.0000,87615077.0000,87506343.0000,88175549.0000
"HADDAM",62,"M",27883240.0000,28157815.0000,28135488.0000,29295151.0000
"HAMDEN",63,"NH",169536750.0000,174691530.0000,171054419.0000,179902525.0000
"HAMPTON",64,"W",3857204.0000,3925110.0000,3889989.0000,3989128.0000
"HARTFORD",65,"H",246355000.0000,257563000.0000,253545000.0000,301090000.0000
"HARTLAND",66,"H",5012227.0000,5078863.0000,5097295.0000,5289140.0000
"HARWINTON",67,"L",15200928.0000,15283763.0000,15320159.0000,15441780.0000
"HEBRON",68,"T",27728993.0000,28272564.0000,28128398.0000,29887115.0000
"KENT",69,"L",10808914.0000,10905641.0000,10889245.0000,11032484.0000
"KILLINGLY",70,"W",33012123.0000,33761002.0000,33674879.0000,35211085.0000
"KILLINGWORTH",71,"M",18655127.0000,18757999.0000,18717831.0000,18860534.0000
