Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2017 ESTIMATE,Population_Range,PercentOfStateMedian,Sort ID
"NEWINGTON",9.7000000000000000e+01,79181.0000,"10,000 to 30,000",1.0731895745517139e+00,105
"WATERFORD",1.5300000000000000e+02,79175.0000,"10,000 to 30,000",1.0731082528022120e+00,106
"STONINGTON",1.3800000000000000e+02,78875.0000,"10,000 to 30,000",1.0690421653271167e+00,107
"EAST HADDAM",4.0000000000000000e+01,78177.0000,"0 to 10,000",1.0595817351350618e+00,109
"CANAAN",2.1000000000000000e+01,77417.0000,"0 to 10,000",1.0492809801981540e+00,111
"THOMPSON",1.4200000000000000e+02,77267.0000,"0 to 10,000",1.0472479364606064e+00,112
"CORNWALL",3.1000000000000000e+01,76563.0000,"0 to 10,000",1.0377061845190496e+00,115
"CLINTON",2.7000000000000000e+01,76509.0000,"10,000 to 30,000",1.0369742887735325e+00,116
"WILLINGTON",1.6100000000000000e+02,75885.0000,"0 to 10,000",1.0285168268253344e+00,117
"STERLING",1.3700000000000000e+02,75574.0000,"0 to 10,000",1.0243016494761523e+00,118
"SEYMOUR",1.2500000000000000e+02,75550.0000,"10,000 to 30,000",1.0239763624781448e+00,119
"BRANFORD",1.4000000000000000e+01,75366.0000,"10,000 to 30,000",1.0214824954934196e+00,120
"EAST WINDSOR",4.5000000000000000e+01,75056.0000,"0 to 10,000",1.0172808717691546e+00,121
"BROOKLYN",1.9000000000000000e+01,75000.0000,"0 to 10,000",1.0165218687738036e+00,122
"NORFOLK",9.9000000000000000e+01,74844.0000,"0 to 10,000",1.0144075032867541e+00,123
"HAMDEN",6.3000000000000000e+01,74281.0000,"30,000 to 70,000",1.0067768124584919e+00,124
"HAMPTON",6.4000000000000000e+01,74265.0000,"0 to 10,000",1.0065599544598203e+00,125
"OLD SAYBROOK",1.0700000000000000e+02,74185.0000,"0 to 10,000",1.0054756644664615e+00,126
"PRESTON",1.1500000000000000e+02,74083.0000,"0 to 10,000",1.0040931947249292e+00,127
"BLOOMFIELD",1.1000000000000000e+01,73593.0000,"10,000 to 30,000",9.9745191851560699e-01,128
"ENFIELD",4.9000000000000000e+01,73494.0000,"30,000 to 70,000",9.9611010964882563e-01,129
"PLYMOUTH",1.1200000000000000e+02,73430.0000,"10,000 to 30,000",9.9524267765413865e-01,130
"STRATFORD",1.3900000000000000e+02,72757.0000,"30,000 to 70,000",9.8612108808500831e-01,131
"DEEP RIVER",3.6000000000000000e+01,69028.0000,"0 to 10,000",9.3557962076957479e-01,134
"ASHFORD",3.0000000000000000e+00,68846.0000,"0 to 10,000",9.3311286103468372e-01,135
"STAFFORD",1.3500000000000000e+02,68813.0000,"10,000 to 30,000",9.3266559141242322e-01,136
"DANBURY",3.4000000000000000e+01,68068.0000,"30,000 to 70,000",9.2256814084927019e-01,137
"THOMASTON",1.4100000000000000e+02,67639.0000,"0 to 10,000",9.1675363575988400e-01,138
"PLAINFIELD",1.1000000000000000e+02,67409.0000,"10,000 to 30,000",9.1363630202897761e-01,139
"MANCHESTER",7.8000000000000000e+01,67325.0000,"30,000 to 70,000",9.1249779753595095e-01,140
"WINDSOR LOCKS",1.6600000000000000e+02,67072.0000,"10,000 to 30,000",9.0906873043195402e-01,141
"BRISTOL",1.7000000000000000e+01,64586.0000,"30,000 to 70,000",8.7537441888833167e-01,142
"KENT",6.9000000000000000e+01,64464.0000,"0 to 10,000",8.7372087664845965e-01,143
"MIDDLETOWN",8.4000000000000000e+01,63914.0000,"30,000 to 70,000",8.6626638294411840e-01,144
"GROTON",5.9000000000000000e+01,63895.0000,"30,000 to 70,000",8.6600886407069566e-01,145
"NAUGATUCK",8.9000000000000000e+01,63452.0000,"30,000 to 70,000",8.6000460823247182e-01,146
"EAST HAVEN",4.3000000000000000e+01,63051.0000,"10,000 to 30,000",8.5456960464076115e-01,147
"PLAINVILLE",1.1100000000000000e+02,62459.0000,"10,000 to 30,000",8.4654585868990662e-01,148
"SPRAGUE",1.3400000000000000e+02,62178.0000,"0 to 10,000",8.4273729008823406e-01,149
"TORRINGTON",1.4400000000000000e+02,61313.0000,"30,000 to 70,000",8.3101340453504291e-01,150
"GRISWOLD",5.8000000000000000e+01,60521.0000,"10,000 to 30,000",8.2027893360079152e-01,152
"MANSFIELD",7.9000000000000000e+01,58819.0000,"10,000 to 30,000",7.9721066399208473e-01,153
"WINCHESTER",1.6300000000000000e+02,57468.0000,"10,000 to 30,000",7.7889971672923919e-01,155
"DERBY",3.7000000000000000e+01,57432.0000,"10,000 to 30,000",7.7841178623222784e-01,156
"MERIDEN",8.1000000000000000e+01,57350.0000,"30,000 to 70,000",7.7730038898903508e-01,157
"WEST HAVEN",1.5600000000000000e+02,55299.0000,"30,000 to 70,000",7.4950190428430086e-01,158
"KILLINGLY",7.0000000000000000e+01,54868.0000,"10,000 to 30,000",7.4366029194508076e-01,159
"NORWICH",1.0500000000000000e+02,53682.0000,"30,000 to 70,000",7.2758569279353769e-01,160
"EAST HARTFORD",4.2000000000000000e+01,52049.0000,"30,000 to 70,000",7.0545262330410263e-01,161
"ANSONIA",2.0000000000000000e+00,45563.0000,"10,000 to 30,000",6.1754381209254416e-01,162
"BRIDGEPORT",1.5000000000000000e+01,44841.0000,"70,000 & Up",6.0775809490248167e-01,163
"NEW BRITAIN",9.0000000000000000e+01,43611.0000,"70,000 & Up",5.9108713625459131e-01,164
"WINDHAM",1.6400000000000000e+02,41293.0000,"10,000 to 30,000",5.5966983369702228e-01,165
"WATERBURY",1.5200000000000000e+02,40879.0000,"70,000 & Up",5.5405863298139091e-01,166
"NEW HAVEN",9.4000000000000000e+01,39191.0000,"70,000 & Up",5.3118011412152177e-01,167
"NEW LONDON",9.5000000000000000e+01,37331.0000,"10,000 to 30,000",5.0597037177593152e-01,168
"HARTFORD",6.5000000000000000e+01,33841.0000,"70,000 & Up",4.5866822081565717e-01,169
"WESTPORT",1.5900000000000000e+02,181360.0000,"10,000 to 30,000",2.4580854149442271e+00,3
"BROOKFIELD",1.8000000000000000e+01,113009.0000,"10,000 to 30,000",1.5316815982434502e+00,21
"HARWINTON",6.7000000000000000e+01,104205.0000,"0 to 10,000",1.4123554844743227e+00,41
"CANTERBURY",2.2000000000000000e+01,89213.0000,"0 to 10,000",1.2091595397188979e+00,73
"EASTFORD",4.6000000000000000e+01,84375.0000,"0 to 10,000",1.1435871023705291e+00,91
"LITCHFIELD",7.5000000000000000e+01,78375.0000,"0 to 10,000",1.0622653528686248e+00,108
"WALLINGFORD",1.4900000000000000e+02,77128.0000,"30,000 to 70,000",1.0453639825971457e+00,113
"MONTVILLE",8.7000000000000000e+01,72639.0000,"10,000 to 30,000",9.8452176034480421e-01,132
"VERNON",1.4700000000000000e+02,60648.0000,"10,000 to 30,000",8.2200024396524851e-01,151
"DARIEN",3.5000000000000000e+01,208848.0000,"10,000 to 30,000",2.8306474566622843e+00,2
"TOLLAND",1.4300000000000000e+02,112740.0000,"10,000 to 30,000",1.5280356731407816e+00,22
"MIDDLEFIELD",8.3000000000000000e+01,103844.0000,"0 to 10,000",1.4074626258792915e+00,42
"WINDSOR",1.6500000000000000e+02,89565.0000,"10,000 to 30,000",1.2139304156896762e+00,71
"POMFRET",1.1300000000000000e+02,84457.0000,"0 to 10,000",1.1446984996137217e+00,90
"WATERTOWN",1.5400000000000000e+02,77946.0000,"10,000 to 30,000",1.0564508477792385e+00,110
"CHAPLIN",2.4000000000000000e+01,76932.0000,"0 to 10,000",1.0427074721134166e+00,114
"NORTH CANAAN",1.0100000000000000e+02,72411.0000,"0 to 10,000",9.8143153386373183e-01,133
"PUTNAM",1.1700000000000000e+02,58416.0000,"0 to 10,000",7.9174855315054016e-01,154
