Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2017 ESTIMATE,Population_Range,PercentOfStateMedian,Sort ID
"WESTON",1.5800000000000000e+02,219868.0000,"0 to 10,000",2.9800084032474485e+00,1
"WILTON",1.6200000000000000e+02,180313.0000,"10,000 to 30,000",2.4438947696561444e+00,4
"NEW CANAAN",9.1000000000000000e+01,174677.0000,"10,000 to 30,000",2.3675065396240225e+00,5
"RIDGEFIELD",1.1900000000000000e+02,151399.0000,"10,000 to 30,000",2.0520052588064677e+00,6
"WOODBRIDGE",1.6800000000000000e+02,138320.0000,"0 to 10,000",1.8747373985172335e+00,7
"GREENWICH",5.7000000000000000e+01,138180.0000,"30,000 to 70,000",1.8728398910288557e+00,8
"EASTON",4.7000000000000000e+01,136786.0000,"0 to 10,000",1.8539461378945798e+00,9
"REDDING",1.1800000000000000e+02,129763.0000,"0 to 10,000",1.7587590301026010e+00,10
"FAIRFIELD",5.1000000000000000e+01,127746.0000,"30,000 to 70,000",1.7314213686450441e+00,11
"AVON",4.0000000000000000e+00,125536.0000,"10,000 to 30,000",1.7014678575785094e+00,12
"BURLINGTON",2.0000000000000000e+01,121635.0000,"0 to 10,000",1.6485951667773546e+00,13
"ROXBURY",1.2100000000000000e+02,119167.0000,"0 to 10,000",1.6151448204822381e+00,14
"SIMSBURY",1.2900000000000000e+02,116444.0000,"10,000 to 30,000",1.5782382998332904e+00,15
"DURHAM",3.8000000000000000e+01,116232.0000,"0 to 10,000",1.5753649313508897e+00,16
"TRUMBULL",1.4500000000000000e+02,115346.0000,"30,000 to 70,000",1.5633564196744418e+00,17
"NEWTOWN",9.8000000000000000e+01,115137.0000,"10,000 to 30,000",1.5605237120667923e+00,18
"SHERMAN",1.2800000000000000e+02,113636.0000,"0 to 10,000",1.5401797210663992e+00,19
"KILLINGWORTH",7.1000000000000000e+01,113413.0000,"0 to 10,000",1.5371572627099117e+00,20
"GLASTONBURY",5.4000000000000000e+01,111645.0000,"10,000 to 30,000",1.5131944538566839e+00,23
"GRANBY",5.6000000000000000e+01,111220.0000,"0 to 10,000",1.5074341632669657e+00,24
"BARKHAMSTED",5.0000000000000000e+00,111198.0000,"0 to 10,000",1.5071359835187921e+00,25
"MARLBOROUGH",8.0000000000000000e+01,110250.0000,"0 to 10,000",1.4942871470974912e+00,26
"BETHANY",8.0000000000000000e+00,109844.0000,"0 to 10,000",1.4887843753811958e+00,27
"MONROE",8.6000000000000000e+01,109631.0000,"10,000 to 30,000",1.4858974532738780e+00,28
"ORANGE",1.0800000000000000e+02,109538.0000,"10,000 to 30,000",1.4846369661565986e+00,29
"MADISON",7.7000000000000000e+01,108167.0000,"10,000 to 30,000",1.4660549463954136e+00,30
"GUILFORD",6.1000000000000000e+01,107587.0000,"10,000 to 30,000",1.4581938439435627e+00,31
"CHESHIRE",2.5000000000000000e+01,107579.0000,"10,000 to 30,000",1.4580854149442268e+00,32
"SALEM",1.2200000000000000e+02,106719.0000,"0 to 10,000",1.4464292975156205e+00,33
"SOUTH WINDSOR",1.3100000000000000e+02,105986.0000,"10,000 to 30,000",1.4364944904514712e+00,34
"HADDAM",6.2000000000000000e+01,105920.0000,"0 to 10,000",1.4355999512069504e+00,35
"SUFFIELD",1.4000000000000000e+02,105777.0000,"10,000 to 30,000",1.4336617828438216e+00,36
"MIDDLEBURY",8.2000000000000000e+01,105036.0000,"0 to 10,000",1.4236185467803364e+00,37
"HEBRON",6.8000000000000000e+01,104519.0000,"0 to 10,000",1.4166113226982557e+00,38
"NEW FAIRFIELD",9.2000000000000000e+01,104402.0000,"10,000 to 30,000",1.4150255485829686e+00,39
"OXFORD",1.0900000000000000e+02,104316.0000,"0 to 10,000",1.4138599368401079e+00,40
"PROSPECT",1.1600000000000000e+02,102617.0000,"0 to 10,000",1.3908323281061521e+00,43
"BRIDGEWATER",1.6000000000000000e+01,102250.0000,"0 to 10,000",1.3858581477616188e+00,44
"SOMERS",1.3000000000000000e+02,101897.0000,"0 to 10,000",1.3810737181659234e+00,45
"BOLTON",1.2000000000000000e+01,101667.0000,"0 to 10,000",1.3779563844350171e+00,46
"COLCHESTER",2.8000000000000000e+01,101031.0000,"10,000 to 30,000",1.3693362789878152e+00,47
"ANDOVER",1.0000000000000000e+00,100507.0000,"0 to 10,000",1.3622341795313158e+00,48
"COLUMBIA",3.0000000000000000e+01,100179.0000,"0 to 10,000",1.3577885905585449e+00,49
"EAST HAMPTON",4.1000000000000000e+01,99104.0000,"10,000 to 30,000",1.3432184437727870e+00,50
"WARREN",1.5000000000000000e+02,98750.0000,"0 to 10,000",1.3384204605521748e+00,51
"BETHEL",9.0000000000000000e+00,97289.0000,"10,000 to 30,000",1.3186186145484611e+00,52
"NEW HARTFORD",9.3000000000000000e+01,96291.0000,"0 to 10,000",1.3050920968813109e+00,53
"NORTH HAVEN",1.0200000000000000e+02,96273.0000,"10,000 to 30,000",1.3048481316328051e+00,54
"GOSHEN",5.5000000000000000e+01,96026.0000,"0 to 10,000",1.3015003862783101e+00,55
"WESTBROOK",1.5700000000000000e+02,95583.0000,"0 to 10,000",1.2954961304400863e+00,56
"WEST HARTFORD",1.5500000000000000e+02,95298.0000,"30,000 to 70,000",1.2916333473387458e+00,57
"OLD LYME",1.0600000000000000e+02,95175.0000,"0 to 10,000",1.2899662514739567e+00,58
"FARMINGTON",5.2000000000000000e+01,94785.0000,"10,000 to 30,000",1.2846803377563329e+00,59
"HARTLAND",6.6000000000000000e+01,94569.0000,"0 to 10,000",1.2817527547742644e+00,60
"WASHINGTON",1.5100000000000000e+02,93975.0000,"0 to 10,000",1.2737019015735758e+00,61
"UNION",1.4600000000000000e+02,93750.0000,"0 to 10,000",1.2706523359672544e+00,62
"LEBANON",7.2000000000000000e+01,93531.0000,"0 to 10,000",1.2676840921104349e+00,63
"EAST GRANBY",3.9000000000000000e+01,93385.0000,"0 to 10,000",1.2657052628725554e+00,64
"BERLIN",7.0000000000000000e+00,93328.0000,"10,000 to 30,000",1.2649327062522873e+00,65
"FRANKLIN",5.3000000000000000e+01,92279.0000,"0 to 10,000",1.2507149537143709e+00,66
"BETHLEHEM",1.0000000000000000e+01,91712.0000,"0 to 10,000",1.2430300483864409e+00,67
"SOUTHINGTON",1.3300000000000000e+02,90796.0000,"30,000 to 70,000",1.2306149279624836e+00,68
"CANTON",2.3000000000000000e+01,90594.0000,"0 to 10,000",1.2278770957292529e+00,69
"SOUTHBURY",1.3200000000000000e+02,90324.0000,"10,000 to 30,000",1.2242176170016672e+00,70
"SHELTON",1.2700000000000000e+02,89250.0000,"30,000 to 70,000",1.2096610238408263e+00,72
"MORRIS",8.8000000000000000e+01,89107.0000,"0 to 10,000",1.2077228554776975e+00,74
"COVENTRY",3.2000000000000000e+01,88562.0000,"10,000 to 30,000",1.2003361298979411e+00,75
"PORTLAND",1.1400000000000000e+02,88433.0000,"0 to 10,000",1.1985877122836504e+00,76
"BEACON FALLS",6.0000000000000000e+00,88355.0000,"0 to 10,000",1.1975305295401255e+00,77
"LEDYARD",7.3000000000000000e+01,88163.0000,"10,000 to 30,000",1.1949282335560645e+00,78
"ESSEX",5.0000000000000000e+01,87857.0000,"0 to 10,000",1.1907808243314675e+00,79
"WOLCOTT",1.6700000000000000e+02,87045.0000,"10,000 to 30,000",1.1797752808988764e+00,80
"CHESTER",2.6000000000000000e+01,86675.0000,"0 to 10,000",1.1747604396795923e+00,81
"MILFORD",8.5000000000000000e+01,86382.0000,"30,000 to 70,000",1.1707892275789160e+00,82
"CROMWELL",3.3000000000000000e+01,85856.0000,"10,000 to 30,000",1.1636600208725825e+00,83
"SCOTLAND",1.2400000000000000e+02,85714.0000,"0 to 10,000",1.1617354061343705e+00,84
"LISBON",7.4000000000000000e+01,85296.0000,"0 to 10,000",1.1560699909190713e+00,85
"LYME",7.6000000000000000e+01,84922.0000,"0 to 10,000",1.1510009352001194e+00,86
"STAMFORD",1.3600000000000000e+02,84893.0000,"70,000 & Up",1.1506078800775268e+00,87
"NORTH STONINGTON",1.0300000000000000e+02,84833.0000,"0 to 10,000",1.1497946625825077e+00,88
"COLEBROOK",2.9000000000000000e+01,84583.0000,"0 to 10,000",1.1464062563532618e+00,89
"NEW MILFORD",9.6000000000000000e+01,83676.0000,"10,000 to 30,000",1.1341131185535571e+00,92
"NORTH BRANFORD",1.0000000000000000e+02,83637.0000,"10,000 to 30,000",1.1335845271817948e+00,93
"EAST LYME",4.4000000000000000e+01,83590.0000,"10,000 to 30,000",1.1329475068106964e+00,94
"SALISBURY",1.2300000000000000e+02,83217.0000,"0 to 10,000",1.1278920047166614e+00,95
"WOODBURY",1.6900000000000000e+02,82923.0000,"0 to 10,000",1.1239072389910683e+00,96
"ELLINGTON",4.8000000000000000e+01,82507.0000,"10,000 to 30,000",1.1182689310256029e+00,97
"BOZRAH",1.3000000000000000e+01,82500.0000,"0 to 10,000",1.1181740556511839e+00,98
"NORWALK",1.0400000000000000e+02,81546.0000,"70,000 & Up",1.1052438974803811e+00,99
"WETHERSFIELD",1.6000000000000000e+02,81452.0000,"10,000 to 30,000",1.1039698567381846e+00,100
"SHARON",1.2600000000000000e+02,81442.0000,"0 to 10,000",1.1038343204890149e+00,101
"WOODSTOCK",1.7000000000000000e+02,81441.0000,"0 to 10,000",1.1038207668640978e+00,102
"VOLUNTOWN",1.4800000000000000e+02,81400.0000,"0 to 10,000",1.1032650682425014e+00,103
"ROCKY HILL",1.2000000000000000e+02,79421.0000,"10,000 to 30,000",1.0764424445317899e+00,104
