MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2015 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.6566323000000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,8.9756694700000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.9867652300000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.5927028300000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,3.4711184000000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.8951063600000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2.1947160700000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.5302099800000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.9176489800000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.6981643900000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2.0381419200000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,4.2984896800000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,2.2030206400000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.5057900760000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6.0655602610000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.9133771200000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3.8426689110000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2.2693538330000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,5.4283208400000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,9.0706381100000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.7159693000000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.5774139200000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1.1076529790000000e+09
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.6152520000000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.7503323510000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.4423359000000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.5221907800000000e+09
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1.2160102100000000e+09
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.8214804200000000e+08
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.7688849000000000e+08
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,4.0481610000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,9.4943674100000000e+08
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1.3225902550000000e+09
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,7.0265642350000000e+09
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8.4466732250000000e+09
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,4.9040840400000000e+08
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,7.1824834300000000e+08
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,6.9428693900000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,5.8696739700000000e+08
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,8.5681531900000000e+08
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1.1235112680000000e+09
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2.7333435210000000e+09
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,2.0098946300000000e+09
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2.1253567630000000e+09
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,9.6194479000000000e+08
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,1.4408081200000000e+08
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.3364522690000000e+09
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1.3276214120000000e+09
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.9006552830000000e+09
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1.0404707010000000e+09
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,1.0770449294000000e+10
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3.5739521130000000e+09
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,2.0324710000000000e+08
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3.9152018190000000e+09
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,5.2468341000000000e+08
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,9.7136891000000000e+08
