MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1847609000000000e+08,4.5043000000000000e+06,1.0683000000000000e+06,6.1680000000000000e+05,1.5360000000000000e+06,2.3229525000000000e+08,9.2590000000000000e+05,2.3136935000000000e+08,2.6021170000000000e+07,6.1481000000000000e+05,2.5406360000000000e+07,6.9130150000000000e+06,5.5482000000000000e+05,6.3581950000000000e+06,2.6522943500000000e+08,2.6313390500000000e+08,6.0937600000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.5106755000000000e+08,7.7873840000000000e+07,1.5386600000000000e+07,3.3000000000000000e+04,1.5401400000000000e+07,7.5988145000000000e+08,5.3534020000000000e+06,7.5452804800000000e+08,9.3149741000000000e+07,1.4130300000000000e+06,9.1736711000000000e+07,5.2161942000000000e+07,4.3277160000000000e+06,4.7834226000000000e+07,9.0519313300000000e+08,8.9409898500000000e+08,1.1906000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2603640000000000e+08,1.2739600000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.2436000000000000e+06,2.6076178000000000e+08,1.1875750000000000e+06,2.5957420500000000e+08,3.0460517000000000e+07,8.9206000000000000e+05,2.9568457000000000e+07,9.5164240000000000e+06,1.1923820000000000e+06,8.3240420000000000e+06,3.0073872100000000e+08,2.9746670400000000e+08,1.2742180000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,1.9919362900000000e+09,2.9141981000000000e+08,3.1777800000000000e+07,3.2259000000000000e+05,0.0000000000000000e+00,2.3203704800000000e+09,4.2767000000000000e+06,2.3160937800000000e+09,1.7903348000000000e+08,8.9078000000000000e+05,1.7814270000000000e+08,1.0602572000000000e+08,2.2463950000000000e+07,8.3561770000000000e+07,2.6054296800000000e+09,2.5777982500000000e+09,4.9139900000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.4728080000000000e+08,1.1609100000000000e+07,4.3302300000000000e+06,0.0000000000000000e+00,2.1733800000000000e+06,3.0206341000000000e+08,1.0367900000000000e+06,3.0102662000000000e+08,3.0770930000000000e+07,5.4890000000000000e+05,3.0222030000000000e+07,1.5101505000000000e+07,4.6501900000000000e+06,1.0451315000000000e+07,3.4793584500000000e+08,3.4169996500000000e+08,3.6669900000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.6167382000000000e+08,1.3966680000000000e+07,3.0729280000000000e+07,3.1364000000000000e+05,7.3214000000000000e+05,4.1999524000000000e+08,3.3923000000000000e+06,4.1660294000000000e+08,4.2395070000000000e+07,3.9726000000000000e+05,4.1997810000000000e+07,2.3378887000000000e+07,2.7580490000000000e+06,2.0620838000000000e+07,4.8576919700000000e+08,4.7922158800000000e+08,1.2579680000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.3964885000000000e+09,2.5543513000000000e+08,1.2300102000000000e+08,3.0052000000000000e+06,1.6810000000000000e+05,1.8136472000000000e+09,4.2509270000000000e+06,1.8093962730000000e+09,2.0227814000000000e+08,1.3897740000000000e+07,1.8838040000000000e+08,2.4732763500000000e+08,6.7949480000000000e+07,1.7937815500000000e+08,2.2632529750000000e+09,2.1771548280000000e+09,3.5549250000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.5379879000000000e+08,2.4916730000000000e+07,4.8230800000000000e+06,0.0000000000000000e+00,2.8138000000000000e+05,4.8740646000000000e+08,1.7743550000000000e+06,4.8563210500000000e+08,4.7043520000000000e+07,7.0870000000000000e+04,4.6972650000000000e+07,2.1878936000000000e+07,3.1775200000000000e+06,1.8701416000000000e+07,5.5632891600000000e+08,5.5130617100000000e+08,3.5864800000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.2872294600000000e+09,1.9539548000000000e+08,7.9011730000000000e+07,0.0000000000000000e+00,2.0582040000000000e+07,1.6235440200000000e+09,4.6695100000000000e+06,1.6188745100000000e+09,1.4196374000000000e+08,3.6165000000000000e+05,1.4160209000000000e+08,1.5528117000000000e+08,2.5635770000000000e+07,1.2964540000000000e+08,1.9207889300000000e+09,1.8901220000000000e+09,4.1325310000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,2.9697470000000000e+08,2.1318900000000000e+07,2.5315000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.2964143000000000e+08,2.6763400000000000e+06,3.2696509000000000e+08,3.3594000000000000e+07,1.1053000000000000e+05,3.3483470000000000e+07,8.1780200000000000e+06,1.0936130000000000e+06,7.0844070000000000e+06,3.7141345000000000e+08,3.6753296700000000e+08,8.8163300000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.0115299600000000e+09,2.6570929000000000e+08,2.0319804800000000e+08,0.0000000000000000e+00,1.2039132000000000e+08,1.6052594580000000e+09,3.1270000000000000e+06,1.6021324580000000e+09,1.5126583100000000e+08,6.6910100000000000e+06,1.4457482100000000e+08,3.9860675100000000e+08,1.1132904000000000e+08,2.8727771100000000e+08,2.1551320400000000e+09,2.0339849900000000e+09,4.4308400000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.3889525000000000e+08,1.3890780000000000e+07,7.2417000000000000e+06,0.0000000000000000e+00,2.7933000000000000e+06,3.8175518000000000e+08,2.0983900000000000e+06,3.7965679000000000e+08,3.9956460000000000e+07,8.9636200000000000e+05,3.9060098000000000e+07,1.1686950000000000e+07,1.8840350000000000e+06,9.8029150000000000e+06,4.3339859000000000e+08,4.2851980300000000e+08,1.8934150000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.3980086000000000e+08,1.0142410000000000e+07,2.2584240000000000e+07,0.0000000000000000e+00,9.7175000000000000e+05,1.8189339000000000e+08,8.6818000000000000e+05,1.8102521000000000e+08,2.4077200000000000e+07,7.5525000000000000e+05,2.3321950000000000e+07,2.8193177000000000e+07,1.2466360000000000e+07,1.5726817000000000e+07,2.3416376700000000e+08,2.2007397700000000e+08,8.3941300000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.5882020100000000e+09,3.5524130000000000e+08,1.0901450000000000e+08,3.2127000000000000e+06,4.8451840000000000e+07,3.1214142000000000e+09,8.0399000000000000e+06,3.1133743000000000e+09,2.2704182800000000e+08,1.7097720000000000e+06,2.2533205600000000e+08,1.6871817800000000e+08,2.1740133000000000e+07,1.4697804500000000e+08,3.5171742060000000e+09,3.4856844010000000e+09,1.7291850000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,4.0857272160000000e+09,9.0468134200000000e+08,5.5292292500000000e+08,4.2210115000000000e+07,3.1582288500000000e+08,5.9882463370000000e+09,2.8998397000000000e+07,5.9592479400000000e+09,4.5258346400000000e+08,9.7545370000000000e+06,4.4282892700000000e+08,8.2142334200000000e+08,8.6976635000000000e+07,7.3444670700000000e+08,7.2622531430000000e+09,7.1365235740000000e+09,8.6881854000000000e+07
