Municipality,Equalized Net Grand List GLYR 2014
"ANDOVER",360162930.1000
"ANSONIA",1312183325.4400
"ASHFORD",420881940.7200
"AVON",3738989795.6100
"BARKHAMSTED",494116946.0754
"BEACON FALLS",652767964.9157
"BERLIN",3116476402.2876
"BETHANY",830045628.5048
"BETHEL",2824194297.6926
"BETHLEHEM",518047232.9862
"BLOOMFIELD",2906211228.5771
"BOLTON",615311148.1076
"BOZRAH",299941184.0769
"BRANFORD",4981495539.9943
"BRIDGEPORT",8791072382.5945
"BRIDGEWATER",508540109.4574
"BRISTOL",5414806061.0109
"BROOKFIELD",3155246251.4423
"BROOKLYN",744968938.9823
"BURLINGTON",1307588290.8638
"CANAAN",242191013.7845
"CANTERBURY",519471943.9391
"CANTON",1537052180.4934
"CHAPLIN",227120154.8863
"CHESHIRE",4154525677.5002
"CHESTER",609028102.7026
"CLINTON",2136348482.7734
"COLCHESTER",1686095859.9365
"COLEBROOK",225255646.3841
"COLUMBIA",732773607.3723
"CORNWALL",487020992.7964
"COVENTRY",1329903900.0029
"CROMWELL",1881010740.5400
"DANBURY",10072276172.6659
"DARIEN",13560177772.6268
"DEEP RIVER",706233945.5295
"DERBY",975413502.5358
"DURHAM",1046399210.5412
"EAST GRANBY",895211928.4623
"EAST HADDAM",1205467438.7247
"EAST HAMPTON",1649862985.5972
"EAST HARTFORD",3798403109.1793
"EAST HAVEN",2668818625.2815
"EAST LYME",3067459764.8127
"EAST WINDSOR",1390247740.9298
"EASTFORD",194982983.1740
"EASTON",1953053184.8121
"ELLINGTON",1881408137.2072
"ENFIELD",4163607597.3267
"ESSEX",1561401317.4866
"FAIRFIELD",16170416830.2226
"FARMINGTON",5115009588.9913
"FRANKLIN",302603371.8101
"GLASTONBURY",5895699481.5045
"GOSHEN",747314239.1235
"GRANBY",1397925266.0440
"GREENWICH",50031483545.4049
"GRISWOLD",963919193.4995
"GROTON",5265116791.6845
"GROTON (City of)",
"GUILFORD",4434076489.7841
"HADDAM",1270545274.8717
"HAMDEN",5578004423.6514
"HAMPTON",179533473.7293
"HARTFORD",6496073222.4192
"HARTLAND",280259619.5570
"HARWINTON",772997338.9007
"HEBRON",1102908485.9240
"KENT",838582023.8425
"KILLINGLY",1657995334.2249
"KILLINGWORTH",1031946947.5108
"LEBANON",874191847.2331
"LEDYARD",1558015972.8650
"LISBON",555793821.5019
"LITCHFIELD",1467022228.4695
"LYME",707481510.9104
"MADISON",4211167689.1534
"MANCHESTER",5623494749.7052
"MANSFIELD",1467364552.8557
"MARLBOROUGH",837524933.0882
"MERIDEN",4573660719.6549
"MIDDLEBURY",1365404874.5992
"MIDDLEFIELD",582193265.8682
"MIDDLETOWN",4729929177.6352
"MILFORD",9096188398.0832
"MONROE",3066526011.4329
"MONTVILLE",1901263919.4953
"MORRIS",423916012.8571
"NAUGATUCK",2248544820.7369
"NEW BRITAIN",3648566782.4571
"NEW CANAAN",12377454660.4973
"NEW FAIRFIELD",2255766432.8586
"NEW HARTFORD",923271138.5153
"NEW HAVEN",9723396015.4338
"NEW LONDON",1858962621.8175
"NEW MILFORD",4150983903.3160
"NEWINGTON",3863277038.6656
"NEWTOWN",4558435297.3086
"NORFOLK",390375012.6803
"NORTH BRANFORD",1868349731.1530
"NORTH CANAAN",423613307.2498
"NORTH HAVEN",3931374955.7157
"NORTH STONINGTON",718244996.8039
"NORWALK",17956313819.1939
"NORWICH",2670158201.2810
"OLD LYME",2235564264.2886
"OLD SAYBROOK",3181508485.8638
"ORANGE",2891806319.9690
"OXFORD",2121407917.0100
"PLAINFIELD",1315005038.1321
"PLAINVILLE",1936585287.0100
"PLYMOUTH",1052827086.2407
"POMFRET",469782177.0194
"PORTLAND",1124230415.4447
"PRESTON",538805849.0079
"PROSPECT",1212916004.7384
"PUTNAM",873806122.8586
"REDDING",2302598147.8619
"RIDGEFIELD",7212648901.2660
"ROCKY HILL",3193390993.0241
"ROXBURY",944561939.3068
"SALEM",496154900.8184
"SALISBURY",1644012796.1403
"SCOTLAND",151789304.8494
"SEYMOUR",1702581361.1047
"SHARON",926930282.0057
"SHELTON",6691388869.4689
"SHERMAN",993367439.2039
"SIMSBURY",3586049743.5545
"SOMERS",1243529110.2388
"SOUTH WINDSOR",3624125847.2869
"SOUTHBURY",3186299045.3322
"SOUTHINGTON",5705132585.6831
"SPRAGUE",254681401.7775
"STAFFORD",1101177516.2062
"STAMFORD",32163709171.3531
"STERLING",320149040.4049
"STONINGTON",3994188057.2767
"STRATFORD",6353037221.4329
"SUFFIELD",1994576432.9648
"THOMASTON",773308065.9874
"THOMPSON",834528271.4271
"TOLLAND",1793859607.1443
"TORRINGTON",2760539378.5757
"TRUMBULL",6760747989.4805
"UNION",118614798.4606
"VERNON",2546983355.4159
"VOLUNTOWN",275601575.1646
"WALLINGFORD",6194564722.0810
"WARREN",535161654.2077
"WASHINGTON",1735039846.2853
"WATERBURY",5554511500.2349
"WATERFORD",4639975434.9718
"WATERTOWN",2612679886.5387
"WEST HARTFORD",9323512094.4408
"WEST HAVEN",3964415226.5968
"WESTBROOK",1714853284.1286
"WESTON",3584903135.2439
"WESTPORT",16602814905.2597
"WETHERSFIELD",3104460581.9467
"WILLINGTON",615677861.8942
"WILTON",6535481935.4523
"WINCHESTER",931620999.7784
"WINDHAM",1256841393.7328
"WINDSOR",4259039357.4157
"WINDSOR LOCKS",1699667420.5099
"WOLCOTT",1821732370.0838
"WOODBRIDGE",1637008171.4314
"WOODBURY",1548752497.2403
"WOODSTOCK",972558228.8012
