Municipality,2013 TFA Recipients,2014 TFA Recipients,2015 TFA Recipients,2016 TFA Recipients,2017 TFA Recipients,2018 TFA Recipients
"ANDOVER",1.4000000000000000e+01,3.5000000000000000e+00,1.0500000000000000e+01,5.0000000000000000e+00,2.0000000000000000e+00,4.5000000000000000e+00
"ANSONIA",3.1450000000000000e+02,2.8800000000000000e+02,3.2350000000000000e+02,2.6350000000000000e+02,1.8850000000000000e+02,1.5550000000000000e+02
"ASHFORD",2.8000000000000000e+01,3.2500000000000000e+01,1.6500000000000000e+01,1.2000000000000000e+01,5.0000000000000000e+00,1.2000000000000000e+01
"AVON",1.4500000000000000e+01,2.0000000000000000e+01,7.0000000000000000e+00,1.1000000000000000e+01,1.0500000000000000e+01,9.0000000000000000e+00
"BARKHAMSTED",4.5000000000000000e+00,6.5000000000000000e+00,6.0000000000000000e+00,3.5000000000000000e+00,3.5000000000000000e+00,4.0000000000000000e+00
"BEACON FALLS",3.3000000000000000e+01,3.0500000000000000e+01,2.5500000000000000e+01,1.7000000000000000e+01,1.9000000000000000e+01,1.8000000000000000e+01
"BERLIN",5.4500000000000000e+01,7.6000000000000000e+01,6.6500000000000000e+01,4.9000000000000000e+01,4.5000000000000000e+01,5.0000000000000000e+01
"BETHANY",6.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+00,2.5000000000000000e+00,5.0000000000000000e-01,3.5000000000000000e+00
"BETHEL",5.2500000000000000e+01,4.9000000000000000e+01,2.9500000000000000e+01,2.7500000000000000e+01,3.2000000000000000e+01,3.0500000000000000e+01
"BETHLEHEM",2.5000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,3.0000000000000000e+00
"BLOOMFIELD",1.9500000000000000e+02,2.0200000000000000e+02,1.9750000000000000e+02,1.6800000000000000e+02,1.3900000000000000e+02,1.3300000000000000e+02
"BOLTON",1.4000000000000000e+01,1.6000000000000000e+01,1.8000000000000000e+01,1.0000000000000000e+01,4.5000000000000000e+00,5.0000000000000000e+00
"BOZRAH",1.3000000000000000e+01,5.0000000000000000e+00,4.5000000000000000e+00,7.0000000000000000e+00,6.0000000000000000e+00,8.5000000000000000e+00
"BRANFORD",1.1000000000000000e+02,1.0600000000000000e+02,8.5000000000000000e+01,1.0550000000000000e+02,8.4000000000000000e+01,6.8500000000000000e+01
"BRIDGEPORT",3.8115000000000000e+03,3.2435000000000000e+03,2.9840000000000000e+03,2.5305000000000000e+03,2.1405000000000000e+03,2.0550000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+00
"BRISTOL",9.6300000000000000e+02,9.3700000000000000e+02,9.0250000000000000e+02,8.6800000000000000e+02,7.6050000000000000e+02,7.7300000000000000e+02
"BROOKFIELD",2.4500000000000000e+01,1.1000000000000000e+01,1.4000000000000000e+01,1.2000000000000000e+01,2.5000000000000000e+01,3.1500000000000000e+01
"BROOKLYN",8.1500000000000000e+01,6.5000000000000000e+01,5.6500000000000000e+01,4.8500000000000000e+01,5.3500000000000000e+01,4.7500000000000000e+01
"BURLINGTON",1.0500000000000000e+01,1.5500000000000000e+01,1.6500000000000000e+01,7.0000000000000000e+00,1.2000000000000000e+01,1.3500000000000000e+01
"CANAAN",7.5000000000000000e+00,1.0500000000000000e+01,7.0000000000000000e+00,7.5000000000000000e+00,3.0000000000000000e+00,4.5000000000000000e+00
"CANTERBURY",1.5000000000000000e+01,2.5000000000000000e+01,3.4000000000000000e+01,1.7000000000000000e+01,2.1000000000000000e+01,1.4000000000000000e+01
"CANTON",1.6000000000000000e+01,1.8500000000000000e+01,1.8500000000000000e+01,1.2000000000000000e+01,1.8000000000000000e+01,1.2500000000000000e+01
"CHAPLIN",1.6000000000000000e+01,1.9500000000000000e+01,1.9500000000000000e+01,1.7000000000000000e+01,2.1000000000000000e+01,1.0000000000000000e+01
"CHESHIRE",3.3000000000000000e+01,2.2500000000000000e+01,2.4000000000000000e+01,4.0500000000000000e+01,3.4000000000000000e+01,3.3000000000000000e+01
"CHESTER",5.5000000000000000e+00,4.0000000000000000e+00,2.0000000000000000e+00,2.5000000000000000e+00,1.5000000000000000e+00,2.5000000000000000e+00
"CLINTON",3.8500000000000000e+01,4.1500000000000000e+01,3.2000000000000000e+01,2.0500000000000000e+01,2.6000000000000000e+01,2.4500000000000000e+01
"COLCHESTER",5.6500000000000000e+01,7.5000000000000000e+01,4.9500000000000000e+01,5.5500000000000000e+01,2.9000000000000000e+01,4.9000000000000000e+01
"COLEBROOK",0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.5000000000000000e+00,3.5000000000000000e+00,6.5000000000000000e+00
"COLUMBIA",1.5500000000000000e+01,2.2000000000000000e+01,1.7500000000000000e+01,1.4500000000000000e+01,9.5000000000000000e+00,1.1500000000000000e+01
"CORNWALL",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5000000000000000e+00,7.5000000000000000e+00
"COVENTRY",4.6500000000000000e+01,4.2000000000000000e+01,4.2500000000000000e+01,3.6500000000000000e+01,3.5000000000000000e+01,4.0000000000000000e+01
"CROMWELL",4.0500000000000000e+01,4.5500000000000000e+01,2.8500000000000000e+01,3.0500000000000000e+01,2.4000000000000000e+01,1.4500000000000000e+01
"DANBURY",4.6900000000000000e+02,3.9050000000000000e+02,3.1500000000000000e+02,2.6300000000000000e+02,2.7800000000000000e+02,2.5000000000000000e+02
"DARIEN",1.7000000000000000e+01,1.5000000000000000e+01,8.0000000000000000e+00,1.3000000000000000e+01,1.0000000000000000e+01,1.0500000000000000e+01
"DEEP RIVER",1.2500000000000000e+01,1.4000000000000000e+01,4.5000000000000000e+00,1.3500000000000000e+01,8.0000000000000000e+00,6.0000000000000000e+00
"DERBY",1.6150000000000000e+02,1.6000000000000000e+02,1.6000000000000000e+02,1.2650000000000000e+02,1.2550000000000000e+02,9.9500000000000000e+01
"DURHAM",4.0000000000000000e+00,4.5000000000000000e+00,7.0000000000000000e+00,4.0000000000000000e+00,3.5000000000000000e+00,6.5000000000000000e+00
"EAST GRANBY",1.1500000000000000e+01,6.0000000000000000e+00,5.5000000000000000e+00,5.0000000000000000e+00,6.0000000000000000e+00,3.0000000000000000e+00
"EAST HADDAM",7.0000000000000000e+00,1.1500000000000000e+01,1.7500000000000000e+01,2.3500000000000000e+01,1.2500000000000000e+01,1.4500000000000000e+01
"EAST HAMPTON",3.9500000000000000e+01,4.0500000000000000e+01,4.0000000000000000e+01,3.8500000000000000e+01,3.7500000000000000e+01,4.0000000000000000e+01
"EAST HARTFORD",1.0660000000000000e+03,1.0640000000000000e+03,9.6950000000000000e+02,8.6300000000000000e+02,7.8050000000000000e+02,6.9000000000000000e+02
