Municipality,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings
"ANDOVER",,"2018-09-30 00:00:00"
"ANSONIA","Aa3","2018-09-30 00:00:00"
"ASHFORD","Aa3","2018-09-30 00:00:00"
"AVON","Aaa","2018-09-30 00:00:00"
"BARKHAMSTED",,"2018-09-30 00:00:00"
"BEACON FALLS",,"2018-09-30 00:00:00"
"BERLIN","Aa2","2018-09-30 00:00:00"
"BETHANY","Aa2","2018-09-30 00:00:00"
"BETHEL",,"2018-09-30 00:00:00"
"BETHLEHEM",,"2018-09-30 00:00:00"
"BLOOMFIELD","Aa2","2018-09-30 00:00:00"
"BOLTON","Aa3","2018-09-30 00:00:00"
"BOZRAH",,"2018-09-30 00:00:00"
"BRANFORD",,"2018-09-30 00:00:00"
"BRIDGEPORT","Baa1","2018-09-30 00:00:00"
"BRIDGEWATER",,"2018-09-30 00:00:00"
"BRISTOL","Aa2","2018-09-30 00:00:00"
"BROOKFIELD","Aa2","2018-09-30 00:00:00"
"BROOKLYN",,"2018-09-30 00:00:00"
"BURLINGTON",,"2018-09-30 00:00:00"
"CANAAN",,"2018-09-30 00:00:00"
"CANTERBURY",,"2018-09-30 00:00:00"
"CANTON","Aa2","2018-09-30 00:00:00"
"CHAPLIN",,"2018-09-30 00:00:00"
"CHESHIRE","Aa1","2018-09-30 00:00:00"
"CHESTER",,"2018-09-30 00:00:00"
"CLINTON","Aa3","2018-09-30 00:00:00"
"COLCHESTER","Aa3","2018-09-30 00:00:00"
"COLEBROOK",,"2018-09-30 00:00:00"
"COLUMBIA","Aa2","2018-09-30 00:00:00"
"CORNWALL","Aa2","2018-09-30 00:00:00"
"COVENTRY","Aa3","2018-09-30 00:00:00"
"CROMWELL",,"2018-09-30 00:00:00"
"DANBURY","Aa1","2018-09-30 00:00:00"
"DARIEN","Aaa","2018-09-30 00:00:00"
"DEEP RIVER",,"2018-09-30 00:00:00"
"DERBY",,"2018-09-30 00:00:00"
