Municipality,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings
"DURHAM",,"2018-09-30 00:00:00"
"EAST GRANBY","Aa2","2018-09-30 00:00:00"
"EAST HADDAM",,"2018-09-30 00:00:00"
"EAST HAMPTON",,"2018-09-30 00:00:00"
"EAST HARTFORD","Aa3","2018-09-30 00:00:00"
"EAST HAVEN","A3","2018-09-30 00:00:00"
"EAST LYME","Aa3","2018-09-30 00:00:00"
"EAST WINDSOR","Aa2","2018-09-30 00:00:00"
"EASTFORD",,"2018-09-30 00:00:00"
"EASTON",,"2018-09-30 00:00:00"
"ELLINGTON","Aa3","2018-09-30 00:00:00"
"ENFIELD","Aa2","2018-09-30 00:00:00"
"ESSEX","Aa2","2018-09-30 00:00:00"
"FAIRFIELD","Aaa","2018-09-30 00:00:00"
"FARMINGTON","Aaa","2018-09-30 00:00:00"
"FRANKLIN",,"2018-09-30 00:00:00"
"GLASTONBURY","Aaa","2018-09-30 00:00:00"
"GOSHEN",,"2018-09-30 00:00:00"
"GRANBY",,"2018-09-30 00:00:00"
"GREENWICH","Aaa","2018-09-30 00:00:00"
"GRISWOLD",,"2018-09-30 00:00:00"
"GROTON","Aa2","2018-09-30 00:00:00"
"GROTON (City of)","Aa3","2018-09-30 00:00:00"
"GUILFORD","Aa2","2018-09-30 00:00:00"
"HADDAM","Aa3","2018-09-30 00:00:00"
"HAMDEN","Baa2","2018-09-30 00:00:00"
"HAMPTON",,"2018-09-30 00:00:00"
"HARTFORD","B2","2018-09-30 00:00:00"
"HARTLAND","A1","2018-09-30 00:00:00"
"HARWINTON",,"2018-09-30 00:00:00"
"HEBRON",,"2018-09-30 00:00:00"
"KENT","Aa2","2018-09-30 00:00:00"
"KILLINGLY","Aa3","2018-09-30 00:00:00"
"KILLINGWORTH",,"2018-09-30 00:00:00"
"LEBANON",,"2018-09-30 00:00:00"
"LEDYARD","Aa3","2018-09-30 00:00:00"
"LISBON","Aa3","2018-09-30 00:00:00"
"LITCHFIELD","Aa2","2018-09-30 00:00:00"
"LYME",,"2018-09-30 00:00:00"
"MADISON","Aaa","2018-09-30 00:00:00"
"MANCHESTER","Aa1","2018-09-30 00:00:00"
"MANSFIELD","Aa3","2018-09-30 00:00:00"
"MARLBOROUGH","Aa3","2018-09-30 00:00:00"
"MERIDEN",,"2018-09-30 00:00:00"
"MIDDLEBURY","Aa1","2018-09-30 00:00:00"
"MIDDLEFIELD",,"2018-09-30 00:00:00"
"MIDDLETOWN","Aa2","2018-09-30 00:00:00"
"MILFORD","Aa1","2018-09-30 00:00:00"
"MONROE","Aa2","2018-09-30 00:00:00"
"MONTVILLE","Aa3","2018-09-30 00:00:00"
"MORRIS",,"2018-09-30 00:00:00"
"NAUGATUCK","Aa3","2018-09-30 00:00:00"
"NEW BRITAIN","Baa2","2018-09-30 00:00:00"
"NEW CANAAN","Aaa","2018-09-30 00:00:00"
"NEW FAIRFIELD","Aa1","2018-09-30 00:00:00"
"NEW HARTFORD","Aa3","2018-09-30 00:00:00"
"NEW HAVEN","Baa1","2018-09-30 00:00:00"
"NEW LONDON",,"2018-09-30 00:00:00"
"NEW MILFORD","Aa1","2018-09-30 00:00:00"
"NEWINGTON",,"2018-09-30 00:00:00"
"NEWTOWN","Aa1","2018-09-30 00:00:00"
"NORFOLK",,"2018-09-30 00:00:00"
"NORTH BRANFORD","Aa2","2018-09-30 00:00:00"
"NORTH CANAAN",,"2018-09-30 00:00:00"
"NORTH HAVEN","Aa1","2018-09-30 00:00:00"
"NORTH STONINGTON",,"2018-09-30 00:00:00"
"NORWALK","Aaa","2018-09-30 00:00:00"
"NORWICH","Aa3","2018-09-30 00:00:00"
"OLD LYME",,"2018-09-30 00:00:00"
"OLD SAYBROOK","Aa2","2018-09-30 00:00:00"
"ORANGE",,"2018-09-30 00:00:00"
"OXFORD","Aa2","2018-09-30 00:00:00"
"PLAINFIELD","Aa3","2018-09-30 00:00:00"
"PLAINVILLE","Aa3","2018-09-30 00:00:00"
"PLYMOUTH",,"2018-09-30 00:00:00"
"POMFRET",,"2018-09-30 00:00:00"
"PORTLAND","Aa3","2018-09-30 00:00:00"
"PRESTON",,"2018-09-30 00:00:00"
"PROSPECT",,"2018-09-30 00:00:00"
"PUTNAM",,"2018-09-30 00:00:00"
"REDDING","Aa1","2018-09-30 00:00:00"
"RIDGEFIELD","Aaa","2018-09-30 00:00:00"
"ROCKY HILL",,"2018-09-30 00:00:00"
"ROXBURY",,"2018-09-30 00:00:00"
"SALEM","Aa3","2018-09-30 00:00:00"
"SALISBURY",,"2018-09-30 00:00:00"
"SCOTLAND","A2","2018-09-30 00:00:00"
"SEYMOUR",,"2018-09-30 00:00:00"
"SHARON",,"2018-09-30 00:00:00"
"SHELTON","Aa3","2018-09-30 00:00:00"
"SHERMAN","Aa2","2018-09-30 00:00:00"
"SIMSBURY","Aaa","2018-09-30 00:00:00"
"SOMERS","Aa2","2018-09-30 00:00:00"
"SOUTH WINDSOR","Aa2","2018-09-30 00:00:00"
"SOUTHBURY","Aa2","2018-09-30 00:00:00"
"SOUTHINGTON",,"2018-09-30 00:00:00"
"SPRAGUE","Baa2","2018-09-30 00:00:00"
"STAFFORD","A1","2018-09-30 00:00:00"
"STAMFORD","Aa1","2018-09-30 00:00:00"
"STERLING","A1","2018-09-30 00:00:00"
"STONINGTON","Aa1","2018-09-30 00:00:00"
"STRATFORD","A2","2018-09-30 00:00:00"
"SUFFIELD",,"2018-09-30 00:00:00"
"THOMASTON","Aa3","2018-09-30 00:00:00"
"THOMPSON",,"2018-09-30 00:00:00"
"TOLLAND",,"2018-09-30 00:00:00"
"TORRINGTON","Aa3","2018-09-30 00:00:00"
"TRUMBULL","Aa2","2018-09-30 00:00:00"
"UNION",,"2018-09-30 00:00:00"
"VERNON","Aa2","2018-09-30 00:00:00"
"VOLUNTOWN",,"2018-09-30 00:00:00"
"WALLINGFORD","Aaa","2018-09-30 00:00:00"
"WARREN","Aa2","2018-09-30 00:00:00"
"WASHINGTON",,"2018-09-30 00:00:00"
"WATERBURY","A2","2018-09-30 00:00:00"
"WATERFORD","Aa2","2018-09-30 00:00:00"
"WATERTOWN","Aa3","2018-09-30 00:00:00"
"WEST HARTFORD","Aaa","2018-09-30 00:00:00"
"WEST HAVEN","Baa3","2018-09-30 00:00:00"
"WESTBROOK","Aa2","2018-09-30 00:00:00"
"WESTON","Aaa","2018-09-30 00:00:00"
"WESTPORT","Aaa","2018-09-30 00:00:00"
"WETHERSFIELD","Aa2","2018-09-30 00:00:00"
"WILLINGTON","Aa3","2018-09-30 00:00:00"
"WILTON","Aaa","2018-09-30 00:00:00"
"WINCHESTER",,"2018-09-30 00:00:00"
"WINDHAM","A1","2018-09-30 00:00:00"
"WINDSOR",,"2018-09-30 00:00:00"
"WINDSOR LOCKS","Aa1","2018-09-30 00:00:00"
"WOLCOTT","A1","2018-09-30 00:00:00"
"WOODBRIDGE","Aaa","2018-09-30 00:00:00"
"WOODBURY","Aa2","2018-09-30 00:00:00"
"WOODSTOCK","Aa3","2018-09-30 00:00:00"
