MUNICIPALITY,Numbered,2016 Labor Force,2016 Unemployed,2016 Unemp Rate,2015 Labor Force,2015 Unemployed,2015 Unemp Rate,2014 Labor Force,2014 Unemployed,2014 Unemp Rate,2013 Labor Force,2013 Unemployed,2013 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9450000000000000e+03,8.7000000000000000e+01,4.4730077120822623e-02,1.9330000000000000e+03,9.2000000000000000e+01,4.7594412829798240e-02,1.9350000000000000e+03,1.1300000000000000e+02,5.8397932816537469e-02,1.8980000000000000e+03,1.3000000000000000e+02,6.8493150684931503e-02
"ANSONIA",2.0000000000000000e+00,9.4120000000000000e+03,6.3900000000000000e+02,6.7892052698682537e-02,9.4220000000000000e+03,7.3500000000000000e+02,7.8008915304606241e-02,9.4540000000000000e+03,8.3200000000000000e+02,8.8005077215993224e-02,9.3890000000000000e+03,9.5000000000000000e+02,1.0118223452976888e-01
"ASHFORD",3.0000000000000000e+00,2.5620000000000000e+03,1.2300000000000000e+02,4.8009367681498827e-02,2.5410000000000000e+03,1.2300000000000000e+02,4.8406139315230225e-02,2.5340000000000000e+03,1.4300000000000000e+02,5.6432517758484610e-02,2.5130000000000000e+03,1.8200000000000000e+02,7.2423398328690811e-02
"AVON",4.0000000000000000e+00,9.3980000000000000e+03,3.3200000000000000e+02,3.5326665247925090e-02,9.3290000000000000e+03,3.4700000000000000e+02,3.7195840926144280e-02,9.2840000000000000e+03,4.1900000000000000e+02,4.5131408875484703e-02,9.0560000000000000e+03,4.7100000000000000e+02,5.2009717314487634e-02
"BARKHAMSTED",5.0000000000000000e+00,2.3140000000000000e+03,1.0500000000000000e+02,4.5375972342264474e-02,2.3030000000000000e+03,1.1200000000000000e+02,4.8632218844984802e-02,2.2940000000000000e+03,1.2400000000000000e+02,5.4054054054054057e-02,2.2680000000000000e+03,1.4200000000000000e+02,6.2610229276895940e-02
"BEACON FALLS",6.0000000000000000e+00,3.4940000000000000e+03,1.7600000000000000e+02,5.0372066399542073e-02,3.4530000000000000e+03,1.8700000000000000e+02,5.4155806545033304e-02,3.4520000000000000e+03,2.3400000000000000e+02,6.7786790266512173e-02,3.3620000000000000e+03,2.3700000000000000e+02,7.0493753718024979e-02
"BERLIN",7.0000000000000000e+00,1.1754000000000000e+04,4.9900000000000000e+02,4.2453632805853327e-02,1.1718000000000000e+04,5.6500000000000000e+02,4.8216419184161120e-02,1.1671000000000000e+04,6.4100000000000000e+02,5.4922457372975748e-02,1.1415000000000000e+04,7.2400000000000000e+02,6.3425317564607966e-02
"BETHANY",8.0000000000000000e+00,3.1170000000000000e+03,1.2500000000000000e+02,4.0102662816811040e-02,3.0930000000000000e+03,1.3700000000000000e+02,4.4293566117038476e-02,3.1140000000000000e+03,1.8200000000000000e+02,5.8445728965960182e-02,3.0310000000000000e+03,1.8100000000000000e+02,5.9716265258990431e-02
"BETHEL",9.0000000000000000e+00,1.0950000000000000e+04,4.6800000000000000e+02,4.2739726027397264e-02,1.0821000000000000e+04,5.0100000000000000e+02,4.6298863321319654e-02,1.0686000000000000e+04,5.7300000000000000e+02,5.3621560920830993e-02,1.0436000000000000e+04,6.9300000000000000e+02,6.6404752778842474e-02
"BETHLEHEM",1.0000000000000000e+01,1.9710000000000000e+03,1.0200000000000000e+02,5.1750380517503802e-02,1.9610000000000000e+03,1.0200000000000000e+02,5.2014278429372771e-02,1.9800000000000000e+03,1.2600000000000000e+02,6.3636363636363630e-02,1.9530000000000000e+03,1.2500000000000000e+02,6.4004096262160776e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1436000000000000e+04,6.2400000000000000e+02,5.4564533053515218e-02,1.1446000000000000e+04,7.0700000000000000e+02,6.1768303337410450e-02,1.1414000000000000e+04,7.8300000000000000e+02,6.8599964955318032e-02,1.1160000000000000e+04,9.1800000000000000e+02,8.2258064516129034e-02
"BOLTON",1.2000000000000000e+01,3.1770000000000000e+03,1.2200000000000000e+02,3.8401007239534150e-02,3.1610000000000000e+03,1.3200000000000000e+02,4.1758937045238850e-02,3.1340000000000000e+03,1.4200000000000000e+02,4.5309508615188260e-02,3.0760000000000000e+03,1.7600000000000000e+02,5.7217165149544863e-02
"BOZRAH",1.3000000000000000e+01,1.4480000000000000e+03,6.7000000000000000e+01,4.6270718232044199e-02,1.4460000000000000e+03,7.8000000000000000e+01,5.3941908713692949e-02,1.4560000000000000e+03,9.5000000000000000e+01,6.5247252747252751e-02,1.4620000000000000e+03,1.1500000000000000e+02,7.8659370725034206e-02
"BRANFORD",1.4000000000000000e+01,1.6121000000000000e+04,7.4700000000000000e+02,4.6337075863780164e-02,1.6031000000000000e+04,8.4400000000000000e+02,5.2647994510635641e-02,1.6000000000000000e+04,9.5200000000000000e+02,5.9499999999999997e-02,1.5572000000000000e+04,1.0890000000000000e+03,6.9933213460056515e-02
"BRIDGEPORT",1.5000000000000000e+01,7.0857000000000000e+04,5.3490000000000000e+03,7.5490071552563612e-02,7.1196000000000000e+04,6.0000000000000000e+03,8.4274397438058313e-02,7.1240000000000000e+04,6.9000000000000000e+03,9.6855699045480068e-02,7.0517000000000000e+04,7.9140000000000000e+03,1.1222825701603868e-01
"BRIDGEWATER",1.6000000000000000e+01,8.4600000000000000e+02,3.0000000000000000e+01,3.5460992907801421e-02,8.4900000000000000e+02,3.6000000000000000e+01,4.2402826855123678e-02,8.6300000000000000e+02,5.2000000000000000e+01,6.0254924681344149e-02,8.4900000000000000e+02,5.4000000000000000e+01,6.3604240282685506e-02
"BRISTOL",1.7000000000000000e+01,3.2984000000000000e+04,1.8750000000000000e+03,5.6845743390734900e-02,3.3052000000000000e+04,2.1600000000000000e+03,6.5351567227399252e-02,3.2949000000000000e+04,2.4100000000000000e+03,7.3143342741813111e-02,3.2359000000000000e+04,2.7300000000000000e+03,8.4366018727401959e-02
"BROOKFIELD",1.8000000000000000e+01,9.4360000000000000e+03,3.8700000000000000e+02,4.1013141161509115e-02,9.3830000000000000e+03,4.0500000000000000e+02,4.3163167430459344e-02,9.3050000000000000e+03,4.8100000000000000e+02,5.1692638366469638e-02,9.0110000000000000e+03,5.6000000000000000e+02,6.2146265675285764e-02
