MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2017 ESTIMATE
"ANDOVER",100507.0000
"ANSONIA",45563.0000
"ASHFORD",68846.0000
"AVON",125536.0000
"BARKHAMSTED",111198.0000
"BEACON FALLS",88355.0000
"BERLIN",93328.0000
"BETHANY",109844.0000
"BETHEL",97289.0000
"BETHLEHEM",91712.0000
"BLOOMFIELD",73593.0000
"BOLTON",101667.0000
"BOZRAH",82500.0000
"BRANFORD",75366.0000
"BRIDGEPORT",44841.0000
"BRIDGEWATER",102250.0000
"BRISTOL",64586.0000
"BROOKFIELD",113009.0000
"BROOKLYN",75000.0000
"BURLINGTON",121635.0000
"CANAAN",77417.0000
"CANTERBURY",89213.0000
"CANTON",90594.0000
"CHAPLIN",76932.0000
"CHESHIRE",107579.0000
"CHESTER",86675.0000
"CLINTON",76509.0000
"COLCHESTER",101031.0000
"COLEBROOK",84583.0000
"COLUMBIA",100179.0000
"CORNWALL",76563.0000
"COVENTRY",88562.0000
"CROMWELL",85856.0000
"DANBURY",68068.0000
"DARIEN",208848.0000
"DEEP RIVER",69028.0000
"DERBY",57432.0000
"DURHAM",116232.0000
"EAST GRANBY",93385.0000
"EAST HADDAM",78177.0000
"EAST HAMPTON",99104.0000
"EAST HARTFORD",52049.0000
"EAST HAVEN",63051.0000
"EAST LYME",83590.0000
"EAST WINDSOR",75056.0000
"EASTFORD",84375.0000
"EASTON",136786.0000
"ELLINGTON",82507.0000
"ENFIELD",73494.0000
"ESSEX",87857.0000
"FAIRFIELD",127746.0000
"FARMINGTON",94785.0000
"FRANKLIN",92279.0000
"GLASTONBURY",111645.0000
"GOSHEN",96026.0000
"GRANBY",111220.0000
"GREENWICH",138180.0000
"GRISWOLD",60521.0000
"GROTON",63895.0000
"GROTON (City of)",
"GUILFORD",107587.0000
"HADDAM",105920.0000
"HAMDEN",74281.0000
"HAMPTON",74265.0000
"HARTFORD",33841.0000
"HARTLAND",94569.0000
"HARWINTON",104205.0000
"HEBRON",104519.0000
"KENT",64464.0000
"KILLINGLY",54868.0000
"KILLINGWORTH",113413.0000
"LEBANON",93531.0000
"LEDYARD",88163.0000
"LISBON",85296.0000
"LITCHFIELD",78375.0000
"LYME",84922.0000
"MADISON",108167.0000
"MANCHESTER",67325.0000
"MANSFIELD",58819.0000
"MARLBOROUGH",110250.0000
"MERIDEN",57350.0000
"MIDDLEBURY",105036.0000
"MIDDLEFIELD",103844.0000
"MIDDLETOWN",63914.0000
"MILFORD",86382.0000
"MONROE",109631.0000
"MONTVILLE",72639.0000
"MORRIS",89107.0000
"NAUGATUCK",63452.0000
"NEW BRITAIN",43611.0000
"NEW CANAAN",174677.0000
"NEW FAIRFIELD",104402.0000
"NEW HARTFORD",96291.0000
"NEW HAVEN",39191.0000
"NEW LONDON",37331.0000
"NEW MILFORD",83676.0000
"NEWINGTON",79181.0000
"NEWTOWN",115137.0000
"NORFOLK",74844.0000
"NORTH BRANFORD",83637.0000
"NORTH CANAAN",72411.0000
"NORTH HAVEN",96273.0000
"NORTH STONINGTON",84833.0000
"NORWALK",81546.0000
"NORWICH",53682.0000
"OLD LYME",95175.0000
"OLD SAYBROOK",74185.0000
"ORANGE",109538.0000
"OXFORD",104316.0000
"PLAINFIELD",67409.0000
"PLAINVILLE",62459.0000
"PLYMOUTH",73430.0000
"POMFRET",84457.0000
"PORTLAND",88433.0000
"PRESTON",74083.0000
"PROSPECT",102617.0000
"PUTNAM",58416.0000
"REDDING",129763.0000
"RIDGEFIELD",151399.0000
"ROCKY HILL",79421.0000
"ROXBURY",119167.0000
"SALEM",106719.0000
"SALISBURY",83217.0000
"SCOTLAND",85714.0000
"SEYMOUR",75550.0000
"SHARON",81442.0000
"SHELTON",89250.0000
"SHERMAN",113636.0000
"SIMSBURY",116444.0000
"SOMERS",101897.0000
"SOUTH WINDSOR",105986.0000
"SOUTHBURY",90324.0000
"SOUTHINGTON",90796.0000
"SPRAGUE",62178.0000
"STAFFORD",68813.0000
"STAMFORD",84893.0000
"STERLING",75574.0000
"STONINGTON",78875.0000
"STRATFORD",72757.0000
"SUFFIELD",105777.0000
"THOMASTON",67639.0000
"THOMPSON",77267.0000
"TOLLAND",112740.0000
"TORRINGTON",61313.0000
"TRUMBULL",115346.0000
"UNION",93750.0000
"VERNON",60648.0000
"VOLUNTOWN",81400.0000
"WALLINGFORD",77128.0000
"WARREN",98750.0000
"WASHINGTON",93975.0000
"WATERBURY",40879.0000
"WATERFORD",79175.0000
"WATERTOWN",77946.0000
"WEST HARTFORD",95298.0000
"WEST HAVEN",55299.0000
"WESTBROOK",95583.0000
"WESTON",219868.0000
"WESTPORT",181360.0000
"WETHERSFIELD",81452.0000
"WILLINGTON",75885.0000
"WILTON",180313.0000
"WINCHESTER",57468.0000
"WINDHAM",41293.0000
"WINDSOR",89565.0000
"WINDSOR LOCKS",67072.0000
"WOLCOTT",87045.0000
"WOODBRIDGE",138320.0000
"WOODBURY",82923.0000
"WOODSTOCK",81441.0000
