MUNICIPALITY,Median Home Values - 2016 Estimate,Margin of Error
"ANDOVER",281700.0000,15616.0000
"ANSONIA",214800.0000,7879.0000
"ASHFORD",237600.0000,15394.0000
"AVON",374300.0000,14993.0000
"BARKHAMSTED",251400.0000,19933.0000
"BEACON FALLS",231800.0000,19691.0000
"BERLIN",288000.0000,7338.0000
"BETHANY",343500.0000,21985.0000
"BETHEL",335800.0000,9592.0000
"BETHLEHEM",351200.0000,22837.0000
"BLOOMFIELD",211800.0000,8794.0000
"BOLTON",292900.0000,17195.0000
"BOZRAH",232900.0000,14034.0000
"BRANFORD",293600.0000,9452.0000
"BRIDGEPORT",168200.0000,2736.0000
"BRIDGEWATER",505200.0000,52291.0000
"BRISTOL",192500.0000,4549.0000
"BROOKFIELD",358500.0000,11262.0000
"BROOKLYN",224200.0000,9843.0000
"BURLINGTON",324100.0000,18121.0000
"CANAAN",278700.0000,29911.0000
"CANTERBURY",224000.0000,17458.0000
"CANTON",297400.0000,15177.0000
"CHAPLIN",200500.0000,12854.0000
"CHESHIRE",330600.0000,7714.0000
"CHESTER",354300.0000,23714.0000
"CLINTON",286200.0000,8581.0000
"COLCHESTER",268500.0000,8696.0000
"COLEBROOK",270700.0000,19253.0000
"COLUMBIA",242300.0000,12854.0000
"CORNWALL",420100.0000,46284.0000
"COVENTRY",252600.0000,14532.0000
"CROMWELL",245100.0000,11069.0000
"DANBURY",286400.0000,5437.0000
"DARIEN",1248200.0000,69247.0000
"DEEP RIVER",275100.0000,12946.0000
"DERBY",199400.0000,14560.0000
"DURHAM",345400.0000,16596.0000
"EAST GRANBY",296000.0000,19986.0000
"EAST HADDAM",279500.0000,11334.0000
"EAST HAMPTON",258900.0000,12815.0000
"EAST HARTFORD",163300.0000,3464.0000
"EAST HAVEN",207000.0000,6185.0000
"EAST LYME",298600.0000,9715.0000
"EAST WINDSOR",205900.0000,13972.0000
"EASTFORD",244800.0000,16950.0000
"EASTON",629200.0000,24652.0000
"ELLINGTON",264100.0000,18609.0000
"ENFIELD",184000.0000,2914.0000
"ESSEX",363600.0000,22637.0000
"FAIRFIELD",589500.0000,11676.0000
"FARMINGTON",329900.0000,12031.0000
"FRANKLIN",239900.0000,9884.0000
