Municipality,numbered,PER CAPITA INCOME - 2017 ESTIMATE,Population_Range,PercentOfState,Sort ID
"NEW CANAAN",9.1000000000000000e+01,111515.0000,"10,000 to 30,000",2.6958781578629276e+00,1
"WESTPORT",1.5900000000000000e+02,108829.0000,"10,000 to 30,000",2.6309440348120390e+00,2
"DARIEN",3.5000000000000000e+01,105928.0000,"10,000 to 30,000",2.5608122809138161e+00,3
"GREENWICH",5.7000000000000000e+01,96533.0000,"30,000 to 70,000",2.3336879003988877e+00,4
"WESTON",1.5800000000000000e+02,95534.0000,"0 to 10,000",2.3095370482291790e+00,5
"ROXBURY",1.2100000000000000e+02,84768.0000,"0 to 10,000",2.0492687054272936e+00,6
"WILTON",1.6200000000000000e+02,82428.0000,"10,000 to 30,000",1.9926991417865345e+00,7
"RIDGEFIELD",1.1900000000000000e+02,78363.0000,"10,000 to 30,000",1.8944276562311133e+00,8
"SHERMAN",1.2800000000000000e+02,71997.0000,"0 to 10,000",1.7405294330956123e+00,9
"WASHINGTON",1.5100000000000000e+02,71672.0000,"0 to 10,000",1.7326725492566180e+00,10
"SHARON",1.2600000000000000e+02,69993.0000,"0 to 10,000",1.6920826785930134e+00,11
"AVON",4.0000000000000000e+00,66837.0000,"10,000 to 30,000",1.6157862927595794e+00,12
"EASTON",4.7000000000000000e+01,66658.0000,"0 to 10,000",1.6114589628913332e+00,13
"FAIRFIELD",5.1000000000000000e+01,62541.0000,"30,000 to 70,000",1.5119303759216729e+00,16
"LYME",7.6000000000000000e+01,61367.0000,"0 to 10,000",1.4835488939925057e+00,17
"SALISBURY",1.2300000000000000e+02,61034.0000,"0 to 10,000",1.4754986099359362e+00,18
"GLASTONBURY",5.4000000000000000e+01,60119.0000,"10,000 to 30,000",1.4533784600507675e+00,19
"GUILFORD",6.1000000000000000e+01,60003.0000,"10,000 to 30,000",1.4505741568959265e+00,20
"WESTBROOK",1.5700000000000000e+02,58608.0000,"0 to 10,000",1.4168499939562431e+00,21
"SIMSBURY",1.2900000000000000e+02,56622.0000,"10,000 to 30,000",1.3688383899431886e+00,22
"FARMINGTON",5.2000000000000000e+01,55817.0000,"10,000 to 30,000",1.3493774930496796e+00,23
"WARREN",1.5000000000000000e+02,55475.0000,"0 to 10,000",1.3411096337483379e+00,24
"DURHAM",3.8000000000000000e+01,55296.0000,"0 to 10,000",1.3367823038800919e+00,25
"OLD LYME",1.0600000000000000e+02,55056.0000,"0 to 10,000",1.3309802973528346e+00,26
"ESSEX",5.0000000000000000e+01,55048.0000,"0 to 10,000",1.3307868971352592e+00,27
"WOODBRIDGE",1.6800000000000000e+02,54109.0000,"0 to 10,000",1.3080865465973650e+00,28
"CANAAN",2.1000000000000000e+01,53537.0000,"0 to 10,000",1.2942584310407350e+00,29
"MADISON",7.7000000000000000e+01,53379.0000,"10,000 to 30,000",1.2904387767436238e+00,30
