MUNICIPALITY,NUMBERED,TOWN CODE,2015 Net GL,2015 GL Tax Exempt Property,Total Assessed Value 2015 GL,Tax Exempt Property as a % of 2015 GL
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.6615170000000000e+08,1.2852200000000000e+07,2.7900390000000000e+08,4.6064589061299857e-02
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,9.0163300700000000e+08,1.2260030000000000e+08,1.0242333070000000e+09,1.1969958325129920e-01
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.9890682300000000e+08,3.0073000000000000e+06,3.0191412300000000e+08,9.9607794763546063e-03
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.6177886900000000e+09,2.4055212000000000e+08,2.8583408100000000e+09,8.4157955957673225e-02
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,3.5203955000000000e+08,1.8540060000000000e+07,3.7057961000000000e+08,5.0029897759350551e-02
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.9323048900000000e+08,4.1172290000000000e+07,5.3440277900000000e+08,7.7043555194536137e-02
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2.2669529000000000e+09,1.5076617500000000e+08,2.4177190750000000e+09,6.2358847460389916e-02
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.5590559800000000e+08,3.8686030000000000e+07,5.9459162800000000e+08,6.5063193254379287e-02
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.9424067400000000e+09,9.7692700000000000e+07,2.0400994400000000e+09,4.7886244211703718e-02
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.6982165000000000e+08,2.9163730000000000e+07,3.9898538000000000e+08,7.3094733446122759e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2.1518224450000000e+09,1.7571410000000000e+08,2.3275365450000000e+09,7.5493594451811280e-02
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,4.3186058800000000e+08,2.9361090000000000e+07,4.6122167800000000e+08,6.3659388533771386e-02
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,2.3277600400000000e+08,1.3717770000000000e+07,2.4649377400000000e+08,5.5651588181695820e-02
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.5242429360000000e+09,2.4923892000000000e+08,3.7734818560000000e+09,6.6050117507176903e-02
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6.1041272660000000e+09,2.2111518290000000e+09,8.3152790950000000e+09,2.6591432515230568e-01
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.9142307200000000e+08,4.1812140000000000e+07,4.3323521200000000e+08,9.6511407295305440e-02
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,4.0754307920000000e+09,4.1670727000000000e+08,4.4921380620000000e+09,9.2763682738297812e-02
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2.2841998930000000e+09,1.2282351000000000e+08,2.4070234030000000e+09,5.1027135775630013e-02
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,5.4358057400000000e+08,4.4486340000000000e+07,5.8806691400000000e+08,7.5648432076217770e-02
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,9.0775016100000000e+08,4.6345830000000000e+07,9.5409599100000000e+08,4.8575646934041039e-02
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.7240157000000000e+08,5.7929640000000000e+07,2.3033121000000000e+08,2.5150582068318056e-01
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.5885750200000000e+08,1.6835500000000000e+07,3.7569300200000000e+08,4.4811854121254033e-02
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1.1083580590000000e+09,7.8699140000000000e+07,1.1870571990000000e+09,6.6297681414423562e-02
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.6156778000000000e+08,2.0413300000000000e+07,1.8198108000000000e+08,1.1217265003592682e-01
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.8127391010000000e+09,3.8814715000000000e+08,3.2008862510000000e+09,1.2126240033638734e-01
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.5297219000000000e+08,2.5389140000000000e+07,4.7836133000000000e+08,5.3075234990253080e-02
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.5269419890000000e+09,1.0375336000000000e+08,1.6306953490000000e+09,6.3625225928083520e-02
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1.2183431500000000e+09,1.0499231000000000e+08,1.3233354600000000e+09,7.9339149575875498e-02
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.8214804200000000e+08,1.7328440000000000e+07,1.9947648200000000e+08,8.6869588967385142e-02
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.8052416000000000e+08,2.8596840000000000e+07,5.0912100000000000e+08,5.6169044293989050e-02
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,4.0481610000000000e+08,2.6193870000000000e+07,4.3100997000000000e+08,6.0773234549539541e-02
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,9.5076523800000000e+08,6.0986600000000000e+07,1.0117518380000000e+09,6.0278220122195615e-02
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1.3331340150000000e+09,8.7526830000000000e+07,1.4206608450000000e+09,6.1609940407698079e-02
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,7.2045149250000000e+09,1.4267839000000000e+09,8.6312988250000000e+09,1.6530349938382535e-01
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8.4481059740000000e+09,5.9310202000000000e+08,9.0412079940000000e+09,6.5599864574910696e-02
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,5.0073014200000000e+08,1.2131833000000000e+08,6.2204847200000000e+08,1.9503034805300509e-01
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,7.1901348500000000e+08,1.5455843000000000e+08,8.7357191500000000e+08,1.7692696771278413e-01
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,7.1302338900000000e+08,3.6731590000000000e+07,7.4975497900000000e+08,4.8991458581564153e-02
"EAST GRANBY",4.0000000000000000e+01,4.1000000000000000e+01,6.2930958600000000e+08,1.7282880000000000e+08,8.0213838600000000e+08,2.1546007897943933e-01
"EAST HADDAM",4.1000000000000000e+01,4.2000000000000000e+01,8.5829766200000000e+08,6.3790750000000000e+07,9.2208841200000000e+08,6.9180730578360203e-02
"EAST HAMPTON",4.2000000000000000e+01,4.3000000000000000e+01,1.0914145860000000e+09,9.2591413000000000e+07,1.1840059990000000e+09,7.8201810698764876e-02
"EAST HARTFORD",4.3000000000000000e+01,4.4000000000000000e+01,3.0135159310000000e+09,4.4574408800000000e+08,3.4592600190000000e+09,1.2885532904486763e-01
"EAST HAVEN",4.4000000000000000e+01,4.5000000000000000e+01,2.0192500610000000e+09,2.1090294000000000e+08,2.2301530010000000e+09,9.4568821020544855e-02
"EAST LYME",4.5000000000000000e+01,4.7000000000000000e+01,2.1355668230000000e+09,2.6058514000000000e+08,2.3961519630000000e+09,1.0875150826149836e-01
"EAST WINDSOR",4.7000000000000000e+01,4.6000000000000000e+01,9.9155771000000000e+08,8.7531210000000000e+07,1.0790889200000000e+09,8.1115845392982069e-02
"EASTFORD",3.9000000000000000e+01,4.0000000000000000e+01,1.4905091200000000e+08,1.3931580000000000e+07,1.6298249200000000e+08,8.5478997339174315e-02
"EASTON",4.6000000000000000e+01,3.9000000000000000e+01,1.3396321140000000e+09,8.7033600000000000e+07,1.4266657140000000e+09,6.1004900549534058e-02
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1.3432129520000000e+09,7.3181230000000000e+07,1.4163941820000000e+09,5.1667276616926966e-02
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.9319846580000000e+09,3.5316635000000000e+08,3.2851510080000000e+09,1.0750384050534337e-01
