Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,2011 Nonspendable_Fund_Bal,2011 Restricted_Fund_Bal,2011 Committed_Fund_Bal,2011 Assigned_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2011 Population,Moody's_Bond_Ratings_July2011,area lmt,ACGLFY11,EGL,TANF11 Recipients,empl,ACMR,enrollmt,RPA Identifier
"COLEBROOK","BP",2.0110000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",5196851.0000,1546998.0000,6750260.0000,588985.0000,0.0000,0.0000,0.0000,45760.0000,1050896.0000,"N",1005136.0000,1050896.0000,987607.0000,4630437.0000,5680431.0000,3801654.0000,173144.0000,5598043.0000,6083.0000,6083.0000,191000.0000,191000.0000,-102529.0000,-7151.0000,-102529.0000,0.0000,"N","N",685284.7809,678845.0000,1364129.7809,4675741.0000,4581293.0000,9.7980042093862774e-01,4811605.0000,4620662.0000,9.6031615230261003e-01,1.4760000000000000e+03,,3.1489999999999998e+01,188432660.0000,250747152.2274,0.0000000000000000e+00,4.9875311720698257e-02,2.4809999999999999e+01,2.5319999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"COLUMBIA","BP",2.0110000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",10640062.0000,4739804.0000,15407043.0000,1222021.0000,0.0000,0.0000,0.0000,0.0000,3087112.0000,"N",3087112.0000,3087112.0000,3600505.0000,12699987.0000,16588526.0000,11232034.0000,877193.0000,15158568.0000,79482.0000,79482.0000,469977.0000,469977.0000,1039463.0000,921904.0000,1039463.0000,0.0000,"N","N",,2955000.0000,2955000.0000,12499157.0000,12330800.0000,9.8653053161905235e-01,12868427.0000,12578248.0000,9.7745031308022345e-01,5.4770000000000000e+03,"Aa2",2.1350000000000001e+01,527994372.0000,720081218.3348,1.1000000000000000e+01,7.1091538219565903e-02,2.3550000000000001e+01,7.6629999999999995e+02,"Windham Region COG"
"CORNWALL","BP",2.0110000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",5640728.0000,2595101.0000,8306067.0000,-72862.0000,0.0000,0.0000,0.0000,407618.0000,1994456.0000,"Y",1586838.0000,1994456.0000,530071.0000,5590797.0000,6276289.0000,4042208.0000,196282.0000,5774182.0000,175783.0000,175783.0000,457309.0000,457309.0000,220581.0000,-75643.0000,220581.0000,0.0000,"N","N",432473.1049,1955000.0000,2387473.1049,5574375.0000,5491348.0000,9.8510559479762305e-01,5784924.0000,5522364.0000,9.5461305973941923e-01,1.4120000000000000e+03,"Aa2",4.6000000000000000e+01,452278490.0000,572022781.2545,0.0000000000000000e+00,6.1326658322903627e-02,1.2319000000000001e+01,1.6930000000000001e+02,"Northwestern CT COG"
"COVENTRY","JG",2.0110000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",94777800.0000,12089691.0000,106870715.0000,590900.0000,37612.0000,0.0000,4352.0000,233507.0000,3064463.0000,"Y",2788992.0000,3026851.0000,10795520.0000,25462109.0000,36954790.0000,25860037.0000,2786122.0000,37502062.0000,699035.0000,699035.0000,128682.0000,128682.0000,23081.0000,381631.0000,23081.0000,0.0000,"N","N",,24118806.0000,24118806.0000,25513165.0000,24983390.0000,9.7923523012530977e-01,26412736.0000,25268114.0000,9.5666401239159771e-01,1.2418000000000000e+04,"Aa3",3.7719999999999999e+01,955456543.0000,1366219704.2857,3.7000000000000000e+01,7.8835324818019498e-02,2.6579999999999998e+01,1.9273399999999999e+03,"Windham Region COG"
"CROMWELL","JG",2.0110000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",90389434.0000,9151471.0000,99550923.0000,5453013.0000,0.0000,0.0000,37600.0000,9830.0000,4289619.0000,"Y",4242189.0000,4289619.0000,6066793.0000,36823715.0000,44077961.0000,26568344.0000,4188778.0000,43732539.0000,401796.0000,401796.0000,947718.0000,947718.0000,-200500.0000,-1040784.0000,-200500.0000,0.0000,"N","N",,31161243.0000,31161243.0000,36870036.0000,36484059.0000,9.8953141787005583e-01,37694104.0000,36636962.0000,9.7195471206849748e-01,1.4037000000000000e+04,,1.2390000000000001e+01,1376551419.0000,1871234450.1263,4.9000000000000000e+01,7.1630074819084996e-02,2.6840000000000000e+01,2.0195999999999999e+03,"Lower CT River Valley COG"
"DANBURY","JG",2.0110000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",145411396.0000,-2641337.0000,144116347.0000,-2333070.0000,77934.0000,0.0000,515990.0000,6136974.0000,28193545.0000,"Y",21462647.0000,28115611.0000,41012958.0000,162068724.0000,213265596.0000,121036352.0000,13424472.0000,215554633.0000,450000.0000,4012707.0000,758452.0000,758452.0000,-2597489.0000,-906011.0000,965218.0000,0.0000,"N","N",,157551762.0000,157551762.0000,162321085.0000,160297164.0000,9.8753137338873753e-01,168169646.0000,162081985.0000,9.6380047681137415e-01,8.1671000000000000e+04,"Aa1",4.2109999999999999e+01,7830251178.0000,10050978529.8360,5.5400000000000000e+02,7.1334527638082498e-02,2.0960000000000001e+01,1.0482719999999999e+04,"Housatonic Council of Elected Ofcls"
"DARIEN","JG",2.0110000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",88823103.0000,28719351.0000,118644348.0000,1508445.0000,47378.0000,0.0000,0.0000,521559.0000,17729188.0000,"Y",17160251.0000,17681810.0000,11556311.0000,102075874.0000,118513554.0000,80795051.0000,9441394.0000,116552529.0000,634168.0000,634168.0000,2259720.0000,2259720.0000,335473.0000,694785.0000,335473.0000,0.0000,"N","N",,92150186.0000,92150186.0000,102097652.0000,101469016.0000,9.9384279669820419e-01,103312713.0000,101816820.0000,9.8552072676670488e-01,2.0942000000000000e+04,"Aaa",1.2859999999999999e+01,8739583725.0000,11672335338.1586,1.2000000000000000e+01,5.8063827516277082e-02,1.1740000000000000e+01,4.8480799999999999e+03,"South Western RPA"
"DEEP RIVER","BP",2.0110000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",10283641.0000,-638911.0000,9716070.0000,-252599.0000,0.0000,0.0000,0.0000,51516.0000,226225.0000,"Y",174709.0000,226225.0000,2492650.0000,11351611.0000,14326843.0000,9820587.0000,707552.0000,14552244.0000,0.0000,0.0000,0.0000,0.0000,-225401.0000,72279.0000,-225401.0000,0.0000,"N","N",5105055.1310,173819.0000,5278874.1310,11261546.0000,11070973.0000,9.8307754548087800e-01,11564540.0000,11226953.0000,9.7080843682498397e-01,4.6390000000000000e+03,,1.3550000000000001e+01,518319363.0000,703826645.0905,8.0000000000000000e+00,7.9721362229102172e-02,2.1730000000000000e+01,6.5339999999999998e+02,"Lower CT River Valley COG"
"DERBY","BP",2.0110000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",48219480.0000,-5334283.0000,42895525.0000,-2939166.0000,0.0000,0.0000,0.0000,0.0000,2058919.0000,"N",2058919.0000,2058919.0000,11958531.0000,25023680.0000,38258521.0000,20527006.0000,1491999.0000,38455683.0000,0.0000,697322.0000,626381.0000,626381.0000,-823543.0000,656719.0000,-126221.0000,0.0000,"N","N",,11307478.0000,11307478.0000,24755170.0000,24047988.0000,9.7143295723681156e-01,25872790.0000,24480161.0000,9.4617399205883868e-01,1.2882000000000000e+04,"Aa3",4.9800000000000004e+00,907695161.0000,1190337207.7291,1.6200000000000000e+02,9.5073346249654023e-02,2.7399999999999999e+01,1.5903199999999999e+03,"Valley COG"
"DURHAM","BP",2.0110000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",39792696.0000,3479160.0000,43293534.0000,-853704.0000,0.0000,0.0000,55873.0000,0.0000,2072287.0000,"N",2016414.0000,2072287.0000,3885041.0000,21096419.0000,25344950.0000,20209379.0000,0.0000,26047849.0000,690215.0000,821336.0000,270650.0000,270650.0000,-283334.0000,-304699.0000,-152213.0000,0.0000,"N","N",10756789.8607,102832.0000,10859621.8607,20867318.0000,20618593.0000,9.8808064361697079e-01,21215449.0000,20835579.0000,9.8209465187373601e-01,7.4030000000000000e+03,,2.3600000000000001e+01,780258980.0000,1087392123.4520,3.0000000000000000e+00,6.6991191469633754e-02,2.6809999999999999e+01,1.3506900000000001e+03,"Lower CT River Valley COG"
