MUNICIPALITY,2010 TANF RECIPIENTS
"TORRINGTON",4.7500000000000000e+02
"TRUMBULL",4.9000000000000000e+01
"UNION",2.0000000000000000e+00
"VERNON",3.8100000000000000e+02
"VOLUNTOWN",1.3000000000000000e+01
"WALLINGFORD",1.7800000000000000e+02
"WARREN",1.0000000000000000e+00
"WASHINGTON",5.0000000000000000e+00
"WATERBURY",4.2860000000000000e+03
"WATERFORD",7.3000000000000000e+01
"WATERTOWN",6.2000000000000000e+01
"WEST HARTFORD",2.3900000000000000e+02
"WEST HAVEN",7.1600000000000000e+02
"WESTBROOK",1.4000000000000000e+01
"WESTON",9.0000000000000000e+00
"WESTPORT",1.2000000000000000e+01
"WETHERSFIELD",6.8000000000000000e+01
"WILLINGTON",1.6000000000000000e+01
"WILTON",2.0000000000000000e+00
"WINCHESTER",1.3500000000000000e+02
"WINDHAM",7.5100000000000000e+02
"WINDSOR",1.8300000000000000e+02
"WINDSOR LOCKS",9.7000000000000000e+01
"WOLCOTT",4.5000000000000000e+01
"WOODBRIDGE",5.0000000000000000e+00
"WOODBURY",1.9000000000000000e+01
"WOODSTOCK",1.2000000000000000e+01
