MUNICIPALITY,2010 TANF RECIPIENTS
"ANDOVER",8.0000000000000000e+00
"ANSONIA",3.0200000000000000e+02
"ASHFORD",3.2000000000000000e+01
"AVON",1.4000000000000000e+01
"BARKHAMSTED",7.0000000000000000e+00
"BEACON FALLS",2.0000000000000000e+01
"BERLIN",2.9000000000000000e+01
"BETHANY",4.0000000000000000e+00
"BETHEL",6.5000000000000000e+01
"BETHLEHEM",1.4000000000000000e+01
"BLOOMFIELD",1.6000000000000000e+02
"BOLTON",2.3000000000000000e+01
"BOZRAH",1.3000000000000000e+01
"BRANFORD",8.9000000000000000e+01
"BRIDGEPORT",4.1180000000000000e+03
"BRIDGEWATER",2.0000000000000000e+00
"BRISTOL",8.7500000000000000e+02
"BROOKFIELD",1.4000000000000000e+01
"BROOKLYN",5.7000000000000000e+01
"BURLINGTON",8.0000000000000000e+00
"CANAAN",4.0000000000000000e+00
"CANTERBURY",3.2000000000000000e+01
"CANTON",1.2000000000000000e+01
"CHAPLIN",1.5000000000000000e+01
"CHESHIRE",3.2000000000000000e+01
"CHESTER",6.0000000000000000e+00
"CLINTON",4.6000000000000000e+01
"COLCHESTER",7.6000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",1.8000000000000000e+01
"CORNWALL",0.0000000000000000e+00
"COVENTRY",2.9000000000000000e+01
"CROMWELL",4.3000000000000000e+01
"DANBURY",5.2900000000000000e+02
"DARIEN",4.0000000000000000e+00
"DEEP RIVER",4.0000000000000000e+00
"DERBY",1.7400000000000000e+02
"DURHAM",3.0000000000000000e+00
"EAST GRANBY",1.0000000000000000e+01
"EAST HADDAM",1.4000000000000000e+01
"EAST HAMPTON",4.8000000000000000e+01
"EAST HARTFORD",1.1050000000000000e+03
"EAST HAVEN",2.6800000000000000e+02
"EAST LYME",5.3000000000000000e+01
"EAST WINDSOR",9.6000000000000000e+01
"EASTFORD",3.0000000000000000e+00
"EASTON",0.0000000000000000e+00
"ELLINGTON",4.1000000000000000e+01
"ENFIELD",3.3900000000000000e+02
"ESSEX",6.0000000000000000e+00
"FAIRFIELD",6.5000000000000000e+01
"FARMINGTON",3.4000000000000000e+01
"FRANKLIN",4.0000000000000000e+00
"GLASTONBURY",6.1000000000000000e+01
"GOSHEN",6.0000000000000000e+00
"GRANBY",1.7000000000000000e+01
"GREENWICH",8.7000000000000000e+01
"GRISWOLD",1.2100000000000000e+02
"GROTON",4.1400000000000000e+02
"GROTON (City of)",
"GUILFORD",5.7000000000000000e+01
"HADDAM",8.0000000000000000e+00
"HAMDEN",4.3100000000000000e+02
"HAMPTON",6.0000000000000000e+00
"HARTFORD",6.8220000000000000e+03
"HARTLAND",1.0000000000000000e+00
"HARWINTON",5.0000000000000000e+00
"HEBRON",1.0000000000000000e+01
"KENT",4.0000000000000000e+00
"KILLINGLY",2.2400000000000000e+02
"KILLINGWORTH",7.0000000000000000e+00
"LEBANON",1.8000000000000000e+01
"LEDYARD",4.4000000000000000e+01
"LISBON",2.7000000000000000e+01
"LITCHFIELD",2.3000000000000000e+01
"LYME",2.0000000000000000e+00
"MADISON",1.1000000000000000e+01
"MANCHESTER",8.0600000000000000e+02
"MANSFIELD",3.5000000000000000e+01
"MARLBOROUGH",1.1000000000000000e+01
"MERIDEN",1.5290000000000000e+03
"MIDDLEBURY",1.0000000000000000e+01
"MIDDLEFIELD",2.0000000000000000e+00
"MIDDLETOWN",5.3500000000000000e+02
"MILFORD",2.2200000000000000e+02
"MONROE",2.8000000000000000e+01
"MONTVILLE",1.2500000000000000e+02
"MORRIS",8.0000000000000000e+00
"NAUGATUCK",2.9100000000000000e+02
"NEW BRITAIN",2.5850000000000000e+03
"NEW CANAAN",7.0000000000000000e+00
"NEW FAIRFIELD",3.9000000000000000e+01
"NEW HARTFORD",8.0000000000000000e+00
"NEW HAVEN",4.4080000000000000e+03
"NEW LONDON",7.9000000000000000e+02
"NEW MILFORD",1.0200000000000000e+02
"NEWINGTON",6.5000000000000000e+01
"NEWTOWN",4.2000000000000000e+01
"NORFOLK",9.0000000000000000e+00
"NORTH BRANFORD",3.5000000000000000e+01
"NORTH CANAAN",7.0000000000000000e+00
"NORTH HAVEN",4.6000000000000000e+01
"NORTH STONINGTON",1.3000000000000000e+01
"NORWALK",6.5700000000000000e+02
"NORWICH",9.6300000000000000e+02
"OLD LYME",1.2000000000000000e+01
"OLD SAYBROOK",2.6000000000000000e+01
"ORANGE",5.0000000000000000e+00
"OXFORD",1.9000000000000000e+01
"PLAINFIELD",1.9500000000000000e+02
"PLAINVILLE",6.7000000000000000e+01
"PLYMOUTH",7.5000000000000000e+01
"POMFRET",1.7000000000000000e+01
"PORTLAND",3.1000000000000000e+01
"PRESTON",2.6000000000000000e+01
"PROSPECT",2.4000000000000000e+01
"PUTNAM",1.4500000000000000e+02
"REDDING",6.0000000000000000e+00
"RIDGEFIELD",1.7000000000000000e+01
"ROCKY HILL",4.4000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",1.7000000000000000e+01
"SALISBURY",2.0000000000000000e+00
"SCOTLAND",6.0000000000000000e+00
"SEYMOUR",6.6000000000000000e+01
"SHARON",3.0000000000000000e+00
"SHELTON",1.1200000000000000e+02
"SHERMAN",4.0000000000000000e+00
"SIMSBURY",2.5000000000000000e+01
"SOMERS",1.5000000000000000e+01
"SOUTH WINDSOR",3.0000000000000000e+01
"SOUTHBURY",2.1000000000000000e+01
"SOUTHINGTON",1.3800000000000000e+02
"SPRAGUE",5.1000000000000000e+01
"STAFFORD",8.2000000000000000e+01
"STAMFORD",7.7500000000000000e+02
"STERLING",3.2000000000000000e+01
"STONINGTON",1.1600000000000000e+02
"STRATFORD",3.7500000000000000e+02
"SUFFIELD",2.4000000000000000e+01
"THOMASTON",2.7000000000000000e+01
"THOMPSON",5.3000000000000000e+01
"TOLLAND",2.6000000000000000e+01
