MUNICIPALITY,TANF RECIPIENTS FY 2005-06
"ANDOVER",6.0000000000000000e+00
"ANSONIA",4.3100000000000000e+02
"ASHFORD",1.7000000000000000e+01
"AVON",1.9000000000000000e+01
"BARKHAMSTED",6.0000000000000000e+00
"BEACON FALLS",1.9000000000000000e+01
"BERLIN",3.7000000000000000e+01
"BETHANY",5.0000000000000000e+00
"BETHEL",2.4000000000000000e+01
"BETHLEHEM",6.0000000000000000e+00
"BLOOMFIELD",1.9500000000000000e+02
"BOLTON",1.3000000000000000e+01
"BOZRAH",1.4000000000000000e+01
"BRANFORD",1.0800000000000000e+02
"BRIDGEPORT",4.3220000000000000e+03
"BRIDGEWATER",1.0000000000000000e+00
"BRISTOL",9.5100000000000000e+02
"BROOKFIELD",1.5000000000000000e+01
"BROOKLYN",2.0000000000000000e+01
"BURLINGTON",1.3000000000000000e+01
"CANAAN",2.0000000000000000e+00
"CANTERBURY",1.8000000000000000e+01
"CANTON",1.1000000000000000e+01
"CHAPLIN",1.8000000000000000e+01
"CHESHIRE",2.9000000000000000e+01
"CHESTER",1.0000000000000000e+01
"CLINTON",2.9000000000000000e+01
"COLCHESTER",6.0000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",1.1000000000000000e+01
"CORNWALL",2.0000000000000000e+00
"COVENTRY",2.6000000000000000e+01
"CROMWELL",3.0000000000000000e+01
"DANBURY",4.0800000000000000e+02
"DARIEN",7.0000000000000000e+00
"DEEP RIVER",1.0000000000000000e+01
"DERBY",1.8000000000000000e+02
"DURHAM",3.0000000000000000e+00
"EAST GRANBY",1.6000000000000000e+01
"EAST HADDAM",1.5000000000000000e+01
"EAST HAMPTON",4.3000000000000000e+01
"EAST HARTFORD",1.1330000000000000e+03
"EAST HAVEN",2.8200000000000000e+02
"EAST LYME",4.8000000000000000e+01
"EAST WINDSOR",6.6000000000000000e+01
"EASTFORD",3.0000000000000000e+00
"EASTON",2.0000000000000000e+00
"ELLINGTON",3.1000000000000000e+01
"ENFIELD",3.0800000000000000e+02
"ESSEX",9.0000000000000000e+00
"FAIRFIELD",8.9000000000000000e+01
"FARMINGTON",4.9000000000000000e+01
"FRANKLIN",3.0000000000000000e+00
"GLASTONBURY",4.9000000000000000e+01
"GOSHEN",4.0000000000000000e+00
"GRANBY",1.3000000000000000e+01
"GREENWICH",7.9000000000000000e+01
"GRISWOLD",1.1600000000000000e+02
"GROTON",3.7300000000000000e+02
"GROTON (City of)",
"GUILFORD",3.6000000000000000e+01
"HADDAM",1.8000000000000000e+01
"HAMDEN",4.9300000000000000e+02
"HAMPTON",3.0000000000000000e+00
"HARTFORD",7.6750000000000000e+03
"HARTLAND",3.0000000000000000e+00
"HARWINTON",1.2000000000000000e+01
"HEBRON",6.0000000000000000e+00
"KENT",5.0000000000000000e+00
